# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	1314.7325	0.4674	2001	0.4000	1,2,3	0.5000	27
507	1453.8616	-0.0219	2001	0.4000	3,3,2	0.5000	62
491	1626.4640	0.3222	2001	0.4000	1,0,0	0.5000	16
498	1942.4462	-0.0620	2001	0.4000	1,2,3	0.5000	27
479	6643.3716	0.4130	2001	0.4000	3,3,1	0.5000	61
4294968045	919.8046	0.0414	1750	0.4000	2,0,2	0.5000	34
481	5293.0269	-0.0535	2001	0.4000	0,0,3	0.5000	3
502	2445.8291	0.4547	2001	0.4000	1,0,3	0.5000	19
483	2408.1333	-0.2872	2001	0.4000	2,0,3	0.5000	35
494	2085.2161	-0.2034	2001	0.4000	3,0,0	0.5000	48
495	3695.6477	0.4726	2001	0.4000	3,3,1	0.5000	61
497	4351.4668	-0.2828	2001	0.4000	2,3,3	0.5000	47
514	3925.3052	0.2637	2001	0.4000	1,2,3	0.5000	27
488	3210.3672	-0.0017	2001	0.4000	3,2,0	0.5000	56
920	3239.1104	-0.1601	1950	0.4000	2,2,0	0.5000	40
490	4191.7305	0.2411	2001	0.4000	2,0,2	0.5000	34
25769804326	1437.8989	0.2168	1400	0.4000	1,1,1	0.5000	21
8589935137	1038.1606	0.1819	1450	0.4000	3,0,1	0.5000	49
4294968271	964.4902	-0.2309	1100	0.4000	1,3,3	0.5000	31
8589935540	476.7209	0.4051	750	0.4000	2,3,2	0.5000	46
17179870018	506.0761	-0.2616	850	0.4000	2,2,1	0.5000	41
12884902774	1189.7714	0.2405	950	0.4000	1,0,0	0.5000	16
25769804477	144.9822	-0.2291	300	0.4000	1,0,0	0.5000	16
12884902780	53.3237	-0.0042	50	0.4000	1,2,1	0.5000	25
8589935456	56.9930	0.0569	100	0.4000	2,2,1	0.5000	41

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.5111	1748	1891
4294967988	491	4294968045	0.9802	1749	1990
4294968267	491	497	-0.4412	1918	1999
4294968187	504	4294968045	-0.5883	1749	1850
4294968158	494	498	-0.4004	1937	1850
8589935077	481	507	-0.3139	1852	1941
12884902855	483	4294968045	-0.1491	1654	1952
831	495	504	-0.6032	1974	1966
900	494	504	0.8980	1957	2000
977	504	920	-0.3816	1926	1894
8589935352	507	4294968045	-0.6317	1677	1842
12884902723	488	4294968045	-0.4260	1721	1946
769	488	504	-0.5131	1980	1880
4294968146	491	920	-0.6911	1887	2000
4294967807	502	507	0.3010	1911	1997
8589935197	479	497	0.8523	1946	1995
531	481	514	0.9960	1999	1998
8589935230	481	4294968045	-0.3902	1689	1890
4294968008	497	502	-0.6598	1850	1942
12884902400	920	4294968045	-0.3974	1660	1852
535	490	502	1.0000	1999	2000
12884902388	479	4294968045	0.7079	1722	1971
12884902389	494	4294968045	-0.5474	1664	1990
4294968075	481	491	-0.4422	1879	1981
4294968037	483	514	0.9980	1891	1999
17179869981	498	4294968045	-0.3655	1731	1872
4294967981	495	514	1.0000	1870	2000
890	479	491	0.9960	1964	1998
12884902621	498	920	-0.2221	1880	1856
4294968064	479	514	-0.3372	1913	1860
666	479	507	0.9881	1989	1994
546	483	495	1.0000	1998	2000
4294967973	483	497	-0.2599	1962	1926
653	504	514	-0.7972	1990	1978
792	483	488	-0.2134	1977	1858
735	498	507	-0.5010	1983	1916
4294967969	488	514	-0.6156	1918	1980
665	497	504	0.9900	1989	1995
778	498	514	-0.3342	1979	1787
4294968128	491	504	-0.4451	1854	1725
976	481	920	0.9379	1926	1968
802	488	498	-0.5783	1976	1889
759	502	504	-0.2157	1981	1949
4294968007	495	920	-0.3754	1882	1983
869	487	491	-0.0019	1969	31
966	490	498	0.9940	1929	1997
17179870054	497	4294968045	-0.3634	1674	1959
