# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	2257.7324	0.4674	4001	0.4000	1,2,3	0.5000	27
507	3293.8616	-0.0219	4001	0.4000	3,3,2	0.5000	62
491	3175.4639	0.3222	4001	0.4000	1,0,0	0.5000	16
498	5229.4463	-0.0620	4001	0.4000	1,2,3	0.5000	27
479	13141.3711	0.4130	4001	0.4000	3,3,1	0.5000	61
4294968045	2863.8047	0.0414	3750	0.4000	2,0,2	0.5000	34
481	8040.0269	-0.0535	4001	0.4000	0,0,3	0.5000	3
502	5032.8291	0.4547	4001	0.4000	1,0,3	0.5000	19
483	3865.1333	-0.2872	4001	0.4000	2,0,3	0.5000	35
494	3642.2161	-0.2034	4001	0.4000	3,0,0	0.5000	48
495	6355.6475	0.4726	4001	0.4000	3,3,1	0.5000	61
497	10190.4668	-0.2828	4001	0.4000	2,3,3	0.5000	47
514	8187.3047	0.2637	4001	0.4000	1,2,3	0.5000	27
488	6122.3672	-0.0017	4001	0.4000	3,2,0	0.5000	56
920	6122.1104	-0.1601	3950	0.4000	2,2,0	0.5000	40
490	6146.7305	0.2411	4001	0.4000	2,0,2	0.5000	34
25769804326	5220.8989	0.2168	3400	0.4000	1,1,1	0.5000	21
8589935137	3141.1606	0.1819	3450	0.4000	3,0,1	0.5000	49
4294968271	2247.4902	-0.2309	3100	0.4000	1,3,3	0.5000	31
8589935540	2961.7209	0.4051	2750	0.4000	2,3,2	0.5000	46
17179870018	796.0762	-0.2616	2850	0.4000	2,2,1	0.5000	41
12884902774	4430.7715	0.2405	2950	0.4000	1,0,0	0.5000	16
25769804477	1657.9822	-0.2291	2300	0.4000	1,0,0	0.5000	16
38654706359	1295.0812	-0.1354	1850	0.4000	2,2,2	0.5000	42
8589935456	1456.9929	0.0569	2100	0.4000	2,2,1	0.5000	41
42949673775	1602.7498	0.0602	1900	0.4000	2,0,3	0.5000	35
38654706279	110.8210	0.1255	600	0.4000	3,3,3	0.5000	63
25769804691	407.5328	0.3384	750	0.4000	0,3,3	0.5000	15
8589935143	354.1056	-0.1563	650	0.4000	2,3,3	0.5000	47
64424510384	318.0731	0.4013	550	0.4000	1,3,2	0.5000	30
4294968287	212.7025	-0.2790	200	0.4000	3,2,0	0.5000	56
4294968326	143.9576	0.0152	250	0.4000	0,0,2	0.5000	2
4294968296	70.3326	0.3833	100	0.4000	2,3,3	0.5000	47

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.4002	3748	3970
4294967988	491	4294968045	0.9960	3749	3998
4294968267	491	497	-0.5638	3918	3978
4294968187	504	4294968045	-0.4626	3749	3984
4294968158	494	498	-0.1932	3937	3974
8589935077	481	507	-0.0990	3852	3838
12884902855	483	4294968045	-0.6315	3654	3885
831	495	504	-0.4231	3974	3994
900	494	504	-0.2315	3957	3937
977	504	920	-0.3739	3926	3990
8589935352	507	4294968045	-0.2973	3677	3631
12884902723	488	4294968045	-0.2221	3721	3794
769	488	504	-0.3903	3980	3915
4294968146	491	920	-0.3128	3887	3522
4294967807	502	507	-0.5086	3911	3896
8589935197	479	497	0.9361	3946	3967
531	481	514	-0.4096	3999	3918
8589935230	481	4294968045	0.9743	3689	3987
4294968008	497	502	0.1116	3850	3990
12884902400	920	4294968045	-0.4746	3660	3863
535	490	502	0.9821	3999	3991
12884902388	479	4294968045	0.9920	3722	3996
12884902389	494	4294968045	-0.3826	3664	3979
4294968075	481	491	-0.4085	3879	3924
4294968037	483	514	0.5852	3891	3978
17179869981	498	4294968045	-0.5319	3731	3961
4294967981	495	514	0.7707	3870	3991
890	479	491	0.5809	3964	3997
12884902621	498	920	-0.3982	3880	3907
4294968064	479	514	-0.0824	3913	3737
666	479	507	1.0000	3989	4000
546	483	495	-0.0266	3998	3972
4294967973	483	497	-0.6324	3962	3945
653	504	514	-0.5536	3990	3990
792	483	488	-0.3190	3977	3651
735	498	507	-0.3263	3983	3951
4294967969	488	514	-0.3314	3918	3814
665	497	504	0.9782	3989	3989
778	498	514	-0.6161	3979	3907
4294968128	491	504	-0.3780	3854	3828
976	481	920	0.9782	3926	3989
802	488	498	-0.5115	3976	3904
759	502	504	-0.7538	3981	3995
4294968007	495	920	-0.4151	3882	3679
869	487	491	-0.0000	3969	31
966	490	498	0.9881	3929	3994
17179870054	497	4294968045	-0.5854	3674	3995
775	483	490	-0.5969	3979	3948
765	491	507	-0.6168	3980	3967
4294968132	479	481	0.3737	3855	3972
8589935390	479	920	-0.6781	3916	3979
8589935306	483	920	0.9960	3882	3998
8589935085	483	502	-0.2605	3895	3869
568	481	488	-0.6045	3996	3931
4294968179	488	495	-0.7869	3857	3979
12884902725	495	4294968045	-0.5117	3743	3916
771	488	507	-0.5483	3980	3926
572	488	502	0.9920	3996	3996
4294968191	497	514	-0.4237	3935	3982
574	483	507	-0.4686	3996	3958
781	481	504	-0.5540	3979	3996
8589935221	507	920	0.1352	3925	3981
