# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	2354.7324	0.4674	6001	0.4000	1,2,3	0.5000	27
507	4379.8613	-0.0219	6001	0.4000	3,3,2	0.5000	62
491	4302.4639	0.3222	6001	0.4000	1,0,0	0.5000	16
498	6736.4463	-0.0620	6001	0.4000	1,2,3	0.5000	27
479	16033.3711	0.4130	6001	0.4000	3,3,1	0.5000	61
4294968045	4162.8047	0.0414	5750	0.4000	2,0,2	0.5000	34
481	10159.0273	-0.0535	6001	0.4000	0,0,3	0.5000	3
502	8938.8291	0.4547	6001	0.4000	1,0,3	0.5000	19
483	5715.1333	-0.2872	6001	0.4000	2,0,3	0.5000	35
494	5032.2158	-0.2034	6001	0.4000	3,0,0	0.5000	48
495	6352.6475	0.4726	6001	0.4000	3,3,1	0.5000	61
497	14412.4668	-0.2828	6001	0.4000	2,3,3	0.5000	47
514	11583.3047	0.2637	6001	0.4000	1,2,3	0.5000	27
488	7778.3672	-0.0017	6001	0.4000	3,2,0	0.5000	56
920	7247.1104	-0.1601	5950	0.4000	2,2,0	0.5000	40
490	7636.7305	0.2411	6001	0.4000	2,0,2	0.5000	34
25769804326	8690.8984	0.2168	5400	0.4000	1,1,1	0.5000	21
8589935137	4412.1606	0.1819	5450	0.4000	3,0,1	0.5000	49
4294968271	1944.4902	-0.2309	5100	0.4000	1,3,3	0.5000	31
8589935540	4905.7207	0.4051	4750	0.4000	2,3,2	0.5000	46
38654706913	98.7818	0.1899	300	0.4000	2,0,2	0.5000	34
12884902774	7118.7715	0.2405	4950	0.4000	1,0,0	0.5000	16
25769804477	2426.9822	-0.2291	4300	0.4000	1,0,0	0.5000	16
38654706359	2762.0811	-0.1354	3850	0.4000	2,2,2	0.5000	42
8589935456	3656.9929	0.0569	4100	0.4000	2,2,1	0.5000	41
42949673775	4710.7500	0.0602	3900	0.4000	2,0,3	0.5000	35
38654706279	411.8210	0.1255	2600	0.4000	3,3,3	0.5000	63
25769804691	2315.5327	0.3384	2750	0.4000	0,3,3	0.5000	15
8589935143	2866.1055	-0.1563	2650	0.4000	2,3,3	0.5000	47
64424510384	1870.0731	0.4013	2550	0.4000	1,3,2	0.5000	30
4294968287	3355.7026	-0.2790	2200	0.4000	3,2,0	0.5000	56
4294968326	2116.9575	0.0152	2250	0.4000	0,0,2	0.5000	2
8589935579	1562.9189	0.3661	1950	0.4000	2,2,3	0.5000	43
12884902933	1557.1241	0.4188	1650	0.4000	3,3,1	0.5000	61
8589935710	1439.0990	-0.2739	1700	0.4000	1,1,0	0.5000	20
60129543178	74.1942	0.0280	450	0.4000	3,1,1	0.5000	53
8589935758	1021.8167	0.0933	1300	0.4000	1,2,2	0.5000	26
4294968563	40.2298	-0.1786	50	0.4000	2,1,3	0.5000	39

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.5007	5748	5779
4294967988	491	4294968045	-0.3715	5749	5906
4294968267	491	497	-0.2649	5918	5979
4294968187	504	4294968045	-0.7237	5749	5995
4294968158	494	498	-0.3233	5937	5906
8589935077	481	507	0.2952	5852	5993
12884902855	483	4294968045	-0.4405	5654	5887
831	495	504	-0.4171	5974	5795
900	494	504	-0.1115	5957	5994
977	504	920	-0.4376	5926	5949
8589935352	507	4294968045	-0.2245	5677	5925
12884902723	488	4294968045	-0.0654	5721	5899
769	488	504	-0.4340	5980	5977
4294968146	491	920	-0.4031	5887	5896
4294967807	502	507	-0.5650	5911	5923
8589935197	479	497	0.2197	5946	5979
531	481	514	0.3362	5999	5990
8589935230	481	4294968045	0.5866	5689	5982
4294968008	497	502	-0.5826	5850	5864
12884902400	920	4294968045	-0.5952	5660	5949
535	490	502	0.9901	5999	5996
12884902388	479	4294968045	-0.1519	5722	5715
12884902389	494	4294968045	-0.4167	5664	5802
4294968075	481	491	-0.3834	5879	5871
4294968037	483	514	0.1909	5891	5945
17179869981	498	4294968045	-0.2480	5731	5971
4294967981	495	514	0.9861	5870	5993
890	479	491	0.9940	5964	5997
12884902621	498	920	-0.4211	5880	5739
4294968064	479	514	-0.2116	5913	5959
666	479	507	0.6792	5989	5980
546	483	495	0.8869	5998	5996
4294967973	483	497	0.9316	5962	5969
653	504	514	-0.3928	5990	6000
792	483	488	-0.2270	5977	5998
735	498	507	-0.3790	5983	5969
4294967969	488	514	-0.3513	5918	5838
665	497	504	0.7183	5989	5963
778	498	514	-0.4308	5979	5859
4294968128	491	504	-0.6839	5854	5993
976	481	920	0.8792	5926	5995
802	488	498	-0.2069	5976	5736
759	502	504	-0.6428	5981	5980
4294968007	495	920	-0.4245	5882	5931
869	487	491	-0.0000	5969	31
966	490	498	0.9960	5929	5998
17179870054	497	4294968045	-0.3804	5674	5854
775	483	490	-0.3832	5979	5940
765	491	507	-0.2568	5980	5975
4294968132	479	481	0.3049	5855	6000
8589935390	479	920	0.0801	5916	5961
8589935306	483	920	0.9841	5882	5992
8589935085	483	502	-0.1491	5895	5750
568	481	488	-0.2564	5996	5693
4294968179	488	495	-0.4346	5857	5883
12884902725	495	4294968045	-0.7099	5743	5980
771	488	507	-0.6975	5980	5983
572	488	502	0.8817	5996	5998
4294968191	497	514	-0.0925	5935	5936
574	483	507	0.0042	5996	5943
781	481	504	-0.4147	5979	5960
8589935221	507	920	-0.1502	5925	5882
4294968230	481	494	-0.2353	5888	5972
896	490	504	-0.2647	5960	5767
4294968052	497	920	0.8590	5892	5999
17179869911	514	4294968045	-0.5447	5718	5921
4294967773	507	514	-0.5250	5898	5987
4294967844	483	504	-0.4135	5944	5991
4294967832	495	502	0.2013	5961	5917
806	495	497	-0.1260	5976	5996
585	494	495	-0.3126	5995	5999
586	479	495	-0.4446	5995	5894
