# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	4720.7324	0.4674	8001	0.4000	1,2,3	0.5000	27
507	4736.8613	-0.0219	8001	0.4000	3,3,2	0.5000	62
491	6781.4639	0.3222	8001	0.4000	1,0,0	0.5000	16
498	9143.4463	-0.0620	8001	0.4000	1,2,3	0.5000	27
479	18192.3711	0.4130	8001	0.4000	3,3,1	0.5000	61
4294968045	5146.8047	0.0414	7750	0.4000	2,0,2	0.5000	34
481	13014.0273	-0.0535	8001	0.4000	0,0,3	0.5000	3
502	13016.8291	0.4547	8001	0.4000	1,0,3	0.5000	19
483	8511.1328	-0.2872	8001	0.4000	2,0,3	0.5000	35
494	6248.2158	-0.2034	8001	0.4000	3,0,0	0.5000	48
495	7104.6475	0.4726	8001	0.4000	3,3,1	0.5000	61
497	17566.4668	-0.2828	8001	0.4000	2,3,3	0.5000	47
514	12773.3047	0.2637	8001	0.4000	1,2,3	0.5000	27
488	9722.3672	-0.0017	8001	0.4000	3,2,0	0.5000	56
920	8758.1104	-0.1601	7950	0.4000	2,2,0	0.5000	40
490	9904.7305	0.2411	8001	0.4000	2,0,2	0.5000	34
25769804326	13310.8984	0.2168	7400	0.4000	1,1,1	0.5000	21
8589935137	6373.1606	0.1819	7450	0.4000	3,0,1	0.5000	49
4294968271	2528.4902	-0.2309	7100	0.4000	1,3,3	0.5000	31
8589935540	7839.7207	0.4051	6750	0.4000	2,3,2	0.5000	46
38654706913	2593.7817	0.1899	2300	0.4000	2,0,2	0.5000	34
12884902774	10062.7715	0.2405	6950	0.4000	1,0,0	0.5000	16
25769804477	2289.9822	-0.2291	6300	0.4000	1,0,0	0.5000	16
38654706359	5281.0811	-0.1354	5850	0.4000	2,2,2	0.5000	42
8589935456	4290.9932	0.0569	6100	0.4000	2,2,1	0.5000	41
42949673775	8991.7500	0.0602	5900	0.4000	2,0,3	0.5000	35
38654706279	1570.8210	0.1255	4600	0.4000	3,3,3	0.5000	63
25769804691	5347.5327	0.3384	4750	0.4000	0,3,3	0.5000	15
8589935143	5387.1055	-0.1563	4650	0.4000	2,3,3	0.5000	47
64424510384	3968.0732	0.4013	4550	0.4000	1,3,2	0.5000	30
4294968287	7333.7026	-0.2790	4200	0.4000	3,2,0	0.5000	56
4294968326	2293.9575	0.0152	4250	0.4000	0,0,2	0.5000	2
8589935579	2161.9189	0.3661	3950	0.4000	2,2,3	0.5000	43
12884902933	2028.1240	0.4188	3650	0.4000	3,3,1	0.5000	61
8589935710	4493.0991	-0.2739	3700	0.4000	1,1,0	0.5000	20
60129543178	452.1942	0.0280	2450	0.4000	3,1,1	0.5000	53
8589935758	3119.8167	0.0933	3300	0.4000	1,2,2	0.5000	26
21474837726	1715.8943	0.4745	2000	0.4000	3,0,1	0.5000	49
34359739641	504.2239	0.3987	1050	0.4000	2,2,1	0.5000	41
64424510680	107.6218	0.0326	50	0.4000	3,1,3	0.5000	55
38654706963	26.4812	0.3764	250	0.4000	1,2,0	0.5000	24

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.2614	7748	7842
4294967988	491	4294968045	0.1224	7749	7992
4294968267	491	497	-0.1091	7918	7872
4294968187	504	4294968045	-0.0044	7749	7973
4294968158	494	498	-0.0781	7937	7939
8589935077	481	507	-0.1906	7852	7767
12884902855	483	4294968045	-0.1978	7654	7961
831	495	504	-0.3732	7974	7968
900	494	504	-0.3281	7957	7642
977	504	920	-0.2341	7926	7937
8589935352	507	4294968045	-0.0579	7677	7938
12884902723	488	4294968045	-0.3348	7721	7803
769	488	504	-0.2347	7980	7902
4294968146	491	920	-0.5242	7887	7862
4294967807	502	507	-0.3455	7911	7966
8589935197	479	497	-0.5214	7946	7974
531	481	514	-0.2763	7999	7995
8589935230	481	4294968045	0.5509	7689	7983
4294968008	497	502	-0.2852	7850	7901
12884902400	920	4294968045	-0.2983	7660	7786
535	490	502	0.9608	7999	7980
12884902388	479	4294968045	-0.5077	7722	7902
12884902389	494	4294968045	-0.4638	7664	7989
4294968075	481	491	-0.2537	7879	7735
4294968037	483	514	-0.2897	7891	7928
17179869981	498	4294968045	-0.1822	7731	7758
4294967981	495	514	0.2868	7870	7966
890	479	491	0.8252	7964	7965
12884902621	498	920	-0.3292	7880	7905
4294968064	479	514	-0.1660	7913	7992
666	479	507	0.0478	7989	7996
546	483	495	0.0140	7998	7885
4294967973	483	497	0.9569	7962	7978
653	504	514	-0.2025	7990	8000
792	483	488	-0.2252	7977	7962
735	498	507	-0.4085	7983	7942
4294967969	488	514	0.8700	7918	8000
665	497	504	-0.2572	7989	7882
778	498	514	-0.3206	7979	7907
4294968128	491	504	0.1331	7854	7943
976	481	920	0.9704	7926	7985
802	488	498	-0.2298	7976	7954
759	502	504	-0.1918	7981	7847
4294968007	495	920	-0.4011	7882	7969
869	487	491	-0.0000	7969	31
966	490	498	0.8795	7929	7979
17179870054	497	4294968045	-0.3161	7674	7960
775	483	490	-0.2432	7979	7809
765	491	507	-0.6813	7980	7992
4294968132	479	481	0.9841	7855	7992
8589935390	479	920	-0.4029	7916	7955
8589935306	483	920	0.7205	7882	7995
8589935085	483	502	0.8117	7895	7964
568	481	488	-0.1764	7996	7857
4294968179	488	495	-0.3855	7857	7863
12884902725	495	4294968045	-0.3556	7743	7857
771	488	507	0.0031	7980	7965
572	488	502	0.5069	7996	7984
4294968191	497	514	0.5433	7935	7947
574	483	507	-0.1237	7996	7901
781	481	504	-0.4078	7979	7996
8589935221	507	920	-0.4932	7925	7986
4294968230	481	494	0.1766	7888	7991
896	490	504	-0.2255	7960	7517
4294968052	497	920	0.8902	7892	7999
17179869911	514	4294968045	0.6275	7718	7991
4294967773	507	514	-0.3053	7898	7955
4294967844	483	504	-0.6031	7944	7912
4294967832	495	502	-0.0098	7961	7837
806	495	497	-0.3173	7976	7741
585	494	495	-0.2795	7995	7825
586	479	495	0.1893	7995	7934
716	479	504	-0.1807	7984	7705
4294967922	494	514	-0.5132	7966	7993
804	491	495	-0.3973	7976	7945
803	490	507	-0.5007	7976	7970
959	491	514	-0.4353	7930	7968
754	481	490	-0.4805	7981	7978
593	479	498	-0.1694	7994	7977
933	494	920	-0.1739	7942	7952
8589935134	490	494	-0.2715	7946	7701
910	481	495	0.0202	7955	7951
855	498	504	-0.4306	7971	7924
598	494	507	-0.5799	7994	7896
599	495	507	-0.4993	7994	7962
917	483	498	-0.2034	7950	7648
4294968013	490	514	-0.0673	7946	7924
4294968101	483	494	-0.0886	7890	7909
930	514	920	-0.0568	7942	7990
8589935479	479	494	-0.3516	7925	7901
943	504	507	-0.6614	7940	7997
942	491	494	-0.2232	7940	7696
787	481	498	-0.2845	7978	7872
4294968090	491	498	-0.3681	7954	8000
885	490	497	-0.4205	7965	7960
963	481	502	-0.1899	7929	7926
12884902552	497	507	0.9900	7938	7995
612	488	490	-0.3890	7993	7921
747	495	498	-0.1937	7982	7926
880	479	483	-0.2818	7965	7865
941	488	920	-0.3663	7940	7949
940	488	494	0.9980	7940	7999
4294967977	479	490	-0.2005	7935	7976
873	491	502	-0.3619	7969	7928
795	494	502	1.0000	7977	8000
812	481	483	-0.2642	7975	7940
4294968168	498	502	0.8049	7952	7999
4294968087	488	497	-0.0709	7937	7914
974	483	491	-0.3872	7926	7989
4294967900	494	497	-0.2516	7962	7757
8589935203	490	920	0.1515	7919	7979
908	483	486	-0.0000	7955	45
627	490	491	-0.1056	7992	7907
705	481	497	-0.2830	7986	7990
893	479	502	0.8432	7961	7983
720	479	488	-0.3435	7984	7968
4294968140	488	491	-0.2234	7968	7977
905	497	498	-0.2214	7956	7974
4294968227	502	920	-0.4808	7920	7948
4294968253	490	495	-0.2885	7916	7898
4294967839	502	514	-0.1738	7957	7762
8589935445	502	4294968045	-0.4172	7720	7968
8589935112	502	25769804326	0.1384	7384	7997
8589935188	490	8589935137	0.1003	7385	7989
4294968039	498	25769804326	-0.3824	7385	7838
8589935459	514	25769804326	-0.3731	7387	7932
4294968269	494	25769804326	0.7044	7388	8000
8589935169	507	25769804326	-0.5855	7389	7893
12884902695	502	8589935137	-0.4141	7434	7985
4294967954	497	25769804326	0.8061	7396	7993
4294967776	481	25769804326	-0.1915	7396	7720
4294967814	490	25769804326	-0.3955	7398	7777
25769804623	507	8589935137	-0.2971	7429	7902
12884902799	504	25769804326	0.0823	7398	7858
21474837378	4294968045	8589935137	-0.3146	7413	7935
21474837358	481	8589935137	0.9841	7429	7992
21474837308	488	8589935137	-0.5480	7419	7897
30064771619	920	8589935137	-0.5544	7448	7981
21474837412	491	8589935137	0.5729	7445	7981
21474837260	497	8589935137	-0.1244	7443	7816
17179869694	495	8589935137	-0.3333	7441	7908
12884902740	514	8589935137	-0.1918	7439	7826
12884902733	504	8589935137	-0.1179	7438	7937
12884902609	479	8589935137	-0.1971	7438	7803
17179869957	494	8589935137	-0.2388	7437	7844
17179870045	498	8589935137	0.9394	7435	7998
12884902633	495	25769804326	-0.5193	7383	7903
8589935241	920	25769804326	-0.3621	7383	7909
8589935544	4294968045	25769804326	0.2386	7381	7967
25769804586	8589935137	25769804326	-0.1036	7376	7977
21474836969	483	25769804326	-0.2014	7375	7996
17179869802	491	25769804326	0.9608	7374	7980
21474837037	488	25769804326	0.9920	7367	7996
21474837237	479	25769804326	0.0970	7353	7997
4294967876	481	34359739153	-0.0000	7316	684
38654706449	483	8589935137	-0.3922	7305	7856
4294967834	514	8589935540	-0.4292	6746	7996
4294968054	479	4294968271	0.0348	7087	7996
4294968202	4294968045	4294968271	-0.1354	7085	7673
8589935268	920	4294968271	-0.4085	7083	7899
8589935101	494	4294968271	-0.3738	7096	7896
4294967953	497	4294968271	-0.3732	7079	7960
4294967990	491	4294968271	-0.4553	7091	7937
8589935079	498	4294968271	0.9212	7093	7959
8589935353	483	4294968271	-0.4728	7044	7953
4294968047	488	4294968271	-0.0394	7092	7979
12884902617	504	4294968271	-0.0742	7075	7893
4294967824	507	4294968271	-0.1507	7073	7947
4294968219	490	4294968271	-0.3604	7072	7937
4294967859	479	8589935540	-0.1652	6746	7712
12884902446	495	12884902774	-0.2406	6892	8000
