# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	6936.7324	0.4674	10001	0.4000	1,2,3	0.5000	27
507	6067.8613	-0.0219	10001	0.4000	3,3,2	0.5000	62
491	7484.4639	0.3222	10001	0.4000	1,0,0	0.5000	16
498	11495.4463	-0.0620	10001	0.4000	1,2,3	0.5000	27
479	18855.3711	0.4130	10001	0.4000	3,3,1	0.5000	61
4294968045	7623.8047	0.0414	9750	0.4000	2,0,2	0.5000	34
481	16250.0273	-0.0535	10001	0.4000	0,0,3	0.5000	3
502	16275.8291	0.4547	10001	0.4000	1,0,3	0.5000	19
483	9951.1328	-0.2872	10001	0.4000	2,0,3	0.5000	35
494	8897.2158	-0.2034	10001	0.4000	3,0,0	0.5000	48
495	9022.6475	0.4726	10001	0.4000	3,3,1	0.5000	61
497	20790.4668	-0.2828	10001	0.4000	2,3,3	0.5000	47
514	13862.3047	0.2637	10001	0.4000	1,2,3	0.5000	27
488	10892.3672	-0.0017	10001	0.4000	3,2,0	0.5000	56
920	10165.1104	-0.1601	9950	0.4000	2,2,0	0.5000	40
490	12103.7305	0.2411	10001	0.4000	2,0,2	0.5000	34
25769804326	16331.8984	0.2168	9400	0.4000	1,1,1	0.5000	21
8589935137	8129.1606	0.1819	9450	0.4000	3,0,1	0.5000	49
4294968271	2584.4902	-0.2309	9100	0.4000	1,3,3	0.5000	31
8589935540	11434.7207	0.4051	8750	0.4000	2,3,2	0.5000	46
38654706913	5900.7817	0.1899	4300	0.4000	2,0,2	0.5000	34
12884902774	13082.7715	0.2405	8950	0.4000	1,0,0	0.5000	16
25769804477	2359.9822	-0.2291	8300	0.4000	1,0,0	0.5000	16
38654706359	6943.0811	-0.1354	7850	0.4000	2,2,2	0.5000	42
8589935456	4414.9932	0.0569	8100	0.4000	2,2,1	0.5000	41
42949673775	12004.7500	0.0602	7900	0.4000	2,0,3	0.5000	35
38654706279	1744.8210	0.1255	6600	0.4000	3,3,3	0.5000	63
25769804691	7878.5327	0.3384	6750	0.4000	0,3,3	0.5000	15
8589935143	7679.1055	-0.1563	6650	0.4000	2,3,3	0.5000	47
64424510384	6058.0732	0.4013	6550	0.4000	1,3,2	0.5000	30
4294968287	9924.7031	-0.2790	6200	0.4000	3,2,0	0.5000	56
4294968326	2738.9575	0.0152	6250	0.4000	0,0,2	0.5000	2
8589935579	3919.9189	0.3661	5950	0.4000	2,2,3	0.5000	43
12884902933	2903.1240	0.4188	5650	0.4000	3,3,1	0.5000	61
8589935710	7883.0991	-0.2739	5700	0.4000	1,1,0	0.5000	20
21474837934	1017.2312	0.3208	900	0.4000	3,1,3	0.5000	55
8589935758	3831.8167	0.0933	5300	0.4000	1,2,2	0.5000	26
21474837726	4560.8945	0.4745	4000	0.4000	3,0,1	0.5000	49
34359739641	2003.2239	0.3987	3050	0.4000	2,2,1	0.5000	41
30064772289	70.9574	0.3374	250	0.4000	0,2,1	0.5000	9
51539608952	92.8819	0.4623	100	0.4000	3,1,2	0.5000	54
64424510483	28.1985	-0.2867	50	0.4000	3,1,0	0.5000	52

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.1544	9748	9841
4294967988	491	4294968045	-0.2212	9749	9818
4294968267	491	497	-0.3082	9918	9994
4294968187	504	4294968045	0.8597	9749	9986
4294968158	494	498	-0.1890	9937	9910
8589935077	481	507	-0.2295	9852	9996
12884902855	483	4294968045	-0.2853	9654	9970
831	495	504	-0.2660	9974	9957
900	494	504	-0.1117	9957	9963
977	504	920	-0.3060	9926	9816
8589935352	507	4294968045	0.4583	9677	9985
12884902723	488	4294968045	-0.4725	9721	9975
769	488	504	-0.0653	9980	9826
4294968146	491	920	-0.3067	9887	9888
4294967807	502	507	-0.3157	9911	9935
8589935197	479	497	-0.4879	9946	9878
531	481	514	-0.5750	9999	9936
8589935230	481	4294968045	0.0410	9689	9914
4294968008	497	502	-0.4692	9850	9971
12884902400	920	4294968045	-0.2944	9660	9793
535	490	502	0.9685	9999	9984
12884902388	479	4294968045	-0.4220	9722	9792
12884902389	494	4294968045	-0.2171	9664	9941
4294968075	481	491	0.9841	9879	9992
4294968037	483	514	-0.4696	9891	9987
17179869981	498	4294968045	0.1428	9731	9994
4294967981	495	514	-0.3612	9870	9939
890	479	491	-0.3325	9964	9975
12884902621	498	920	-0.2993	9880	9980
4294968064	479	514	-0.3434	9913	9844
666	479	507	0.8757	9989	9993
546	483	495	-0.3896	9998	9987
4294967973	483	497	0.4318	9962	9998
653	504	514	0.3231	9990	9997
792	483	488	-0.1401	9977	9992
735	498	507	-0.0983	9983	9999
4294967969	488	514	0.9735	9918	9997
665	497	504	-0.4603	9989	10000
778	498	514	0.0271	9979	9976
4294968128	491	504	-0.1277	9854	9681
976	481	920	0.8751	9926	9996
802	488	498	-0.2313	9976	9568
759	502	504	-0.1231	9981	9394
4294968007	495	920	-0.2643	9882	9934
869	487	491	-0.0000	9969	31
966	490	498	0.9493	9929	9974
17179870054	497	4294968045	-0.1887	9674	9966
775	483	490	-0.5622	9979	9982
765	491	507	0.2059	9980	9982
4294968132	479	481	-0.3674	9855	9722
8589935390	479	920	-0.6585	9916	9920
8589935306	483	920	-0.1055	9882	9998
8589935085	483	502	0.9441	9895	9981
568	481	488	-0.4802	9996	9982
4294968179	488	495	-0.1439	9857	9931
12884902725	495	4294968045	-0.2446	9743	9984
771	488	507	-0.2151	9980	9848
572	488	502	0.9881	9996	9994
4294968191	497	514	-0.1204	9935	9457
574	483	507	-0.2006	9996	9789
781	481	504	-0.2131	9979	9956
8589935221	507	920	-0.1877	9925	9898
4294968230	481	494	-0.4110	9888	9952
896	490	504	0.2206	9960	9992
4294968052	497	920	0.1075	9892	9870
17179869911	514	4294968045	-0.3470	9718	9898
4294967773	507	514	-0.1577	9898	9979
4294967844	483	504	-0.4916	9944	9955
4294967832	495	502	-0.3254	9961	9919
806	495	497	0.0146	9976	9888
585	494	495	-0.3685	9995	9895
586	479	495	-0.2749	9995	9949
716	479	504	-0.3144	9984	9958
4294967922	494	514	-0.0884	9966	9982
804	491	495	-0.2658	9976	9773
803	490	507	0.4042	9976	9906
959	491	514	-0.3617	9930	9903
754	481	490	-0.1100	9981	9737
593	479	498	-0.3994	9994	9964
933	494	920	-0.5971	9942	9970
