# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	8202.7324	0.4674	12001	0.4000	1,2,3	0.5000	27
507	9079.8613	-0.0219	12001	0.4000	3,3,2	0.5000	62
491	10310.4639	0.3222	12001	0.4000	1,0,0	0.5000	16
498	12406.4463	-0.0620	12001	0.4000	1,2,3	0.5000	27
479	19228.3711	0.4130	12001	0.4000	3,3,1	0.5000	61
4294968045	10703.8047	0.0414	11750	0.4000	2,0,2	0.5000	34
481	19062.0273	-0.0535	12001	0.4000	0,0,3	0.5000	3
502	19623.8281	0.4547	12001	0.4000	1,0,3	0.5000	19
483	11177.1328	-0.2872	12001	0.4000	2,0,3	0.5000	35
494	10570.2158	-0.2034	12001	0.4000	3,0,0	0.5000	48
495	11023.6475	0.4726	12001	0.4000	3,3,1	0.5000	61
497	23842.4668	-0.2828	12001	0.4000	2,3,3	0.5000	47
514	14744.3047	0.2637	12001	0.4000	1,2,3	0.5000	27
488	12979.3672	-0.0017	12001	0.4000	3,2,0	0.5000	56
920	10753.1104	-0.1601	11950	0.4000	2,2,0	0.5000	40
490	14708.7305	0.2411	12001	0.4000	2,0,2	0.5000	34
25769804326	17830.8984	0.2168	11400	0.4000	1,1,1	0.5000	21
8589935137	10071.1602	0.1819	11450	0.4000	3,0,1	0.5000	49
4294968271	3110.4902	-0.2309	11100	0.4000	1,3,3	0.5000	31
8589935540	12530.7207	0.4051	10750	0.4000	2,3,2	0.5000	46
38654706913	7895.7817	0.1899	6300	0.4000	2,0,2	0.5000	34
12884902774	15970.7715	0.2405	10950	0.4000	1,0,0	0.5000	16
25769804477	3749.9822	-0.2291	10300	0.4000	1,0,0	0.5000	16
38654706359	7296.0811	-0.1354	9850	0.4000	2,2,2	0.5000	42
8589935456	4371.9932	0.0569	10100	0.4000	2,2,1	0.5000	41
42949673775	15173.7500	0.0602	9900	0.4000	2,0,3	0.5000	35
38654706279	2419.8210	0.1255	8600	0.4000	3,3,3	0.5000	63
25769804691	9310.5332	0.3384	8750	0.4000	0,3,3	0.5000	15
8589935143	10379.1055	-0.1563	8650	0.4000	2,3,3	0.5000	47
64424510384	6961.0732	0.4013	8550	0.4000	1,3,2	0.5000	30
4294968287	13501.7031	-0.2790	8200	0.4000	3,2,0	0.5000	56
4294968326	3372.9575	0.0152	8250	0.4000	0,0,2	0.5000	2
8589935579	4653.9189	0.3661	7950	0.4000	2,2,3	0.5000	43
12884902933	4432.1240	0.4188	7650	0.4000	3,3,1	0.5000	61
8589935710	10278.0996	-0.2739	7700	0.4000	1,1,0	0.5000	20
21474837934	4624.2314	0.3208	2900	0.4000	3,1,3	0.5000	55
8589935758	4240.8164	0.0933	7300	0.4000	1,2,2	0.5000	26
21474837726	6024.8945	0.4745	6000	0.4000	3,0,1	0.5000	49
34359739641	4032.2239	0.3987	5050	0.4000	2,2,1	0.5000	41
51539608967	250.2444	-0.1250	600	0.4000	0,3,2	0.5000	14
90194314476	1007.8659	0.3241	1700	0.4000	0,1,2	0.5000	6
4294968842	58.7558	0.0207	100	0.4000	1,0,2	0.5000	18
51539608560	195.2695	0.3392	650	0.4000	3,0,2	0.5000	50
107374183098	104.8518	-0.0329	250	0.4000	3,0,2	0.5000	50
85899347324	79.7154	0.0097	50	0.4000	1,1,2	0.5000	22

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.1622	11748	11938
4294967988	491	4294968045	-0.3955	11749	11854
4294968267	491	497	-0.1401	11918	11860
4294968187	504	4294968045	0.9279	11749	11979
4294968158	494	498	0.0270	11937	11967
8589935077	481	507	-0.2170	11852	11852
12884902855	483	4294968045	-0.4805	11654	11973
831	495	504	-0.1286	11974	11922
900	494	504	-0.3404	11957	11958
977	504	920	-0.3454	11926	11794
8589935352	507	4294968045	-0.0872	11677	11881
12884902723	488	4294968045	0.0613	11721	11844
769	488	504	0.9861	11980	11993
4294968146	491	920	-0.2873	11887	11978
4294967807	502	507	0.1351	11911	11960
8589935197	479	497	0.9980	11946	11999
531	481	514	-0.3135	11999	11979
8589935230	481	4294968045	0.9569	11689	11978
4294968008	497	502	-0.6279	11850	11947
12884902400	920	4294968045	-0.2792	11660	11975
535	490	502	0.9861	11999	11993
12884902388	479	4294968045	-0.2369	11722	11997
12884902389	494	4294968045	-0.5380	11664	11979
4294968075	481	491	0.9960	11879	11998
4294968037	483	514	-0.5213	11891	11950
17179869981	498	4294968045	-0.3742	11731	11928
4294967981	495	514	-0.2112	11870	11911
890	479	491	-0.3277	11964	11926
12884902621	498	920	-0.4739	11880	11906
4294968064	479	514	-0.2736	11913	11998
666	479	507	0.9900	11989	11995
546	483	495	-0.1036	11998	11952
4294967973	483	497	0.9646	11962	11982
653	504	514	-0.3303	11990	11867
792	483	488	-0.4269	11977	11954
735	498	507	-0.3008	11983	11758
4294967969	488	514	0.6721	11918	11950
665	497	504	-0.2141	11989	11899
778	498	514	-0.2769	11979	11965
4294968128	491	504	-0.3234	11854	11985
976	481	920	-0.1588	11926	11987
802	488	498	-0.2632	11976	11851
759	502	504	-0.3339	11981	11931
4294968007	495	920	-0.3321	11882	11924
869	487	491	-0.0000	11969	31
966	490	498	0.7810	11929	11988
17179870054	497	4294968045	-0.1518	11674	11769
775	483	490	-0.4271	11979	11943
765	491	507	0.9809	11980	11999
4294968132	479	481	-0.4172	11855	11890
8589935390	479	920	-0.2931	11916	11626
8589935306	483	920	-0.1536	11882	11764
8589935085	483	502	0.8593	11895	11988
568	481	488	-0.3314	11996	11876
4294968179	488	495	0.1065	11857	11909
12884902725	495	4294968045	-0.1934	11743	11982
771	488	507	-0.3745	11980	11953
572	488	502	0.8848	11996	11943
4294968191	497	514	-0.0823	11935	11864
574	483	507	-0.2344	11996	11940
781	481	504	-0.0650	11979	11908
8589935221	507	920	-0.5383	11925	11858
4294968230	481	494	-0.4904	11888	11925
896	490	504	0.0149	11960	11865
4294968052	497	920	-0.5287	11892	11999
17179869911	514	4294968045	-0.1900	11718	11933
4294967773	507	514	-0.3882	11898	11998
4294967844	483	504	-0.1801	11944	11911
4294967832	495	502	-0.0491	11961	11816
806	495	497	0.1944	11976	11941
585	494	495	-0.1114	11995	11907
586	479	495	-0.5015	11995	11940
716	479	504	-0.3066	11984	11930
4294967922	494	514	-0.4681	11966	11946
804	491	495	0.0192	11976	11948
803	490	507	0.2615	11976	11903
959	491	514	-0.0885	11930	11743
754	481	490	-0.1262	11981	11892
593	479	498	-0.3772	11994	11945
933	494	920	-0.5198	11942	12000
8589935134	490	494	0.9072	11946	11992
910	481	495	0.9920	11955	11996
855	498	504	-0.3969	11971	11982
598	494	507	-0.2671	11994	11990
599	495	507	-0.3774	11994	11943
917	483	498	-0.2751	11950	11654
