# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	11240.7324	0.4674	14001	0.4000	1,2,3	0.5000	27
507	10652.8613	-0.0219	14001	0.4000	3,3,2	0.5000	62
491	14481.4639	0.3222	14001	0.4000	1,0,0	0.5000	16
498	11671.4463	-0.0620	14001	0.4000	1,2,3	0.5000	27
479	19645.3711	0.4130	14001	0.4000	3,3,1	0.5000	61
4294968045	12027.8047	0.0414	13750	0.4000	2,0,2	0.5000	34
481	21689.0273	-0.0535	14001	0.4000	0,0,3	0.5000	3
502	22382.8281	0.4547	14001	0.4000	1,0,3	0.5000	19
483	11689.1328	-0.2872	14001	0.4000	2,0,3	0.5000	35
494	12728.2158	-0.2034	14001	0.4000	3,0,0	0.5000	48
495	12452.6475	0.4726	14001	0.4000	3,3,1	0.5000	61
497	25675.4668	-0.2828	14001	0.4000	2,3,3	0.5000	47
514	15304.3047	0.2637	14001	0.4000	1,2,3	0.5000	27
488	15907.3672	-0.0017	14001	0.4000	3,2,0	0.5000	56
920	10820.1104	-0.1601	13950	0.4000	2,2,0	0.5000	40
490	16617.7305	0.2411	14001	0.4000	2,0,2	0.5000	34
25769804326	19167.8984	0.2168	13400	0.4000	1,1,1	0.5000	21
8589935137	11357.1602	0.1819	13450	0.4000	3,0,1	0.5000	49
4294968271	3909.4902	-0.2309	13100	0.4000	1,3,3	0.5000	31
8589935540	12667.7207	0.4051	12750	0.4000	2,3,2	0.5000	46
38654706913	9540.7812	0.1899	8300	0.4000	2,0,2	0.5000	34
12884902774	18240.7715	0.2405	12950	0.4000	1,0,0	0.5000	16
25769804477	5487.9824	-0.2291	12300	0.4000	1,0,0	0.5000	16
38654706359	6511.0811	-0.1354	11850	0.4000	2,2,2	0.5000	42
8589935456	4599.9932	0.0569	12100	0.4000	2,2,1	0.5000	41
42949673775	17304.7500	0.0602	11900	0.4000	2,0,3	0.5000	35
38654706279	2993.8210	0.1255	10600	0.4000	3,3,3	0.5000	63
25769804691	10122.5332	0.3384	10750	0.4000	0,3,3	0.5000	15
8589935143	11382.1055	-0.1563	10650	0.4000	2,3,3	0.5000	47
64424510384	6932.0732	0.4013	10550	0.4000	1,3,2	0.5000	30
4294968287	16624.7031	-0.2790	10200	0.4000	3,2,0	0.5000	56
4294968326	3949.9575	0.0152	10250	0.4000	0,0,2	0.5000	2
8589935579	5923.9189	0.3661	9950	0.4000	2,2,3	0.5000	43
12884902933	6064.1240	0.4188	9650	0.4000	3,3,1	0.5000	61
8589935710	9580.0996	-0.2739	9700	0.4000	1,1,0	0.5000	20
21474837934	9355.2314	0.3208	4900	0.4000	3,1,3	0.5000	55
8589935758	3246.8164	0.0933	9300	0.4000	1,2,2	0.5000	26
21474837726	7348.8945	0.4745	8000	0.4000	3,0,1	0.5000	49
34359739641	6679.2236	0.3987	7050	0.4000	2,2,1	0.5000	41
51539608967	2682.2444	-0.1250	2600	0.4000	0,3,2	0.5000	14
90194314476	2982.8660	0.3241	3700	0.4000	0,1,2	0.5000	6
42949674497	83.2906	0.1236	250	0.4000	0,3,1	0.5000	13
51539608560	2003.2695	0.3392	2650	0.4000	3,0,2	0.5000	50
34359739907	61.2065	0.4712	50	0.4000	3,1,1	0.5000	53
60129543671	38.8092	0.3036	200	0.4000	1,1,2	0.5000	22

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.2024	13748	13803
4294967988	491	4294968045	-0.3704	13749	13870
4294968267	491	497	-0.3011	13918	13924
4294968187	504	4294968045	0.5341	13749	13982
4294968158	494	498	-0.4946	13937	13842
8589935077	481	507	-0.0599	13852	13704
12884902855	483	4294968045	-0.0227	13654	13962
831	495	504	-0.3088	13974	13935
900	494	504	-0.4946	13957	13995
977	504	920	-0.5946	13926	13941
8589935352	507	4294968045	-0.3926	13677	13830
12884902723	488	4294968045	-0.0666	13721	13983
769	488	504	0.3344	13980	13976
4294968146	491	920	-0.0697	13887	13894
4294967807	502	507	-0.0291	13911	13913
8589935197	479	497	0.8564	13946	13993
531	481	514	-0.5346	13999	13972
8589935230	481	4294968045	0.4435	13689	13996
4294968008	497	502	-0.4256	13850	13951
12884902400	920	4294968045	-0.3086	13660	13860
535	490	502	0.9940	13999	13997
12884902388	479	4294968045	-0.0758	13722	13929
12884902389	494	4294968045	-0.2914	13664	13766
4294968075	481	491	0.9821	13879	13991
4294968037	483	514	-0.2325	13891	13954
17179869981	498	4294968045	-0.5030	13731	13889
4294967981	495	514	-0.4221	13870	13987
890	479	491	-0.3369	13964	13775
12884902621	498	920	-0.3903	13880	13907
4294968064	479	514	-0.3821	13913	13914
666	479	507	0.8982	13989	13969
546	483	495	-0.2719	13998	13916
4294967973	483	497	-0.4207	13962	13848
653	504	514	-0.4281	13990	13847
792	483	488	-0.2902	13977	13977
735	498	507	-0.2500	13983	13858
4294967969	488	514	0.6040	13918	13987
665	497	504	-0.4029	13989	13905
778	498	514	-0.0718	13979	13890
4294968128	491	504	-0.2109	13854	13953
976	481	920	-0.5062	13926	13981
802	488	498	-0.5194	13976	13894
759	502	504	-0.5013	13981	13882
4294968007	495	920	-0.2344	13882	13969
869	487	491	-0.0000	13969	31
966	490	498	-0.3805	13929	13804
17179870054	497	4294968045	-0.3548	13674	13979
775	483	490	-0.5145	13979	13939
765	491	507	0.8670	13980	13988
4294968132	479	481	-0.6774	13855	13986
8589935390	479	920	-0.3118	13916	13923
8589935306	483	920	-0.5630	13882	13900
8589935085	483	502	-0.2287	13895	13961
568	481	488	-0.2060	13996	13949
4294968179	488	495	-0.2071	13857	13957
12884902725	495	4294968045	-0.1192	13743	13645
771	488	507	-0.4654	13980	13953
572	488	502	0.9782	13996	13989
4294968191	497	514	-0.3800	13935	13949
574	483	507	-0.3242	13996	13983
781	481	504	-0.5981	13979	13973
8589935221	507	920	-0.4624	13925	13962
4294968230	481	494	-0.2056	13888	13987
896	490	504	0.1412	13960	13933
4294968052	497	920	-0.3474	13892	13976
17179869911	514	4294968045	-0.3806	13718	13891
4294967773	507	514	-0.2009	13898	13891
4294967844	483	504	-0.3219	13944	13879
4294967832	495	502	0.8364	13961	13988
806	495	497	-0.3194	13976	13959
585	494	495	0.1576	13995	13960
586	479	495	-0.1647	13995	13987
716	479	504	-0.3749	13984	13938
4294967922	494	514	-0.1291	13966	13948
804	491	495	0.6628	13976	13970
803	490	507	-0.0372	13976	13914
959	491	514	-0.4317	13930	13998
754	481	490	-0.3051	13981	13913
593	479	498	-0.2511	13994	13706
933	494	920	-0.5009	13942	13972
8589935134	490	494	-0.1000	13946	13866
910	481	495	0.9940	13955	13997
855	498	504	-0.1543	13971	13951
598	494	507	0.1641	13994	13893
599	495	507	-0.3065	13994	13955
917	483	498	-0.6364	13950	13945
4294968013	490	514	0.0145	13946	13998
4294968101	483	494	-0.1245	13890	13979
930	514	920	-0.6185	13942	13951
8589935479	479	494	-0.2753	13925	13776
943	504	507	-0.1342	13940	13409
942	491	494	-0.0918	13940	13901
787	481	498	-0.1757	13978	13962
4294968090	491	498	-0.2766	13954	13853
885	490	497	-0.3656	13965	13990
963	481	502	-0.6562	13929	13949
12884902552	497	507	0.8570	13938	13990
612	488	490	0.9724	13993	13986
747	495	498	-0.3760	13982	13897
880	479	483	-0.4096	13965	13860
941	488	920	-0.4395	13940	13966
940	488	494	-0.4487	13940	13984
4294967977	479	490	-0.3425	13935	13912
873	491	502	-0.2251	13969	13910
795	494	502	0.1225	13977	13944
812	481	483	0.7263	13975	13985
4294968168	498	502	-0.4573	13952	13839
4294968087	488	497	-0.1602	13937	13786
974	483	491	-0.2992	13926	13949
4294967900	494	497	-0.4742	13962	13992
8589935203	490	920	-0.2969	13919	13885
908	483	486	-0.0000	13955	45
627	490	491	-0.6437	13992	13968
705	481	497	-0.2050	13986	13911
893	479	502	-0.2725	13961	13946
720	479	488	-0.3546	13984	13991
4294968140	488	491	-0.2191	13968	13722
905	497	498	-0.2879	13956	13985
4294968227	502	920	-0.2660	13920	13771
4294968253	490	495	-0.3640	13916	13882
4294967839	502	514	0.9782	13957	13989
8589935445	502	4294968045	-0.4230	13720	13947
8589935112	502	25769804326	-0.1706	13384	13995
8589935188	490	8589935137	-0.3358	13385	13780
4294968039	498	25769804326	0.9920	13385	13996
8589935459	514	25769804326	-0.1126	13387	13971
4294968269	494	25769804326	-0.3974	13388	13939
8589935169	507	25769804326	-0.1921	13389	13756
12884902695	502	8589935137	-0.3154	13434	13921
4294967954	497	25769804326	0.6572	13396	13994
4294967776	481	25769804326	-0.3576	13396	13968
4294967814	490	25769804326	-0.5668	13398	13920
25769804623	507	8589935137	-0.2382	13429	13990
12884902799	504	25769804326	-0.3281	13398	13924
21474837378	4294968045	8589935137	-0.3072	13413	13791
21474837358	481	8589935137	-0.2660	13429	13880
21474837308	488	8589935137	0.5328	13419	13985
30064771619	920	8589935137	-0.5967	13448	13943
21474837412	491	8589935137	-0.2688	13445	13848
21474837260	497	8589935137	-0.3630	13443	13904
17179869694	495	8589935137	-0.0960	13441	13912
12884902740	514	8589935137	-0.1404	13439	13868
12884902733	504	8589935137	-0.2743	13438	13955
12884902609	479	8589935137	-0.0702	13438	13986
17179869957	494	8589935137	-0.4760	13437	13994
17179870045	498	8589935137	0.0512	13435	13847
12884902633	495	25769804326	-0.3102	13383	13855
8589935241	920	25769804326	-0.1761	13383	13931
8589935544	4294968045	25769804326	-0.4255	13381	13918
25769804586	8589935137	25769804326	-0.5292	13376	13939
21474836969	483	25769804326	-0.4196	13375	13978
17179869802	491	25769804326	-0.3747	13374	13838
21474837037	488	25769804326	0.9569	13367	13978
21474837237	479	25769804326	-0.3626	13353	13990
4294967876	481	34359739153	-0.0000	13316	684
38654706449	483	8589935137	0.0325	13305	13958
4294967834	514	8589935540	-0.6742	12746	13980
4294968054	479	4294968271	-0.3347	13087	13820
4294968202	4294968045	4294968271	-0.1510	13085	13934
8589935268	920	4294968271	-0.4535	13083	13865
8589935101	494	4294968271	-0.3212	13096	13894
4294967953	497	4294968271	-0.4759	13079	13829
