# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	12929.7324	0.4674	16001	0.4000	1,2,3	0.5000	27
507	12530.8613	-0.0219	16001	0.4000	3,3,2	0.5000	62
491	17081.4648	0.3222	16001	0.4000	1,0,0	0.5000	16
498	12301.4463	-0.0620	16001	0.4000	1,2,3	0.5000	27
479	18614.3711	0.4130	16001	0.4000	3,3,1	0.5000	61
4294968045	12033.8047	0.0414	15750	0.4000	2,0,2	0.5000	34
481	24396.0273	-0.0535	16001	0.4000	0,0,3	0.5000	3
502	25845.8281	0.4547	16001	0.4000	1,0,3	0.5000	19
483	11214.1328	-0.2872	16001	0.4000	2,0,3	0.5000	35
494	14866.2158	-0.2034	16001	0.4000	3,0,0	0.5000	48
495	15061.6475	0.4726	16001	0.4000	3,3,1	0.5000	61
497	26948.4668	-0.2828	16001	0.4000	2,3,3	0.5000	47
514	15770.3047	0.2637	16001	0.4000	1,2,3	0.5000	27
488	17500.3672	-0.0017	16001	0.4000	3,2,0	0.5000	56
920	11391.1104	-0.1601	15950	0.4000	2,2,0	0.5000	40
490	16823.7305	0.2411	16001	0.4000	2,0,2	0.5000	34
25769804326	19442.8984	0.2168	15400	0.4000	1,1,1	0.5000	21
8589935137	11574.1602	0.1819	15450	0.4000	3,0,1	0.5000	49
4294968271	6235.4902	-0.2309	15100	0.4000	1,3,3	0.5000	31
8589935540	11280.7207	0.4051	14750	0.4000	2,3,2	0.5000	46
38654706913	8508.7812	0.1899	10300	0.4000	2,0,2	0.5000	34
12884902774	20636.7715	0.2405	14950	0.4000	1,0,0	0.5000	16
25769804477	7532.9824	-0.2291	14300	0.4000	1,0,0	0.5000	16
38654706359	5224.0811	-0.1354	13850	0.4000	2,2,2	0.5000	42
8589935456	4152.9932	0.0569	14100	0.4000	2,2,1	0.5000	41
42949673775	19944.7500	0.0602	13900	0.4000	2,0,3	0.5000	35
38654706279	3397.8210	0.1255	12600	0.4000	3,3,3	0.5000	63
25769804691	11748.5332	0.3384	12750	0.4000	0,3,3	0.5000	15
8589935143	12731.1055	-0.1563	12650	0.4000	2,3,3	0.5000	47
64424510384	7084.0732	0.4013	12550	0.4000	1,3,2	0.5000	30
4294968287	19566.7031	-0.2790	12200	0.4000	3,2,0	0.5000	56
4294968326	4469.9575	0.0152	12250	0.4000	0,0,2	0.5000	2
8589935579	4883.9189	0.3661	11950	0.4000	2,2,3	0.5000	43
12884902933	7469.1240	0.4188	11650	0.4000	3,3,1	0.5000	61
8589935710	8241.0996	-0.2739	11700	0.4000	1,1,0	0.5000	20
21474837934	13073.2314	0.3208	6900	0.4000	3,1,3	0.5000	55
8589935758	1939.8164	0.0933	11300	0.4000	1,2,2	0.5000	26
21474837726	8036.8945	0.4745	10000	0.4000	3,0,1	0.5000	49
34359739641	8144.2236	0.3987	9050	0.4000	2,2,1	0.5000	41
51539608967	3583.2444	-0.1250	4600	0.4000	0,3,2	0.5000	14
90194314476	5443.8662	0.3241	5700	0.4000	0,1,2	0.5000	6
94489282015	72.6459	0.1948	200	0.4000	1,2,1	0.5000	25
51539608560	5013.2695	0.3392	4650	0.4000	3,0,2	0.5000	50
34359739907	2625.2065	0.4712	2050	0.4000	3,1,1	0.5000	53
73014445482	1385.0361	0.0804	1900	0.4000	3,1,2	0.5000	54
98784249284	133.9327	-0.1979	250	0.4000	1,0,3	0.5000	19
42949674575	68.7896	-0.2082	100	0.4000	1,2,0	0.5000	24
90194314771	48.7770	0.2556	50	0.4000	2,1,3	0.5000	39

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.5618	15748	15909
4294967988	491	4294968045	-0.2808	15749	15928
4294968267	491	497	-0.5062	15918	15974
4294968187	504	4294968045	-0.3012	15749	15994
4294968158	494	498	-0.3919	15937	15976
8589935077	481	507	0.7951	15852	15947
12884902855	483	4294968045	-0.4879	15654	15995
831	495	504	-0.1420	15974	15824
900	494	504	-0.5635	15957	15882
977	504	920	-0.3045	15926	15959
8589935352	507	4294968045	-0.0639	15677	15966
12884902723	488	4294968045	-0.3139	15721	15808
769	488	504	-0.1402	15980	15970
4294968146	491	920	-0.3008	15887	15715
4294967807	502	507	0.9980	15911	15999
8589935197	479	497	-0.3806	15946	15976
531	481	514	-0.3738	15999	15963
8589935230	481	4294968045	0.8930	15689	15995
4294968008	497	502	0.3090	15850	15996
12884902400	920	4294968045	-0.2400	15660	15966
535	490	502	0.9861	15999	15993
12884902388	479	4294968045	-0.3974	15722	15796
12884902389	494	4294968045	-0.1523	15664	15991
4294968075	481	491	0.9685	15879	15984
4294968037	483	514	-0.0283	15891	15929
17179869981	498	4294968045	-0.2426	15731	15772
4294967981	495	514	-0.0571	15870	15977
890	479	491	-0.4593	15964	15904
12884902621	498	920	-0.3161	15880	15849
4294968064	479	514	-0.4277	15913	15770
666	479	507	-0.3912	15989	15859
546	483	495	-0.2316	15998	15980
4294967973	483	497	-0.2405	15962	15874
653	504	514	-0.3669	15990	15956
792	483	488	-0.2943	15977	15901
735	498	507	0.0164	15983	15969
4294967969	488	514	0.2298	15918	15984
665	497	504	-0.1347	15989	15902
778	498	514	-0.0740	15979	15926
4294968128	491	504	-0.2260	15854	15917
976	481	920	-0.3730	15926	15825
802	488	498	-0.4042	15976	15960
759	502	504	-0.3108	15981	15897
4294968007	495	920	0.9646	15882	15982
869	487	491	-0.0000	15969	31
966	490	498	0.1984	15929	15931
17179870054	497	4294968045	-0.4988	15674	15940
775	483	490	-0.2545	15979	15555
765	491	507	-0.0381	15980	15919
4294968132	479	481	-0.2601	15855	15622
8589935390	479	920	-0.2984	15916	15796
8589935306	483	920	-0.4543	15882	15917
8589935085	483	502	-0.1097	15895	15859
568	481	488	-0.1893	15996	15953
4294968179	488	495	0.0141	15857	15826
12884902725	495	4294968045	-0.2674	15743	15911
771	488	507	-0.2190	15980	15851
572	488	502	0.9743	15996	15987
4294968191	497	514	-0.3355	15935	15918
574	483	507	-0.4651	15996	15968
781	481	504	-0.3477	15979	15926
8589935221	507	920	-0.2523	15925	15814
4294968230	481	494	0.9724	15888	15986
896	490	504	-0.2968	15960	15729
4294968052	497	920	0.7927	15892	15998
17179869911	514	4294968045	-0.3486	15718	15958
4294967773	507	514	-0.1331	15898	15896
4294967844	483	504	-0.4903	15944	15990
4294967832	495	502	0.4459	15961	15961
806	495	497	-0.2102	15976	15897
585	494	495	-0.0325	15995	15898
586	479	495	-0.2627	15995	15803
716	479	504	0.8306	15984	15961
4294967922	494	514	-0.3207	15966	15937
804	491	495	-0.0711	15976	15953
803	490	507	-0.2878	15976	15786
959	491	514	-0.3608	15930	15971
754	481	490	-0.2866	15981	15646
593	479	498	-0.3483	15994	15925
933	494	920	-0.5609	15942	15966
8589935134	490	494	-0.5887	15946	15907
910	481	495	0.9704	15955	15985
855	498	504	-0.4174	15971	15920
598	494	507	-0.1930	15994	15902
599	495	507	-0.2091	15994	15963
917	483	498	-0.3252	15950	15985
4294968013	490	514	-0.1693	15946	15760
4294968101	483	494	-0.2867	15890	15870
930	514	920	-0.0896	15942	15969
8589935479	479	494	-0.5353	15925	15947
943	504	507	0.0201	15940	15974
