# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	15245.7324	0.4674	18001	0.4000	1,2,3	0.5000	27
507	13476.8613	-0.0219	18001	0.4000	3,3,2	0.5000	62
491	18715.4648	0.3222	18001	0.4000	1,0,0	0.5000	16
498	14247.4463	-0.0620	18001	0.4000	1,2,3	0.5000	27
479	19324.3711	0.4130	18001	0.4000	3,3,1	0.5000	61
4294968045	13667.8047	0.0414	17750	0.4000	2,0,2	0.5000	34
481	27095.0273	-0.0535	18001	0.4000	0,0,3	0.5000	3
502	28467.8281	0.4547	18001	0.4000	1,0,3	0.5000	19
483	10680.1328	-0.2872	18001	0.4000	2,0,3	0.5000	35
494	17663.2148	-0.2034	18001	0.4000	3,0,0	0.5000	48
495	18243.6484	0.4726	18001	0.4000	3,3,1	0.5000	61
497	28966.4668	-0.2828	18001	0.4000	2,3,3	0.5000	47
514	16885.3047	0.2637	18001	0.4000	1,2,3	0.5000	27
488	20155.3672	-0.0017	18001	0.4000	3,2,0	0.5000	56
920	12931.1104	-0.1601	17950	0.4000	2,2,0	0.5000	40
490	16589.7305	0.2411	18001	0.4000	2,0,2	0.5000	34
25769804326	19616.8984	0.2168	17400	0.4000	1,1,1	0.5000	21
8589935137	11272.1602	0.1819	17450	0.4000	3,0,1	0.5000	49
4294968271	9209.4902	-0.2309	17100	0.4000	1,3,3	0.5000	31
8589935540	10842.7207	0.4051	16750	0.4000	2,3,2	0.5000	46
38654706913	6319.7812	0.1899	12300	0.4000	2,0,2	0.5000	34
12884902774	22712.7715	0.2405	16950	0.4000	1,0,0	0.5000	16
25769804477	9797.9824	-0.2291	16300	0.4000	1,0,0	0.5000	16
38654706359	4369.0811	-0.1354	15850	0.4000	2,2,2	0.5000	42
8589935456	5710.9932	0.0569	16100	0.4000	2,2,1	0.5000	41
42949673775	21674.7500	0.0602	15900	0.4000	2,0,3	0.5000	35
38654706279	5448.8213	0.1255	14600	0.4000	3,3,3	0.5000	63
25769804691	14004.5332	0.3384	14750	0.4000	0,3,3	0.5000	15
8589935143	13874.1055	-0.1563	14650	0.4000	2,3,3	0.5000	47
64424510384	7015.0732	0.4013	14550	0.4000	1,3,2	0.5000	30
4294968287	22154.7031	-0.2790	14200	0.4000	3,2,0	0.5000	56
4294968326	3744.9575	0.0152	14250	0.4000	0,0,2	0.5000	2
8589935579	5181.9189	0.3661	13950	0.4000	2,2,3	0.5000	43
12884902933	8121.1240	0.4188	13650	0.4000	3,3,1	0.5000	61
8589935710	8436.0996	-0.2739	13700	0.4000	1,1,0	0.5000	20
21474837934	14257.2314	0.3208	8900	0.4000	3,1,3	0.5000	55
38654707359	85.8226	0.3943	50	0.4000	2,2,2	0.5000	42
21474837726	8172.8945	0.4745	12000	0.4000	3,0,1	0.5000	49
34359739641	9141.2236	0.3987	11050	0.4000	2,2,1	0.5000	41
51539608967	5868.2441	-0.1250	6600	0.4000	0,3,2	0.5000	14
90194314476	7948.8662	0.3241	7700	0.4000	0,1,2	0.5000	6
94489282015	168.6459	0.1948	2200	0.4000	1,2,1	0.5000	25
51539608560	7466.2695	0.3392	6650	0.4000	3,0,2	0.5000	50
34359739907	6231.2065	0.4712	4050	0.4000	3,1,1	0.5000	53
73014445482	2760.0361	0.0804	3900	0.4000	3,1,2	0.5000	54
98784249284	1986.9326	-0.1979	2250	0.4000	1,0,3	0.5000	19
137438955029	2.0078	0.2309	100	0.4000	3,3,1	0.5000	61

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.4192	17748	17972
4294967988	491	4294968045	0.0810	17749	17809
4294968267	491	497	-0.3407	17918	17673
4294968187	504	4294968045	-0.4154	17749	17939
4294968158	494	498	-0.4633	17937	17990
8589935077	481	507	-0.1796	17852	17974
12884902855	483	4294968045	-0.3823	17654	17963
831	495	504	-0.3283	17974	17931
900	494	504	0.0382	17957	17926
977	504	920	-0.3040	17926	17887
8589935352	507	4294968045	-0.1119	17677	17736
12884902723	488	4294968045	-0.2433	17721	17770
769	488	504	-0.4254	17980	17911
4294968146	491	920	-0.0674	17887	17860
4294967807	502	507	0.9704	17911	17985
8589935197	479	497	-0.2692	17946	17971
531	481	514	-0.5652	17999	17986
8589935230	481	4294968045	0.9980	17689	17999
4294968008	497	502	-0.5474	17850	17851
12884902400	920	4294968045	-0.5534	17660	17994
535	490	502	0.9980	17999	17999
12884902388	479	4294968045	-0.2769	17722	17610
12884902389	494	4294968045	-0.1759	17664	18000
4294968075	481	491	0.9821	17879	17991
4294968037	483	514	-0.5566	17891	17975
17179869981	498	4294968045	-0.0624	17731	17716
4294967981	495	514	-0.3083	17870	17869
890	479	491	-0.1729	17964	17910
12884902621	498	920	-0.1665	17880	17915
4294968064	479	514	-0.2743	17913	17853
666	479	507	-0.3106	17989	17858
546	483	495	-0.1197	17998	17886
4294967973	483	497	-0.3916	17962	17880
653	504	514	0.9881	17990	17994
792	483	488	-0.2524	17977	17986
735	498	507	-0.3349	17983	17984
4294967969	488	514	0.1047	17918	17988
665	497	504	-0.3230	17989	17961
778	498	514	-0.2491	17979	17907
4294968128	491	504	-0.2583	17854	17937
976	481	920	-0.4106	17926	17931
802	488	498	-0.3627	17976	17998
759	502	504	-0.2512	17981	17853
4294968007	495	920	0.8519	17882	17977
869	487	491	-0.0000	17969	31
966	490	498	0.9588	17929	17979
17179870054	497	4294968045	-0.3162	17674	17982
775	483	490	-0.2818	17979	17869
765	491	507	-0.3569	17980	17911
4294968132	479	481	-0.1136	17855	17903
8589935390	479	920	-0.1658	17916	17805
8589935306	483	920	-0.3047	17882	17864
8589935085	483	502	-0.2274	17895	17966
568	481	488	0.1568	17996	17964
4294968179	488	495	-0.1605	17857	17802
12884902725	495	4294968045	-0.4970	17743	17971
771	488	507	-0.0216	17980	17965
572	488	502	-0.1506	17996	17558
4294968191	497	514	-0.1652	17935	17979
574	483	507	-0.1064	17996	17907
781	481	504	-0.3899	17979	17947
8589935221	507	920	-0.0270	17925	17912
4294968230	481	494	0.9704	17888	17985
896	490	504	-0.4530	17960	17978
4294968052	497	920	-0.2964	17892	18000
17179869911	514	4294968045	-0.0786	17718	17999
4294967773	507	514	-0.5958	17898	17936
4294967844	483	504	-0.1163	17944	17935
4294967832	495	502	0.8589	17961	17999
806	495	497	-0.3672	17976	17927
585	494	495	-0.1605	17995	17939
586	479	495	-0.4527	17995	17902
716	479	504	0.9608	17984	17980
4294967922	494	514	-0.1342	17966	17903
804	491	495	-0.1433	17976	17944
803	490	507	0.0163	17976	17943
959	491	514	-0.3001	17930	17795
754	481	490	1.0000	17981	18000
593	479	498	0.0919	17994	17922
933	494	920	0.9940	17942	17997
8589935134	490	494	-0.1539	17946	17994
910	481	495	0.9940	17955	17997
855	498	504	0.9323	17971	17965
598	494	507	-0.3352	17994	17952
599	495	507	-0.4586	17994	17873
917	483	498	-0.3721	17950	17862
4294968013	490	514	-0.3572	17946	17924
4294968101	483	494	-0.5368	17890	17973
930	514	920	-0.3170	17942	17920
8589935479	479	494	-0.5013	17925	17985
