# tick 20000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	17444.7324	0.4674	20001	0.4000	1,2,3	0.5000	27
507	13759.8613	-0.0219	20001	0.4000	3,3,2	0.5000	62
491	19752.4648	0.3222	20001	0.4000	1,0,0	0.5000	16
498	17044.4453	-0.0620	20001	0.4000	1,2,3	0.5000	27
479	20309.3711	0.4130	20001	0.4000	3,3,1	0.5000	61
4294968045	14742.8047	0.0414	19750	0.4000	2,0,2	0.5000	34
481	27771.0273	-0.0535	20001	0.4000	0,0,3	0.5000	3
502	30098.8281	0.4547	20001	0.4000	1,0,3	0.5000	19
483	11141.1328	-0.2872	20001	0.4000	2,0,3	0.5000	35
494	19973.2148	-0.2034	20001	0.4000	3,0,0	0.5000	48
495	21666.6484	0.4726	20001	0.4000	3,3,1	0.5000	61
497	31874.4668	-0.2828	20001	0.4000	2,3,3	0.5000	47
514	16368.3047	0.2637	20001	0.4000	1,2,3	0.5000	27
488	21001.3672	-0.0017	20001	0.4000	3,2,0	0.5000	56
920	14324.1104	-0.1601	19950	0.4000	2,2,0	0.5000	40
490	16676.7305	0.2411	20001	0.4000	2,0,2	0.5000	34
25769804326	18909.8984	0.2168	19400	0.4000	1,1,1	0.5000	21
8589935137	12059.1602	0.1819	19450	0.4000	3,0,1	0.5000	49
4294968271	11564.4902	-0.2309	19100	0.4000	1,3,3	0.5000	31
8589935540	11241.7207	0.4051	18750	0.4000	2,3,2	0.5000	46
38654706913	4834.7812	0.1899	14300	0.4000	2,0,2	0.5000	34
12884902774	24000.7715	0.2405	18950	0.4000	1,0,0	0.5000	16
25769804477	12632.9824	-0.2291	18300	0.4000	1,0,0	0.5000	16
38654706359	4827.0811	-0.1354	17850	0.4000	2,2,2	0.5000	42
8589935456	6385.9932	0.0569	18100	0.4000	2,2,1	0.5000	41
42949673775	23106.7500	0.0602	17900	0.4000	2,0,3	0.5000	35
38654706279	8443.8213	0.1255	16600	0.4000	3,3,3	0.5000	63
25769804691	14992.5332	0.3384	16750	0.4000	0,3,3	0.5000	15
8589935143	13885.1055	-0.1563	16650	0.4000	2,3,3	0.5000	47
64424510384	5759.0732	0.4013	16550	0.4000	1,3,2	0.5000	30
4294968287	21999.7031	-0.2790	16200	0.4000	3,2,0	0.5000	56
4294968326	5937.9575	0.0152	16250	0.4000	0,0,2	0.5000	2
8589935579	4647.9189	0.3661	15950	0.4000	2,2,3	0.5000	43
12884902933	6818.1240	0.4188	15650	0.4000	3,3,1	0.5000	61
8589935710	8584.0996	-0.2739	15700	0.4000	1,1,0	0.5000	20
21474837934	15371.2314	0.3208	10900	0.4000	3,1,3	0.5000	55
171798692999	1501.3337	0.4534	1900	0.4000	3,0,1	0.5000	49
21474837726	8425.8945	0.4745	14000	0.4000	3,0,1	0.5000	49
34359739641	10974.2236	0.3987	13050	0.4000	2,2,1	0.5000	41
51539608967	8634.2441	-0.1250	8600	0.4000	0,3,2	0.5000	14
90194314476	10068.8662	0.3241	9700	0.4000	0,1,2	0.5000	6
94489282015	481.6459	0.1948	4200	0.4000	1,2,1	0.5000	25
51539608560	8038.2695	0.3392	8650	0.4000	3,0,2	0.5000	50
34359739907	7163.2065	0.4712	6050	0.4000	3,1,1	0.5000	53
73014445482	2830.0361	0.0804	5900	0.4000	3,1,2	0.5000	54
98784249284	3852.9326	-0.1979	4250	0.4000	1,0,3	0.5000	19
60129543354	67.1960	-0.0676	50	0.4000	3,2,2	0.5000	58

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	0.1160	19748	19975
4294967988	491	4294968045	-0.3600	19749	19892
4294968267	491	497	0.1675	19918	19962
4294968187	504	4294968045	-0.3144	19749	19716
4294968158	494	498	0.0996	19937	19900
8589935077	481	507	-0.6553	19852	19917
12884902855	483	4294968045	0.0010	19654	20000
831	495	504	-0.0975	19974	19954
900	494	504	-0.3507	19957	19937
977	504	920	-0.4472	19926	19980
8589935352	507	4294968045	-0.3438	19677	19834
12884902723	488	4294968045	-0.0506	19721	19993
769	488	504	-0.4835	19980	19948
4294968146	491	920	-0.1148	19887	19802
4294967807	502	507	1.0000	19911	20000
8589935197	479	497	-0.3683	19946	19924
531	481	514	-0.1335	19999	19880
8589935230	481	4294968045	0.9782	19689	19989
4294968008	497	502	-0.2408	19850	19930
12884902400	920	4294968045	-0.4162	19660	19898
535	490	502	0.1903	19999	19961
12884902388	479	4294968045	-0.3664	19722	19976
12884902389	494	4294968045	-0.2544	19664	19888
4294968075	481	491	0.7733	19879	19975
4294968037	483	514	-0.4592	19891	19949
17179869981	498	4294968045	-0.3004	19731	19932
4294967981	495	514	-0.2604	19870	19919
890	479	491	-0.1520	19964	19774
12884902621	498	920	0.1034	19880	19980
4294968064	479	514	-0.2194	19913	19981
666	479	507	-0.4447	19989	19991
546	483	495	-0.2746	19998	19803
4294967973	483	497	-0.1576	19962	19901
653	504	514	-0.2090	19990	19812
792	483	488	-0.4331	19977	19821
735	498	507	-0.2744	19983	19753
4294967969	488	514	-0.5262	19918	19921
665	497	504	-0.3877	19989	19997
778	498	514	0.8808	19979	19997
4294968128	491	504	-0.3210	19854	19941
976	481	920	1.0000	19926	20000
802	488	498	0.1360	19976	19920
759	502	504	0.0030	19981	19862
4294968007	495	920	0.8088	19882	19984
869	487	491	-0.0000	19969	31
966	490	498	0.5256	19929	19980
17179870054	497	4294968045	-0.2312	19674	19843
775	483	490	-0.0104	19979	19934
765	491	507	-0.3767	19980	19911
4294968132	479	481	-0.3993	19855	19900
8589935390	479	920	-0.4208	19916	19889
8589935306	483	920	-0.3975	19882	19969
8589935085	483	502	0.0917	19895	19952
568	481	488	-0.3594	19996	19895
4294968179	488	495	-0.0734	19857	19957
12884902725	495	4294968045	-0.3931	19743	19956
771	488	507	0.0076	19980	19994
572	488	502	-0.5364	19996	19969
4294968191	497	514	-0.2546	19935	19948
574	483	507	-0.3814	19996	19946
781	481	504	-0.4463	19979	19993
8589935221	507	920	-0.0817	19925	19947
4294968230	481	494	0.1853	19888	19884
896	490	504	-0.4855	19960	19991
4294968052	497	920	-0.2537	19892	19992
17179869911	514	4294968045	-0.3072	19718	19952
4294967773	507	514	-0.4255	19898	19862
4294967844	483	504	-0.4435	19944	19994
4294967832	495	502	-0.2033	19961	19844
806	495	497	-0.1627	19976	19980
585	494	495	0.3185	19995	19970
586	479	495	-0.0884	19995	19963
716	479	504	0.7491	19984	19999
4294967922	494	514	-0.3633	19966	19986
804	491	495	-0.2623	19976	19864
803	490	507	-0.1250	19976	19823
959	491	514	-0.3969	19930	19961
754	481	490	-0.2423	19981	19963
593	479	498	0.1076	19994	19980
933	494	920	-0.0420	19942	19809
8589935134	490	494	-0.2331	19946	19887
910	481	495	-0.2453	19955	19863
855	498	504	0.0462	19971	19935
598	494	507	0.0068	19994	19976
599	495	507	-0.0519	19994	19953
917	483	498	-0.3340	19950	19987
4294968013	490	514	0.2399	19946	19987
4294968101	483	494	-0.4279	19890	19924
930	514	920	-0.0425	19942	19954
8589935479	479	494	-0.2830	19925	19971
