# tick 22000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	19422.7324	0.4674	22001	0.4000	1,2,3	0.5000	27
507	14166.8613	-0.0219	22001	0.4000	3,3,2	0.5000	62
491	22407.4648	0.3222	22001	0.4000	1,0,0	0.5000	16
498	20860.4453	-0.0620	22001	0.4000	1,2,3	0.5000	27
479	22107.3711	0.4130	22001	0.4000	3,3,1	0.5000	61
4294968045	17109.8047	0.0414	21750	0.4000	2,0,2	0.5000	34
481	28905.0273	-0.0535	22001	0.4000	0,0,3	0.5000	3
502	32019.8281	0.4547	22001	0.4000	1,0,3	0.5000	19
483	11352.1328	-0.2872	22001	0.4000	2,0,3	0.5000	35
494	22437.2148	-0.2034	22001	0.4000	3,0,0	0.5000	48
495	24108.6484	0.4726	22001	0.4000	3,3,1	0.5000	61
497	34617.4688	-0.2828	22001	0.4000	2,3,3	0.5000	47
514	15414.3047	0.2637	22001	0.4000	1,2,3	0.5000	27
488	22598.3672	-0.0017	22001	0.4000	3,2,0	0.5000	56
920	14975.1104	-0.1601	21950	0.4000	2,2,0	0.5000	40
490	17665.7305	0.2411	22001	0.4000	2,0,2	0.5000	34
25769804326	18228.8984	0.2168	21400	0.4000	1,1,1	0.5000	21
8589935137	13221.1602	0.1819	21450	0.4000	3,0,1	0.5000	49
4294968271	14860.4902	-0.2309	21100	0.4000	1,3,3	0.5000	31
8589935540	11289.7207	0.4051	20750	0.4000	2,3,2	0.5000	46
38654706913	3075.7812	0.1899	16300	0.4000	2,0,2	0.5000	34
12884902774	26337.7715	0.2405	20950	0.4000	1,0,0	0.5000	16
25769804477	14631.9824	-0.2291	20300	0.4000	1,0,0	0.5000	16
38654706359	7206.0811	-0.1354	19850	0.4000	2,2,2	0.5000	42
8589935456	9051.9932	0.0569	20100	0.4000	2,2,1	0.5000	41
42949673775	23913.7500	0.0602	19900	0.4000	2,0,3	0.5000	35
38654706279	9839.8213	0.1255	18600	0.4000	3,3,3	0.5000	63
25769804691	15637.5332	0.3384	18750	0.4000	0,3,3	0.5000	15
8589935143	15359.1055	-0.1563	18650	0.4000	2,3,3	0.5000	47
64424510384	6769.0732	0.4013	18550	0.4000	1,3,2	0.5000	30
4294968287	22609.7031	-0.2790	18200	0.4000	3,2,0	0.5000	56
4294968326	7376.9575	0.0152	18250	0.4000	0,0,2	0.5000	2
8589935579	4239.9189	0.3661	17950	0.4000	2,2,3	0.5000	43
12884902933	7440.1240	0.4188	17650	0.4000	3,3,1	0.5000	61
8589935710	10086.0996	-0.2739	17700	0.4000	1,1,0	0.5000	20
21474837934	16368.2314	0.3208	12900	0.4000	3,1,3	0.5000	55
171798692999	3569.3337	0.4534	3900	0.4000	3,0,1	0.5000	49
21474837726	10240.8945	0.4745	16000	0.4000	3,0,1	0.5000	49
34359739641	12531.2236	0.3987	15050	0.4000	2,2,1	0.5000	41
51539608967	11668.2441	-0.1250	10600	0.4000	0,3,2	0.5000	14
90194314476	12036.8662	0.3241	11700	0.4000	0,1,2	0.5000	6
94489282015	1268.6459	0.1948	6200	0.4000	1,2,1	0.5000	25
51539608560	10012.2695	0.3392	10650	0.4000	3,0,2	0.5000	50
34359739907	6418.2065	0.4712	8050	0.4000	3,1,1	0.5000	53
73014445482	3730.0361	0.0804	7900	0.4000	3,1,2	0.5000	54
98784249284	5811.9326	-0.1979	6250	0.4000	1,0,3	0.5000	19
38654707281	644.8197	-0.1114	650	0.4000	0,1,2	0.5000	6
42949674709	65.2408	-0.2540	150	0.4000	0,0,3	0.5000	3
141733922435	30.3115	0.3990	100	0.4000	2,2,3	0.5000	43
171798693558	18.9956	-0.2442	50	0.4000	1,2,0	0.5000	24

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.1608	21748	21741
4294967988	491	4294968045	-0.1936	21749	21688
4294968267	491	497	-0.1257	21918	22000
4294968187	504	4294968045	-0.2033	21749	21518
4294968158	494	498	-0.4345	21937	21930
8589935077	481	507	0.4462	21852	21975
12884902855	483	4294968045	-0.4069	21654	21699
831	495	504	-0.3728	21974	21932
900	494	504	-0.1181	21957	21690
977	504	920	-0.5129	21926	21996
8589935352	507	4294968045	-0.4190	21677	21955
12884902723	488	4294968045	-0.1943	21721	21902
769	488	504	-0.3798	21980	21956
4294968146	491	920	-0.0629	21887	21712
4294967807	502	507	-0.1868	21911	21844
8589935197	479	497	-0.2299	21946	21640
531	481	514	-0.2785	21999	21959
8589935230	481	4294968045	0.3376	21689	21922
4294968008	497	502	-0.3238	21850	21884
12884902400	920	4294968045	-0.0196	21660	21930
535	490	502	0.9940	21999	21997
12884902388	479	4294968045	-0.0417	21722	21990
12884902389	494	4294968045	0.1122	21664	21949
4294968075	481	491	-0.2076	21879	21940
4294968037	483	514	-0.5197	21891	21904
17179869981	498	4294968045	-0.0117	21731	21856
4294967981	495	514	-0.5020	21870	21982
890	479	491	-0.1296	21964	21862
12884902621	498	920	-0.2649	21880	21953
4294968064	479	514	-0.1858	21913	21641
666	479	507	0.1657	21989	21947
546	483	495	-0.2625	21998	21864
4294967973	483	497	-0.2739	21962	21959
653	504	514	-0.3948	21990	21991
792	483	488	-0.5048	21977	21972
735	498	507	-0.3528	21983	21878
4294967969	488	514	-0.1671	21918	21932
665	497	504	-0.3294	21989	21976
778	498	514	0.9627	21979	21981
4294968128	491	504	-0.0346	21854	21832
976	481	920	-0.4021	21926	21815
802	488	498	-0.0782	21976	21964
759	502	504	-0.2615	21981	21973
4294968007	495	920	-0.3751	21882	21963
869	487	491	-0.0000	21969	31
966	490	498	-0.3439	21929	21984
17179870054	497	4294968045	-0.2082	21674	21868
775	483	490	-0.0215	21979	21810
765	491	507	-0.1945	21980	21812
4294968132	479	481	0.9920	21855	21996
8589935390	479	920	-0.4099	21916	21947
8589935306	483	920	-0.0709	21882	21733
8589935085	483	502	-0.3941	21895	21837
568	481	488	-0.0188	21996	21941
4294968179	488	495	-0.0712	21857	21802
12884902725	495	4294968045	-0.5337	21743	21970
771	488	507	0.1187	21980	21865
572	488	502	-0.2960	21996	21856
4294968191	497	514	-0.2661	21935	21714
574	483	507	-0.3100	21996	21837
781	481	504	-0.6136	21979	21943
8589935221	507	920	-0.2841	21925	21990
4294968230	481	494	-0.1969	21888	21794
896	490	504	-0.1835	21960	21991
4294968052	497	920	-0.3333	21892	21890
17179869911	514	4294968045	-0.6156	21718	21854
4294967773	507	514	-0.4936	21898	21966
4294967844	483	504	-0.4819	21944	21732
4294967832	495	502	-0.2576	21961	21831
806	495	497	-0.2309	21976	21760
585	494	495	0.2624	21995	21927
586	479	495	-0.1414	21995	21753
716	479	504	0.9765	21984	21997
4294967922	494	514	-0.1422	21966	21891
804	491	495	-0.0859	21976	21950
803	490	507	-0.3054	21976	21712
959	491	514	-0.0407	21930	21994
754	481	490	-0.3307	21981	21919
593	479	498	0.8902	21994	21990
933	494	920	-0.1768	21942	21631
8589935134	490	494	0.2631	21946	21946
910	481	495	-0.3652	21955	21992
855	498	504	-0.2865	21971	21944
598	494	507	-0.2320	21994	21968
599	495	507	-0.2201	21994	21699
917	483	498	-0.2145	21950	21940
4294968013	490	514	-0.2124	21946	21947
4294968101	483	494	-0.2988	21890	21978
930	514	920	-0.1062	21942	21745
8589935479	479	494	-0.2506	21925	21923
943	504	507	-0.4093	21940	21931
942	491	494	0.9900	21940	21995
787	481	498	-0.2312	21978	21982
4294968090	491	498	-0.2657	21954	21776
885	490	497	-0.4210	21965	21974
