# tick 24000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	20227.7324	0.4674	24001	0.4000	1,2,3	0.5000	27
507	15481.8613	-0.0219	24001	0.4000	3,3,2	0.5000	62
491	23531.4648	0.3222	24001	0.4000	1,0,0	0.5000	16
498	24225.4453	-0.0620	24001	0.4000	1,2,3	0.5000	27
479	23960.3711	0.4130	24001	0.4000	3,3,1	0.5000	61
4294968045	19124.8047	0.0414	23750	0.4000	2,0,2	0.5000	34
481	29293.0273	-0.0535	24001	0.4000	0,0,3	0.5000	3
502	34846.8281	0.4547	24001	0.4000	1,0,3	0.5000	19
483	11555.1328	-0.2872	24001	0.4000	2,0,3	0.5000	35
494	24467.2148	-0.2034	24001	0.4000	3,0,0	0.5000	48
495	25032.6484	0.4726	24001	0.4000	3,3,1	0.5000	61
497	36125.4688	-0.2828	24001	0.4000	2,3,3	0.5000	47
514	14641.3047	0.2637	24001	0.4000	1,2,3	0.5000	27
488	23423.3672	-0.0017	24001	0.4000	3,2,0	0.5000	56
920	15929.1104	-0.1601	23950	0.4000	2,2,0	0.5000	40
490	19061.7305	0.2411	24001	0.4000	2,0,2	0.5000	34
25769804326	18189.8984	0.2168	23400	0.4000	1,1,1	0.5000	21
8589935137	14296.1602	0.1819	23450	0.4000	3,0,1	0.5000	49
4294968271	17190.4902	-0.2309	23100	0.4000	1,3,3	0.5000	31
8589935540	12810.7207	0.4051	22750	0.4000	2,3,2	0.5000	46
38654706913	1150.7812	0.1899	18300	0.4000	2,0,2	0.5000	34
12884902774	27321.7715	0.2405	22950	0.4000	1,0,0	0.5000	16
25769804477	17497.9824	-0.2291	22300	0.4000	1,0,0	0.5000	16
38654706359	7758.0811	-0.1354	21850	0.4000	2,2,2	0.5000	42
8589935456	12266.9932	0.0569	22100	0.4000	2,2,1	0.5000	41
42949673775	24643.7500	0.0602	21900	0.4000	2,0,3	0.5000	35
38654706279	11841.8213	0.1255	20600	0.4000	3,3,3	0.5000	63
25769804691	15504.5332	0.3384	20750	0.4000	0,3,3	0.5000	15
8589935143	17677.1055	-0.1563	20650	0.4000	2,3,3	0.5000	47
64424510384	9178.0732	0.4013	20550	0.4000	1,3,2	0.5000	30
4294968287	23233.7031	-0.2790	20200	0.4000	3,2,0	0.5000	56
4294968326	6808.9575	0.0152	20250	0.4000	0,0,2	0.5000	2
8589935579	3917.9189	0.3661	19950	0.4000	2,2,3	0.5000	43
12884902933	8542.1240	0.4188	19650	0.4000	3,3,1	0.5000	61
8589935710	12462.0996	-0.2739	19700	0.4000	1,1,0	0.5000	20
21474837934	18609.2305	0.3208	14900	0.4000	3,1,3	0.5000	55
171798692999	6015.3340	0.4534	5900	0.4000	3,0,1	0.5000	49
21474837726	11636.8945	0.4745	18000	0.4000	3,0,1	0.5000	49
34359739641	12940.2236	0.3987	17050	0.4000	2,2,1	0.5000	41
51539608967	13466.2441	-0.1250	12600	0.4000	0,3,2	0.5000	14
90194314476	14916.8662	0.3241	13700	0.4000	0,1,2	0.5000	6
94489282015	2968.6460	0.1948	8200	0.4000	1,2,1	0.5000	25
51539608560	13771.2695	0.3392	12650	0.4000	3,0,2	0.5000	50
34359739907	7319.2065	0.4712	10050	0.4000	3,1,1	0.5000	53
73014445482	5471.0361	0.0804	9900	0.4000	3,1,2	0.5000	54
98784249284	7454.9326	-0.1979	8250	0.4000	1,0,3	0.5000	19
38654707281	2887.8198	-0.1114	2650	0.4000	0,1,2	0.5000	6
184683595410	245.7917	0.2969	750	0.4000	3,0,1	0.5000	49
150323856985	2413.0291	-0.0032	1950	0.4000	0,0,0	0.5000	0
17179871009	404.1646	0.1937	1000	0.4000	1,3,0	0.5000	28
8589936496	131.2916	-0.2512	300	0.4000	0,3,1	0.5000	13
4294969276	36.9570	-0.2297	200	0.4000	3,1,2	0.5000	54
176093660816	102.4214	0.1052	250	0.4000	3,3,2	0.5000	62
8589936490	55.2504	-0.1636	150	0.4000	1,0,0	0.5000	16
51539609337	110.9850	0.1526	50	0.4000	0,1,2	0.5000	6

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.3158	23748	23977
4294967988	491	4294968045	-0.3927	23749	23772
4294968267	491	497	-0.3099	23918	23908
4294968187	504	4294968045	-0.3251	23749	23799
4294968158	494	498	-0.3301	23937	23915
8589935077	481	507	-0.1542	23852	23886
12884902855	483	4294968045	-0.5391	23654	24000
831	495	504	-0.1980	23974	23921
900	494	504	-0.4053	23957	23964
977	504	920	0.3592	23926	23983
8589935352	507	4294968045	-0.4217	23677	23973
12884902723	488	4294968045	-0.3097	23721	23765
769	488	504	-0.1205	23980	23708
4294968146	491	920	-0.4530	23887	23990
4294967807	502	507	-0.2700	23911	23950
8589935197	479	497	0.9323	23946	23965
531	481	514	-0.3838	23999	23960
8589935230	481	4294968045	-0.4444	23689	23983
4294968008	497	502	0.0736	23850	23901
12884902400	920	4294968045	-0.3552	23660	23882
535	490	502	0.7534	23999	23966
12884902388	479	4294968045	-0.3436	23722	23979
12884902389	494	4294968045	-0.3112	23664	23926
4294968075	481	491	0.4082	23879	23955
4294968037	483	514	-0.1022	23891	23193
17179869981	498	4294968045	-0.1011	23731	23729
4294967981	495	514	-0.3014	23870	23960
890	479	491	-0.0012	23964	23865
12884902621	498	920	-0.0924	23880	23781
4294968064	479	514	-0.3984	23913	23911
666	479	507	0.1242	23989	23732
546	483	495	0.0222	23998	23913
4294967973	483	497	-0.2106	23962	23850
653	504	514	-0.1337	23990	23901
792	483	488	-0.1028	23977	23944
735	498	507	-0.4862	23983	23939
4294967969	488	514	-0.2831	23918	23864
665	497	504	-0.4306	23989	23957
778	498	514	-0.1884	23979	23880
4294968128	491	504	-0.0760	23854	23945
976	481	920	0.4103	23926	23991
802	488	498	-0.2954	23976	23830
759	502	504	0.0465	23981	23996
4294968007	495	920	-0.1805	23882	23989
869	487	491	-0.0000	23969	31
966	490	498	-0.1355	23929	23588
17179870054	497	4294968045	-0.1120	23674	23170
775	483	490	-0.0222	23979	23983
765	491	507	-0.4155	23980	23963
4294968132	479	481	0.1578	23855	23899
8589935390	479	920	-0.4121	23916	23926
8589935306	483	920	-0.3167	23882	23999
8589935085	483	502	-0.1861	23895	23931
568	481	488	0.5144	23996	23971
4294968179	488	495	-0.3501	23857	23990
12884902725	495	4294968045	-0.3593	23743	23793
771	488	507	-0.3122	23980	23863
572	488	502	-0.3429	23996	23844
4294968191	497	514	-0.0142	23935	23790
574	483	507	-0.2868	23996	23890
781	481	504	-0.2096	23979	23660
8589935221	507	920	-0.1619	23925	23952
4294968230	481	494	-0.5213	23888	23945
896	490	504	0.8980	23960	24000
4294968052	497	920	0.3867	23892	23998
17179869911	514	4294968045	-0.0690	23718	23940
4294967773	507	514	0.1280	23898	23961
4294967844	483	504	0.3368	23944	23984
4294967832	495	502	-0.1874	23961	23748
806	495	497	-0.2128	23976	23670
585	494	495	-0.1528	23995	23725
586	479	495	-0.1577	23995	23963
716	479	504	0.3190	23984	23997
4294967922	494	514	0.7130	23966	23979
804	491	495	-0.2629	23976	23580
803	490	507	-0.2051	23976	23946
959	491	514	-0.5035	23930	23842
754	481	490	-0.2428	23981	23900
593	479	498	1.0000	23994	24000
933	494	920	-0.2952	23942	23943
8589935134	490	494	0.5788	23946	23994
910	481	495	-0.2328	23955	23766
855	498	504	-0.1905	23971	23816
598	494	507	-0.3262	23994	23916
599	495	507	-0.2264	23994	23852
917	483	498	-0.0159	23950	23922
4294968013	490	514	-0.4087	23946	23943
4294968101	483	494	-0.1506	23890	23880
930	514	920	-0.1481	23942	23939
8589935479	479	494	-0.2476	23925	23807
943	504	507	0.0329	23940	23992
942	491	494	0.9304	23940	23975
787	481	498	-0.2816	23978	23993
4294968090	491	498	0.4022	23954	23956
885	490	497	-0.2691	23965	23970
963	481	502	0.8368	23929	24000
12884902552	497	507	-0.2378	23938	23846
612	488	490	-0.6008	23993	23992
747	495	498	0.9980	23982	23999
880	479	483	-0.2197	23965	23916
941	488	920	-0.3717	23940	23775
940	488	494	-0.1145	23940	23985
4294967977	479	490	0.0588	23935	23831
873	491	502	-0.2962	23969	23730
795	494	502	-0.1103	23977	23678
812	481	483	-0.6546	23975	23979
4294968168	498	502	-0.1489	23952	23963
4294968087	488	497	-0.2790	23937	23801
974	483	491	-0.1923	23926	23925
4294967900	494	497	0.0925	23962	23966
8589935203	490	920	-0.3032	23919	23822
908	483	486	-0.0000	23955	45
627	490	491	-0.2700	23992	23904
705	481	497	-0.3499	23986	23882
893	479	502	-0.3582	23961	23961
720	479	488	0.7863	23984	23994
4294968140	488	491	-0.2122	23968	23881
905	497	498	-0.3193	23956	23975
4294968227	502	920	-0.3730	23920	24000
4294968253	490	495	-0.4916	23916	23989
4294967839	502	514	-0.1308	23957	23869
8589935445	502	4294968045	0.0329	23720	23965
8589935112	502	25769804326	-0.1540	23384	23773
8589935188	490	8589935137	-0.3091	23385	23839
4294968039	498	25769804326	-0.1194	23385	23935
8589935459	514	25769804326	-0.3159	23387	23912
4294968269	494	25769804326	-0.2426	23388	23658
8589935169	507	25769804326	0.9550	23389	23977
12884902695	502	8589935137	-0.2105	23434	23851
4294967954	497	25769804326	-0.1466	23396	23831
4294967776	481	25769804326	-0.2938	23396	23897
4294967814	490	25769804326	-0.5132	23398	23981
25769804623	507	8589935137	-0.2482	23429	23945
12884902799	504	25769804326	-0.2171	23398	23839
21474837378	4294968045	8589935137	-0.3147	23413	23990
21474837358	481	8589935137	0.9782	23429	23989
21474837308	488	8589935137	-0.3241	23419	23916
30064771619	920	8589935137	-0.2883	23448	23964
21474837412	491	8589935137	-0.4299	23445	23887
21474837260	497	8589935137	-0.0730	23443	23847
17179869694	495	8589935137	-0.3623	23441	24000
12884902740	514	8589935137	-0.1903	23439	23964
12884902733	504	8589935137	-0.2543	23438	23907
12884902609	479	8589935137	-0.3106	23438	23848
17179869957	494	8589935137	0.0897	23437	23977
17179870045	498	8589935137	-0.2818	23435	23898
12884902633	495	25769804326	0.7132	23383	23992
8589935241	920	25769804326	-0.2950	23383	23850
8589935544	4294968045	25769804326	-0.3876	23381	23986
25769804586	8589935137	25769804326	-0.2821	23376	23847
21474836969	483	25769804326	-0.1485	23375	23991
17179869802	491	25769804326	-0.3466	23374	23944
21474837037	488	25769804326	0.3065	23367	23954
21474837237	479	25769804326	0.9372	23353	23970
4294967876	481	34359739153	-0.0000	23316	684
38654706449	483	8589935137	-0.0667	23305	23909
4294967834	514	8589935540	-0.2572	22746	23892
4294968054	479	4294968271	0.9782	23087	23989
4294968202	4294968045	4294968271	0.7525	23085	23934
8589935268	920	4294968271	-0.2024	23083	23827
8589935101	494	4294968271	-0.0099	23096	23945
4294967953	497	4294968271	-0.5352	23079	23987
4294967990	491	4294968271	-0.0952	23091	23851
8589935079	498	4294968271	-0.1215	23093	23995
8589935353	483	4294968271	-0.2044	23044	23994
4294968047	488	4294968271	-0.2421	23092	23733
12884902617	504	4294968271	0.9671	23075	23999
4294967824	507	4294968271	-0.3703	23073	23898
4294968219	490	4294968271	0.1169	23072	23964
4294967859	479	8589935540	-0.3632	22746	23999
12884902446	495	12884902774	0.9608	22892	23980
4294968167	4294968271	25769804326	-0.0487	23061	23891
4294967883	4294968271	8589935540	-0.3340	22749	23965
25769805071	498	34359739641	-0.4374	17046	23997
17179869817	8589935137	8589935540	0.5539	22738	23946
8589935181	502	4294968271	-0.0791	23027	23990
64424510376	490	38654706913	-0.2464	18289	23958
17179870024	920	8589935540	0.3805	22714	23966
17179869866	514	4294968271	-0.1920	23030	23889
21474837356	491	8589935540	-0.1308	22741	23396
12884902815	495	4294968271	-0.1977	23032	23881
8589935255	479	12884902774	-0.0691	22898	23924
4294968265	4294968271	8589935137	-0.3930	23087	23915
8589935546	491	12884902774	0.0443	22901	23908
12884902607	481	4294968271	-0.3821	23093	23813
8589935449	12884902774	25769804326	-0.3900	22904	23957
4294968516	491	171798692999	-0.0173	5880	23921
12884902714	4294968271	12884902774	-0.3575	22910	23966
8589935107	490	12884902774	0.4269	22911	23976
17179869834	481	12884902774	-0.2930	22915	23974
8589935403	502	12884902774	-0.3508	22916	23932
4294968515	21474837934	171798692999	-0.2770	5882	23861
25769804427	21474837934	25769804326	-0.0521	14703	23871
17179869947	490	8589935540	-0.1881	22739	23797
17179869753	920	38654706913	-0.0964	18291	23960
21474837096	497	8589935540	0.9841	22721	23992
12884902835	502	8589935540	-0.2136	22722	23857
85899346416	491	34359739641	-0.4172	17038	23981
8589935271	497	12884902774	-0.3888	22917	23968
12884902858	8589935540	38654706913	-0.3000	18293	23753
34359739744	491	21474837934	-0.1416	14876	23837
55834575367	8589935710	34359739641	-0.1861	17039	23829
17179870494	488	34359739641	-0.2022	17000	23691
17179870644	4294968045	21474837934	-0.1552	14768	23978
12884902410	494	12884902774	-0.4872	22918	23969
17179870512	4294968271	34359739641	0.0490	16980	23918
8589935259	504	12884902774	-0.4059	22931	23847
17179869786	488	8589935540	-0.1362	22722	23702
21474837168	495	8589935540	-0.2403	22725	23987
12884902670	488	12884902774	-0.2355	22864	23962
8589935206	507	12884902774	-0.4158	22946	23928
8589935548	8589935137	12884902774	-0.2094	22945	23770
12884902789	4294968045	12884902774	0.1550	22944	23889
17179869958	498	12884902774	-0.2527	22941	23761
17179870091	498	8589935540	0.9782	22740	23989
17179870102	8589935540	12884902774	0.4116	22728	23924
8589935451	483	12884902774	-0.1452	22933	23773
8589935433	514	12884902774	-0.0146	22936	23953
25769804529	8589935540	25769804326	-0.3195	22728	23888
38654706406	507	8589935540	-0.0834	22732	23819
42949673649	494	8589935540	0.0660	22735	23971
25769805234	481	21474837934	-0.3617	14869	23995
38654706983	8589935916	25769804326	-0.0000	16064	7936
17179869689	920	12884902774	-0.2116	22823	23942
21474837247	4294968045	8589935540	-0.2034	22736	23987
8589936008	491	30064772414	-0.0000	15435	8565
128849019953	21474837934	38654706279	-0.0599	14875	23882
34359739603	497	34359739641	-0.3799	16969	23789
8589936015	514	21474837934	0.9267	14801	23962
30064772413	4294968287	25769805066	-0.0000	16644	7356
17179870627	483	21474837934	-0.2308	14874	23784
12884902441	483	8589935540	-0.3334	22744	23945
30064771961	504	8589935540	0.0951	22702	23835
17179869908	8589935137	21474837295	-0.0000	22646	1354
12884902763	514	21474837326	-0.0000	22451	1549
8589935406	481	8589935540	-0.2028	22579	23857
4294967875	920	25769804477	-0.1252	22277	23848
4294967880	25769804326	25769804477	-0.4212	22278	23966
4294968184	507	25769804477	0.5776	22279	23968
4294967904	481	25769804477	-0.3233	22283	23894
12884902374	8589935456	38654706359	-0.3143	21811	23830
8589935193	483	25769804477	-0.2614	22288	23811
4294967942	491	25769804477	-0.1996	22289	23861
17179869723	12884902774	25769804477	-0.2503	22291	23950
8589935292	494	38654706359	-0.2336	21815	23927
55834575361	498	25769804477	-0.4166	22267	23958
55834575664	4294968045	25769804477	0.9769	22295	23994
30064771915	497	25769804477	0.3868	22299	23949
25769804437	488	25769804477	-0.3021	22219	23780
8589935378	920	42949673775	-0.2478	21819	23939
8589935368	491	38654706359	-0.4066	21820	23982
21474837310	8589935137	25769804477	-0.3168	22229	23969
21474837155	4294968271	25769804477	-0.2260	22230	23848
8589935315	4294968045	8589935456	-0.2198	22042	23689
8589935198	507	38654706359	-0.2636	21821	23944
4294968258	38654706359	42949673775	-0.1910	21830	23833
8589935067	494	25769804477	0.1948	22211	23965
25769804711	494	42949673775	-0.1035	21857	23996
25769804416	495	8589935456	-0.3241	22087	23969
17179869836	8589935540	25769804477	-0.0995	22247	23396
4294968114	497	38654706359	0.9538	21833	23985
4294968246	504	38654706359	-0.0571	21834	23974
38654706472	502	25769804477	-0.1101	22263	23818
4294968514	25769804326	171798692999	-0.1520	5882	23999
38654706408	490	25769804477	-0.2353	22257	23905
30064771918	504	25769804477	0.8635	22274	23994
30064771873	479	25769804477	0.9704	22261	23985
4294968159	507	8589935456	-0.1636	22056	23984
8589935299	495	25769804477	0.2085	22159	23856
4294968225	8589935456	8589935540	-0.1514	22061	23942
4294968145	498	8589935456	-0.2148	22065	23771
8589935476	4294968271	8589935456	-0.2983	22072	23991
25769804744	8589935456	25769804477	-0.1812	22035	23807
4294968123	8589935456	25769804326	-0.3381	22077	23934
38654706146	514	25769804477	-0.1926	22150	23985
8589935301	497	8589935456	-0.3111	22037	23898
4294967857	502	38654706359	-0.3194	21834	23833
8589935391	514	8589935456	0.1602	22098	23923
4294967822	483	8589935456	0.6712	22078	23997
1683	8589935540	94489282015	0.0361	7982	23919
25769804463	502	8589935456	-0.3209	22079	23880
34359739094	488	8589935456	-0.1331	22090	23712
30064771580	479	8589935456	-0.1773	22081	23848
8589935545	494	8589935456	-0.2218	22093	23847
8589935141	481	8589935456	-0.4756	22096	23953
8589935113	490	8589935456	-0.0915	22096	23959
21474837184	920	8589935456	-0.3821	22080	23981
8589935421	491	8589935456	-0.0826	22097	23930
4294967877	481	38654706359	-0.1492	21835	23951
4294968241	920	38654706359	-0.2686	21838	23879
4294967891	498	38654706359	-0.3247	21838	23881
12884902849	8589935137	8589935456	-0.2613	22021	23817
8589935494	8589935456	12884902774	-0.3708	21985	23766
21474837042	504	8589935456	-0.2632	21981	23990
8589935174	488	38654706359	-0.3608	21839	23794
4294967920	8589935540	38654706359	0.9685	21839	23984
34359738884	12884902774	38654706359	-0.3968	21841	23799
8589935252	497	42949673775	-0.1984	21841	23792
8589935506	4294968271	38654706359	-0.2080	21842	23957
30064771893	483	42949673775	-0.4667	21852	23851
8589935227	495	38654706359	-0.3079	21844	23889
21474837212	491	42949673775	-0.1801	21895	23992
34359739247	8589935456	42949673775	-0.4399	21892	23906
17179869862	481	42949673775	-0.1157	21890	23954
21474837406	514	42949673775	-0.4069	21889	23907
17179870008	495	42949673775	-0.3941	21887	23926
8589935508	4294968045	38654706359	0.1407	21846	23994
42949673909	25769804326	42949673775	-0.3682	21886	23979
17179869825	490	42949673775	-0.2746	21885	23950
17179869853	507	42949673775	-0.2685	21885	23710
17179869922	488	42949673775	-0.1734	21884	23948
12884903056	34359739907	171798692999	0.5403	5883	23999
12884902520	483	38654706359	-0.4168	21848	23972
8589935254	504	42949673775	-0.1821	21875	23983
8589935246	8589935540	42949673775	-0.3415	21872	23969
8589935240	498	42949673775	1.0000	21871	24000
8589935228	4294968271	42949673775	-0.1100	21871	23927
12884902677	8589935137	38654706359	-0.1481	21846	23980
30064771860	4294968045	42949673775	-0.3088	21864	23755
30064772032	479	42949673775	-0.5088	21860	23956
42949673924	479	38654706359	-0.0759	21804	23995
12884902458	490	38654706359	-0.4340	21803	23997
4294968205	25769804326	38654706359	-0.2976	21689	23841
8589935234	502	42949673775	-0.4115	21613	23980
25769804413	8589935137	42949673775	-0.5917	21795	23985
12884902584	12884902746	38654706359	-0.0000	21507	2493
21474837093	25769804477	42949673775	1.0000	21789	24000
42949674635	64424510384	171798692999	-0.3103	5853	23925
81604380254	490	90194314782	-0.0000	5933	18067
4294968118	25769804477	38654706359	-0.2381	21715	23913
8589935409	488	38654706279	-0.1507	20583	23883
4294968073	12884902774	42949673775	0.2355	21707	23968
21474837110	4294967918	8589935137	-0.0000	21368	2632
51539608028	483	4294967918	-0.0000	21368	2632
8589935430	514	38654706359	-0.4683	21698	23927
8589935122	38654706279	38654706359	-0.3015	20588	23878
77309411906	495	38654706279	-0.4791	20590	23947
8589935217	25769804691	38654706359	-0.1307	20662	23991
21474836997	497	38654706279	-0.2196	20591	23680
34359739228	8589935143	25769804326	-0.2658	20594	23932
42949673675	498	38654706279	-0.1755	20596	23904
42949673682	25769804326	38654706279	-0.2629	20598	23822
21474837151	4294968271	38654706279	-0.5249	20599	23972
34359739105	491	38654706279	0.8730	20599	23987
55834575576	507	38654706279	-0.3496	20599	23871
85899346633	8589935143	8589935456	-0.3326	20600	23949
47244640759	8589935143	38654706359	-0.1154	20603	23978
34359739140	507	8589935143	-0.0791	20614	23628
34359739151	483	8589935143	0.1820	20616	23965
42949673569	504	8589935143	-0.1787	20616	23969
34359739188	8589935143	8589935540	-0.3872	20618	23859
25769804679	495	8589935143	-0.3427	20625	23770
34359738943	25769804326	25769804691	-0.4178	20721	23906
98784249467	483	171798692999	0.9881	5884	23994
25769804303	479	8589935143	-0.1754	20626	23382
30064771666	4294968045	25769804691	-0.0836	20725	23908
47244640856	8589935540	25769804691	-0.2329	20726	23921
47244641148	498	8589935143	0.9739	20627	23992
25769804531	8589935143	12884902774	-0.3084	20634	23943
12884902498	514	8589935143	-0.5138	20635	23818
17179869977	495	25769804691	-0.3629	20740	23915
25769804462	483	25769804691	-0.3943	20744	23917
17179869738	490	25769804691	-0.1157	20745	23927
73014444688	25769804477	25769804691	-0.4311	20747	23973
12884902471	491	8589935143	-0.1386	20637	23862
30064771643	8589935137	25769804691	-0.2372	20748	23840
90194313844	4294968271	25769804691	-0.3476	20720	23873
38654706497	504	25769804691	-0.4083	20719	23937
42949673581	507	25769804691	0.0362	20715	23968
42949673519	8589935456	25769804691	-0.3671	20714	23878
34359739038	481	25769804691	-0.2110	20713	23897
34359739281	490	8589935143	-0.3213	20638	23882
55834575532	25769804691	42949673775	-0.2599	20711	23945
34359739023	491	25769804691	-0.2588	20708	23817
42949673864	502	8589935143	0.9342	20639	23966
8589935491	8589935137	8589935143	-0.2635	20641	23898
38654706229	12884902774	25769804691	-0.5610	20697	23843
17179869760	498	25769804691	-0.0927	20696	23687
55834576537	491	60129543851	-0.0000	5446	18554
8589935511	481	8589935143	-0.2430	20644	23754
8589935199	8589935143	42949673775	-0.0168	20645	23942
21474837190	8589935143	25769804477	0.1107	20646	23939
47244640748	4294968045	8589935143	-0.2755	20647	23781
68719477617	502	25769804691	0.0048	20690	23915
34359739245	488	25769804691	-0.0036	20688	23958
8589935124	497	8589935143	0.9821	20649	23991
21474837419	494	8589935143	-0.1670	20649	23641
42949673497	514	25769804691	-0.4828	20684	23967
25769804305	479	25769804691	-0.3899	20664	23984
25769804456	920	25769804691	-0.1536	20679	23889
60129542711	497	25769804691	-0.3391	20579	23873
51539608510	8589935137	38654706279	1.0000	20578	24000
25769804459	479	38654706279	0.2087	20576	23955
34359738912	12884902774	38654706279	-0.3764	20576	23756
42949673619	4294968271	8589935143	-0.2316	20575	23731
25769804494	8589935143	38654706279	-0.0176	20574	23993
38654706254	8589935143	25769804691	-0.3969	20572	23891
34359739290	514	38654706279	-0.0320	20570	23814
42949673773	488	8589935143	-0.3429	20570	23972
30064771762	25769804477	38654706279	-0.0123	20568	23985
34359739107	504	38654706279	0.6451	20567	23945
81604379443	483	38654706279	-0.3289	20564	23988
25769804368	494	25769804691	-0.1464	20564	23969
38654706460	8589935540	38654706279	-0.2341	20557	23804
47244640844	4294968045	38654706279	0.8473	20554	23981
64424510202	490	38654706279	-0.1832	20552	23885
42949673884	8589935143	64424510384	-0.2622	20548	23976
38654706336	25769804326	64424510384	-0.3095	20547	23815
30064771771	481	64424510384	0.7792	20546	23938
