# tick 26000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	21681.7324	0.4674	26001	0.4000	1,2,3	0.5000	27
507	16583.8613	-0.0219	26001	0.4000	3,3,2	0.5000	62
491	24807.4648	0.3222	26001	0.4000	1,0,0	0.5000	16
498	26101.4453	-0.0620	26001	0.4000	1,2,3	0.5000	27
479	26472.3711	0.4130	26001	0.4000	3,3,1	0.5000	61
4294968045	18204.8047	0.0414	25750	0.4000	2,0,2	0.5000	34
481	31058.0273	-0.0535	26001	0.4000	0,0,3	0.5000	3
502	38686.8281	0.4547	26001	0.4000	1,0,3	0.5000	19
483	11477.1328	-0.2872	26001	0.4000	2,0,3	0.5000	35
494	25784.2148	-0.2034	26001	0.4000	3,0,0	0.5000	48
495	26709.6484	0.4726	26001	0.4000	3,3,1	0.5000	61
497	38460.4688	-0.2828	26001	0.4000	2,3,3	0.5000	47
514	14807.3047	0.2637	26001	0.4000	1,2,3	0.5000	27
488	25272.3672	-0.0017	26001	0.4000	3,2,0	0.5000	56
920	17399.1094	-0.1601	25950	0.4000	2,2,0	0.5000	40
490	20646.7305	0.2411	26001	0.4000	2,0,2	0.5000	34
25769804326	18754.8984	0.2168	25400	0.4000	1,1,1	0.5000	21
8589935137	14437.1602	0.1819	25450	0.4000	3,0,1	0.5000	49
4294968271	19111.4902	-0.2309	25100	0.4000	1,3,3	0.5000	31
8589935540	13331.7207	0.4051	24750	0.4000	2,3,2	0.5000	46
38654706913	266.7812	0.1899	20300	0.4000	2,0,2	0.5000	34
12884902774	26697.7715	0.2405	24950	0.4000	1,0,0	0.5000	16
25769804477	19171.9824	-0.2291	24300	0.4000	1,0,0	0.5000	16
38654706359	8333.0811	-0.1354	23850	0.4000	2,2,2	0.5000	42
8589935456	12691.9932	0.0569	24100	0.4000	2,2,1	0.5000	41
42949673775	26223.7500	0.0602	23900	0.4000	2,0,3	0.5000	35
38654706279	12969.8213	0.1255	22600	0.4000	3,3,3	0.5000	63
25769804691	14921.5332	0.3384	22750	0.4000	0,3,3	0.5000	15
8589935143	18434.1055	-0.1563	22650	0.4000	2,3,3	0.5000	47
64424510384	9769.0732	0.4013	22550	0.4000	1,3,2	0.5000	30
4294968287	24695.7031	-0.2790	22200	0.4000	3,2,0	0.5000	56
4294968326	6775.9575	0.0152	22250	0.4000	0,0,2	0.5000	2
8589935579	2915.9189	0.3661	21950	0.4000	2,2,3	0.5000	43
12884902933	9148.1240	0.4188	21650	0.4000	3,3,1	0.5000	61
8589935710	14681.0996	-0.2739	21700	0.4000	1,1,0	0.5000	20
21474837934	20790.2305	0.3208	16900	0.4000	3,1,3	0.5000	55
171798692999	8043.3340	0.4534	7900	0.4000	3,0,1	0.5000	49
21474837726	11805.8945	0.4745	20000	0.4000	3,0,1	0.5000	49
34359739641	14195.2236	0.3987	19050	0.4000	2,2,1	0.5000	41
51539608967	14278.2441	-0.1250	14600	0.4000	0,3,2	0.5000	14
90194314476	16697.8672	0.3241	15700	0.4000	0,1,2	0.5000	6
94489282015	4275.6460	0.1948	10200	0.4000	1,2,1	0.5000	25
51539608560	17631.2695	0.3392	14650	0.4000	3,0,2	0.5000	50
34359739907	8309.2070	0.4712	12050	0.4000	3,1,1	0.5000	53
73014445482	7152.0361	0.0804	11900	0.4000	3,1,2	0.5000	54
98784249284	8493.9326	-0.1979	10250	0.4000	1,0,3	0.5000	19
38654707281	4363.8198	-0.1114	4650	0.4000	0,1,2	0.5000	6
184683595410	1569.7917	0.2969	2750	0.4000	3,0,1	0.5000	49
150323856985	4385.0293	-0.0032	3950	0.4000	0,0,0	0.5000	0
17179871009	1484.1647	0.1937	3000	0.4000	1,3,0	0.5000	28
8589936496	613.2916	-0.2512	2300	0.4000	0,3,1	0.5000	13
4294969276	233.9570	-0.2297	2200	0.4000	3,1,2	0.5000	54
2109	1122.1664	0.4399	1950	0.4000	1,0,3	0.5000	19
68719478592	37.8498	-0.2106	100	0.4000	1,2,0	0.5000	24
34359740320	522.0728	0.3581	1000	0.4000	1,2,0	0.5000	24
55834576724	42.1621	0.1603	600	0.4000	1,1,3	0.5000	23
90194315022	95.4539	-0.1931	50	0.4000	2,0,3	0.5000	35

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	-0.2743	25748	25811
4294967988	491	4294968045	-0.3636	25749	25949
4294968267	491	497	-0.0013	25918	25789
4294968187	504	4294968045	-0.2950	25749	25724
4294968158	494	498	-0.2147	25937	25896
8589935077	481	507	-0.3141	25852	25944
12884902855	483	4294968045	-0.5815	25654	25901
831	495	504	-0.2364	25974	25984
900	494	504	-0.3057	25957	25989
977	504	920	0.8183	25926	25996
8589935352	507	4294968045	-0.2300	25677	25988
12884902723	488	4294968045	-0.4008	25721	25949
769	488	504	0.1268	25980	25948
4294968146	491	920	-0.2655	25887	25875
4294967807	502	507	-0.3288	25911	25817
8589935197	479	497	0.9646	25946	25982
531	481	514	-0.3725	25999	25856
8589935230	481	4294968045	-0.2173	25689	25825
4294968008	497	502	0.0011	25850	25727
12884902400	920	4294968045	-0.1346	25660	25789
535	490	502	0.5658	25999	25933
12884902388	479	4294968045	-0.3924	25722	25852
12884902389	494	4294968045	-0.2333	25664	25824
4294968075	481	491	0.8675	25879	25987
4294968037	483	514	-0.1996	25891	25942
17179869981	498	4294968045	0.1601	25731	25992
4294967981	495	514	-0.3008	25870	25948
890	479	491	-0.3059	25964	25931
12884902621	498	920	-0.3640	25880	25880
4294968064	479	514	-0.2082	25913	25814
666	479	507	-0.3477	25989	25973
546	483	495	-0.2487	25998	25991
4294967973	483	497	-0.3459	25962	25888
653	504	514	-0.0263	25990	25942
792	483	488	-0.1785	25977	25905
735	498	507	-0.2407	25983	25989
4294967969	488	514	-0.3757	25918	25998
665	497	504	0.0243	25989	25844
778	498	514	-0.2028	25979	25987
4294968128	491	504	-0.0654	25854	25937
976	481	920	1.0000	25926	26000
802	488	498	0.9550	25976	25977
759	502	504	-0.1759	25981	25953
4294968007	495	920	-0.0413	25882	25926
869	487	491	-0.0000	25969	31
966	490	498	0.3045	25929	25933
17179870054	497	4294968045	-0.1797	25674	25966
775	483	490	-0.0420	25979	25987
765	491	507	0.6223	25980	25980
4294968132	479	481	0.3587	25855	25975
8589935390	479	920	-0.0627	25916	25915
8589935306	483	920	-0.6239	25882	25933
8589935085	483	502	-0.2081	25895	25745
568	481	488	-0.0811	25996	25957
4294968179	488	495	-0.3126	25857	25976
12884902725	495	4294968045	0.7271	25743	25965
771	488	507	-0.2779	25980	25941
572	488	502	-0.3085	25996	25960
4294968191	497	514	-0.5127	25935	25941
574	483	507	-0.2081	25996	25920
781	481	504	-0.2555	25979	25939
8589935221	507	920	0.0997	25925	25879
4294968230	481	494	-0.3217	25888	25976
896	490	504	0.9763	25960	25988
4294968052	497	920	0.9920	25892	25996
17179869911	514	4294968045	-0.4596	25718	25956
4294967773	507	514	-0.2445	25898	25813
4294967844	483	504	-0.0389	25944	25974
4294967832	495	502	-0.2182	25961	25788
806	495	497	0.8032	25976	25961
585	494	495	0.9493	25995	25974
586	479	495	-0.2430	25995	25941
716	479	504	0.9881	25984	25994
4294967922	494	514	0.7684	25966	25990
804	491	495	-0.1568	25976	25601
803	490	507	-0.2067	25976	25913
959	491	514	-0.3707	25930	25941
754	481	490	0.8560	25981	25995
593	479	498	-0.0806	25994	25848
933	494	920	-0.2886	25942	25846
8589935134	490	494	0.6015	25946	25959
910	481	495	-0.3898	25955	25989
855	498	504	-0.0830	25971	25542
598	494	507	0.7503	25994	25942
599	495	507	-0.1240	25994	25744
917	483	498	-0.2157	25950	25979
4294968013	490	514	-0.3728	25946	25993
4294968101	483	494	-0.0109	25890	25901
930	514	920	-0.2988	25942	25824
8589935479	479	494	-0.2062	25925	25759
943	504	507	-0.4218	25940	25975
942	491	494	-0.2006	25940	25746
787	481	498	-0.2995	25978	25795
4294968090	491	498	-0.0354	25954	25903
885	490	497	-0.2955	25965	25821
963	481	502	0.2694	25929	25943
12884902552	497	507	-0.1481	25938	25916
612	488	490	-0.2859	25993	25908
747	495	498	0.9960	25982	25998
880	479	483	-0.5612	25965	25943
941	488	920	0.0352	25940	25763
940	488	494	0.7486	25940	25983
4294967977	479	490	-0.1542	25935	25431
873	491	502	-0.1894	25969	25843
795	494	502	-0.2285	25977	25800
812	481	483	-0.2259	25975	25842
4294968168	498	502	0.9704	25952	25985
4294968087	488	497	-0.0746	25937	25975
974	483	491	0.0447	25926	25968
4294967900	494	497	-0.3252	25962	25920
