# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
504	24105.7324	0.4674	28001	0.4000	1,2,3	0.5000	27
507	18867.8613	-0.0219	28001	0.4000	3,3,2	0.5000	62
491	25151.4648	0.3222	28001	0.4000	1,0,0	0.5000	16
498	27785.4453	-0.0620	28001	0.4000	1,2,3	0.5000	27
479	28485.3711	0.4130	28001	0.4000	3,3,1	0.5000	61
4294968045	17347.8047	0.0414	27750	0.4000	2,0,2	0.5000	34
481	31583.0273	-0.0535	28001	0.4000	0,0,3	0.5000	3
502	41463.8281	0.4547	28001	0.4000	1,0,3	0.5000	19
483	11454.1328	-0.2872	28001	0.4000	2,0,3	0.5000	35
494	29513.2148	-0.2034	28001	0.4000	3,0,0	0.5000	48
495	28779.6484	0.4726	28001	0.4000	3,3,1	0.5000	61
497	39211.4688	-0.2828	28001	0.4000	2,3,3	0.5000	47
514	16052.3047	0.2637	28001	0.4000	1,2,3	0.5000	27
488	25791.3672	-0.0017	28001	0.4000	3,2,0	0.5000	56
920	18765.1094	-0.1601	27950	0.4000	2,2,0	0.5000	40
490	21768.7305	0.2411	28001	0.4000	2,0,2	0.5000	34
25769804326	20082.8984	0.2168	27400	0.4000	1,1,1	0.5000	21
8589935137	13367.1602	0.1819	27450	0.4000	3,0,1	0.5000	49
4294968271	20265.4902	-0.2309	27100	0.4000	1,3,3	0.5000	31
8589935540	15234.7207	0.4051	26750	0.4000	2,3,2	0.5000	46
38654706913	464.7812	0.1899	22300	0.4000	2,0,2	0.5000	34
12884902774	26441.7715	0.2405	26950	0.4000	1,0,0	0.5000	16
25769804477	20269.9824	-0.2291	26300	0.4000	1,0,0	0.5000	16
38654706359	9466.0811	-0.1354	25850	0.4000	2,2,2	0.5000	42
8589935456	12831.9932	0.0569	26100	0.4000	2,2,1	0.5000	41
42949673775	26525.7500	0.0602	25900	0.4000	2,0,3	0.5000	35
38654706279	11812.8213	0.1255	24600	0.4000	3,3,3	0.5000	63
25769804691	14613.5332	0.3384	24750	0.4000	0,3,3	0.5000	15
8589935143	17847.1055	-0.1563	24650	0.4000	2,3,3	0.5000	47
64424510384	11337.0732	0.4013	24550	0.4000	1,3,2	0.5000	30
4294968287	26381.7031	-0.2790	24200	0.4000	3,2,0	0.5000	56
4294968326	7188.9575	0.0152	24250	0.4000	0,0,2	0.5000	2
8589935579	2804.9189	0.3661	23950	0.4000	2,2,3	0.5000	43
12884902933	11155.1240	0.4188	23650	0.4000	3,3,1	0.5000	61
8589935710	17398.0996	-0.2739	23700	0.4000	1,1,0	0.5000	20
21474837934	22872.2305	0.3208	18900	0.4000	3,1,3	0.5000	55
171798692999	9922.3340	0.4534	9900	0.4000	3,0,1	0.5000	49
21474837726	12988.8945	0.4745	22000	0.4000	3,0,1	0.5000	49
34359739641	15098.2236	0.3987	21050	0.4000	2,2,1	0.5000	41
51539608967	17017.2441	-0.1250	16600	0.4000	0,3,2	0.5000	14
90194314476	18290.8672	0.3241	17700	0.4000	0,1,2	0.5000	6
94489282015	5822.6460	0.1948	12200	0.4000	1,2,1	0.5000	25
51539608560	21360.2695	0.3392	16650	0.4000	3,0,2	0.5000	50
34359739907	8965.2070	0.4712	14050	0.4000	3,1,1	0.5000	53
73014445482	7360.0361	0.0804	13900	0.4000	3,1,2	0.5000	54
98784249284	9607.9326	-0.1979	12250	0.4000	1,0,3	0.5000	19
38654707281	6250.8198	-0.1114	6650	0.4000	0,1,2	0.5000	6
184683595410	552.7917	0.2969	4750	0.4000	3,0,1	0.5000	49
150323856985	6282.0293	-0.0032	5950	0.4000	0,0,0	0.5000	0
17179871009	2514.1646	0.1937	5000	0.4000	1,3,0	0.5000	28
8589936496	401.2916	-0.2512	4300	0.4000	0,3,1	0.5000	13
4294969276	825.9570	-0.2297	4200	0.4000	3,1,2	0.5000	54
2109	2055.1665	0.4399	3950	0.4000	1,0,3	0.5000	19
25769805947	558.4916	0.4648	1350	0.4000	1,1,2	0.5000	22
34359740320	1802.0728	0.3581	3000	0.4000	1,2,0	0.5000	24
103079217158	48.8400	0.4644	50	0.4000	3,0,3	0.5000	51
4294969590	527.2634	0.3360	1200	0.4000	0,2,3	0.5000	11
68719478905	152.9591	-0.2165	200	0.4000	3,0,2	0.5000	50

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967821	490	4294968045	0.1605	27748	27871
4294967988	491	4294968045	-0.3673	27749	27881
4294968267	491	497	0.2622	27918	27950
4294968187	504	4294968045	-0.2827	27749	27792
4294968158	494	498	0.4476	27937	28000
8589935077	481	507	-0.3280	27852	27772
12884902855	483	4294968045	-0.2544	27654	27785
831	495	504	-0.2065	27974	27963
900	494	504	0.0545	27957	27929
977	504	920	0.9455	27926	27972
8589935352	507	4294968045	-0.5190	27677	27979
12884902723	488	4294968045	-0.0174	27721	27993
769	488	504	-0.0031	27980	27961
4294968146	491	920	-0.2998	27887	27894
4294967807	502	507	-0.2996	27911	27980
8589935197	479	497	0.9531	27946	27976
531	481	514	-0.2865	27999	27895
8589935230	481	4294968045	-0.5159	27689	27986
4294968008	497	502	-0.1861	27850	27597
12884902400	920	4294968045	-0.1302	27660	27922
535	490	502	-0.0580	27999	27996
12884902388	479	4294968045	-0.2602	27722	27912
12884902389	494	4294968045	-0.2696	27664	27886
4294968075	481	491	0.7623	27879	27988
4294968037	483	514	0.2192	27891	27942
17179869981	498	4294968045	-0.1596	27731	27998
4294967981	495	514	-0.2867	27870	27992
890	479	491	-0.4879	27964	27923
12884902621	498	920	-0.6624	27880	27984
4294968064	479	514	-0.2383	27913	27886
666	479	507	-0.2861	27989	27945
546	483	495	-0.0768	27998	27834
4294967973	483	497	-0.3427	27962	27822
653	504	514	-0.4454	27990	27919
792	483	488	-0.5623	27977	27928
735	498	507	0.7734	27983	27981
4294967969	488	514	-0.2167	27918	27679
665	497	504	-0.2672	27989	27766
778	498	514	-0.4616	27979	27965
4294968128	491	504	-0.2645	27854	27920
976	481	920	0.0008	27926	27812
802	488	498	-0.3220	27976	27959
759	502	504	-0.1032	27981	27724
4294968007	495	920	0.1461	27882	27970
869	487	491	-0.0000	27969	31
966	490	498	-0.2884	27929	27638
17179870054	497	4294968045	-0.3371	27674	27698
775	483	490	0.1152	27979	27961
765	491	507	-0.1563	27980	27967
4294968132	479	481	0.9960	27855	27998
8589935390	479	920	0.8699	27916	27993
8589935306	483	920	-0.2736	27882	27883
8589935085	483	502	-0.3763	27895	27934
568	481	488	-0.2605	27996	27965
4294968179	488	495	-0.1416	27857	27978
12884902725	495	4294968045	-0.4017	27743	27963
771	488	507	0.1049	27980	27956
572	488	502	0.0435	27996	27903
4294968191	497	514	-0.3465	27935	27865
574	483	507	-0.1427	27996	27902
781	481	504	0.2317	27979	27935
8589935221	507	920	0.9960	27925	27998
4294968230	481	494	0.0335	27888	27991
896	490	504	-0.1703	27960	27424
4294968052	497	920	0.9047	27892	27950
17179869911	514	4294968045	-0.1593	27718	27985
4294967773	507	514	-0.0313	27898	27995
4294967844	483	504	-0.2698	27944	27722
4294967832	495	502	-0.0969	27961	27630
806	495	497	0.2684	27976	27975
585	494	495	0.6434	27995	27919
586	479	495	0.0233	27995	27983
716	479	504	0.5153	27984	27994
4294967922	494	514	0.4051	27966	27991
804	491	495	-0.3158	27976	27848
803	490	507	-0.2172	27976	27751
959	491	514	-0.3405	27930	27980
754	481	490	-0.1984	27981	27987
593	479	498	-0.2618	27994	27864
933	494	920	-0.5042	27942	27912
8589935134	490	494	0.9782	27946	27989
910	481	495	-0.4838	27955	27967
855	498	504	-0.1725	27971	27964
598	494	507	-0.0184	27994	27973
599	495	507	-0.1804	27994	27961
917	483	498	-0.3432	27950	27875
4294968013	490	514	-0.1144	27946	27978
4294968101	483	494	-0.2011	27890	27963
930	514	920	-0.1918	27942	27976
8589935479	479	494	-0.3338	27925	27946
943	504	507	0.0353	27940	27864
942	491	494	-0.2916	27940	27846
787	481	498	0.8091	27978	27997
4294968090	491	498	0.1757	27954	27960
885	490	497	-0.3230	27965	27964
963	481	502	0.8056	27929	27892
12884902552	497	507	-0.4219	27938	27972
612	488	490	-0.1343	27993	27998
747	495	498	0.2523	27982	27990
880	479	483	-0.1502	27965	27976
941	488	920	-0.0197	27940	27998
940	488	494	0.8816	27940	27993
4294967977	479	490	-0.3039	27935	27920
873	491	502	-0.1658	27969	27658
795	494	502	-0.0851	27977	27861
812	481	483	-0.2445	27975	27948
4294968168	498	502	0.7905	27952	27989
4294968087	488	497	-0.4972	27937	27833
974	483	491	-0.4003	27926	27992
4294967900	494	497	-0.2601	27962	27759
8589935203	490	920	-0.5753	27919	27942
908	483	486	-0.0000	27955	45
627	490	491	-0.3927	27992	27856
705	481	497	-0.1301	27986	27794
893	479	502	-0.2926	27961	27953
720	479	488	-0.2436	27984	27964
4294968140	488	491	0.5039	27968	27997
905	497	498	-0.3222	27956	27918
4294968227	502	920	-0.1956	27920	27933
4294968253	490	495	-0.0185	27916	27900
4294967839	502	514	-0.2737	27957	27870
8589935445	502	4294968045	-0.1293	27720	27982
8589935112	502	25769804326	0.0889	27384	27849
8589935188	490	8589935137	-0.2867	27385	27827
4294968039	498	25769804326	-0.2298	27385	27716
8589935459	514	25769804326	-0.0589	27387	27973
4294968269	494	25769804326	-0.4403	27388	27939
8589935169	507	25769804326	-0.2731	27389	27929
12884902695	502	8589935137	-0.0438	27434	27965
4294967954	497	25769804326	0.1977	27396	27921
4294967776	481	25769804326	-0.3554	27396	27922
4294967814	490	25769804326	-0.3008	27398	27981
25769804623	507	8589935137	-0.1943	27429	27887
12884902799	504	25769804326	-0.2837	27398	27804
21474837378	4294968045	8589935137	-0.0584	27413	28000
21474837358	481	8589935137	0.0494	27429	27996
21474837308	488	8589935137	-0.3063	27419	27765
30064771619	920	8589935137	-0.2546	27448	27883
21474837412	491	8589935137	-0.4614	27445	27985
21474837260	497	8589935137	-0.3118	27443	27915
17179869694	495	8589935137	-0.0799	27441	27925
12884902740	514	8589935137	-0.1034	27439	27993
12884902733	504	8589935137	-0.0774	27438	27958
12884902609	479	8589935137	-0.5555	27438	27979
17179869957	494	8589935137	0.5038	27437	27968
17179870045	498	8589935137	-0.4898	27435	27778
12884902633	495	25769804326	0.7111	27383	27943
8589935241	920	25769804326	-0.0326	27383	27976
8589935544	4294968045	25769804326	0.0211	27381	27932
25769804586	8589935137	25769804326	-0.2776	27376	27951
21474836969	483	25769804326	0.9900	27375	27995
17179869802	491	25769804326	-0.2859	27374	27983
21474837037	488	25769804326	-0.1746	27367	27549
21474837237	479	25769804326	0.9704	27353	27985
4294967876	481	34359739153	-0.0000	27316	684
38654706449	483	8589935137	-0.1234	27305	27851
4294967834	514	8589935540	-0.4313	26746	27878
4294968054	479	4294968271	-0.1506	27087	27972
4294968202	4294968045	4294968271	-0.1032	27085	27350
8589935268	920	4294968271	-0.0221	27083	27774
8589935101	494	4294968271	-0.2532	27096	27907
