# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
491	2488.1602	0.1300	2001	0.4000	3,3,2	0.5000	62
476	2928.8965	-0.0483	2001	0.4000	1,1,3	0.5000	23
477	3967.9717	0.1820	2001	0.4000	3,1,3	0.5000	55
4294968227	1636.0405	-0.1955	1900	0.4000	3,3,1	0.5000	61
514	3983.3462	0.4614	2001	0.4000	2,2,2	0.5000	42
480	4531.0620	0.4021	2001	0.4000	0,3,3	0.5000	15
4294968166	2793.4634	0.1024	1950	0.4000	3,0,2	0.5000	50
500	5158.0928	0.2809	2001	0.4000	2,2,0	0.5000	40
502	3963.3269	0.0811	2001	0.4000	0,1,2	0.5000	6
497	2064.9453	0.3336	2001	0.4000	0,2,3	0.5000	11
485	1534.4526	0.1717	2001	0.4000	2,0,3	0.5000	35
513	2657.6748	0.1123	2001	0.4000	2,0,2	0.5000	34
487	1042.5797	-0.2480	2001	0.4000	1,3,3	0.5000	31
499	2121.3979	0.4231	2001	0.4000	3,3,2	0.5000	62
506	3504.5649	-0.1457	2001	0.4000	3,3,0	0.5000	60
504	3279.9741	0.1652	2001	0.4000	2,0,2	0.5000	34
8589935101	1199.4414	0.0966	1850	0.4000	2,1,1	0.5000	37
4294967977	3190.4575	0.2750	1800	0.4000	0,2,2	0.5000	10
4294967813	2048.9346	0.0004	1750	0.4000	1,1,1	0.5000	21
8589935087	2790.6021	-0.0673	1700	0.4000	3,3,0	0.5000	60
12884902813	2910.2620	-0.1316	1650	0.4000	2,2,1	0.5000	41
8589935390	4236.4795	0.4531	1600	0.4000	0,2,2	0.5000	10
4294968052	3130.7664	0.4440	1550	0.4000	3,3,2	0.5000	62
4294968006	2738.1138	0.4859	1500	0.4000	2,1,3	0.5000	39
8589935384	3156.1387	0.3051	1450	0.4000	2,1,0	0.5000	36
8589935413	3554.1382	0.0156	1400	0.4000	2,2,2	0.5000	42
4294967944	3755.0791	0.1358	1350	0.4000	3,3,3	0.5000	63
4294968188	2955.9612	-0.1100	1300	0.4000	3,3,3	0.5000	63
4294968215	3066.0320	0.0088	1250	0.4000	1,3,1	0.5000	29
4294967966	2856.4163	0.1589	1200	0.4000	3,2,0	0.5000	56
4294968077	2299.2493	0.0454	1150	0.4000	1,1,2	0.5000	22
963	3356.5000	0.2006	1100	0.4000	0,2,0	0.5000	8
999	3017.5127	0.0363	1050	0.4000	1,3,1	0.5000	29
1030	2022.5798	-0.2373	1000	0.4000	0,0,1	0.5000	1
1062	2760.4795	-0.1223	950	0.4000	0,0,0	0.5000	0
1093	2497.0393	-0.0860	900	0.4000	0,1,0	0.5000	4
1124	1798.3704	0.1811	850	0.4000	1,3,1	0.5000	29
1165	2032.1592	-0.1143	800	0.4000	0,1,2	0.5000	6
1199	1316.5327	-0.2383	750	0.4000	3,0,1	0.5000	49
1242	1579.0645	0.3730	700	0.4000	2,2,0	0.5000	40
1283	2076.6699	-0.1909	650	0.4000	2,3,2	0.5000	46
1319	1382.8243	-0.2541	600	0.4000	0,0,0	0.5000	0
1356	1915.3589	-0.0171	550	0.4000	2,0,1	0.5000	33
1393	1815.1287	-0.0129	500	0.4000	0,3,2	0.5000	14
1442	1229.2969	-0.0808	450	0.4000	2,3,0	0.5000	44
1486	1449.3230	0.3352	400	0.4000	2,2,1	0.5000	41
1534	1539.1743	0.3804	350	0.4000	0,3,0	0.5000	12
1584	945.6208	0.3330	300	0.4000	3,1,0	0.5000	52
1628	1123.1614	0.3247	250	0.4000	1,1,0	0.5000	20
1680	616.5847	0.4710	200	0.4000	3,1,3	0.5000	55
1719	569.1106	-0.0544	150	0.4000	2,1,2	0.5000	38
1772	319.6394	-0.0144	100	0.4000	1,0,1	0.5000	17
1825	364.2612	0.3838	50	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
515	476	480	-0.2222	2000	1959
8589935256	476	497	-0.2868	1894	1939
8589935372	487	491	-0.0140	1881	1514
4294968029	485	500	-0.3357	1896	1727
4294968116	497	499	-0.3793	1915	1909
8589935408	485	513	-0.1385	1896	1868
8589935289	499	506	-0.1858	1920	1785
8589935483	487	506	0.4505	1904	1920
4294968209	477	504	0.1577	1955	1793
4294967780	514	4294968166	-0.1166	1878	1906
4294968171	513	4294968166	-0.1570	1937	1812
4294968073	487	4294968166	-0.0497	1902	1759
901	487	514	-0.3276	1965	1967
4294968182	485	504	-0.0097	1903	1858
529	506	514	-0.1708	2000	1968
776	497	514	0.9763	1979	1988
4294967880	485	4294968166	-0.2318	1947	1951
8589935078	485	491	0.0713	1881	1932
4294967774	480	4294968166	0.6123	1896	1963
8589935245	485	502	-0.3372	1950	1912
8589935088	497	502	-0.2485	1925	1935
4294967929	499	504	-0.1680	1951	1761
4294968174	489	513	0.0004	1940	60
8589935332	476	502	0.9821	1868	1991
4294968038	477	4294968227	0.3270	1882	1979
4294968041	480	514	0.2057	1915	1926
4294968200	513	4294968227	0.0751	1869	1866
932	476	506	0.0208	1957	1818
731	502	513	-0.1893	1984	1900
8589935499	500	4294968227	-0.0563	1870	1521
4294967804	497	4294968227	-0.2795	1875	1999
4294968053	497	513	-0.2134	1953	1942
4294968185	480	497	-0.4242	1936	1970
933	477	502	0.5244	1957	1976
8589935532	502	4294968227	0.6709	1884	1975
4294967821	504	513	-0.0892	1931	1654
4294967873	487	513	-0.4466	1887	1966
715	491	502	-0.1711	1985	1502
4294968050	500	4294968166	0.4543	1938	1823
4294968144	477	485	-0.4013	1940	1982
4294968030	487	502	-0.2380	1918	1880
4294967975	497	500	-0.2775	1923	1994
4294967790	476	514	-0.3076	1915	1890
824	491	504	0.9841	1974	1992
8589935179	504	506	-0.0433	1923	1940
4294968159	491	4294968227	-0.3577	1888	1925
883	497	504	-0.2401	1967	1849
8589935521	502	4294968166	-0.3182	1931	1969
8589935375	491	506	-0.2656	1888	1931
784	480	500	-0.1559	1978	1678
565	480	487	-0.1186	1997	1789
4294968216	476	477	-0.3242	1912	1986
4294967799	506	4294968166	-0.1409	1946	1720
836	500	513	-0.2209	1973	1871
569	499	500	-0.2306	1997	1963
4294968031	485	497	-0.2999	1948	1903
874	499	514	-0.3068	1968	1903
4294968155	487	497	-0.3396	1938	1927
801	502	506	0.4381	1977	1998
4294968089	487	499	-0.2602	1930	1683
702	491	497	0.1216	1986	1865
4294968067	491	500	0.9138	1949	1955
8589935423	477	506	0.1126	1934	1823
819	491	513	-0.2970	1974	1847
579	480	485	-0.1182	1996	1977
8589935119	477	491	-0.2835	1942	1990
908	480	513	-0.2514	1961	1707
4294968143	499	4294968166	0.7387	1938	1970
843	485	499	-0.0220	1972	1975
8589935351	491	4294968166	-0.2795	1890	1687
4294967942	476	500	0.9361	1963	1967
586	504	514	-0.2380	1996	1954
865	487	504	-0.0957	1969	1886
4294968207	491	499	-0.2516	1949	1989
12884902768	499	502	-0.2292	1890	1795
888	480	502	-0.2918	1966	1959
4294967786	476	485	-0.2866	1945	1820
592	476	513	-0.3009	1996	1723
12884902713	485	487	0.2947	1943	1974
942	477	480	-0.0802	1956	1943
4294968051	477	500	0.4256	1927	1971
833	500	502	0.3724	1973	1984
885	500	504	-0.1816	1967	1674
598	485	514	-0.1017	1995	1850
4294968014	481	503	-0.0097	1947	53
720	477	499	-0.0050	1984	1746
723	480	491	-0.3701	1984	1946
684	487	500	0.1503	1988	1972
4294967784	477	487	-0.0909	1937	1715
835	480	504	0.0632	1973	1857
605	476	491	-0.0956	1994	1056
834	502	504	-0.0411	1973	1986
8589935453	4294968166	4294968227	-0.3795	1890	1970
4294967984	480	506	-0.2057	1934	1861
4294967785	476	487	-0.4820	1939	1940
918	499	513	0.9493	1960	1974
