# tick 28000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4294970526	3429.5493	0.1684	11450	0.4000	2,0,2	0.5000	34
4294977694	508.3315	0.2604	15250	0.4000	3,0,0	0.5000	48
8589941882	1675.5562	-0.1144	3800	0.4000	0,0,2	0.5000	2
4294968468	1363.9265	-0.2720	11200	0.4000	1,0,2	0.5000	18
4294968692	4114.2017	-0.1973	9850	0.4000	1,0,2	0.5000	18
480	33.0620	0.4021	28001	0.4000	0,3,3	0.5000	15
4294974712	963.9355	-0.1329	11250	0.4000	0,1,3	0.5000	7
12884914874	1057.3445	0.4213	13250	0.4000	3,1,2	0.5000	54
502	2405.3271	0.0811	28001	0.4000	0,1,2	0.5000	6
4294972912	607.7126	-0.2569	10300	0.4000	1,1,2	0.5000	22
12884905549	2909.6147	0.1389	2750	0.4000	2,1,1	0.5000	37
4294981589	1920.3882	0.1137	11350	0.4000	3,2,0	0.5000	56
4294969837	2858.3245	0.2593	1050	0.4000	1,3,1	0.5000	29
4294973850	3310.4771	-0.1022	12800	0.4000	2,1,2	0.5000	38
12884903623	3955.9814	0.0880	2350	0.4000	0,2,2	0.5000	10
12884903893	3659.7778	0.4163	4200	0.4000	2,0,2	0.5000	34
12884915092	1591.8015	-0.2222	4800	0.4000	3,1,0	0.5000	52
4294967977	300.4575	0.2750	27800	0.4000	0,2,2	0.5000	10
4294974633	612.0872	-0.2040	13500	0.4000	1,2,0	0.5000	24
8589936527	3086.5037	0.0017	2650	0.4000	0,2,3	0.5000	11
30064783248	1782.8110	0.1587	3750	0.4000	1,0,0	0.5000	16
4294975431	1593.8281	-0.1812	5450	0.4000	2,3,2	0.5000	46
12884903476	2104.8535	0.1267	4550	0.4000	1,0,1	0.5000	17
4294969201	256.3086	0.0644	11400	0.4000	3,3,3	0.5000	63
21474840890	3940.0569	0.3407	4300	0.4000	3,1,0	0.5000	52
8589943106	2425.0125	0.0326	2050	0.4000	1,1,3	0.5000	23
4294976846	2261.0347	0.4727	12700	0.4000	3,1,2	0.5000	54
4294975815	1857.8667	0.2579	10850	0.4000	1,3,2	0.5000	30
4294968215	2887.0322	0.0088	27250	0.4000	1,3,1	0.5000	29
4294967966	628.4160	0.1589	27200	0.4000	3,2,0	0.5000	56
4294979502	4472.3984	-0.0948	10650	0.4000	3,2,1	0.5000	57
4294977040	262.2971	0.3522	12200	0.4000	0,3,2	0.5000	14
17179877906	1756.1560	0.3264	4450	0.4000	0,2,1	0.5000	9
3422	941.7349	0.3394	24800	0.4000	2,0,3	0.5000	35
12884910136	2957.1387	0.1814	9300	0.4000	3,3,0	0.5000	60
4294970252	2613.8091	0.3504	12250	0.4000	1,1,1	0.5000	21
4294973047	1293.3740	0.3133	14400	0.4000	1,1,1	0.5000	21
4294977340	1860.0148	0.4993	10400	0.4000	0,2,0	0.5000	8
4294978185	2845.7070	-0.1820	13600	0.4000	3,2,2	0.5000	58
12884905434	2155.7073	-0.2887	9700	0.4000	3,3,2	0.5000	62
8589937982	4369.7944	-0.0139	5550	0.4000	2,2,1	0.5000	41
4294979142	1922.8306	-0.1070	10700	0.4000	3,2,2	0.5000	58
4294980338	1238.2231	0.4514	9950	0.4000	2,1,2	0.5000	38
8589935849	2757.5054	-0.0351	4000	0.4000	2,3,3	0.5000	47
4294970169	1478.4736	-0.1261	14150	0.4000	1,3,3	0.5000	31
8589935649	3559.9844	0.3539	10350	0.4000	3,2,0	0.5000	56
4294981967	2460.2529	0.1687	10550	0.4000	3,1,3	0.5000	55
4294970524	3279.7397	0.0712	10800	0.4000	2,0,1	0.5000	33
4294971245	2266.0774	-0.0912	12100	0.4000	0,2,0	0.5000	8
25769816444	1532.1538	0.3859	4050	0.4000	3,3,2	0.5000	62
4294978579	2075.5186	-0.2027	8650	0.4000	0,2,0	0.5000	8
1772	1958.6396	-0.0144	26100	0.4000	1,0,1	0.5000	17
17179876305	3449.7759	0.2756	2800	0.4000	3,0,2	0.5000	50
1880	2408.0532	0.1813	26000	0.4000	3,2,0	0.5000	56
4294970936	2621.5684	0.0823	14750	0.4000	1,2,2	0.5000	26
1982	188.1631	-0.1627	25900	0.4000	1,2,0	0.5000	24
4294977956	2439.8066	-0.0624	1250	0.4000	2,0,1	0.5000	33
17179871379	2599.2688	0.1332	2250	0.4000	3,2,0	0.5000	56
2152	1175.8379	0.1569	25750	0.4000	2,1,1	0.5000	37
4294979267	2066.8730	-0.1786	11150	0.4000	1,1,1	0.5000	21
12884907928	2344.8809	0.0141	2950	0.4000	0,2,3	0.5000	11
4142	1487.3110	-0.0462	24350	0.4000	2,0,1	0.5000	33
2395	3653.0791	-0.1402	25550	0.4000	1,0,3	0.5000	19
25769818341	3392.3789	-0.1489	1450	0.4000	2,0,3	0.5000	35
8589941268	4632.2964	0.4711	3950	0.4000	3,0,3	0.5000	51
4294969588	1465.2706	0.2481	2300	0.4000	3,3,0	0.5000	60
12884907824	214.1188	0.4491	10250	0.4000	0,1,1	0.5000	5
4294976550	5030.8408	-0.1238	10600	0.4000	3,0,3	0.5000	51
8589943528	112.8281	0.2218	13700	0.4000	0,2,1	0.5000	9
30064784223	1347.2095	0.0076	5250	0.4000	1,1,0	0.5000	20
4294972281	2498.1426	0.2527	9800	0.4000	3,0,2	0.5000	50
4294972172	3087.8811	0.1102	11900	0.4000	2,3,3	0.5000	47
4294977965	361.6836	-0.0928	11650	0.4000	0,3,2	0.5000	14
4294968448	2402.0864	0.0432	10500	0.4000	1,3,3	0.5000	31
7533	1358.3525	-0.2962	22650	0.4000	0,0,3	0.5000	3
8589946433	1090.4111	-0.2803	4150	0.4000	3,0,1	0.5000	49
4294969289	3451.8506	-0.1391	14000	0.4000	1,2,1	0.5000	25
8589937189	7390.2417	0.3376	5650	0.4000	2,0,2	0.5000	34
4294971050	2089.5732	0.0443	13800	0.4000	1,2,1	0.5000	25
4294970837	857.0527	0.0545	11800	0.4000	1,0,2	0.5000	18
4294975392	1898.8408	0.2118	12600	0.4000	1,1,1	0.5000	21
8589939119	982.1328	0.1338	4500	0.4000	1,1,2	0.5000	22
12884911349	2833.3557	-0.0982	2700	0.4000	1,1,2	0.5000	22
12884907685	1084.6594	0.2408	4250	0.4000	1,1,2	0.5000	22
8589937880	3729.3594	-0.0452	4100	0.4000	3,0,3	0.5000	51
34359746570	2787.3110	0.2728	3900	0.4000	1,3,3	0.5000	31
8589938488	2437.2334	-0.2590	3850	0.4000	0,3,0	0.5000	12
8589941891	2434.6538	-0.1039	3700	0.4000	3,3,3	0.5000	63
8589938941	2714.1648	0.1312	3650	0.4000	2,2,2	0.5000	42
8589937796	764.3754	0.3315	3600	0.4000	0,1,1	0.5000	5
8589947192	2309.1807	-0.0042	3550	0.4000	2,0,2	0.5000	34
17179881396	4804.2559	0.0749	3500	0.4000	0,3,3	0.5000	15
12884905267	1393.1621	0.0890	3450	0.4000	3,2,1	0.5000	57
8589936563	1605.6759	0.3961	3400	0.4000	3,1,1	0.5000	53
34359741329	2596.3684	-0.0057	3350	0.4000	1,2,1	0.5000	25
25769809722	4094.0884	-0.0760	3300	0.4000	0,2,1	0.5000	9
12884905958	3006.8196	0.3027	3250	0.4000	3,1,0	0.5000	52
8589939735	2624.4810	-0.2173	3200	0.4000	1,3,1	0.5000	29
25769806479	3755.0098	-0.1970	3150	0.4000	3,3,1	0.5000	61
25769816756	4281.6602	0.3216	3100	0.4000	2,0,3	0.5000	35
12884911090	1660.7052	0.2628	3050	0.4000	0,1,1	0.5000	5
21474840237	3001.4751	-0.2917	3000	0.4000	3,1,0	0.5000	52
12884904607	3423.5713	0.4746	2900	0.4000	3,0,3	0.5000	51
12884911018	2947.0347	-0.2703	2850	0.4000	0,2,1	0.5000	9
8589943290	3386.8945	-0.0841	2600	0.4000	2,0,3	0.5000	35
12884906267	2787.5830	0.3103	2550	0.4000	0,3,2	0.5000	14
12884911218	4496.0078	0.4908	2500	0.4000	1,0,2	0.5000	18
8589939334	3902.1689	0.1416	2450	0.4000	0,2,0	0.5000	8
12884906069	4236.1279	0.0314	2400	0.4000	1,1,3	0.5000	23
8589945044	4675.0166	0.0906	2200	0.4000	1,2,1	0.5000	25
4294970189	2423.3550	-0.2629	2150	0.4000	1,3,2	0.5000	30
4294970205	3531.7412	0.1594	2100	0.4000	3,0,2	0.5000	50
17179874842	2654.7334	0.2866	2000	0.4000	1,2,2	0.5000	26
4294973900	3160.7122	0.1360	1950	0.4000	0,3,0	0.5000	12
17179869793	3323.0352	0.1115	1900	0.4000	0,2,0	0.5000	8
12884911024	2212.2144	0.1769	1850	0.4000	1,1,0	0.5000	20
17179874010	2838.3677	0.2668	1800	0.4000	0,0,2	0.5000	2
8589943133	3269.8359	0.2512	1750	0.4000	1,1,2	0.5000	22
12884911064	3069.3618	-0.2057	1700	0.4000	1,0,2	0.5000	18
8589947924	3464.6475	-0.0133	1650	0.4000	1,0,1	0.5000	17
12884903931	1803.9189	0.1060	1600	0.4000	0,1,0	0.5000	4
8589940537	3001.8076	0.2672	1550	0.4000	2,2,0	0.5000	40
8589940125	3408.6201	0.4324	1500	0.4000	0,0,2	0.5000	2
8589946477	3822.8469	0.4915	1400	0.4000	2,2,2	0.5000	42
8589946841	2557.2476	0.3739	1350	0.4000	1,0,0	0.5000	16
12884909587	2859.4790	-0.0054	1300	0.4000	0,0,0	0.5000	0
8589942421	3315.9170	-0.1170	1200	0.4000	1,1,3	0.5000	23
12884911886	2559.1272	-0.1543	1150	0.4000	0,0,1	0.5000	1
8589938104	2085.9417	0.2819	1100	0.4000	3,0,0	0.5000	48
8589935574	2963.6543	0.0817	1000	0.4000	2,0,1	0.5000	33
8589937995	1887.6489	-0.1530	950	0.4000	2,3,3	0.5000	47
17179877680	2179.8970	-0.2346	900	0.4000	0,0,2	0.5000	2
4294972014	423.1836	0.2435	850	0.4000	3,2,1	0.5000	57
8589947157	2123.3691	0.2920	800	0.4000	0,0,2	0.5000	2
8589945537	2637.1641	-0.0775	750	0.4000	2,1,3	0.5000	39
8589939271	1237.4861	0.2565	700	0.4000	2,1,3	0.5000	39
12884904955	2154.9888	0.2021	650	0.4000	1,0,1	0.5000	17
4294970127	1869.7080	0.3581	600	0.4000	2,3,2	0.5000	46
21474840568	1066.8181	-0.0793	550	0.4000	0,3,3	0.5000	15
8589949084	1407.7419	0.3903	500	0.4000	0,3,1	0.5000	13
8589937646	1146.1982	-0.2376	450	0.4000	3,3,1	0.5000	61
8589947225	1554.4683	0.0623	400	0.4000	2,0,0	0.5000	32
21474843526	1150.0208	0.2555	350	0.4000	0,1,3	0.5000	7
21474850805	396.3761	0.3730	300	0.4000	3,1,3	0.5000	55
8589940368	780.2994	0.2871	250	0.4000	0,0,0	0.5000	0
4294971308	582.9799	0.3527	200	0.4000	1,1,0	0.5000	20
4294980219	489.0381	0.1986	150	0.4000	3,1,2	0.5000	54
4294973127	139.0470	0.0362	100	0.4000	1,2,0	0.5000	24
8589935166	208.8012	0.4960	50	0.4000	3,3,3	0.5000	63

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
12884905299	4294970524	8589937189	-0.2053	5509	27991
8589947494	4294981589	12884905449	-0.0000	7576	20424
8589940065	8589938488	34359746570	-0.1979	3752	27797
12884910139	4294981967	12884915092	-0.2832	4765	27948
12884906481	4294972912	4294979502	-0.2701	10209	27902
12884914906	4294970252	8589941339	-0.0000	6972	21028
12884914330	4294978185	8589940910	-0.0000	6834	21166
4294970280	1772	17179871379	0.6582	2212	27992
21474839456	8589937189	12884914874	-0.0911	5568	27641
8589943938	8589946433	12884903476	-0.1677	4120	27789
4294976469	4142	12884908515	-0.0000	16320	11680
12884903087	4294978579	4294981967	-0.0666	8519	27954
4294974563	8589940537	8589947924	0.0921	1420	27965
8589936160	7533	8589937189	-0.1125	5510	27710
4294970301	12884910136	12884911218	0.9940	2212	27997
12884907198	4142	21474840890	0.1031	4276	27787
12884909776	4294979142	21474840417	-0.0000	5840	22160
8589940596	4294973850	12884908222	-0.0000	6731	21269
21474845175	4294974633	8589937880	-0.2206	3973	27858
8589940742	4294971050	4294978579	0.3229	8022	27986
12884905029	12884911018	21474840237	-0.0547	2632	27336
12884904691	4294969588	12884907824	-0.2383	2297	27911
17179870813	502	4294968448	-0.0782	10121	27642
12884904271	4294974712	38654712185	-0.0000	5583	22417
4294980439	3422	4294968468	0.0076	11149	27543
12884913732	8589935649	8589938688	-0.0000	7627	20373
8589937026	4294981589	8589937189	0.0592	5583	27248
8589945159	4294967966	4294977694	-0.1309	14967	27961
12884906405	4294970936	8589946003	-0.0000	14558	13442
8589937455	4294970169	8589939334	-0.0892	2327	27858
4294974562	8589939334	8589940125	0.4476	1421	27651
4294971038	4294973047	4294977956	-0.1116	1238	27971
8589938421	4294969201	12884907824	-0.0795	10211	27901
8589947361	4294979267	12884903893	0.3131	4158	27990
12884908615	4294971050	21474845649	-0.0000	7245	20755
21474843856	4294968215	12884911090	-0.1126	2924	27868
12884913295	21474840237	21474840890	-0.2662	2924	27945
17179881934	2395	8589937189	-0.2746	5576	27924
8589940583	1982	4294973047	-0.0727	14165	27758
12884907114	4294970189	4294972172	0.0971	2011	27817
4294971618	480	4294968692	-0.0359	9794	27602
4294979575	502	4294968468	-0.0283	11171	27603
8589939306	4294974712	8589940125	0.1664	1421	27997
4294978812	1880	4294968448	-0.1163	10466	27714
8589936531	17179871379	17179877906	-0.2148	2213	27646
17179881068	4294970526	4294971245	0.0716	11379	27979
8589944549	12884903623	30064783248	-0.2533	2327	27923
17179879813	12884903893	12884909587	-0.1371	1238	27464
8589947000	4294975431	4294979267	0.0079	5428	27636
47244651965	4294969837	4294971050	0.1358	1030	28000
8589937116	8589941268	8589943528	0.9342	3912	27966
3566	1880	3422	-0.2602	24714	27944
4294974647	502	4294970169	0.0822	14105	27915
12884916068	8589936527	12884907685	-0.2899	2632	27939
21474838427	4294979267	12884915092	-0.1022	4766	27900
8589941149	8589940537	12884903931	0.0593	1422	27687
12884912774	8589937189	12884910136	-0.0377	5579	27986
21474845615	12884911349	12884915092	-0.0221	2651	27867
12884909764	4294968692	8589939334	-0.1535	2328	27862
8589943124	4294970936	4294975431	0.1468	5438	27932
12884911226	4294970252	12884909786	-0.0000	5428	22572
12884913716	4294969201	8589935849	-0.1329	3974	27804
12884904974	12884907685	12884911349	-0.1452	2633	27862
8589941024	4294975431	4294977040	0.0497	5439	27899
17179878007	4294974712	30064784223	0.0048	5197	27707
17179872948	4294970837	12884907928	-0.2227	2926	27919
8589938141	4294967966	4294973047	-0.1131	14169	27971
4294968573	7533	4294970524	-0.2100	10760	27814
17179873199	4294977694	12884915092	-0.0955	4768	27493
12884902796	12884905549	12884914874	-0.1300	2634	27993
8589941703	4294970524	8589938488	-0.0289	3714	26870
12884903135	4294968692	4294972912	-0.0585	9768	27705
12884916145	4294975431	4294978185	-0.0330	5441	27739
4294970105	1982	4294973850	-0.0308	12552	27865
21474843456	4294970936	8589937189	0.1929	5594	27934
888	480	502	-0.1299	27966	27899
4294968429	12884907928	17179876305	0.1985	2652	27912
17179879234	4294978579	8589935649	0.0928	8229	27757
8589939650	4294968215	4294975392	-0.0718	12497	27530
8589939337	4294974712	12884911018	-0.0118	2695	27873
17179872568	4294979142	21474840237	-0.1070	2926	27960
8589938623	12884914874	21474841795	-0.0000	6267	21733
8589939674	4294974712	4294975431	-0.1021	5170	27819
12884904926	4294970936	17179876305	-0.0816	2763	27757
4294968014	481	503	-0.0000	27947	53
8589943710	4294969201	8589943106	-0.1048	2012	27974
8589941780	8589935649	12884907685	-0.0587	3912	27767
8589936738	4294968468	4294981967	-0.1607	10451	27967
4294975552	4294969289	4294975431	-0.0547	5441	27592
12884908854	4294979267	8589935849	-0.1616	3975	27502
8589937613	8589937880	25769816444	0.1627	4009	27992
4294972316	4294971245	8589935649	-0.2052	10171	27997
8589944540	7533	25769816444	-0.0416	3912	27121
8589944399	4294968692	12884903623	-0.0351	2329	27240
4294970956	4294971050	4294974712	0.0038	11047	27990
8589942946	4294969588	12884903476	-0.0868	2298	27449
8589941616	4294979502	8589935849	0.0986	3912	27881
4294968348	1982	4294981967	0.9074	10498	27996
8589942749	8589938488	12884907824	-0.3102	3752	27974
21474848620	12884903476	12884907928	-0.0362	2926	27912
8589935295	480	4294973850	-0.0509	12764	27243
8589935895	8589938488	17179876305	0.1176	2763	27888
8589938635	4294970252	8589943106	-0.0121	2013	27842
4294980731	4294969289	4294970837	-0.0962	11767	27978
8589947382	4294978185	8589937982	0.0985	5486	27992
8589944966	8589937982	12884903893	-0.1353	3975	27881
8589943322	8589937982	12884910136	-0.2963	5440	27992
8589944024	8589940537	34359746570	-0.1591	1422	27652
17179869987	4294977340	4294978185	-0.0040	10213	27944
8589938472	8589945044	12884906267	0.0980	2013	27849
8589939807	4294970837	4294972912	-0.1685	10171	27924
12884916133	4294972172	4294975431	-0.2228	5441	27888
17179883922	8589936563	12884911018	-0.1256	2634	27769
4294973824	4294979142	12884914874	0.4266	10563	27997
4294969276	4294967966	4294979502	-0.0988	10274	27480
4294971069	4294970189	4294977956	-0.0268	1239	27843
21474848551	1772	4294970526	-0.0086	11331	27997
25769816402	4294969837	8589945044	0.1401	1030	27676
4294975956	4294970526	4294975815	-0.0124	10666	27335
12884912974	7533	4294975431	-0.1339	5431	27745
12884907038	4294972172	4294978579	-0.0167	8343	27893
4294968319	8589938941	12884911349	-0.1522	2696	27842
12884907155	4294975392	8589937880	-0.1616	4009	27806
17179879544	4294971245	4294981589	-0.2604	11316	27993
21474842675	4294978185	12884915092	-0.0296	4582	26863
12884907243	4294980338	21474840237	0.0766	2927	27851
4294968440	4294973850	12884904607	-0.1766	2652	27828
8589948732	4294969201	4294970169	-0.1869	11380	27802
12884907617	4294977956	8589937796	-0.3067	1240	27853
4294976597	4294967966	4294974633	-0.0314	13379	27685
8589941841	4294970837	8589941268	-0.0632	3913	27964
