tick	kind	agent_a	agent_b	value
0	agent_birth	501	0	54.586075
0	agent_birth	502	0	100.809204
0	agent_birth	503	0	88.025093
0	agent_birth	504	0	95.433701
0	agent_birth	505	0	137.725220
0	agent_birth	506	0	80.219086
0	agent_birth	507	0	64.516205
0	agent_birth	508	0	120.286308
0	agent_birth	509	0	146.941666
0	agent_birth	510	0	105.479927
0	agent_birth	511	0	92.945435
0	agent_birth	512	0	123.088409
0	agent_birth	513	0	57.345421
0	agent_birth	514	0	53.302074
0	agent_birth	515	0	51.862698
0	relationship_created	501	510	-0.100000
0	venture_failure	501	510	-0.100000
0	relationship_created	503	514	-0.100000
0	venture_failure	503	514	-0.100000
0	relationship_created	502	504	-0.100000
0	venture_failure	504	502	-0.100000
0	relationship_created	506	513	0.150000
0	venture_success	506	513	0.150000
0	relationship_created	505	511	-0.100000
0	venture_failure	511	505	-0.100000
0	relationship_created	507	515	-0.100000
0	venture_failure	515	507	-0.100000
1	relationship_created	501	514	-0.100000
1	venture_failure	501	514	-0.100000
1	relationship_created	503	504	-0.100000
1	venture_failure	503	504	-0.100000
1	relationship_created	506	509	0.150000
1	venture_success	506	509	0.150000
1	relationship_created	507	511	-0.100000
1	venture_failure	507	511	-0.100000
1	relationship_created	502	509	-0.100000
1	venture_failure	509	502	-0.100000
1	relationship_created	508	511	-0.100000
1	venture_failure	511	508	-0.100000
1	relationship_created	505	514	-0.100000
1	venture_failure	514	505	-0.100000
2	venture_failure	501	514	-0.199800
2	venture_failure	502	509	-0.199800
2	relationship_created	504	505	-0.100000
2	venture_failure	505	504	-0.100000
2	relationship_created	510	513	0.150000
2	venture_success	510	513	0.150000
2	relationship_created	511	513	0.150000
2	venture_success	511	513	0.150000
2	relationship_created	512	513	-0.100000
2	venture_failure	512	513	-0.100000
2	relationship_created	512	514	-0.100000
2	venture_failure	514	512	-0.100000
2	relationship_created	510	515	-0.100000
2	venture_failure	515	510	-0.100000
3	relationship_created	502	514	-0.100000
3	venture_failure	502	514	-0.100000
3	relationship_created	501	507	-0.100000
3	venture_failure	507	501	-0.100000
3	relationship_created	509	512	-0.100000
3	venture_failure	509	512	-0.100000
3	relationship_created	502	510	-0.100000
3	venture_failure	510	502	-0.100000
3	relationship_created	509	511	-0.100000
3	venture_failure	511	509	-0.100000
3	relationship_created	502	512	0.150000
3	venture_success	512	502	0.150000
3	relationship_created	502	515	0.150000
3	venture_success	515	502	0.150000
4	relationship_created	501	503	-0.100000
4	venture_failure	501	503	-0.100000
4	venture_success	502	509	-0.049002
4	relationship_created	504	507	-0.100000
4	venture_failure	504	507	-0.100000
4	venture_failure	505	514	-0.199401
4	relationship_created	502	506	-0.100000
4	venture_failure	506	502	-0.100000
4	relationship_created	506	507	-0.100000
4	venture_failure	507	506	-0.100000
4	relationship_created	506	510	-0.100000
4	venture_failure	510	506	-0.100000
4	relationship_created	503	511	0.150000
4	venture_success	511	503	0.150000
4	venture_success	512	502	0.299700
4	relationship_created	502	513	0.150000
4	venture_success	513	502	0.150000
4	relationship_created	508	515	0.150000
4	venture_success	515	508	0.150000
5	venture_failure	501	510	-0.199004
5	venture_success	502	512	0.449101
5	relationship_created	504	511	-0.100000
5	venture_failure	504	511	-0.100000
5	relationship_created	505	512	-0.100000
5	venture_failure	505	512	-0.100000
5	venture_failure	508	511	-0.199202
5	venture_failure	509	506	0.048804
6	relationship_created	504	512	-0.100000
6	venture_failure	504	512	-0.100000
6	venture_failure	506	507	-0.199600
6	relationship_created	507	509	-0.100000
6	venture_failure	507	509	-0.100000
6	venture_failure	509	506	-0.051294
6	relationship_created	507	512	-0.100000
6	venture_failure	512	507	-0.100000
7	venture_failure	501	514	-0.297810
7	relationship_created	505	515	-0.100000
7	venture_failure	505	515	-0.100000
