# tick 500
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
515	1229.8627	-0.0367	501	0.4000	2,3,3	0.5000	47
502	958.8092	0.1358	501	0.4000	0,3,0	0.5000	12
512	1114.0884	-0.2869	501	0.4000	2,2,3	0.5000	43
513	912.3455	0.4237	501	0.4000	0,0,2	0.5000	2
8589935189	243.1415	-0.2805	300	0.4000	3,0,3	0.5000	51
506	513.2191	0.0048	501	0.4000	3,2,1	0.5000	57
507	592.5162	-0.2833	501	0.4000	2,2,2	0.5000	42
508	619.2863	-0.0751	501	0.4000	1,3,3	0.5000	31
509	166.9417	-0.1932	501	0.4000	1,0,2	0.5000	18
510	1583.4800	0.4443	501	0.4000	2,3,2	0.5000	46
8589935185	38.5734	0.0176	200	0.4000	3,1,0	0.5000	52
17179869772	112.2855	0.1925	150	0.4000	2,0,2	0.5000	34
8589935190	87.4583	0.2604	50	0.4000	2,2,3	0.5000	43

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935165	515	8589935189	0.8962	299	499
602	502	507	-0.2414	473	447
8589935166	507	513	-0.6615	461	493
519	506	513	-0.8075	500	497
4294967801	502	8589935189	-0.0349	297	478
521	507	515	-0.5208	500	443
590	513	515	-0.1132	482	484
570	507	508	-0.8072	489	496
524	506	509	-0.7087	499	464
581	506	508	-0.2881	486	452
526	502	509	-0.7439	499	462
594	506	512	0.0231	478	497
600	507	510	0.9900	475	495
4294967865	508	513	0.9763	450	488
530	510	513	0.9980	498	499
12884902454	507	8589935189	-0.1465	289	478
532	512	513	-0.2465	498	457
599	509	515	-0.5644	475	349
534	510	515	-0.3261	498	384
560	508	512	1.0000	492	500
4294967879	502	508	-0.4376	468	397
537	509	512	-0.3845	497	482
538	502	510	-0.3862	497	437
579	509	513	-0.8550	487	498
540	502	512	0.7159	497	500
541	502	515	0.6719	497	496
586	510	512	-0.6491	484	401
585	509	510	0.9940	484	497
544	502	506	-0.6023	496	490
545	506	507	0.7747	496	499
546	506	510	-0.8410	496	487
564	508	510	-0.7040	491	418
548	502	513	0.8767	496	488
549	508	515	0.8841	496	500
584	508	509	-0.6544	484	488
8589935121	512	8589935189	-0.3741	292	414
4294967888	512	515	0.9920	457	496
553	507	509	-0.9900	494	495
554	507	512	-0.8450	494	427
8589935135	510	8589935189	-0.7190	293	442
563	506	515	-0.2024	491	358
8589935142	508	8589935189	-0.6999	294	450
12884902449	509	8589935189	-0.4888	294	401
17179869785	513	8589935189	0.1325	281	478
12884902406	506	8589935189	-0.1916	250	489
4294967887	513	8589935185	-0.5946	156	487
8589935169	509	8589935185	-0.2597	198	475
4294967851	508	8589935185	-0.4446	178	467
4294967885	512	8589935185	-0.1078	181	408
8589935106	515	8589935185	0.0439	185	481
8589935144	8589935185	8589935189	-0.3062	188	465
4294967892	507	8589935185	-0.1164	192	490
4294967858	502	8589935185	-0.1203	192	419
12884902463	510	8589935185	-0.3667	195	434
8589935143	508	17179869772	-0.0929	149	500
17179869755	515	17179869772	-0.0984	148	474
12884902391	512	17179869772	-0.1263	147	478
12884902413	507	17179869772	0.0592	147	500
12884902415	509	17179869772	-0.6757	147	499
12884902419	8589935189	17179869772	0.2239	143	462
12884902427	506	17179869772	0.4044	137	500
12884902446	8589935185	17179869772	0.8960	134	500
12884902456	502	17179869772	-0.2442	130	427
12884902408	513	17179869772	-0.2171	127	470
12884902399	506	8589935185	-0.1740	111	480
8589935093	510	17179869772	-0.5343	107	494
4294967855	8589935189	8589935190	0.3451	45	494
8589935179	508	8589935190	0.0499	45	470
4294967891	8589935190	17179869772	-0.3301	46	480
8589935170	502	8589935190	0.3289	38	492
8589935168	8589935185	8589935190	0.1821	37	498
12884902460	506	8589935190	-0.0497	36	478
12884902423	509	8589935190	-0.1924	35	496
17179869766	510	8589935190	0.0531	33	489
12884902468	513	8589935190	-0.1904	32	483
12884902392	515	8589935190	-0.0947	27	473
