# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	2477.4731	0.3535	2001	0.4000	1,2,1	0.5000	25
492	3635.3081	-0.0030	2001	0.4000	0,0,3	0.5000	3
4294967882	4938.4463	-0.2395	1980	0.4000	0,0,2	0.5000	2
478	5673.0400	0.4331	2001	0.4000	3,2,3	0.5000	59
479	1331.1245	-0.0857	2001	0.4000	3,2,1	0.5000	57
491	2022.1602	0.1300	2001	0.4000	3,3,2	0.5000	62
4294967924	1104.8560	-0.0316	1880	0.4000	3,1,3	0.5000	55
496	1973.8770	-0.2267	2001	0.4000	0,3,0	0.5000	12
483	1196.8284	-0.0611	2001	0.4000	0,0,1	0.5000	1
4294967942	3600.3848	0.1289	1820	0.4000	3,0,3	0.5000	51
485	1870.4526	0.1717	2001	0.4000	2,0,3	0.5000	35
4294968046	978.1692	-0.2818	1840	0.4000	3,2,2	0.5000	58
4294968032	1548.6715	0.4691	1940	0.4000	3,0,3	0.5000	51
12884902463	1761.8264	0.0497	1640	0.4000	3,0,1	0.5000	49
12884902555	2065.3396	0.1242	1680	0.4000	3,3,2	0.5000	62
4294967803	3116.8198	0.4442	1760	0.4000	3,3,2	0.5000	62
4294967857	1585.0823	-0.2418	1740	0.4000	2,2,1	0.5000	41
4294967860	1580.9490	-0.1698	1700	0.4000	1,1,0	0.5000	20
1180	1263.2277	-0.1465	1120	0.4000	0,1,2	0.5000	6
17179869811	2744.2139	0.2627	1620	0.4000	3,2,1	0.5000	57
21474837110	1951.0466	0.3953	1600	0.4000	3,2,2	0.5000	58
4294967996	3875.3027	0.1583	1580	0.4000	3,2,3	0.5000	59
906	1417.9521	-0.2297	1320	0.4000	1,1,3	0.5000	23
4294967796	1664.2274	0.4553	1540	0.4000	2,3,0	0.5000	44
4294967858	1935.7777	0.1093	1520	0.4000	1,0,2	0.5000	18
776	468.7153	0.2539	1500	0.4000	1,0,0	0.5000	16
847	873.9329	-0.2879	1440	0.4000	1,1,0	0.5000	20
4294968126	3175.0996	-0.0935	1400	0.4000	3,3,1	0.5000	61
4294968094	1284.5610	0.2191	1360	0.4000	3,0,1	0.5000	49
4294968092	832.3989	-0.0499	1340	0.4000	0,1,1	0.5000	5
4294968224	3067.9822	-0.0517	1300	0.4000	0,0,2	0.5000	2
936	2313.0503	-0.0190	1280	0.4000	1,0,2	0.5000	18
957	1110.8998	-0.1720	1260	0.4000	2,3,3	0.5000	47
992	1039.4438	0.4627	1240	0.4000	1,0,1	0.5000	17
1024	651.1179	0.2001	1220	0.4000	1,0,1	0.5000	17
1050	2754.8623	-0.1408	1200	0.4000	0,2,2	0.5000	10
1085	2219.4343	0.1538	1180	0.4000	0,0,1	0.5000	1
1120	1454.3074	0.4412	1160	0.4000	2,0,1	0.5000	33
1149	2037.4487	-0.0369	1140	0.4000	3,3,2	0.5000	62
1450	1606.4827	-0.2740	960	0.4000	0,2,1	0.5000	9
1214	2476.9404	-0.0905	1080	0.4000	0,1,2	0.5000	6
1257	1685.5040	0.2344	1060	0.4000	0,0,1	0.5000	1
1295	1159.9633	0.4902	1040	0.4000	1,3,1	0.5000	29
1330	639.9043	-0.1087	1020	0.4000	1,2,0	0.5000	24
1362	1419.8420	-0.1212	1000	0.4000	3,0,1	0.5000	49
1407	1771.2668	0.4068	980	0.4000	1,2,0	0.5000	24
4294968609	224.1751	0.1250	940	0.4000	2,2,0	0.5000	40
1493	2331.3958	0.2762	920	0.4000	3,0,3	0.5000	51
1543	1309.1796	0.3749	900	0.4000	1,1,3	0.5000	23
1591	2102.0244	0.2637	880	0.4000	3,2,1	0.5000	57
1635	567.9047	-0.2942	860	0.4000	2,2,0	0.5000	40
1686	1162.8030	0.2384	840	0.4000	3,1,0	0.5000	52
1721	1091.5171	-0.1957	820	0.4000	2,2,3	0.5000	43
1763	829.9087	-0.2559	800	0.4000	1,1,2	0.5000	22
1816	1344.4490	0.0024	780	0.4000	2,2,1	0.5000	41
1864	666.9005	0.1861	760	0.4000	2,2,2	0.5000	42
1909	2236.8000	0.0492	740	0.4000	0,0,1	0.5000	1
1956	2118.1436	0.4963	720	0.4000	3,2,2	0.5000	58
2006	2096.7534	0.2768	700	0.4000	3,0,1	0.5000	49
2065	1295.3044	0.3476	680	0.4000	1,0,3	0.5000	19
2116	1334.0105	0.2875	660	0.4000	0,0,0	0.5000	0
2173	1546.8694	-0.0804	640	0.4000	0,0,2	0.5000	2
2241	1743.0994	0.0639	620	0.4000	3,0,1	0.5000	49
2304	639.2998	-0.1390	600	0.4000	0,2,0	0.5000	8
2357	1063.4633	-0.1219	580	0.4000	3,2,0	0.5000	56
2421	1063.0046	0.2871	560	0.4000	2,1,2	0.5000	38
2485	856.3430	0.2326	540	0.4000	2,0,0	0.5000	32
2536	2207.8787	0.4568	520	0.4000	0,0,2	0.5000	2
2597	968.9044	0.3636	500	0.4000	1,1,1	0.5000	21
2667	1661.3203	0.1404	480	0.4000	0,2,3	0.5000	11
2738	1070.3177	0.2954	460	0.4000	2,2,1	0.5000	41
2802	1425.8354	-0.0102	440	0.4000	0,1,2	0.5000	6
2865	1765.1934	0.4529	420	0.4000	0,0,2	0.5000	2
2935	911.5200	0.1252	400	0.4000	3,1,0	0.5000	52
3014	754.9067	0.1860	380	0.4000	0,0,0	0.5000	0
3083	1016.8245	0.4557	360	0.4000	2,1,3	0.5000	39
3147	1204.9071	0.0391	340	0.4000	0,0,1	0.5000	1
3224	1319.2043	0.1362	320	0.4000	3,0,1	0.5000	49
3291	618.2251	0.4651	300	0.4000	0,0,0	0.5000	0
3370	909.6919	0.2719	280	0.4000	0,1,1	0.5000	5
3446	480.8587	0.2049	260	0.4000	1,2,0	0.5000	24
3519	721.2988	-0.1313	240	0.4000	2,1,2	0.5000	38
3586	990.3102	0.4825	220	0.4000	3,2,2	0.5000	58
3666	629.1661	0.2785	200	0.4000	2,1,2	0.5000	38
3734	497.9125	-0.0889	180	0.4000	3,3,0	0.5000	60
3819	435.4915	0.2534	160	0.4000	1,0,0	0.5000	16
3890	660.7255	0.4899	140	0.4000	0,2,0	0.5000	8
3963	575.5264	-0.1738	120	0.4000	2,2,2	0.5000	42
4046	394.3300	0.3603	100	0.4000	3,1,0	0.5000	52
4126	236.3639	0.2895	80	0.4000	2,1,0	0.5000	36
4208	301.9908	-0.1380	60	0.4000	0,1,2	0.5000	6
4296	276.5381	-0.1263	40	0.4000	0,2,3	0.5000	11
4380	152.0828	-0.2926	20	0.4000	1,2,0	0.5000	24

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
8589935307	483	485	-0.3142	1930	1921
4294968021	491	4294968032	-0.0216	1924	1664
4294967870	491	4294967924	0.0177	1870	1907
4294968009	479	4294967924	-0.2817	1864	1900
4294967801	479	492	-0.1784	1978	1580
585	475	496	-0.0743	1990	1898
506	491	492	-0.4625	2000	1995
12884902512	483	4294967924	-0.1699	1832	1999
4294967784	496	4294968032	-0.1895	1927	1634
8589935304	713	4294967924	-0.0107	1866	134
8589935182	4294967882	4294968032	0.9323	1931	1965
4294967969	485	4294968032	-0.2902	1938	1999
4294968031	492	4294967942	0.0080	1819	1368
1205	479	1180	-0.0642	1109	1297
634	475	479	-0.4511	1982	1997
668	475	485	-0.2223	1973	1661
8589935185	479	4294968032	-0.2366	1902	1735
4294967979	478	4294968032	-0.4520	1912	1792
651	479	491	-0.0949	1976	1552
4294967836	478	485	0.5124	1883	1986
660	479	4294967882	-0.0686	1975	1344
695	478	483	0.5916	1966	1951
522	478	491	0.8554	1998	1922
4294968029	492	4294968032	-0.2357	1939	1919
4294967891	478	496	-0.1004	1913	1924
525	483	491	-0.3653	1998	1953
12884902580	4294967924	4294968008	-0.0040	1867	133
729	475	492	-0.1775	1955	1909
4294967866	491	4294967882	-0.2883	1895	1761
4294967986	478	4294967860	-0.0968	1628	1672
8589935235	478	4294968046	0.3217	1833	1976
8589935136	485	4294968046	-0.1585	1819	1669
8589935253	483	4294968046	-0.2204	1820	1666
702	483	4294967882	0.8868	1964	1940
744	485	4294967882	-0.1615	1951	1877
4294967960	492	4294967924	-0.0569	1873	1420
4294968017	475	483	-0.1388	1887	1950
4294967921	4294967882	4294967924	-0.1416	1879	1514
4294967785	475	4294968032	-0.2365	1904	1797
4294967790	496	4294967924	-0.2834	1868	1951
677	485	492	0.4055	1972	1857
4294967976	478	492	0.2276	1915	1895
4294967778	483	4294968032	-0.3552	1910	1967
543	479	496	0.4832	1996	1960
4294967794	478	4294967882	0.4081	1921	1929
4294967852	483	496	-0.2326	1934	1751
639	483	492	0.1528	1982	1516
681	491	496	-0.1371	1970	1431
12884902385	485	4294967942	-0.1355	1815	1565
4294967786	475	478	0.1994	1926	1829
688	475	491	0.3778	1968	1899
739	485	496	-0.1770	1952	1377
4294968020	479	4294968046	-0.0315	1837	1985
12884902468	475	4294968046	-0.0729	1837	1948
554	492	496	-0.0332	1995	1836
12884902589	491	4294968046	-0.0008	1823	1827
4294968019	496	4294967882	-0.2026	1945	1979
8589935200	4294967882	4294968046	-0.1727	1839	1905
621	479	483	-0.1497	1984	1796
8589935303	496	4294968046	0.4351	1839	1890
4294968010	478	4294967924	-0.3247	1875	1886
8589935130	492	4294968046	-0.1139	1839	1784
4294967843	483	12884902463	-0.1970	1629	1581
563	479	485	-0.2731	1993	1956
4294967811	475	4294967924	-0.4291	1848	1960
8589935076	475	4294967882	0.2237	1881	1996
8589935120	475	4294967942	0.9627	1804	1981
749	492	4294967882	-0.2168	1948	1988
568	478	479	-0.1006	1992	1912
8589935072	4294967942	4294968046	-0.3941	1808	1975
8589935308	491	4294967942	-0.0338	1812	1805
17179869817	483	4294967942	-0.1094	1812	1695
4294967913	485	4294967924	-0.0266	1876	1556
573	485	491	-0.3107	1992	1676
4294967772	4294967924	4294968032	-0.1682	1862	1921
17179869796	4294967882	4294967942	-0.1038	1813	1549
12884902559	4294967942	4294968032	-0.1397	1814	1802
8589935176	479	4294967942	-0.0994	1795	1881
12884902479	478	4294967942	0.6496	1792	1970
4294968047	478	12884902555	0.1104	1629	1803
1204	906	1149	0.0803	1109	1956
4294967896	475	12884902463	-0.2753	1630	1989
8589935261	4294967924	4294968046	-0.2056	1785	1923
1203	1024	1149	0.0498	1109	1748
4294967903	479	12884902463	-0.0144	1632	1930
4294967974	4294967857	12884902555	-0.1121	1632	1943
8589935085	4294968032	4294968046	-0.2147	1779	1789
8589935118	4294967924	12884902555	-0.0658	1678	1916
12884902374	496	4294967942	0.4370	1775	1934
4294967841	4294967860	4294968032	0.0841	1692	1838
8589935173	4294968032	12884902555	0.1350	1678	1896
8589935164	4294967857	4294967924	0.7723	1678	1987
8589935121	492	4294967860	-0.1529	1681	1471
8589935276	485	4294967860	0.2829	1682	1916
4294967916	485	12884902463	-0.1676	1632	1980
8589935111	4294968032	12884902463	-0.0760	1634	1794
4294967865	4294967857	4294968046	-0.3581	1701	1930
4294967954	4294967924	4294967942	-0.1221	1762	1863
8589935323	4294967803	4294967882	0.0079	1759	2000
8589935279	491	4294967803	0.7386	1758	1981
8589935214	496	4294967803	-0.1267	1757	1966
8589935246	4294967860	4294967882	-0.1148	1698	1923
12884902387	478	4294967803	-0.1402	1756	1995
8589935141	475	4294967803	0.0004	1753	1985
8589935324	4294967860	4294968046	-0.2026	1699	1986
8589935101	4294967942	12884902463	-0.1099	1635	1427
8589935205	479	4294967803	-0.1827	1752	1958
4294967944	4294967857	12884902463	-0.0940	1635	1448
4294967820	485	4294967803	-0.2114	1696	1699
12884902445	4294967803	4294967924	-0.1625	1750	1797
4294968003	4294967857	4294967860	-0.1466	1695	1945
4294968036	483	4294967803	-0.1650	1750	1836
4294967940	479	4294967860	-0.0841	1694	1976
8589935257	4294967803	4294968032	0.9665	1748	1983
1202	957	1149	-0.0222	1109	1720
4294968023	4294967803	4294968046	-0.0840	1743	1723
4294967989	4294967857	4294967942	-0.2307	1739	1948
4294967851	492	4294967857	-0.2275	1738	1783
4294967844	4294967803	4294967942	0.1928	1737	1845
4294967872	4294967860	4294967942	0.7409	1694	1960
8589935264	4294967857	4294968032	-0.1765	1736	1479
1201	1050	1149	0.1544	1110	1838
12884902482	4294967803	4294967857	0.2318	1734	1993
4294967827	4294967857	4294967882	0.0472	1713	1954
8589935223	485	4294967857	-0.1796	1728	1911
4294968026	4294968046	12884902463	0.8898	1637	1979
4294967934	479	4294967857	-0.2401	1724	1857
4294967994	478	4294967857	0.0455	1720	1975
4294968050	4294967803	4294967860	-0.1511	1688	1893
4294967945	491	4294967857	-0.2644	1718	1850
4294967936	496	4294967857	-0.2925	1718	1871
8589935329	475	4294967857	0.5094	1716	1812
4294967951	4294967860	4294967924	-0.2230	1699	1896
8589935267	492	4294967803	-0.2081	1691	1708
4294968013	483	4294967857	-0.1135	1715	1630
4294967773	478	12884902463	0.4201	1638	1867
12884902391	4294967860	12884902555	-0.1137	1676	1737
17179869810	496	4294967860	-0.1972	1675	1996
8589935073	4294967803	12884902555	0.2429	1674	1987
12884902558	491	4294967860	-0.2440	1672	1884
12884902622	475	12884902555	0.0698	1671	1835
12884902631	483	4294967860	0.1174	1669	1960
12884902564	4294967882	12884902555	-0.0555	1667	954
12884902466	496	12884902555	0.9174	1666	1981
17179869671	475	4294967860	-0.1099	1666	1763
17179869850	492	12884902555	-0.2409	1663	1948
12884902422	491	12884902555	-0.1856	1662	1847
12884902511	4294967942	12884902555	0.1004	1661	1873
1200	491	1085	-0.2076	1110	1691
1199	1024	1120	0.0275	1111	1942
1198	4294967857	4294968224	0.6304	1111	1942
1197	847	936	0.1345	1111	1757
1196	776	1149	-0.1469	1112	1777
8589935289	4294968046	12884902555	-0.2768	1649	1962
4294967941	4294967882	12884902463	0.1989	1638	1763
1195	1120	4294967796	-0.3792	1112	1978
1194	1180	4294967942	-0.0616	1113	1552
1193	1149	4294968092	0.1731	1113	1671
1192	1180	12884902463	0.2518	1113	1777
1191	1180	4294967858	-0.0577	1114	1933
12884902497	4294967924	12884902463	-0.0986	1624	1929
12884902593	4294967803	12884902463	0.5313	1623	1778
17179869721	492	12884902463	0.6291	1618	1837
8589935198	4294967860	12884902463	-0.1953	1618	1979
12884902492	479	17179869811	-0.1801	1618	1945
8589935330	491	17179869811	-0.2094	1616	1872
12884902409	496	12884902463	-0.3095	1616	1753
8589935208	478	17179869811	-0.1078	1616	1628
21474837022	4294967882	17179869811	-0.0685	1613	1505
8589935310	483	17179869811	0.0937	1612	1598
