# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	4444.4731	0.3535	2001	0.4000	1,2,1	0.5000	25
494	4455.3320	0.0038	2001	0.4000	3,0,1	0.5000	49
491	3055.1602	0.1300	2001	0.4000	3,3,2	0.5000	62
489	3734.2349	0.0649	2001	0.4000	0,1,2	0.5000	6
479	2793.1245	-0.0857	2001	0.4000	3,2,1	0.5000	57
8589935114	2449.9536	0.4660	1700	0.4000	3,0,0	0.5000	48
481	3142.3794	0.3627	2001	0.4000	1,2,0	0.5000	24
482	3796.5413	-0.2269	2001	0.4000	0,0,2	0.5000	2
4294967854	2554.1638	-0.2660	1650	0.4000	2,1,0	0.5000	36
4294967919	1934.3322	0.2909	1850	0.4000	0,0,2	0.5000	2
485	1504.4526	0.1717	2001	0.4000	2,0,3	0.5000	35
486	1934.3651	-0.2541	2001	0.4000	1,0,0	0.5000	16
487	4005.5796	-0.2480	2001	0.4000	1,3,3	0.5000	31
488	2048.7822	0.1530	2001	0.4000	2,0,0	0.5000	32
4294967898	1569.8923	-0.1176	1400	0.4000	2,1,3	0.5000	39
21474837093	1753.6727	0.1727	1050	0.4000	3,2,1	0.5000	57
38654706177	1619.2189	-0.1974	1000	0.4000	1,2,0	0.5000	24
4294967842	1057.3070	0.4484	900	0.4000	0,0,2	0.5000	2
666	1255.6543	0.1199	800	0.4000	0,3,2	0.5000	14
684	838.0812	0.2878	700	0.4000	3,1,3	0.5000	55
4294968032	377.2965	0.0822	400	0.4000	0,2,0	0.5000	8
17179869921	31.9137	-0.2958	250	0.4000	1,0,2	0.5000	18
750	82.5041	0.3405	150	0.4000	2,3,0	0.5000	44
4294968053	159.4292	-0.2858	100	0.4000	3,0,2	0.5000	50
775	45.8056	0.2157	50	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.6377	1926	1912
4294967943	486	4294967919	-0.5873	1832	1969
497	479	482	0.1301	2000	1991
4294967807	489	8589935114	-0.3233	1682	1906
499	485	494	0.9802	2000	1990
500	481	487	-0.6305	2000	1969
8589935085	481	4294967919	-0.0411	1833	1913
502	482	491	-0.6404	2000	1839
4294967773	475	491	0.9960	1923	1998
4294967817	475	4294967919	-0.4758	1834	1918
8589935227	494	8589935114	-0.4954	1682	1860
506	482	489	-0.3540	1999	1853
4294967834	479	8589935114	0.9980	1683	1999
508	486	488	-0.4693	1999	1916
509	487	489	-0.1974	1999	1976
510	482	488	-0.3683	1999	1784
8589935191	479	4294967919	-0.3906	1778	1964
629	485	491	-0.6474	1974	1891
608	479	494	-0.5056	1980	1946
12884902488	494	4294967854	-0.6178	1640	1875
515	485	486	-0.5513	1998	1946
8589935237	475	8589935114	-0.5859	1688	1997
4294967832	494	4294967919	-0.2276	1847	1996
518	489	491	-0.3957	1998	1886
8589935198	485	8589935114	-0.9157	1642	1956
4294967915	4294967919	8589935114	0.9900	1692	1995
592	486	494	-0.6095	1984	1944
611	479	491	-0.5162	1980	1979
4294967810	487	4294967854	0.2979	1643	1999
4294967942	485	4294967854	-0.9185	1644	1982
525	479	486	0.9841	1997	1992
526	489	494	-0.5874	1997	1956
610	481	489	1.0000	1980	2000
596	479	485	-0.7085	1983	1952
529	481	491	-0.3173	1996	1744
530	482	486	-0.4708	1996	1948
4294967929	487	4294967919	-0.5647	1847	1967
8589935207	487	8589935114	-0.6413	1692	1844
4294967878	486	487	0.9704	1940	1985
534	481	494	-0.1448	1996	1981
625	485	488	-0.7680	1975	1900
4294967884	479	487	-0.5896	1941	1987
604	479	481	-0.4510	1981	1892
593	487	488	0.9920	1984	1996
4294967899	491	4294967919	-0.5366	1848	1987
540	475	486	0.5092	1994	1995
541	475	479	-0.4165	1994	1878
8589935229	481	8589935114	-0.3760	1696	1966
4294967819	4294967854	8589935114	-0.8296	1644	1974
544	485	487	-0.7181	1994	1998
545	475	489	-0.0093	1994	1994
4294967876	491	8589935114	-0.5900	1698	1787
631	481	488	-0.2770	1973	1954
12884902529	485	4294967919	-0.6848	1753	1983
585	486	491	-0.5061	1986	1874
550	485	489	-0.6146	1993	1873
551	487	491	-0.4331	1993	1734
4294967886	481	482	-0.6337	1911	1921
4294967835	482	487	-0.5053	1948	1989
4294967820	488	4294967854	-0.2646	1645	1890
555	481	485	-0.6807	1992	1876
556	475	494	-0.7362	1991	1996
628	481	486	-0.6138	1974	1832
