# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	5129.4731	0.3535	4001	0.4000	1,2,1	0.5000	25
494	8762.3320	0.0038	4001	0.4000	3,0,1	0.5000	49
491	6975.1602	0.1300	4001	0.4000	3,3,2	0.5000	62
489	5492.2349	0.0649	4001	0.4000	0,1,2	0.5000	6
479	4122.1245	-0.0857	4001	0.4000	3,2,1	0.5000	57
8589935114	4859.9536	0.4660	3700	0.4000	3,0,0	0.5000	48
481	3225.3794	0.3627	4001	0.4000	1,2,0	0.5000	24
482	5278.5410	-0.2269	4001	0.4000	0,0,2	0.5000	2
4294967854	2200.1638	-0.2660	3650	0.4000	2,1,0	0.5000	36
4294967919	4783.3320	0.2909	3850	0.4000	0,0,2	0.5000	2
485	137.4526	0.1717	4001	0.4000	2,0,3	0.5000	35
486	5902.3652	-0.2541	4001	0.4000	1,0,0	0.5000	16
487	4900.5796	-0.2480	4001	0.4000	1,3,3	0.5000	31
488	3479.7822	0.1530	4001	0.4000	2,0,0	0.5000	32
4294967898	3479.8923	-0.1176	3400	0.4000	2,1,3	0.5000	39
21474837093	4897.6729	0.1727	3050	0.4000	3,2,1	0.5000	57
38654706177	5549.2188	-0.1974	3000	0.4000	1,2,0	0.5000	24
4294967842	5529.3071	0.4484	2900	0.4000	0,0,2	0.5000	2
666	4583.6543	0.1199	2800	0.4000	0,3,2	0.5000	14
684	3392.0811	0.2878	2700	0.4000	3,1,3	0.5000	55
4294968032	4753.2964	0.0822	2400	0.4000	0,2,0	0.5000	8
17179869921	832.9137	-0.2958	2250	0.4000	1,0,2	0.5000	18
4294968110	2421.7712	-0.0410	1950	0.4000	1,3,3	0.5000	31
4294968053	2992.4292	-0.2858	2100	0.4000	3,0,2	0.5000	50
17179870010	827.0969	0.0818	1200	0.4000	3,1,1	0.5000	53
17179870000	994.3647	-0.2110	1050	0.4000	0,1,3	0.5000	7
21474837359	102.0643	-0.0473	200	0.4000	2,2,3	0.5000	43
21474837318	1440.3440	-0.1820	950	0.4000	0,3,1	0.5000	13
12884902763	124.1656	-0.1487	600	0.4000	2,2,2	0.5000	42
42949673738	79.5397	-0.1453	350	0.4000	0,3,1	0.5000	13
8589935568	122.3712	0.2361	150	0.4000	3,3,1	0.5000	61
4294968277	18.1504	0.2318	100	0.4000	2,2,1	0.5000	41
1000	54.9086	0.4852	50	0.4000	0,0,2	0.5000	2

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.4929	3926	3831
4294967943	486	4294967919	-0.3036	3832	3758
497	479	482	-0.5435	4000	3963
4294967807	489	8589935114	-0.1584	3682	3977
499	485	494	0.9239	4000	3999
500	481	487	-0.3966	4000	3923
8589935085	481	4294967919	0.9685	3833	3984
502	482	491	-0.5409	4000	3983
4294967773	475	491	-0.2678	3923	3893
4294967817	475	4294967919	-0.4709	3834	3883
8589935227	494	8589935114	-0.3481	3682	3851
506	482	489	-0.6291	3999	3992
4294967834	479	8589935114	0.9980	3683	3999
508	486	488	-0.6730	3999	3864
509	487	489	-0.2768	3999	3969
510	482	488	-0.6086	3999	3957
8589935191	479	4294967919	-0.5752	3778	3877
629	485	491	-0.7776	3974	3943
608	479	494	-0.2872	3980	3970
12884902488	494	4294967854	-0.5076	3640	3863
515	485	486	-0.5746	3998	3863
8589935237	475	8589935114	-0.4129	3688	3781
4294967832	494	4294967919	-0.3175	3847	3891
518	489	491	-0.4785	3998	3991
8589935198	485	8589935114	-0.5389	3642	3992
4294967915	4294967919	8589935114	0.9861	3692	3993
592	486	494	-0.3914	3984	3803
611	479	491	-0.4536	3980	3966
4294967810	487	4294967854	-0.6479	3643	3943
4294967942	485	4294967854	-0.6653	3644	3910
525	479	486	0.9646	3997	3982
526	489	494	-0.1714	3997	3991
610	481	489	-0.8475	3980	3990
596	479	485	-0.6288	3983	3893
529	481	491	-0.5161	3996	3950
530	482	486	-0.3398	3996	3890
4294967929	487	4294967919	-0.4205	3847	3827
8589935207	487	8589935114	-0.4310	3692	3692
4294967878	486	487	0.9940	3940	3997
534	481	494	-0.3840	3996	3819
625	485	488	-0.6867	3975	3955
4294967884	479	487	-0.4430	3941	4000
604	479	481	-0.7097	3981	3934
593	487	488	0.6680	3984	3987
4294967899	491	4294967919	-0.4967	3848	3983
540	475	486	0.9588	3994	3979
541	475	479	-0.5879	3994	3962
8589935229	481	8589935114	0.1198	3696	3968
4294967819	4294967854	8589935114	-0.6042	3644	3926
544	485	487	-0.5890	3994	3926
545	475	489	-0.2099	3994	3929
4294967876	491	8589935114	-0.5212	3698	3964
631	481	488	-0.4728	3973	3929
12884902529	485	4294967919	-0.7507	3753	3978
585	486	491	-0.3417	3986	3722
550	485	489	-0.7640	3993	3878
551	487	491	-0.5715	3993	3815
4294967886	481	482	-0.6383	3911	4000
4294967835	482	487	-0.4706	3948	3991
4294967820	488	4294967854	-0.7165	3645	3916
555	481	485	-0.8728	3992	3965
556	475	494	-0.4778	3991	3916
628	481	486	-0.3108	3974	3635
8589935169	488	4294967919	-0.6150	3808	3954
4294967940	475	481	-0.0933	3948	4000
636	475	482	0.1376	3971	3880
4294967882	475	487	0.0397	3956	3962
4294967839	491	4294967854	0.9861	3647	3993
8589935119	489	4294967919	0.2223	3815	3986
4294967877	489	4294967854	-0.6128	3647	3963
8589935139	482	4294967919	-0.3698	3825	3955
566	475	485	-0.4793	3990	3745
4294967934	479	489	-0.2424	3905	3998
8589935204	481	4294967854	-0.5186	3649	3893
569	491	494	0.8398	3990	3981
570	475	488	-0.4526	3989	3818
624	482	494	-0.3916	3975	3670
595	479	488	-0.5641	3983	3955
573	487	494	-0.6071	3989	3985
574	488	489	-0.5082	3989	3850
4294967917	488	8589935114	-0.2222	3667	3791
597	486	489	-0.0619	3983	3937
4294967879	482	485	-0.4922	3956	3996
578	488	494	-0.5553	3988	3956
4294967861	486	8589935114	-0.6079	3666	3927
12884902445	482	8589935114	-0.3612	3676	3947
12884902475	479	4294967854	-0.5545	3638	3880
8589935155	475	4294967854	-0.5237	3631	3927
8589935075	486	4294967854	-0.5565	3623	3955
17179869721	4294967854	4294967919	0.1128	3608	3954
17179869743	482	4294967854	-0.0641	3603	3988
21474837032	488	4294967898	0.0642	3362	3986
4294967928	485	4294967898	-0.6215	3390	3921
4294967844	4294967898	4294967919	-0.6614	3396	3899
21474836964	475	4294967898	0.4235	3365	3988
17179869811	4294967854	4294967898	-0.6868	3370	3993
4294967863	494	4294967898	1.0000	3397	4000
4294967872	479	4294967898	-0.6252	3398	3994
4294967936	489	4294967898	-0.2347	3399	3826
12884902536	481	4294967898	-0.5276	3374	3849
12884902530	487	4294967898	-0.5316	3375	3957
8589935222	4294967898	8589935114	-0.3340	3382	3995
21474837022	482	4294967898	-0.4375	3388	3965
25769804330	4294967854	21474837119	-0.0001	3302	698
25769804283	486	4294967898	-0.3815	3335	3989
8589935120	491	4294967898	-0.4980	3310	3932
30064771621	494	21474837093	-0.4249	3032	3983
17179869801	4294967919	21474837093	0.9841	3032	3992
12884902380	482	21474837093	-0.2996	3036	3654
12884902531	489	21474837093	-0.5452	3037	3911
8589935093	481	21474837093	-0.7030	3040	3934
8589935088	487	21474837093	-0.2427	3041	3844
8589935068	8589935114	21474837093	-0.4146	3043	3954
12884902504	488	21474837093	-0.3919	3045	3975
4294967885	485	17179869797	-0.0002	3062	938
8589935186	485	21474837093	-0.5266	3046	3797
34359738990	486	21474837093	-0.3989	3022	3888
17179869793	479	21474837093	-0.1767	3018	3893
8589935218	475	21474837093	-0.3932	3015	3937
38654706184	4294967854	21474837093	-0.6087	3013	3982
38654706195	4294967898	21474837093	-0.0444	3010	3983
42949673580	491	21474837093	0.9743	2999	3987
34359738866	21474837093	38654706177	-0.5629	2998	3999
47244640861	8589935114	38654706177	-0.4765	2995	3936
42949673440	4294967898	38654706177	-0.3682	2994	3802
38654706225	4294967919	38654706177	-0.4042	2993	3954
42949673599	494	38654706177	-0.2885	2992	3919
34359738936	488	38654706177	-0.6286	2992	3982
34359738986	4294967854	38654706177	-0.3625	2988	3798
38654706262	485	38654706177	-0.5522	2988	3976
34359738858	486	38654706177	-0.2924	2978	3998
42949673438	487	38654706177	-0.5468	2975	3992
34359738930	481	38654706177	0.8142	2972	3970
30064771656	475	38654706177	0.8549	2967	3981
25769804355	491	38654706177	0.7642	2958	3991
4294967871	482	38654706177	-0.5066	2949	3870
657	488	4294967842	-0.4464	2880	3852
656	482	4294967842	-0.4601	2886	3945
4294967800	491	4294967842	0.7598	2893	3987
654	489	4294967842	-0.3953	2888	3937
4294967801	4294967842	21474837093	0.9763	2895	3988
4294967813	489	38654706177	0.9980	2936	3999
652	479	4294967842	-0.5317	2888	3991
4294967860	479	38654706177	-0.1805	2918	3973
650	487	4294967842	-0.6811	2891	3988
4294967829	4294967842	38654706177	0.8734	2898	3995
25769804383	4294967842	4294967854	-0.4162	2879	3837
4294967951	475	4294967842	-0.3183	2878	3971
4294967949	4294967842	4294967898	-0.2753	2874	3983
4294967947	481	4294967842	-0.4446	2868	3822
4294967945	485	4294967842	-0.5207	2857	3914
672	475	666	-0.5040	2790	3924
671	486	4294967842	-0.2730	2790	3694
8589935124	4294967842	8589935114	-0.5273	2835	3850
669	666	4294967898	-0.5391	2792	3996
668	487	666	-0.7543	2798	3981
667	491	666	0.9717	2798	3990
659	4294967842	4294967919	-0.2079	2829	3797
662	494	4294967842	-0.0434	2823	3947
12884902407	482	666	-0.6892	2784	3932
4294967966	666	8589935114	-0.2854	2782	3872
4294967961	666	4294967919	-0.3319	2782	3889
4294967960	479	666	-0.1100	2779	3965
4294967959	488	666	-0.5541	2773	3914
4294967957	666	21474837093	-0.2681	2770	3887
4294967956	485	666	-0.6770	2766	3905
4294967954	486	666	-0.0717	2765	3976
12884902460	666	38654706177	0.9920	2762	3996
12884902459	666	4294967854	-0.8933	2757	3987
12884902522	489	666	0.9763	2749	3988
706	481	684	-0.5455	2651	3924
705	684	4294967842	0.5211	2662	3989
704	489	684	-0.5758	2663	3994
703	494	684	-0.0187	2668	3935
12884902489	481	666	-0.2613	2742	3796
702	485	684	-0.3516	2669	3971
701	684	38654706177	-0.1386	2679	3948
700	666	4294967842	-0.4869	2680	3965
699	684	8589935114	-0.2939	2681	3577
687	684	4294967919	-0.2182	2694	3824
697	482	684	0.9960	2682	3998
696	479	684	-0.4909	2683	3973
695	684	4294967898	-0.5260	2687	3925
678	494	666	0.9763	2728	3988
694	491	684	-0.1309	2687	3877
688	486	684	0.1277	2694	3995
692	684	4294967854	0.7626	2693	3986
691	475	684	-0.5179	2693	3962
689	488	684	-0.2552	2694	3948
685	666	684	0.9980	2698	3999
686	684	21474837093	-0.1592	2695	3903
716	4294967919	17179869719	-0.0006	2577	1423
4294967975	487	684	-0.1262	2640	3989
4294968008	482	4294968032	0.9608	2364	3980
4294968007	475	4294968032	-0.1056	2370	3887
4294968006	487	4294968032	-0.3871	2372	3973
4294968005	4294968032	8589935114	0.9900	2375	3995
4294968004	481	4294968032	-0.5006	2379	3797
4294968003	494	4294968032	0.8573	2380	3998
25769804336	485	4294968032	-0.6046	2396	3950
12884902565	479	4294968032	-0.2992	2399	3971
8589935306	489	4294968032	-0.6201	2390	3938
25769804279	684	4294968032	0.8817	2391	3955
25769804367	488	4294968032	-0.1489	2394	3984
8589935320	4294967842	4294968032	-0.1761	2362	3988
25769804292	4294967919	4294968032	-0.1780	2354	4000
30064771607	666	4294968032	-0.4525	2353	3906
748	4294968032	17179869921	0.2734	2217	3998
8589935310	4294967898	4294968032	-0.1343	2348	3978
747	666	17179869921	-0.2487	2222	3847
4294968009	491	4294968032	0.9980	2324	3999
8589935331	4294968032	38654706177	-0.2611	2344	3908
12884902618	479	17179869921	-0.3391	2246	3938
745	17179869921	21474837093	-0.6110	2224	3993
4294968019	4294968032	21474837093	-0.1276	2303	3855
744	491	17179869921	-0.5223	2227	3899
743	475	17179869921	-0.8105	2230	3948
742	4294967898	17179869921	-0.6326	2233	3899
741	4294967842	17179869921	0.8612	2233	3988
25769804449	487	17179869921	-0.2774	2249	3979
12884902617	4294967854	17179869921	-0.5477	2248	3967
30064771567	494	17179869921	-0.2117	2239	3847
12884902615	4294967854	4294968032	-0.4242	2330	3996
12884902614	486	4294968032	0.0051	2329	3975
12884902626	482	17179869921	-0.4054	2239	3774
12884902623	481	17179869921	-0.2234	2239	3983
12884902622	684	17179869921	-0.3156	2241	3746
12884902621	4294967919	17179869921	-0.5125	2241	3926
12884902620	486	17179869921	0.9821	2242	3991
12884902619	489	17179869921	-0.2263	2243	3942
8589935314	488	17179869921	-0.8698	2214	3954
4294968042	8589935114	17179869921	-0.5370	2205	3972
25769804501	4294968095	21474837093	-0.0025	1852	2148
8589935361	4294968110	17179869921	-0.5086	1855	3992
815	4294967898	4294968053	-0.4773	1970	3771
12884902603	17179869921	38654706177	0.4875	2196	3940
4294968107	491	4294968110	-0.1931	1949	3953
788	4294968032	4294968053	-0.2230	2027	3958
4294968100	666	4294968110	0.8688	1928	3997
4294968092	481	4294968110	-0.3755	1940	3940
12884902663	4294967919	4294968110	-0.4116	1866	3862
762	485	17179869921	-0.4970	2133	3958
4294968088	4294968032	4294968110	-0.4616	1886	3852
4294968089	475	4294968110	-0.5325	1887	3995
4294968099	482	4294968110	-0.2696	1930	3842
4294968113	486	4294968110	-0.6716	1890	4000
4294968098	4294967854	4294968110	-0.4524	1935	3882
4294968097	487	4294968110	-0.5015	1937	3977
4294968093	4294968110	21474837093	0.9980	1938	3999
4294968108	4294967842	4294968110	-0.3869	1899	3910
4294968106	4294968110	8589935114	-0.3887	1907	3624
4294968105	479	4294968110	-0.5619	1913	3938
4294968104	494	4294968110	-0.2885	1916	3868
4294968045	494	4294968053	-0.5198	2099	3994
8589935332	4294968053	8589935114	-0.3762	2098	3989
21474837154	491	4294968053	0.7226	2097	3995
21474837156	475	4294968053	-0.5783	2096	3969
21474837160	4294967854	4294968053	-0.5874	2096	3911
21474837162	479	4294968053	0.8436	2095	3981
21474837163	485	4294968053	-0.6992	2093	3900
21474837170	486	4294968053	-0.5218	2092	3927
21474837173	482	4294968053	-0.1317	2091	3967
21474837178	684	4294968053	-0.5770	2087	3959
12884902605	4294968053	17179869921	-0.4014	2087	3938
12884902607	4294967842	4294968053	0.9980	2085	3999
12884902608	4294968053	38654706177	-0.4229	2084	3924
42949673513	489	4294968053	-0.3689	2083	3914
25769804451	488	4294968053	-0.1410	2080	3967
4294968103	488	4294968110	-0.2228	1916	3813
34359738880	481	4294968053	-0.5650	2079	3986
25769804500	4294968053	21474837093	-0.4182	2077	3819
21474837201	487	4294968053	-0.2828	2076	3722
771	666	4294968053	-0.5572	2071	3928
4294968102	485	4294968110	-0.6770	1919	3946
773	4294967919	4294968053	0.4424	2066	3942
4294968101	4294968053	4294968110	-0.4755	1923	3997
4294968090	4294968110	38654706177	-0.4672	1943	3997
4294968091	4294967898	4294968110	0.9881	1943	3994
4294968094	489	4294968110	0.9782	1948	3989
21474837239	4294968053	17179869973	-0.0064	1373	2627
4294968063	684	4294968110	-0.7293	1782	3988
17179869965	487	17179870010	-0.4974	1185	3816
12884902709	8589935114	17179870010	0.8121	1187	3981
12884902710	4294967842	17179870010	-0.4089	1187	3735
17179869964	481	17179870010	-0.3280	1189	4000
21474837265	4294967898	17179870010	-0.5177	1190	3868
17179870028	666	17179870010	-0.5492	1152	3972
30064771858	482	17179870010	-0.3342	1191	3861
30064771890	494	17179870010	0.1002	1195	3937
25769804541	475	17179870010	-0.6051	1195	3973
17179870026	486	17179870010	-0.4199	1152	3943
21474837323	479	17179870010	-0.4648	1178	3972
30064771861	4294968032	17179870010	-0.4753	1159	3960
30064771836	4294967854	17179870010	0.0514	1181	3973
17179870015	491	17179870010	0.1109	1167	3998
17179870030	684	17179870010	-0.3080	1171	3958
30064771835	4294968110	17179870010	-0.1746	1173	3996
25769804575	485	17179870010	-0.4553	1174	3906
17179870024	4294968053	17179870010	0.8683	1175	3991
21474837315	488	17179870010	-0.4727	1177	3946
21474837254	17179870000	21474837093	-0.2076	1011	3990
21474837293	684	17179870000	-0.3529	1014	3946
