# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	6190.4731	0.3535	6001	0.4000	1,2,1	0.5000	25
494	11459.3320	0.0038	6001	0.4000	3,0,1	0.5000	49
491	10575.1602	0.1300	6001	0.4000	3,3,2	0.5000	62
489	7668.2349	0.0649	6001	0.4000	0,1,2	0.5000	6
479	4653.1245	-0.0857	6001	0.4000	3,2,1	0.5000	57
8589935114	5498.9536	0.4660	5700	0.4000	3,0,0	0.5000	48
481	4091.3794	0.3627	6001	0.4000	1,2,0	0.5000	24
482	5824.5410	-0.2269	6001	0.4000	0,0,2	0.5000	2
4294967854	2251.1638	-0.2660	5650	0.4000	2,1,0	0.5000	36
4294967919	6775.3320	0.2909	5850	0.4000	0,0,2	0.5000	2
1246	83.2032	0.0886	150	0.4000	1,0,3	0.5000	19
486	9566.3652	-0.2541	6001	0.4000	1,0,0	0.5000	16
487	6164.5796	-0.2480	6001	0.4000	1,3,3	0.5000	31
488	3149.7822	0.1530	6001	0.4000	2,0,0	0.5000	32
4294967898	3072.8923	-0.1176	5400	0.4000	2,1,3	0.5000	39
21474837093	8143.6729	0.1727	5050	0.4000	3,2,1	0.5000	57
38654706177	10274.2188	-0.1974	5000	0.4000	1,2,0	0.5000	24
4294967842	8794.3066	0.4484	4900	0.4000	0,0,2	0.5000	2
666	7159.6543	0.1199	4800	0.4000	0,3,2	0.5000	14
684	5018.0811	0.2878	4700	0.4000	3,1,3	0.5000	55
4294968032	7833.2964	0.0822	4400	0.4000	0,2,0	0.5000	8
17179869921	1810.9137	-0.2958	4250	0.4000	1,0,2	0.5000	18
4294968110	3543.7712	-0.0410	3950	0.4000	1,3,3	0.5000	31
4294968053	5501.4292	-0.2858	4100	0.4000	3,0,2	0.5000	50
17179870010	3483.0969	0.0818	3200	0.4000	3,1,1	0.5000	53
17179870000	1279.3647	-0.2110	3050	0.4000	0,1,3	0.5000	7
21474837359	2968.0645	-0.0473	2200	0.4000	2,2,3	0.5000	43
21474837318	4609.3438	-0.1820	2950	0.4000	0,3,1	0.5000	13
12884902763	814.1655	-0.1487	2600	0.4000	2,2,2	0.5000	42
42949673738	803.5397	-0.1453	2350	0.4000	0,3,1	0.5000	13
8589935568	502.3712	0.2361	2150	0.4000	3,3,1	0.5000	61
4294968277	2706.1504	0.2318	2100	0.4000	2,2,1	0.5000	41
4294968433	384.1905	0.1059	950	0.4000	1,2,2	0.5000	26
4294968416	132.4632	0.0083	1400	0.4000	0,2,0	0.5000	8
1168	498.3340	0.4368	1000	0.4000	1,1,1	0.5000	21
4294968499	178.1177	0.0291	350	0.4000	1,0,0	0.5000	16
38654706777	130.5727	-0.2416	450	0.4000	1,0,1	0.5000	17

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.5883	5926	5833
4294967943	486	4294967919	-0.2783	5832	5989
497	479	482	-0.2189	6000	5996
4294967807	489	8589935114	-0.3420	5682	5888
4294968466	494	4294968433	-0.0038	935	5881
500	481	487	-0.2089	6000	5927
8589935085	481	4294967919	0.9900	5833	5995
502	482	491	-0.5934	6000	5970
4294967773	475	491	-0.5553	5923	5982
4294967817	475	4294967919	-0.4378	5834	5982
8589935227	494	8589935114	-0.5417	5682	5992
506	482	489	-0.4176	5999	5969
4294967834	479	8589935114	-0.5429	5683	5982
508	486	488	-0.2460	5999	5952
509	487	489	-0.0584	5999	5947
510	482	488	-0.3869	5999	5784
8589935191	479	4294967919	-0.3875	5778	5883
4294968468	4294967919	4294968433	-0.2597	934	5951
608	479	494	-0.2597	5980	5820
12884902488	494	4294967854	-0.2619	5640	5970
4294968457	1168	17179870000	-0.3039	932	5732
8589935237	475	8589935114	-0.1498	5688	5925
4294967832	494	4294967919	-0.5146	5847	5978
518	489	491	-0.5925	5998	5962
21474837531	4294968433	17179870000	-0.5739	932	5995
4294967915	4294967919	8589935114	0.2654	5692	5988
592	486	494	-0.4296	5984	5909
611	479	491	-0.3529	5980	5793
4294967810	487	4294967854	-0.5564	5643	5803
17179870274	684	4294968433	-0.3472	929	5939
525	479	486	-0.2160	5997	5921
526	489	494	-0.3926	5997	5984
610	481	489	-0.1872	5980	5967
17179870271	4294968433	21474837093	-0.3332	928	5950
529	481	491	-0.3878	5996	5972
530	482	486	-0.1131	5996	5954
4294967929	487	4294967919	-0.4186	5847	5832
8589935207	487	8589935114	-0.3233	5692	5926
4294967878	486	487	0.9398	5940	5969
534	481	494	-0.2911	5996	5595
17179870236	4294967842	4294968433	-0.2587	928	5935
4294967884	479	487	-0.3409	5941	5790
604	479	481	-0.3858	5981	5752
593	487	488	-0.4773	5984	5961
4294967899	491	4294967919	-0.4152	5848	5890
540	475	486	0.9531	5994	5976
541	475	479	-0.6143	5994	5998
8589935229	481	8589935114	-0.3646	5696	5787
4294967819	4294967854	8589935114	-0.5185	5644	6000
4294968477	1168	4294967898	-0.4679	923	5903
545	475	489	-0.1026	5994	5902
4294967876	491	8589935114	-0.2622	5698	5947
631	481	488	-0.3321	5973	5854
4294968451	475	4294968433	-0.1390	921	5989
585	486	491	-0.2486	5986	5877
17179870241	4294968433	17179869921	-0.3492	915	5821
551	487	491	-0.6353	5993	5868
4294967886	481	482	-0.3354	5911	5784
4294967835	482	487	-0.2501	5948	5935
4294967820	488	4294967854	-0.3063	5645	5915
21474837550	1168	21474837318	-0.3004	915	5793
556	475	494	-0.2670	5991	5971
628	481	486	-0.2744	5974	5832
8589935169	488	4294967919	0.9920	5808	5996
4294967940	475	481	-0.4647	5948	5915
636	475	482	-0.2907	5971	5981
4294967882	475	487	-0.0930	5956	5984
4294967839	491	4294967854	-0.3106	5647	5991
8589935119	489	4294967919	-0.0550	5815	5993
4294967877	489	4294967854	-0.1903	5647	5986
8589935139	482	4294967919	-0.2788	5825	5997
4294968484	666	1168	-0.1699	913	5847
4294967934	479	489	-0.0984	5905	5930
8589935204	481	4294967854	-0.4728	5649	5832
569	491	494	0.1873	5990	5999
570	475	488	-0.3145	5989	5882
624	482	494	-0.2593	5975	5961
595	479	488	-0.2102	5983	5561
573	487	494	-0.2577	5989	5930
574	488	489	0.1256	5989	5983
4294967917	488	8589935114	-0.2151	5667	5959
597	486	489	-0.2392	5983	5971
17179870280	4294967898	4294968433	-0.2966	912	5718
578	488	494	-0.4150	5988	5993
4294967861	486	8589935114	-0.2714	5666	5970
12884902445	482	8589935114	-0.7730	5676	5938
12884902475	479	4294967854	-0.6643	5638	5945
8589935155	475	4294967854	-0.3888	5631	5927
8589935075	486	4294967854	-0.2414	5623	5999
17179869721	4294967854	4294967919	-0.3684	5608	5990
17179869743	482	4294967854	-0.4532	5603	5989
21474837032	488	4294967898	-0.4303	5362	5888
12884902990	4294968277	4294968433	0.9920	903	5996
4294967844	4294967898	4294967919	-0.6957	5396	5993
21474836964	475	4294967898	-0.4865	5365	5788
17179869811	4294967854	4294967898	-0.5108	5370	5911
4294967863	494	4294967898	1.0000	5397	6000
4294967872	479	4294967898	-0.6475	5398	5887
4294967936	489	4294967898	-0.2747	5399	5935
12884902536	481	4294967898	-0.5490	5374	5998
12884902530	487	4294967898	-0.6631	5375	5960
8589935222	4294967898	8589935114	-0.6761	5382	6000
21474837022	482	4294967898	-0.4341	5388	5930
25769804330	4294967854	21474837119	-0.0000	5302	698
25769804283	486	4294967898	-0.6144	5335	5857
8589935120	491	4294967898	-0.2639	5310	5853
30064771621	494	21474837093	-0.7121	5032	5993
17179869801	4294967919	21474837093	0.9665	5032	5983
12884902380	482	21474837093	-0.1970	5036	5979
12884902531	489	21474837093	0.2938	5037	5990
8589935093	481	21474837093	-0.4852	5040	5949
8589935088	487	21474837093	-0.0268	5041	5897
8589935068	8589935114	21474837093	-0.8254	5043	5931
12884902504	488	21474837093	-0.3552	5045	5908
4294968470	4294968433	8589935114	-0.2380	883	5720
4294968439	481	1168	-0.2585	886	5993
34359738990	486	21474837093	-0.2228	5022	5995
17179869793	479	21474837093	-0.3680	5018	5830
8589935218	475	21474837093	-0.5398	5015	5878
38654706184	4294967854	21474837093	-0.4685	5013	5978
38654706195	4294967898	21474837093	-0.6567	5010	5988
42949673580	491	21474837093	0.9881	4999	5994
34359738866	21474837093	38654706177	0.0141	4998	5999
47244640861	8589935114	38654706177	-0.1123	4995	5764
42949673440	4294967898	38654706177	-0.3377	4994	5924
38654706225	4294967919	38654706177	-0.3195	4993	5920
42949673599	494	38654706177	-0.1764	4992	5899
34359738936	488	38654706177	-0.3991	4992	5967
34359738986	4294967854	38654706177	-0.4254	4988	5981
4294968453	4294968433	12884902763	-0.4000	903	5964
34359738858	486	38654706177	-0.0005	4978	5923
42949673438	487	38654706177	-0.3118	4975	5755
34359738930	481	38654706177	0.8967	4972	5987
30064771656	475	38654706177	0.8002	4967	5999
25769804355	491	38654706177	0.9802	4958	5990
4294967871	482	38654706177	-0.6206	4949	5949
657	488	4294967842	-0.4645	4880	5930
656	482	4294967842	-0.2833	4886	5703
4294967800	491	4294967842	0.8379	4893	5991
654	489	4294967842	-0.3270	4888	5846
4294967801	4294967842	21474837093	0.6512	4895	5992
4294967813	489	38654706177	0.9940	4936	5997
652	479	4294967842	-0.4067	4888	5967
4294967860	479	38654706177	-0.3234	4918	5876
650	487	4294967842	-0.1360	4891	5995
4294967829	4294967842	38654706177	-0.0165	4898	5903
25769804383	4294967842	4294967854	-0.4222	4879	5897
4294967951	475	4294967842	0.0578	4878	6000
4294967949	4294967842	4294967898	-0.5364	4874	5959
4294967947	481	4294967842	-0.5898	4868	5955
30064772135	4294968032	4294968433	-0.5452	824	5974
672	475	666	-0.3910	4790	5980
671	486	4294967842	-0.4122	4790	5905
8589935124	4294967842	8589935114	-0.5213	4835	5965
669	666	4294967898	-0.5177	4792	5943
668	487	666	-0.4096	4798	5988
667	491	666	0.0695	4798	5993
659	4294967842	4294967919	-0.4005	4829	5859
662	494	4294967842	0.1420	4823	5941
12884902407	482	666	-0.3414	4784	5943
4294967966	666	8589935114	-0.4421	4782	5802
4294967961	666	4294967919	-0.5920	4782	5995
4294967960	479	666	-0.2458	4779	5730
4294967959	488	666	-0.2471	4773	5884
4294967957	666	21474837093	0.0918	4770	5998
17179870278	1168	4294967842	-0.2416	831	5946
4294967954	486	666	-0.1970	4765	5997
12884902460	666	38654706177	-0.1074	4762	5965
12884902459	666	4294967854	-0.5634	4757	5910
12884902522	489	666	0.6171	4749	5983
706	481	684	-0.3489	4651	5980
705	684	4294967842	-0.6362	4662	5987
704	489	684	-0.5227	4663	5955
703	494	684	-0.1824	4668	5896
12884902489	481	666	-0.3423	4742	5985
25769804796	4294968433	8589935568	-0.4194	820	5911
701	684	38654706177	-0.3637	4679	5955
700	666	4294967842	-0.4418	4680	5926
699	684	8589935114	-0.5372	4681	5891
687	684	4294967919	-0.3983	4694	5869
697	482	684	0.9608	4682	5980
696	479	684	-0.3457	4683	5652
695	684	4294967898	-0.5375	4687	5988
678	494	666	0.8765	4728	5999
694	491	684	-0.3323	4687	5941
688	486	684	0.9724	4694	5986
692	684	4294967854	1.0000	4693	6000
691	475	684	-0.4171	4693	5912
689	488	684	-0.4104	4694	5970
685	666	684	0.9920	4698	5996
686	684	21474837093	-0.0504	4695	5958
716	4294967919	17179869719	-0.0000	4577	1423
4294967975	487	684	-0.3767	4640	5995
4294968008	482	4294968032	0.9646	4364	5982
4294968007	475	4294968032	-0.1040	4370	5978
4294968006	487	4294968032	-0.3731	4372	5904
4294968005	4294968032	8589935114	-0.1204	4375	5996
4294968004	481	4294968032	0.8609	4379	5999
4294968003	494	4294968032	0.9704	4380	5985
21474837573	666	4294968433	-0.3709	869	5916
12884902565	479	4294968032	-0.4001	4399	5998
8589935306	489	4294968032	-0.4407	4390	5954
25769804279	684	4294968032	-0.5466	4391	5990
25769804367	488	4294968032	-0.4003	4394	5753
8589935320	4294967842	4294968032	-0.2092	4362	5921
25769804292	4294967919	4294968032	-0.4677	4354	5924
30064771607	666	4294968032	-0.4188	4353	5893
748	4294968032	17179869921	0.9678	4217	6000
