# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	8424.4727	0.3535	8001	0.4000	1,2,1	0.5000	25
494	14045.3320	0.0038	8001	0.4000	3,0,1	0.5000	49
491	13462.1602	0.1300	8001	0.4000	3,3,2	0.5000	62
489	8606.2344	0.0649	8001	0.4000	0,1,2	0.5000	6
479	5070.1245	-0.0857	8001	0.4000	3,2,1	0.5000	57
8589935114	7018.9536	0.4660	7700	0.4000	3,0,0	0.5000	48
481	5864.3794	0.3627	8001	0.4000	1,2,0	0.5000	24
482	7123.5410	-0.2269	8001	0.4000	0,0,2	0.5000	2
4294967854	1322.1638	-0.2660	7650	0.4000	2,1,0	0.5000	36
4294967919	8598.3320	0.2909	7850	0.4000	0,0,2	0.5000	2
25769804679	2921.7065	0.4536	1600	0.4000	0,0,2	0.5000	2
486	12787.3652	-0.2541	8001	0.4000	1,0,0	0.5000	16
487	7744.5796	-0.2480	8001	0.4000	1,3,3	0.5000	31
488	4523.7822	0.1530	8001	0.4000	2,0,0	0.5000	32
4294967898	3077.8923	-0.1176	7400	0.4000	2,1,3	0.5000	39
21474837093	11550.6729	0.1727	7050	0.4000	3,2,1	0.5000	57
38654706177	13225.2188	-0.1974	7000	0.4000	1,2,0	0.5000	24
4294967842	12592.3066	0.4484	6900	0.4000	0,0,2	0.5000	2
666	7805.6543	0.1199	6800	0.4000	0,3,2	0.5000	14
684	7490.0811	0.2878	6700	0.4000	3,1,3	0.5000	55
4294968032	10272.2969	0.0822	6400	0.4000	0,2,0	0.5000	8
17179869921	1856.9137	-0.2958	6250	0.4000	1,0,2	0.5000	18
4294968110	5313.7715	-0.0410	5950	0.4000	1,3,3	0.5000	31
4294968053	7686.4292	-0.2858	6100	0.4000	3,0,2	0.5000	50
17179870010	7369.0967	0.0818	5200	0.4000	3,1,1	0.5000	53
17179870000	2221.3647	-0.2110	5050	0.4000	0,1,3	0.5000	7
21474837359	5168.0645	-0.0473	4200	0.4000	2,2,3	0.5000	43
21474837318	6609.3438	-0.1820	4950	0.4000	0,3,1	0.5000	13
12884902763	682.1655	-0.1487	4600	0.4000	2,2,2	0.5000	42
42949673738	1875.5398	-0.1453	4350	0.4000	0,3,1	0.5000	13
8589935568	2313.3711	0.2361	4150	0.4000	3,3,1	0.5000	61
4294968277	6037.1504	0.2318	4100	0.4000	2,2,1	0.5000	41
4294968433	885.1905	0.1059	2950	0.4000	1,2,2	0.5000	26
4294968416	405.4632	0.0083	3400	0.4000	0,2,0	0.5000	8
1168	3197.3340	0.4368	3000	0.4000	1,1,1	0.5000	21
4294968499	723.1177	0.0291	2350	0.4000	1,0,0	0.5000	16
42949674207	1824.2910	-0.2527	1100	0.4000	3,3,2	0.5000	62
68719477861	653.5464	-0.2800	1400	0.4000	0,0,1	0.5000	1
34359739369	610.4529	-0.1662	1050	0.4000	1,3,0	0.5000	28
68719477813	142.2756	0.1382	50	0.4000	3,2,2	0.5000	58
17179870515	50.8190	-0.1059	600	0.4000	0,1,0	0.5000	4

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.4569	7926	7963
4294967943	486	4294967919	-0.4192	7832	7945
497	479	482	-0.2342	8000	7975
4294967807	489	8589935114	0.0469	7682	7992
4294968466	494	4294968433	-0.3394	2935	7879
500	481	487	0.1464	8000	7938
8589935085	481	4294967919	0.9881	7833	7994
502	482	491	0.0751	8000	7978
4294967773	475	491	-0.3581	7923	7949
4294967817	475	4294967919	0.0934	7834	7839
8589935227	494	8589935114	-0.3730	7682	7934
506	482	489	-0.3834	7999	7919
4294967834	479	8589935114	-0.4222	7683	7912
508	486	488	-0.2384	7999	7831
509	487	489	0.0578	7999	7982
510	482	488	-0.0808	7999	7908
8589935191	479	4294967919	-0.3872	7778	7960
4294968468	4294967919	4294968433	-0.3367	2934	7932
608	479	494	-0.1095	7980	7948
12884902488	494	4294967854	-0.4207	7640	7980
4294968457	1168	17179870000	-0.3595	2932	7983
8589935237	475	8589935114	1.0000	7688	8000
4294967832	494	4294967919	-0.0540	7847	7920
518	489	491	-0.2888	7998	7738
21474837531	4294968433	17179870000	0.0097	2932	7929
4294967915	4294967919	8589935114	-0.3067	7692	7749
592	486	494	-0.2841	7984	7922
611	479	491	-0.2932	7980	7782
4294967810	487	4294967854	0.2169	7643	7990
17179870274	684	4294968433	-0.1513	2929	8000
525	479	486	-0.4390	7997	7974
526	489	494	-0.4637	7997	7984
610	481	489	-0.4286	7980	7983
17179870271	4294968433	21474837093	-0.0433	2928	7985
529	481	491	-0.0714	7996	7397
530	482	486	-0.2667	7996	7780
4294967929	487	4294967919	-0.2112	7847	7952
8589935207	487	8589935114	-0.2998	7692	7844
4294967878	486	487	0.5435	7940	7997
534	481	494	-0.3314	7996	7787
17179870236	4294967842	4294968433	-0.4489	2928	7916
4294967884	479	487	-0.2580	7941	7896
604	479	481	-0.3967	7981	7753
593	487	488	-0.3711	7984	7753
4294967899	491	4294967919	-0.2787	7848	7972
540	475	486	0.9940	7994	7997
541	475	479	-0.3199	7994	7919
8589935229	481	8589935114	-0.0294	7696	7892
4294967819	4294967854	8589935114	-0.3118	7644	7838
4294968477	1168	4294967898	-0.4236	2923	7877
545	475	489	-0.1493	7994	7977
4294967876	491	8589935114	-0.3572	7698	7896
631	481	488	0.0592	7973	7997
4294968451	475	4294968433	-0.3649	2921	7808
585	486	491	-0.1366	7986	7884
17179870241	4294968433	17179869921	-0.5432	2915	7913
551	487	491	-0.4205	7993	7879
4294967886	481	482	0.8440	7911	7969
4294967835	482	487	-0.3267	7948	7938
4294967820	488	4294967854	-0.2329	7645	7971
21474837550	1168	21474837318	0.0393	2915	8000
556	475	494	-0.3658	7991	7972
628	481	486	-0.1734	7974	7806
8589935169	488	4294967919	0.9920	7808	7996
4294967940	475	481	-0.1545	7948	7926
636	475	482	0.5913	7971	8000
4294967882	475	487	-0.1933	7956	7553
4294967839	491	4294967854	-0.6211	7647	7998
8589935119	489	4294967919	-0.0996	7815	7875
4294967877	489	4294967854	-0.2684	7647	7958
8589935139	482	4294967919	-0.2485	7825	7892
4294968484	666	1168	-0.3185	2913	7771
4294967934	479	489	-0.4676	7905	7947
8589935204	481	4294967854	-0.4380	7649	7994
569	491	494	-0.1586	7990	7988
570	475	488	-0.4024	7989	7934
624	482	494	-0.2216	7975	7995
595	479	488	-0.4381	7983	7875
573	487	494	-0.2021	7989	7862
574	488	489	-0.3980	7989	7940
4294967917	488	8589935114	-0.4031	7667	7928
597	486	489	0.9980	7983	7999
17179870280	4294967898	4294968433	-0.5952	2912	7991
578	488	494	0.1528	7988	7934
4294967861	486	8589935114	-0.1526	7666	7980
12884902445	482	8589935114	-0.4594	7676	7906
12884902475	479	4294967854	-0.5059	7638	7887
8589935155	475	4294967854	-0.1721	7631	7787
8589935075	486	4294967854	-0.3523	7623	7956
17179869721	4294967854	4294967919	-0.4814	7608	7949
17179869743	482	4294967854	-0.3441	7603	7752
21474837032	488	4294967898	-0.4121	7362	7979
12884902990	4294968277	4294968433	0.9588	2903	7979
4294967844	4294967898	4294967919	-0.4399	7396	7987
21474836964	475	4294967898	-0.4338	7365	7938
17179869811	4294967854	4294967898	-0.5858	7370	7988
4294967863	494	4294967898	0.9920	7397	7996
4294967872	479	4294967898	-0.3882	7398	7795
4294967936	489	4294967898	-0.2363	7399	7934
12884902536	481	4294967898	-0.2273	7374	7919
12884902530	487	4294967898	-0.1426	7375	7904
8589935222	4294967898	8589935114	-0.5228	7382	7969
21474837022	482	4294967898	-0.3550	7388	7880
25769804330	4294967854	21474837119	-0.0000	7302	698
25769804283	486	4294967898	-0.0740	7335	7673
8589935120	491	4294967898	-0.3140	7310	7964
30064771621	494	21474837093	-0.2457	7032	7767
17179869801	4294967919	21474837093	0.7451	7032	7966
12884902380	482	21474837093	-0.2454	7036	7967
12884902531	489	21474837093	-0.2858	7037	7819
8589935093	481	21474837093	-0.3100	7040	7955
8589935088	487	21474837093	-0.3521	7041	7989
8589935068	8589935114	21474837093	-0.1299	7043	7949
12884902504	488	21474837093	-0.2559	7045	7950
4294968470	4294968433	8589935114	-0.2861	2883	7905
4294968439	481	1168	0.2687	2886	7966
34359738990	486	21474837093	-0.4096	7022	7981
17179869793	479	21474837093	-0.2867	7018	7909
8589935218	475	21474837093	0.0940	7015	7803
38654706184	4294967854	21474837093	-0.2762	7013	7697
38654706195	4294967898	21474837093	-0.6887	7010	7963
42949673580	491	21474837093	0.8566	6999	7982
34359738866	21474837093	38654706177	-0.4308	6998	7860
47244640861	8589935114	38654706177	0.0616	6995	7901
42949673440	4294967898	38654706177	-0.2184	6994	7829
38654706225	4294967919	38654706177	-0.6702	6993	7996
42949673599	494	38654706177	-0.4028	6992	7899
34359738936	488	38654706177	0.1595	6992	7940
34359738986	4294967854	38654706177	-0.5731	6988	7956
