# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11543.4727	0.3535	10001	0.4000	1,2,1	0.5000	25
494	17227.3320	0.0038	10001	0.4000	3,0,1	0.5000	49
491	15022.1602	0.1300	10001	0.4000	3,3,2	0.5000	62
489	8960.2344	0.0649	10001	0.4000	0,1,2	0.5000	6
479	6105.1245	-0.0857	10001	0.4000	3,2,1	0.5000	57
8589935114	7147.9536	0.4660	9700	0.4000	3,0,0	0.5000	48
481	6719.3794	0.3627	10001	0.4000	1,2,0	0.5000	24
482	9100.5410	-0.2269	10001	0.4000	0,0,2	0.5000	2
4294967854	1937.1638	-0.2660	9650	0.4000	2,1,0	0.5000	36
4294967919	11291.3320	0.2909	9850	0.4000	0,0,2	0.5000	2
25769804679	5680.7065	0.4536	3600	0.4000	0,0,2	0.5000	2
486	14227.3652	-0.2541	10001	0.4000	1,0,0	0.5000	16
487	9005.5801	-0.2480	10001	0.4000	1,3,3	0.5000	31
488	5388.7822	0.1530	10001	0.4000	2,0,0	0.5000	32
4294967898	2986.8923	-0.1176	9400	0.4000	2,1,3	0.5000	39
21474837093	11208.6729	0.1727	9050	0.4000	3,2,1	0.5000	57
38654706177	16091.2188	-0.1974	9000	0.4000	1,2,0	0.5000	24
4294967842	15817.3066	0.4484	8900	0.4000	0,0,2	0.5000	2
666	6312.6543	0.1199	8800	0.4000	0,3,2	0.5000	14
684	9814.0811	0.2878	8700	0.4000	3,1,3	0.5000	55
4294968032	13029.2969	0.0822	8400	0.4000	0,2,0	0.5000	8
17179869921	3280.9136	-0.2958	8250	0.4000	1,0,2	0.5000	18
4294968110	8016.7715	-0.0410	7950	0.4000	1,3,3	0.5000	31
4294968053	10395.4297	-0.2858	8100	0.4000	3,0,2	0.5000	50
17179870010	10140.0967	0.0818	7200	0.4000	3,1,1	0.5000	53
17179870000	3021.3647	-0.2110	7050	0.4000	0,1,3	0.5000	7
21474837359	6867.0645	-0.0473	6200	0.4000	2,2,3	0.5000	43
21474837318	7557.3438	-0.1820	6950	0.4000	0,3,1	0.5000	13
25769804883	289.9406	0.3843	1000	0.4000	1,0,1	0.5000	17
42949673738	2765.5398	-0.1453	6350	0.4000	0,3,1	0.5000	13
8589935568	3691.3711	0.2361	6150	0.4000	3,3,1	0.5000	61
4294968277	7394.1504	0.2318	6100	0.4000	2,2,1	0.5000	41
4294968433	773.1904	0.1059	4950	0.4000	1,2,2	0.5000	26
21474837781	96.8135	0.2841	1550	0.4000	1,3,0	0.5000	28
1168	4713.3340	0.4368	5000	0.4000	1,1,1	0.5000	21
4294968499	1203.1177	0.0291	4350	0.4000	1,0,0	0.5000	16
42949674207	4300.2910	-0.2527	3100	0.4000	3,3,2	0.5000	62
68719477861	407.5464	-0.2800	3400	0.4000	0,0,1	0.5000	1
34359739369	2905.4529	-0.1662	3050	0.4000	1,3,0	0.5000	28
68719477813	1918.2756	0.1382	2050	0.4000	3,2,2	0.5000	58
17179870515	598.8190	-0.1059	2600	0.4000	0,1,0	0.5000	4
12884903225	1004.5695	0.4527	1700	0.4000	0,3,2	0.5000	14
4294968761	134.0282	0.0843	650	0.4000	3,1,3	0.5000	55
64424510638	72.8303	0.2800	50	0.4000	2,2,3	0.5000	43
64424510869	25.6020	0.1129	300	0.4000	1,0,3	0.5000	19
51539608878	5.5300	0.0800	100	0.4000	3,1,3	0.5000	55

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.2606	9926	9940
4294967943	486	4294967919	-0.2217	9832	9968
497	479	482	-0.2427	10000	9929
4294967807	489	8589935114	-0.4391	9682	9883
4294968466	494	4294968433	-0.4238	4935	9926
500	481	487	-0.4063	10000	9990
8589935085	481	4294967919	0.7184	9833	9973
502	482	491	-0.5565	10000	9982
4294967773	475	491	-0.5169	9923	9940
4294967817	475	4294967919	-0.5431	9834	9935
8589935227	494	8589935114	-0.2978	9682	9756
506	482	489	-0.4278	9999	9992
4294967834	479	8589935114	-0.4757	9683	10000
508	486	488	-0.4118	9999	9999
509	487	489	-0.4238	9999	9923
510	482	488	-0.1820	9999	9891
8589935191	479	4294967919	-0.2237	9778	9514
4294968468	4294967919	4294968433	-0.3832	4934	9942
608	479	494	-0.3149	9980	9996
12884902488	494	4294967854	-0.3112	9640	9986
4294968457	1168	17179870000	-0.1907	4932	9907
8589935237	475	8589935114	0.9881	9688	9994
4294967832	494	4294967919	-0.2199	9847	9962
518	489	491	-0.1429	9998	9996
21474837531	4294968433	17179870000	-0.3461	4932	9806
4294967915	4294967919	8589935114	-0.2145	9692	9735
592	486	494	-0.3823	9984	9846
611	479	491	0.9960	9980	9998
4294967810	487	4294967854	-0.2680	9643	9885
17179870274	684	4294968433	-0.3136	4929	9834
525	479	486	-0.0590	9997	9926
526	489	494	-0.1660	9997	9339
610	481	489	-0.4671	9980	9936
17179870271	4294968433	21474837093	-0.4403	4928	9994
529	481	491	-0.4523	9996	9961
530	482	486	0.3544	9996	9849
4294967929	487	4294967919	-0.3529	9847	9854
8589935207	487	8589935114	-0.0735	9692	9420
4294967878	486	487	0.9960	9940	9998
534	481	494	-0.3018	9996	9937
17179870236	4294967842	4294968433	-0.3694	4928	9901
4294967884	479	487	-0.3594	9941	9827
604	479	481	-0.6132	9981	10000
593	487	488	-0.2948	9984	9909
4294967899	491	4294967919	-0.1574	9848	9937
540	475	486	-0.5060	9994	9923
541	475	479	-0.4776	9994	9781
8589935229	481	8589935114	-0.3242	9696	9839
4294967819	4294967854	8589935114	-0.4199	9644	9882
4294968477	1168	4294967898	-0.5429	4923	9929
545	475	489	0.9881	9994	9994
4294967876	491	8589935114	-0.5326	9698	9969
631	481	488	-0.3810	9973	9974
4294968451	475	4294968433	-0.4570	4921	9984
585	486	491	-0.2767	9986	9740
17179870241	4294968433	17179869921	-0.3240	4915	9829
551	487	491	-0.3193	9993	9953
4294967886	481	482	0.8590	9911	9998
4294967835	482	487	-0.2891	9948	9938
4294967820	488	4294967854	-0.3418	9645	9854
21474837550	1168	21474837318	-0.1770	4915	9998
556	475	494	-0.1994	9991	9971
628	481	486	-0.1424	9974	9997
8589935169	488	4294967919	0.8526	9808	9993
4294967940	475	481	-0.1020	9948	9708
636	475	482	0.9960	9971	9998
4294967882	475	487	-0.3433	9956	9947
4294967839	491	4294967854	-0.0454	9647	9852
8589935119	489	4294967919	-0.1192	9815	9921
4294967877	489	4294967854	-0.6871	9647	9947
8589935139	482	4294967919	-0.3847	9825	9997
4294968484	666	1168	-0.2872	4913	9834
4294967934	479	489	-0.3762	9905	9922
8589935204	481	4294967854	-0.6046	9649	9968
569	491	494	-0.2204	9990	9965
570	475	488	-0.1470	9989	10000
624	482	494	-0.1232	9975	9571
595	479	488	-0.2217	9983	9834
573	487	494	-0.4296	9989	9995
574	488	489	-0.3126	9989	9964
4294967917	488	8589935114	-0.4109	9667	9954
597	486	489	0.2796	9983	9959
