# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	10717.4727	0.3535	12001	0.4000	1,2,1	0.5000	25
494	20107.3320	0.0038	12001	0.4000	3,0,1	0.5000	49
491	15120.1602	0.1300	12001	0.4000	3,3,2	0.5000	62
489	9944.2344	0.0649	12001	0.4000	0,1,2	0.5000	6
479	8249.1250	-0.0857	12001	0.4000	3,2,1	0.5000	57
8589935114	9050.9531	0.4660	11700	0.4000	3,0,0	0.5000	48
481	5577.3794	0.3627	12001	0.4000	1,2,0	0.5000	24
482	12057.5410	-0.2269	12001	0.4000	0,0,2	0.5000	2
4294967854	1957.1638	-0.2660	11650	0.4000	2,1,0	0.5000	36
4294967919	12808.3320	0.2909	11850	0.4000	0,0,2	0.5000	2
25769804679	7639.7065	0.4536	5600	0.4000	0,0,2	0.5000	2
486	15417.3652	-0.2541	12001	0.4000	1,0,0	0.5000	16
487	9989.5801	-0.2480	12001	0.4000	1,3,3	0.5000	31
488	6617.7822	0.1530	12001	0.4000	2,0,0	0.5000	32
4294967898	2171.8923	-0.1176	11400	0.4000	2,1,3	0.5000	39
21474837093	11870.6729	0.1727	11050	0.4000	3,2,1	0.5000	57
38654706177	17640.2188	-0.1974	11000	0.4000	1,2,0	0.5000	24
4294967842	17112.3066	0.4484	10900	0.4000	0,0,2	0.5000	2
666	5328.6543	0.1199	10800	0.4000	0,3,2	0.5000	14
684	12023.0811	0.2878	10700	0.4000	3,1,3	0.5000	55
4294968032	15997.2969	0.0822	10400	0.4000	0,2,0	0.5000	8
17179869921	5078.9136	-0.2958	10250	0.4000	1,0,2	0.5000	18
4294968110	9984.7715	-0.0410	9950	0.4000	1,3,3	0.5000	31
4294968053	12337.4297	-0.2858	10100	0.4000	3,0,2	0.5000	50
17179870010	10589.0967	0.0818	9200	0.4000	3,1,1	0.5000	53
17179870000	1162.3647	-0.2110	9050	0.4000	0,1,3	0.5000	7
21474837359	8083.0645	-0.0473	8200	0.4000	2,2,3	0.5000	43
21474837318	9115.3438	-0.1820	8950	0.4000	0,3,1	0.5000	13
25769804883	902.9406	0.3843	3000	0.4000	1,0,1	0.5000	17
42949673738	3136.5398	-0.1453	8350	0.4000	0,3,1	0.5000	13
8589935568	3694.3711	0.2361	8150	0.4000	3,3,1	0.5000	61
4294968277	8150.1504	0.2318	8100	0.4000	2,2,1	0.5000	41
4294968433	1258.1904	0.1059	6950	0.4000	1,2,2	0.5000	26
64424510869	907.6019	0.1129	2300	0.4000	1,0,3	0.5000	19
1168	6186.3340	0.4368	7000	0.4000	1,1,1	0.5000	21
4294968499	2061.1177	0.0291	6350	0.4000	1,0,0	0.5000	16
42949674207	6077.2910	-0.2527	5100	0.4000	3,3,2	0.5000	62
68719477861	1492.5464	-0.2800	5400	0.4000	0,0,1	0.5000	1
34359739369	5258.4531	-0.1662	5050	0.4000	1,3,0	0.5000	28
68719477813	3744.2756	0.1382	4050	0.4000	3,2,2	0.5000	58
12884903624	50.8426	-0.1093	50	0.4000	2,1,0	0.5000	36
12884903225	2158.5693	0.4527	3700	0.4000	0,3,2	0.5000	14
4294968761	1809.0282	0.0843	2650	0.4000	3,1,3	0.5000	55
12884903463	723.6411	0.1626	1650	0.4000	3,3,1	0.5000	61
17179870784	1532.6245	0.3880	1400	0.4000	3,0,3	0.5000	51
1766	6.7103	-0.2293	150	0.4000	0,1,3	0.5000	7
25769805274	134.8314	-0.2616	950	0.4000	1,2,0	0.5000	24
12884903579	43.6601	0.2308	200	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.2486	11926	11677
4294967943	486	4294967919	-0.5089	11832	11978
497	479	482	-0.1718	12000	11964
4294967807	489	8589935114	-0.6949	11682	11957
4294968466	494	4294968433	-0.3183	6935	11922
500	481	487	-0.3681	12000	11752
8589935085	481	4294967919	-0.2487	11833	11750
502	482	491	-0.3854	12000	11835
4294967773	475	491	-0.4875	11923	11907
4294967817	475	4294967919	-0.1955	11834	11814
8589935227	494	8589935114	-0.4065	11682	11879
506	482	489	-0.1770	11999	11973
4294967834	479	8589935114	-0.2759	11683	11941
508	486	488	-0.3525	11999	11973
509	487	489	-0.3913	11999	11928
510	482	488	-0.1928	11999	11612
8589935191	479	4294967919	-0.0011	11778	11997
4294968468	4294967919	4294968433	-0.4892	6934	11883
608	479	494	-0.1407	11980	11850
12884902488	494	4294967854	-0.2603	11640	11919
4294968457	1168	17179870000	-0.3865	6932	11837
8589935237	475	8589935114	0.9881	11688	11994
4294967832	494	4294967919	-0.1241	11847	11780
518	489	491	-0.2645	11998	11891
21474837531	4294968433	17179870000	-0.3396	6932	11871
4294967915	4294967919	8589935114	-0.4914	11692	11995
592	486	494	-0.2820	11984	11880
611	479	491	0.9960	11980	11998
4294967810	487	4294967854	-0.4546	11643	11931
17179870274	684	4294968433	-0.0337	6929	11888
525	479	486	0.9940	11997	11997
526	489	494	-0.3207	11997	11871
610	481	489	-0.3606	11980	11965
17179870271	4294968433	21474837093	-0.1248	6928	11913
529	481	491	-0.2979	11996	11836
530	482	486	-0.2821	11996	11964
4294967929	487	4294967919	0.2091	11847	11994
8589935207	487	8589935114	0.1044	11692	11976
4294967878	486	487	-0.2939	11940	11805
534	481	494	-0.0508	11996	11869
17179870236	4294967842	4294968433	-0.2308	6928	11576
4294967884	479	487	-0.5216	11941	11936
604	479	481	-0.5726	11981	11947
593	487	488	-0.3690	11984	11969
4294967899	491	4294967919	0.0789	11848	11888
540	475	486	-0.2607	11994	11871
541	475	479	-0.2253	11994	11849
8589935229	481	8589935114	-0.3524	11696	11892
4294967819	4294967854	8589935114	0.2302	11644	11920
4294968477	1168	4294967898	-0.3932	6923	11918
545	475	489	-0.2016	11994	11982
4294967876	491	8589935114	-0.3055	11698	11922
631	481	488	-0.3079	11973	11981
4294968451	475	4294968433	-0.5923	6921	11999
585	486	491	-0.1176	11986	11972
17179870241	4294968433	17179869921	-0.1419	6915	11850
551	487	491	-0.1905	11993	11922
4294967886	481	482	-0.3018	11911	11919
4294967835	482	487	-0.3558	11948	11927
4294967820	488	4294967854	-0.6135	11645	11922
21474837550	1168	21474837318	-0.1757	6915	11780
556	475	494	-0.3231	11991	11878
628	481	486	-0.5585	11974	11878
8589935169	488	4294967919	0.8370	11808	11990
4294967940	475	481	-0.4742	11948	11813
636	475	482	0.4896	11971	11995
4294967882	475	487	-0.3527	11956	11933
4294967839	491	4294967854	-0.3050	11647	11902
8589935119	489	4294967919	0.0274	11815	11987
4294967877	489	4294967854	-0.3158	11647	11955
8589935139	482	4294967919	-0.2113	11825	11512
4294968484	666	1168	-0.5266	6913	11996
4294967934	479	489	-0.4201	11905	11852
8589935204	481	4294967854	-0.5198	11649	11841
569	491	494	-0.3613	11990	11993
570	475	488	-0.4870	11989	11978
624	482	494	0.0923	11975	11981
595	479	488	-0.4329	11983	11838
573	487	494	0.1110	11989	11961
574	488	489	-0.3554	11989	11897
4294967917	488	8589935114	-0.4396	11667	11917
597	486	489	-0.2147	11983	11938
17179870280	4294967898	4294968433	0.5333	6912	11965
578	488	494	-0.2881	11988	11932
4294967861	486	8589935114	-0.3271	11666	11810
