# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	10330.4727	0.3535	14001	0.4000	1,2,1	0.5000	25
494	22517.3320	0.0038	14001	0.4000	3,0,1	0.5000	49
491	15498.1602	0.1300	14001	0.4000	3,3,2	0.5000	62
489	11095.2344	0.0649	14001	0.4000	0,1,2	0.5000	6
479	9189.1250	-0.0857	14001	0.4000	3,2,1	0.5000	57
8589935114	10973.9531	0.4660	13700	0.4000	3,0,0	0.5000	48
481	4209.3794	0.3627	14001	0.4000	1,2,0	0.5000	24
482	13236.5410	-0.2269	14001	0.4000	0,0,2	0.5000	2
4294967854	2450.1638	-0.2660	13650	0.4000	2,1,0	0.5000	36
4294967919	14711.3320	0.2909	13850	0.4000	0,0,2	0.5000	2
25769804679	9245.7070	0.4536	7600	0.4000	0,0,2	0.5000	2
486	16430.3652	-0.2541	14001	0.4000	1,0,0	0.5000	16
487	9147.5801	-0.2480	14001	0.4000	1,3,3	0.5000	31
488	8645.7822	0.1530	14001	0.4000	2,0,0	0.5000	32
4294967898	4067.8926	-0.1176	13400	0.4000	2,1,3	0.5000	39
21474837093	11393.6729	0.1727	13050	0.4000	3,2,1	0.5000	57
38654706177	15624.2188	-0.1974	13000	0.4000	1,2,0	0.5000	24
4294967842	17837.3066	0.4484	12900	0.4000	0,0,2	0.5000	2
666	5762.6543	0.1199	12800	0.4000	0,3,2	0.5000	14
684	12528.0811	0.2878	12700	0.4000	3,1,3	0.5000	55
4294968032	18709.2969	0.0822	12400	0.4000	0,2,0	0.5000	8
17179869921	6411.9136	-0.2958	12250	0.4000	1,0,2	0.5000	18
4294968110	12143.7715	-0.0410	11950	0.4000	1,3,3	0.5000	31
4294968053	13512.4297	-0.2858	12100	0.4000	3,0,2	0.5000	50
17179870010	11170.0967	0.0818	11200	0.4000	3,1,1	0.5000	53
17179870000	1880.3647	-0.2110	11050	0.4000	0,1,3	0.5000	7
21474837359	6994.0645	-0.0473	10200	0.4000	2,2,3	0.5000	43
21474837318	12570.3438	-0.1820	10950	0.4000	0,3,1	0.5000	13
25769804883	4123.9404	0.3843	5000	0.4000	1,0,1	0.5000	17
42949673738	2558.5398	-0.1453	10350	0.4000	0,3,1	0.5000	13
8589935568	3452.3711	0.2361	10150	0.4000	3,3,1	0.5000	61
4294968277	8274.1504	0.2318	10100	0.4000	2,2,1	0.5000	41
4294968433	1200.1904	0.1059	8950	0.4000	1,2,2	0.5000	26
64424510869	1647.6019	0.1129	4300	0.4000	1,0,3	0.5000	19
1168	8049.3340	0.4368	9000	0.4000	1,1,1	0.5000	21
4294968499	2340.1177	0.0291	8350	0.4000	1,0,0	0.5000	16
42949674207	7496.2910	-0.2527	7100	0.4000	3,3,2	0.5000	62
68719477861	1828.5464	-0.2800	7400	0.4000	0,0,1	0.5000	1
34359739369	6991.4531	-0.1662	7050	0.4000	1,3,0	0.5000	28
68719477813	5094.2754	0.1382	6050	0.4000	3,2,2	0.5000	58
21474838252	420.2184	0.2344	1150	0.4000	1,2,1	0.5000	25
12884903225	1591.5693	0.4527	5700	0.4000	0,3,2	0.5000	14
4294968761	1864.0283	0.0843	4650	0.4000	3,1,3	0.5000	55
12884903463	2399.6411	0.1626	3650	0.4000	3,3,1	0.5000	61
17179870784	5292.6245	0.3880	3400	0.4000	3,0,3	0.5000	51
25769805274	1978.8313	-0.2616	2950	0.4000	1,2,0	0.5000	24
51539608985	1045.2324	-0.2153	1800	0.4000	2,2,3	0.5000	43
4294968672	646.4974	0.2978	900	0.4000	0,2,1	0.5000	9
8589936418	195.2625	0.1936	550	0.4000	3,3,1	0.5000	61
12884903777	9.2548	-0.1420	100	0.4000	3,3,0	0.5000	60
42949674248	30.3484	-0.1295	50	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.4655	13926	13975
4294967943	486	4294967919	-0.5712	13832	13986
497	479	482	-0.0379	14000	13813
4294967807	489	8589935114	-0.5564	13682	13957
4294968466	494	4294968433	-0.5543	8935	13955
500	481	487	-0.4566	14000	13949
8589935085	481	4294967919	-0.2133	13833	13931
502	482	491	-0.2737	14000	13592
4294967773	475	491	-0.3025	13923	13855
4294967817	475	4294967919	-0.3765	13834	13768
8589935227	494	8589935114	-0.5029	13682	13994
506	482	489	-0.4527	13999	13959
4294967834	479	8589935114	-0.4543	13683	13889
508	486	488	-0.0484	13999	13988
509	487	489	-0.4985	13999	13946
510	482	488	-0.6532	13999	13996
8589935191	479	4294967919	0.7239	13778	13989
4294968468	4294967919	4294968433	0.0604	8934	13916
608	479	494	-0.2814	13980	13773
12884902488	494	4294967854	-0.3075	13640	13852
4294968457	1168	17179870000	-0.2013	8932	13899
8589935237	475	8589935114	0.9646	13688	13982
4294967832	494	4294967919	-0.0570	13847	13957
518	489	491	-0.4799	13998	13962
21474837531	4294968433	17179870000	-0.1575	8932	13688
4294967915	4294967919	8589935114	-0.3738	13692	13846
592	486	494	-0.4465	13984	13974
611	479	491	0.6354	13980	13974
4294967810	487	4294967854	-0.2636	13643	13588
17179870274	684	4294968433	-0.3121	8929	13634
525	479	486	0.8584	13997	13982
526	489	494	-0.1692	13997	13649
610	481	489	-0.1176	13980	13998
17179870271	4294968433	21474837093	-0.2412	8928	13998
529	481	491	-0.2978	13996	13863
530	482	486	-0.3020	13996	13972
4294967929	487	4294967919	-0.3761	13847	13918
8589935207	487	8589935114	-0.0947	13692	13997
4294967878	486	487	-0.4686	13940	13991
534	481	494	-0.1687	13996	13977
17179870236	4294967842	4294968433	0.0243	8928	13972
4294967884	479	487	-0.4842	13941	13903
604	479	481	0.0248	13981	13946
593	487	488	-0.4482	13984	13902
4294967899	491	4294967919	0.0832	13848	13992
540	475	486	-0.4218	13994	13999
541	475	479	-0.4571	13994	13961
8589935229	481	8589935114	-0.5465	13696	13976
4294967819	4294967854	8589935114	0.6113	13644	13977
4294968477	1168	4294967898	-0.3543	8923	13882
545	475	489	0.9940	13994	13997
4294967876	491	8589935114	-0.2062	13698	13949
631	481	488	-0.3296	13973	13893
4294968451	475	4294968433	-0.5273	8921	13998
585	486	491	0.9455	13986	13972
17179870241	4294968433	17179869921	-0.4261	8915	13922
551	487	491	-0.2482	13993	13961
4294967886	481	482	-0.2429	13911	13881
4294967835	482	487	-0.3582	13948	13866
4294967820	488	4294967854	-0.3966	13645	13881
21474837550	1168	21474837318	-0.3038	8915	13826
556	475	494	-0.2546	13991	13930
628	481	486	-0.3456	13974	13984
8589935169	488	4294967919	-0.1994	13808	13855
4294967940	475	481	-0.5053	13948	13889
636	475	482	-0.4186	13971	13921
4294967882	475	487	0.0222	13956	13938
4294967839	491	4294967854	-0.2642	13647	13969
8589935119	489	4294967919	-0.1683	13815	13635
4294967877	489	4294967854	-0.1872	13647	13952
8589935139	482	4294967919	-0.3235	13825	13879
4294968484	666	1168	-0.0491	8913	13916
4294967934	479	489	-0.5044	13905	13897
8589935204	481	4294967854	-0.3855	13649	13895
569	491	494	-0.2249	13990	13782
570	475	488	-0.3192	13989	13988
624	482	494	-0.4054	13975	13959
595	479	488	-0.4132	13983	13989
573	487	494	-0.1951	13989	13905
574	488	489	-0.0270	13989	13888
4294967917	488	8589935114	-0.2206	13667	13600
597	486	489	-0.0872	13983	13517
17179870280	4294967898	4294968433	-0.3109	8912	13991
578	488	494	-0.4026	13988	13939
4294967861	486	8589935114	-0.1111	13666	13878
12884902445	482	8589935114	-0.1061	13676	13944
12884902475	479	4294967854	-0.2339	13638	13735
8589935155	475	4294967854	-0.4398	13631	13952
8589935075	486	4294967854	-0.2337	13623	13990
17179869721	4294967854	4294967919	-0.0699	13608	13897
