# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	10956.4727	0.3535	16001	0.4000	1,2,1	0.5000	25
494	25018.3320	0.0038	16001	0.4000	3,0,1	0.5000	49
491	15928.1602	0.1300	16001	0.4000	3,3,2	0.5000	62
489	12665.2344	0.0649	16001	0.4000	0,1,2	0.5000	6
479	10768.1250	-0.0857	16001	0.4000	3,2,1	0.5000	57
8589935114	11582.9531	0.4660	15700	0.4000	3,0,0	0.5000	48
481	4572.3794	0.3627	16001	0.4000	1,2,0	0.5000	24
482	13855.5410	-0.2269	16001	0.4000	0,0,2	0.5000	2
4294967854	2166.1638	-0.2660	15650	0.4000	2,1,0	0.5000	36
4294967919	13982.3320	0.2909	15850	0.4000	0,0,2	0.5000	2
25769804679	12524.7070	0.4536	9600	0.4000	0,0,2	0.5000	2
486	17772.3652	-0.2541	16001	0.4000	1,0,0	0.5000	16
487	8404.5801	-0.2480	16001	0.4000	1,3,3	0.5000	31
488	10178.7822	0.1530	16001	0.4000	2,0,0	0.5000	32
4294967898	5802.8926	-0.1176	15400	0.4000	2,1,3	0.5000	39
21474837093	10730.6729	0.1727	15050	0.4000	3,2,1	0.5000	57
38654706177	14617.2188	-0.1974	15000	0.4000	1,2,0	0.5000	24
4294967842	19286.3066	0.4484	14900	0.4000	0,0,2	0.5000	2
666	8015.6543	0.1199	14800	0.4000	0,3,2	0.5000	14
684	14476.0811	0.2878	14700	0.4000	3,1,3	0.5000	55
4294968032	22134.2969	0.0822	14400	0.4000	0,2,0	0.5000	8
17179869921	8048.9136	-0.2958	14250	0.4000	1,0,2	0.5000	18
4294968110	13514.7715	-0.0410	13950	0.4000	1,3,3	0.5000	31
4294968053	13757.4297	-0.2858	14100	0.4000	3,0,2	0.5000	50
17179870010	12015.0967	0.0818	13200	0.4000	3,1,1	0.5000	53
17179870000	3060.3647	-0.2110	13050	0.4000	0,1,3	0.5000	7
21474837359	5299.0645	-0.0473	12200	0.4000	2,2,3	0.5000	43
21474837318	12992.3438	-0.1820	12950	0.4000	0,3,1	0.5000	13
25769804883	7565.9404	0.3843	7000	0.4000	1,0,1	0.5000	17
42949673738	2724.5398	-0.1453	12350	0.4000	0,3,1	0.5000	13
8589935568	4425.3711	0.2361	12150	0.4000	3,3,1	0.5000	61
4294968277	9992.1504	0.2318	12100	0.4000	2,2,1	0.5000	41
4294968433	80.1904	0.1059	10950	0.4000	1,2,2	0.5000	26
64424510869	3200.6021	0.1129	6300	0.4000	1,0,3	0.5000	19
1168	9003.3340	0.4368	11000	0.4000	1,1,1	0.5000	21
4294968499	2598.1177	0.0291	10350	0.4000	1,0,0	0.5000	16
42949674207	8320.2910	-0.2527	9100	0.4000	3,3,2	0.5000	62
68719477861	1140.5464	-0.2800	9400	0.4000	0,0,1	0.5000	1
34359739369	9129.4531	-0.1662	9050	0.4000	1,3,0	0.5000	28
68719477813	6212.2754	0.1382	8050	0.4000	3,2,2	0.5000	58
21474838252	1041.2185	0.2344	3150	0.4000	1,2,1	0.5000	25
12884903225	2338.5693	0.4527	7700	0.4000	0,3,2	0.5000	14
4294968761	3274.0283	0.0843	6650	0.4000	3,1,3	0.5000	55
12884903463	5341.6411	0.1626	5650	0.4000	3,3,1	0.5000	61
17179870784	7492.6245	0.3880	5400	0.4000	3,0,3	0.5000	51
25769805274	2753.8313	-0.2616	4950	0.4000	1,2,0	0.5000	24
51539608985	2554.2324	-0.2153	3800	0.4000	2,2,3	0.5000	43
4294968672	2112.4976	0.2978	2900	0.4000	0,2,1	0.5000	9
8589936418	768.2625	0.1936	2550	0.4000	3,3,1	0.5000	61
60129543984	128.8148	-0.1999	700	0.4000	0,1,1	0.5000	5
77309412627	471.5621	0.4324	550	0.4000	1,3,3	0.5000	31
1976	149.6191	-0.2836	300	0.4000	3,0,1	0.5000	49
133143987328	39.9766	0.0951	150	0.4000	3,3,1	0.5000	61
2026	12.9685	0.1749	50	0.4000	3,0,0	0.5000	48
12884903888	67.3954	0.0766	100	0.4000	2,1,1	0.5000	37

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.0465	15926	15733
4294967943	486	4294967919	-0.3221	15832	15871
497	479	482	-0.2275	16000	15691
4294967807	489	8589935114	-0.5300	15682	15991
4294968466	494	4294968433	-0.3460	10935	15764
500	481	487	-0.3931	16000	15781
8589935085	481	4294967919	-0.3393	15833	15974
502	482	491	-0.2214	16000	15822
4294967773	475	491	-0.1692	15923	15854
4294967817	475	4294967919	0.9960	15834	15998
8589935227	494	8589935114	-0.3255	15682	15747
506	482	489	0.9627	15999	15981
4294967834	479	8589935114	-0.2182	15683	15870
508	486	488	-0.2648	15999	15800
509	487	489	-0.3698	15999	15926
510	482	488	-0.3632	15999	15873
8589935191	479	4294967919	0.9646	15778	15982
4294968468	4294967919	4294968433	-0.4068	10934	15976
608	479	494	-0.2715	15980	15927
12884902488	494	4294967854	-0.3964	15640	15975
4294968457	1168	17179870000	-0.2782	10932	15802
8589935237	475	8589935114	0.5005	15688	15976
4294967832	494	4294967919	-0.0866	15847	15423
518	489	491	-0.3096	15998	15915
21474837531	4294968433	17179870000	-0.3893	10932	15957
4294967915	4294967919	8589935114	-0.7714	15692	15989
592	486	494	-0.1253	15984	15957
611	479	491	0.8094	15980	15995
4294967810	487	4294967854	-0.4468	15643	15976
17179870274	684	4294968433	-0.1346	10929	15968
525	479	486	-0.2564	15997	15938
526	489	494	-0.4007	15997	15882
610	481	489	-0.2192	15980	15899
17179870271	4294968433	21474837093	-0.3200	10928	15973
529	481	491	-0.3579	15996	15886
530	482	486	0.0899	15996	15939
4294967929	487	4294967919	-0.2798	15847	15961
8589935207	487	8589935114	-0.1882	15692	15980
4294967878	486	487	0.0800	15940	15994
534	481	494	-0.3433	15996	15893
17179870236	4294967842	4294968433	-0.3418	10928	15939
4294967884	479	487	0.0994	15941	15973
604	479	481	-0.3676	15981	15810
593	487	488	-0.3442	15984	15653
4294967899	491	4294967919	-0.3834	15848	15929
540	475	486	-0.1420	15994	15934
541	475	479	-0.0599	15994	15942
8589935229	481	8589935114	-0.0369	15696	15851
4294967819	4294967854	8589935114	-0.2251	15644	15983
4294968477	1168	4294967898	-0.1757	10923	15985
545	475	489	-0.2323	15994	15738
4294967876	491	8589935114	-0.2584	15698	15699
631	481	488	-0.4285	15973	15860
4294968451	475	4294968433	-0.3847	10921	15902
585	486	491	0.7535	15986	15956
17179870241	4294968433	17179869921	-0.5016	10915	15886
551	487	491	-0.2499	15993	15741
4294967886	481	482	-0.4315	15911	15962
4294967835	482	487	-0.1810	15948	15810
4294967820	488	4294967854	0.2848	15645	15970
21474837550	1168	21474837318	0.2359	10915	15894
556	475	494	-0.2133	15991	15876
628	481	486	-0.2730	15974	15821
8589935169	488	4294967919	-0.3321	15808	15921
4294967940	475	481	-0.2457	15948	15833
636	475	482	-0.3189	15971	15882
4294967882	475	487	-0.5033	15956	15984
4294967839	491	4294967854	-0.2883	15647	15916
8589935119	489	4294967919	-0.3966	15815	15991
4294967877	489	4294967854	-0.1651	15647	15825
8589935139	482	4294967919	-0.3810	15825	15894
4294968484	666	1168	-0.2896	10913	15863
4294967934	479	489	-0.2991	15905	15761
8589935204	481	4294967854	-0.1870	15649	15557
569	491	494	-0.2551	15990	15765
570	475	488	0.1755	15989	15895
624	482	494	0.1044	15975	15947
595	479	488	-0.4273	15983	15962
573	487	494	-0.2910	15989	15916
574	488	489	-0.3284	15989	15943
4294967917	488	8589935114	-0.1114	15667	16000
597	486	489	-0.3276	15983	15834
17179870280	4294967898	4294968433	-0.5435	10912	15977
578	488	494	-0.4066	15988	15925
4294967861	486	8589935114	-0.2003	15666	15733
12884902445	482	8589935114	-0.4064	15676	15966
12884902475	479	4294967854	-0.3874	15638	15873
8589935155	475	4294967854	-0.2111	15631	15802
8589935075	486	4294967854	-0.4465	15623	15924
17179869721	4294967854	4294967919	-0.2123	15608	15710
17179869743	482	4294967854	0.0422	15603	15890
21474837032	488	4294967898	0.3387	15362	15971
12884902990	4294968277	4294968433	-0.3052	10903	15925
4294967844	4294967898	4294967919	-0.3101	15396	15903
21474836964	475	4294967898	0.2385	15365	15994
17179869811	4294967854	4294967898	0.9802	15370	15990
4294967863	494	4294967898	0.1717	15397	15997
4294967872	479	4294967898	0.4957	15398	15967
4294967936	489	4294967898	0.9665	15399	15983
12884902536	481	4294967898	-0.5076	15374	15985
12884902530	487	4294967898	-0.3202	15375	15988
8589935222	4294967898	8589935114	-0.3829	15382	15917
21474837022	482	4294967898	1.0000	15388	16000
25769804330	4294967854	21474837119	-0.0000	15302	698
25769804283	486	4294967898	0.9920	15335	15996
8589935120	491	4294967898	-0.2977	15310	15685
30064771621	494	21474837093	-0.1663	15032	15799
17179869801	4294967919	21474837093	-0.2076	15032	15874
12884902380	482	21474837093	0.0378	15036	15839
12884902531	489	21474837093	-0.3377	15037	15808
8589935093	481	21474837093	-0.2640	15040	15971
8589935088	487	21474837093	-0.4040	15041	15960
8589935068	8589935114	21474837093	-0.3309	15043	15995
12884902504	488	21474837093	-0.0846	15045	15782
4294968470	4294968433	8589935114	-0.3063	10883	15716
4294968439	481	1168	-0.2772	10886	15719
34359738990	486	21474837093	0.0286	15022	15995
17179869793	479	21474837093	0.9361	15018	15967
8589935218	475	21474837093	-0.2362	15015	15948
38654706184	4294967854	21474837093	-0.4080	15013	15878
38654706195	4294967898	21474837093	-0.2730	15010	15897
42949673580	491	21474837093	-0.3828	14999	15980
34359738866	21474837093	38654706177	-0.2849	14998	15731
47244640861	8589935114	38654706177	-0.1461	14995	15913
42949673440	4294967898	38654706177	-0.3623	14994	15881
38654706225	4294967919	38654706177	0.8753	14993	15995
42949673599	494	38654706177	0.9323	14992	15965
34359738936	488	38654706177	0.9900	14992	15995
34359738986	4294967854	38654706177	-0.3735	14988	15984
42949674008	21474837318	42949673790	-0.0000	7059	8941
