# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
475	11662.4727	0.3535	18001	0.4000	1,2,1	0.5000	25
494	27317.3320	0.0038	18001	0.4000	3,0,1	0.5000	49
491	17540.1602	0.1300	18001	0.4000	3,3,2	0.5000	62
489	13312.2344	0.0649	18001	0.4000	0,1,2	0.5000	6
479	12451.1250	-0.0857	18001	0.4000	3,2,1	0.5000	57
8589935114	10843.9531	0.4660	17700	0.4000	3,0,0	0.5000	48
481	5734.3794	0.3627	18001	0.4000	1,2,0	0.5000	24
482	14772.5410	-0.2269	18001	0.4000	0,0,2	0.5000	2
4294967854	3072.1638	-0.2660	17650	0.4000	2,1,0	0.5000	36
4294967919	14043.3320	0.2909	17850	0.4000	0,0,2	0.5000	2
25769804679	14214.7070	0.4536	11600	0.4000	0,0,2	0.5000	2
486	18843.3652	-0.2541	18001	0.4000	1,0,0	0.5000	16
487	7473.5801	-0.2480	18001	0.4000	1,3,3	0.5000	31
488	11969.7822	0.1530	18001	0.4000	2,0,0	0.5000	32
4294967898	7481.8926	-0.1176	17400	0.4000	2,1,3	0.5000	39
21474837093	11535.6729	0.1727	17050	0.4000	3,2,1	0.5000	57
38654706177	16432.2188	-0.1974	17000	0.4000	1,2,0	0.5000	24
4294967842	21260.3066	0.4484	16900	0.4000	0,0,2	0.5000	2
666	10130.6543	0.1199	16800	0.4000	0,3,2	0.5000	14
684	15858.0811	0.2878	16700	0.4000	3,1,3	0.5000	55
4294968032	24446.2969	0.0822	16400	0.4000	0,2,0	0.5000	8
17179869921	10514.9141	-0.2958	16250	0.4000	1,0,2	0.5000	18
4294968110	14450.7715	-0.0410	15950	0.4000	1,3,3	0.5000	31
4294968053	15156.4297	-0.2858	16100	0.4000	3,0,2	0.5000	50
17179870010	11937.0967	0.0818	15200	0.4000	3,1,1	0.5000	53
17179870000	4637.3647	-0.2110	15050	0.4000	0,1,3	0.5000	7
21474837359	5491.0645	-0.0473	14200	0.4000	2,2,3	0.5000	43
21474837318	12728.3438	-0.1820	14950	0.4000	0,3,1	0.5000	13
25769804883	8996.9404	0.3843	9000	0.4000	1,0,1	0.5000	17
42949673738	4699.5400	-0.1453	14350	0.4000	0,3,1	0.5000	13
8589935568	7068.3711	0.2361	14150	0.4000	3,3,1	0.5000	61
4294968277	9772.1504	0.2318	14100	0.4000	2,2,1	0.5000	41
1976	1123.6191	-0.2836	2300	0.4000	3,0,1	0.5000	49
64424510869	2061.6021	0.1129	8300	0.4000	1,0,3	0.5000	19
1168	10311.3340	0.4368	13000	0.4000	1,1,1	0.5000	21
4294968499	3168.1177	0.0291	12350	0.4000	1,0,0	0.5000	16
42949674207	10624.2910	-0.2527	11100	0.4000	3,3,2	0.5000	62
68719477861	180.5464	-0.2800	11400	0.4000	0,0,1	0.5000	1
34359739369	9681.4531	-0.1662	11050	0.4000	1,3,0	0.5000	28
68719477813	8258.2754	0.1382	10050	0.4000	3,2,2	0.5000	58
21474838252	1604.2185	0.2344	5150	0.4000	1,2,1	0.5000	25
12884903225	2313.5693	0.4527	9700	0.4000	0,3,2	0.5000	14
4294968761	4116.0283	0.0843	8650	0.4000	3,1,3	0.5000	55
12884903463	6415.6411	0.1626	7650	0.4000	3,3,1	0.5000	61
17179870784	9376.6250	0.3880	7400	0.4000	3,0,3	0.5000	51
25769805274	3884.8313	-0.2616	6950	0.4000	1,2,0	0.5000	24
51539608985	3973.2324	-0.2153	5800	0.4000	2,2,3	0.5000	43
4294968672	2480.4976	0.2978	4900	0.4000	0,2,1	0.5000	9
34359739471	96.3809	-0.2176	250	0.4000	1,2,1	0.5000	25
60129543984	3112.8149	-0.1999	2700	0.4000	0,1,1	0.5000	5
77309412627	2254.5620	0.4324	2550	0.4000	1,3,3	0.5000	31
68719477970	341.2418	0.3584	750	0.4000	2,2,2	0.5000	42
4294969182	73.4351	0.2756	200	0.4000	1,0,2	0.5000	18
34359740391	36.3311	0.0135	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967910	488	491	-0.3376	17926	17995
4294967943	486	4294967919	-0.0456	17832	17930
497	479	482	-0.2748	18000	17944
4294967807	489	8589935114	0.0518	17682	17985
60129543770	4294968053	111669150862	-0.0036	1667	16333
500	481	487	-0.2373	18000	17921
8589935085	481	4294967919	-0.2944	17833	17977
502	482	491	-0.3072	18000	17775
4294967773	475	491	-0.2507	17923	17706
4294967817	475	4294967919	0.9980	17834	17999
8589935227	494	8589935114	0.1331	17682	17949
506	482	489	0.9821	17999	17991
4294967834	479	8589935114	-0.2367	17683	17671
508	486	488	-0.2275	17999	17970
509	487	489	-0.3339	17999	17813
510	482	488	-0.1587	17999	17957
8589935191	479	4294967919	-0.0404	17778	17932
1980	486	1976	-0.2018	2296	17991
608	479	494	-0.4110	17980	17973
12884902488	494	4294967854	0.5804	17640	17994
4294968457	1168	17179870000	-0.4901	12932	17942
8589935237	475	8589935114	1.0000	17688	18000
4294967832	494	4294967919	-0.3756	17847	17904
518	489	491	-0.2122	17998	17834
1993	1976	4294968277	-0.3621	2288	17953
4294967915	4294967919	8589935114	-0.0871	17692	17949
592	486	494	0.1513	17984	17977
611	479	491	0.6977	17980	17989
4294967810	487	4294967854	-0.0446	17643	17867
1979	1976	4294967854	0.9960	2296	17998
525	479	486	-0.3776	17997	17991
526	489	494	-0.3886	17997	17872
610	481	489	0.7712	17980	17998
1996	1976	4294968053	0.8697	2286	17994
529	481	491	-0.2889	17996	17889
530	482	486	-0.1457	17996	17982
4294967929	487	4294967919	-0.3881	17847	17933
8589935207	487	8589935114	-0.3463	17692	17926
4294967878	486	487	-0.2902	17940	17859
534	481	494	-0.1679	17996	17946
1995	1976	21474837318	-0.2511	2287	17940
4294967884	479	487	-0.2820	17941	17936
604	479	481	-0.4013	17981	17961
593	487	488	-0.3270	17984	17919
4294967899	491	4294967919	-0.3478	17848	17958
540	475	486	-0.3965	17994	17995
541	475	479	-0.1851	17994	18000
8589935229	481	8589935114	-0.2406	17696	17862
4294967819	4294967854	8589935114	0.1545	17644	17887
4294968477	1168	4294967898	-0.2164	12923	17658
545	475	489	0.3388	17994	17955
4294967876	491	8589935114	-0.0732	17698	17959
631	481	488	-0.3044	17973	17927
1977	1976	25769805274	-0.4407	2299	17956
585	486	491	-0.0874	17986	17886
1997	1976	17179869921	-0.2897	2286	17802
551	487	491	0.0687	17993	17873
4294967886	481	482	-0.3838	17911	17892
4294967835	482	487	-0.3873	17948	17841
4294967820	488	4294967854	-0.3567	17645	17983
21474837550	1168	21474837318	-0.1872	12915	17897
556	475	494	-0.3349	17991	17997
628	481	486	-0.2000	17974	17628
8589935169	488	4294967919	-0.0398	17808	17995
4294967940	475	481	-0.2277	17948	17930
636	475	482	-0.1011	17971	17632
4294967882	475	487	0.0665	17956	17952
4294967839	491	4294967854	-0.5295	17647	17980
8589935119	489	4294967919	-0.1249	17815	17946
4294967877	489	4294967854	-0.2656	17647	17974
8589935139	482	4294967919	-0.2579	17825	17814
4294968484	666	1168	-0.2908	12913	17994
4294967934	479	489	-0.0272	17905	17827
8589935204	481	4294967854	-0.2680	17649	17806
569	491	494	-0.2786	17990	17802
570	475	488	-0.1879	17989	17628
624	482	494	-0.2899	17975	17868
595	479	488	0.1140	17983	17958
573	487	494	-0.1910	17989	17941
574	488	489	-0.4150	17989	17956
4294967917	488	8589935114	-0.2974	17667	17783
597	486	489	-0.0829	17983	17894
8589935728	481	8589936626	-0.0031	1738	16262
578	488	494	0.0572	17988	18000
4294967861	486	8589935114	-0.3246	17666	17900
12884902445	482	8589935114	-0.4189	17676	17941
12884902475	479	4294967854	-0.3324	17638	17914
8589935155	475	4294967854	-0.0186	17631	17924
8589935075	486	4294967854	-0.1920	17623	17874
17179869721	4294967854	4294967919	-0.2062	17608	17948
17179869743	482	4294967854	-0.1808	17603	17983
21474837032	488	4294967898	0.4267	17362	17993
42949674839	1976	77309412627	-0.1516	2225	17685
4294967844	4294967898	4294967919	-0.2027	17396	17971
21474836964	475	4294967898	-0.1768	17365	17944
