# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	4444.4731	0.3535	2001	0.4000	1,2,1	0.5000	25
520	4455.3320	0.0038	2001	0.4000	3,0,1	0.5000	49
517	3055.1602	0.1300	2001	0.4000	3,3,2	0.5000	62
515	3734.2349	0.0649	2001	0.4000	0,1,2	0.5000	6
505	2793.1245	-0.0857	2001	0.4000	3,2,1	0.5000	57
8589935140	2449.9536	0.4660	1700	0.4000	3,0,0	0.5000	48
507	3142.3794	0.3627	2001	0.4000	1,2,0	0.5000	24
508	3796.5413	-0.2269	2001	0.4000	0,0,2	0.5000	2
4294967880	2554.1638	-0.2660	1650	0.4000	2,1,0	0.5000	36
4294967945	1934.3322	0.2909	1850	0.4000	0,0,2	0.5000	2
511	1504.4526	0.1717	2001	0.4000	2,0,3	0.5000	35
512	1934.3651	-0.2541	2001	0.4000	1,0,0	0.5000	16
513	4005.5796	-0.2480	2001	0.4000	1,3,3	0.5000	31
514	2048.7822	0.1530	2001	0.4000	2,0,0	0.5000	32
4294967924	1569.8923	-0.1176	1400	0.4000	2,1,3	0.5000	39
21474837119	1753.6727	0.1727	1050	0.4000	3,2,1	0.5000	57
38654706203	1619.2189	-0.1974	1000	0.4000	1,2,0	0.5000	24
4294967868	1057.3070	0.4484	900	0.4000	0,0,2	0.5000	2
692	1255.6543	0.1199	800	0.4000	0,3,2	0.5000	14
710	838.0812	0.2878	700	0.4000	3,1,3	0.5000	55
4294968058	377.2965	0.0822	400	0.4000	0,2,0	0.5000	8
17179869947	31.9137	-0.2958	250	0.4000	1,0,2	0.5000	18
776	82.5041	0.3405	150	0.4000	2,3,0	0.5000	44
4294968079	159.4292	-0.2858	100	0.4000	3,0,2	0.5000	50
801	45.8056	0.2157	50	0.4000	3,0,0	0.5000	48

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.6377	1926	1912
4294967969	512	4294967945	-0.5873	1832	1969
523	505	508	0.1301	2000	1991
4294967833	515	8589935140	-0.3233	1682	1906
525	511	520	0.9802	2000	1990
526	507	513	-0.6305	2000	1969
8589935111	507	4294967945	-0.0411	1833	1913
528	508	517	-0.6404	2000	1839
4294967799	501	517	0.9960	1923	1998
4294967843	501	4294967945	-0.4758	1834	1918
8589935253	520	8589935140	-0.4954	1682	1860
532	508	515	-0.3540	1999	1853
4294967860	505	8589935140	0.9980	1683	1999
534	512	514	-0.4693	1999	1916
535	513	515	-0.1974	1999	1976
536	508	514	-0.3683	1999	1784
8589935217	505	4294967945	-0.3906	1778	1964
655	511	517	-0.6474	1974	1891
634	505	520	-0.5056	1980	1946
12884902514	520	4294967880	-0.6178	1640	1875
541	511	512	-0.5513	1998	1946
8589935263	501	8589935140	-0.5859	1688	1997
4294967858	520	4294967945	-0.2276	1847	1996
544	515	517	-0.3957	1998	1886
8589935224	511	8589935140	-0.9157	1642	1956
4294967941	4294967945	8589935140	0.9900	1692	1995
618	512	520	-0.6095	1984	1944
637	505	517	-0.5162	1980	1979
4294967836	513	4294967880	0.2979	1643	1999
4294967968	511	4294967880	-0.9185	1644	1982
551	505	512	0.9841	1997	1992
552	515	520	-0.5874	1997	1956
636	507	515	1.0000	1980	2000
622	505	511	-0.7085	1983	1952
555	507	517	-0.3173	1996	1744
556	508	512	-0.4708	1996	1948
4294967955	513	4294967945	-0.5647	1847	1967
8589935233	513	8589935140	-0.6413	1692	1844
4294967904	512	513	0.9704	1940	1985
560	507	520	-0.1448	1996	1981
651	511	514	-0.7680	1975	1900
4294967910	505	513	-0.5896	1941	1987
630	505	507	-0.4510	1981	1892
619	513	514	0.9920	1984	1996
4294967925	517	4294967945	-0.5366	1848	1987
566	501	512	0.5092	1994	1995
567	501	505	-0.4165	1994	1878
8589935255	507	8589935140	-0.3760	1696	1966
4294967845	4294967880	8589935140	-0.8296	1644	1974
570	511	513	-0.7181	1994	1998
571	501	515	-0.0093	1994	1994
4294967902	517	8589935140	-0.5900	1698	1787
657	507	514	-0.2770	1973	1954
12884902555	511	4294967945	-0.6848	1753	1983
611	512	517	-0.5061	1986	1874
576	511	515	-0.6146	1993	1873
577	513	517	-0.4331	1993	1734
4294967912	507	508	-0.6337	1911	1921
4294967861	508	513	-0.5053	1948	1989
4294967846	514	4294967880	-0.2646	1645	1890
581	507	511	-0.6807	1992	1876
582	501	520	-0.7362	1991	1996
654	507	512	-0.6138	1974	1832
8589935195	514	4294967945	-0.6147	1808	1860
4294967966	501	507	-0.6183	1948	1896
662	501	508	0.7635	1971	2000
4294967908	501	513	-0.2048	1956	1956
4294967865	517	4294967880	1.0000	1647	2000
8589935145	515	4294967945	0.9763	1815	1988
4294967903	515	4294967880	0.3904	1647	1996
8589935165	508	4294967945	-0.6638	1825	1968
592	501	511	-0.6173	1990	1862
4294967960	505	515	-0.7401	1905	1976
8589935230	507	4294967880	-0.3244	1649	1947
595	517	520	0.9980	1990	1999
596	501	514	-0.3835	1989	1952
650	508	520	-0.5736	1975	1977
621	505	514	0.4494	1983	1953
599	513	520	-0.4437	1989	1917
600	514	515	-0.5944	1989	1992
4294967943	514	8589935140	-0.4858	1667	1867
623	512	515	-0.5977	1983	1942
4294967905	508	511	0.2146	1956	1942
604	514	520	-0.5561	1988	1993
4294967887	512	8589935140	-0.6770	1666	1955
12884902471	508	8589935140	0.9920	1676	1996
12884902501	505	4294967880	-0.5795	1638	1953
8589935181	501	4294967880	-0.5864	1631	1936
8589935101	512	4294967880	-0.4858	1623	1886
17179869747	4294967880	4294967945	-0.3594	1608	1967
17179869769	508	4294967880	0.9724	1603	1986
21474837058	514	4294967924	1.0000	1362	2000
4294967954	511	4294967924	-0.4471	1390	1982
4294967870	4294967924	4294967945	-0.6139	1396	1939
21474836990	501	4294967924	-0.7088	1365	1978
17179869837	4294967880	4294967924	-0.4256	1370	1917
4294967889	520	4294967924	0.9665	1397	1983
4294967898	505	4294967924	-0.5716	1398	1954
4294967962	515	4294967924	-0.5395	1399	1872
12884902562	507	4294967924	-0.2912	1374	1463
12884902556	513	4294967924	-0.1760	1375	1674
8589935248	4294967924	8589935140	-0.3596	1382	1603
21474837048	508	4294967924	-0.3383	1388	1865
25769804356	4294967880	21474837145	-0.0074	1302	698
25769804309	512	4294967924	-0.6737	1335	1923
8589935146	517	4294967924	-0.6142	1310	1937
30064771647	520	21474837119	-0.3803	1032	1815
17179869827	4294967945	21474837119	0.8962	1032	1999
12884902406	508	21474837119	-0.4970	1036	1950
12884902557	515	21474837119	-0.4157	1037	1839
8589935119	507	21474837119	-0.5319	1040	1993
8589935114	513	21474837119	-0.3435	1041	1919
8589935094	8589935140	21474837119	-0.8176	1043	1998
12884902530	514	21474837119	-0.4419	1045	1947
4294967911	511	17179869823	-0.0119	1062	938
8589935212	511	21474837119	-0.5722	1046	1806
34359739016	512	21474837119	-0.1302	1022	1992
17179869819	505	21474837119	-0.5261	1018	1931
8589935244	501	21474837119	-0.4414	1015	1758
38654706210	4294967880	21474837119	-0.4124	1013	1990
38654706221	4294967924	21474837119	0.8697	1010	1994
42949673606	517	21474837119	0.9665	999	1983
34359738892	21474837119	38654706203	-0.1818	998	1782
47244640887	8589935140	38654706203	-0.6082	995	1836
42949673466	4294967924	38654706203	-0.4075	994	1957
38654706251	4294967945	38654706203	-0.3622	993	1738
42949673625	520	38654706203	-0.4361	992	1988
34359738962	514	38654706203	-0.7105	992	1948
34359739012	4294967880	38654706203	-0.6255	988	1984
38654706288	511	38654706203	-0.5543	988	1928
34359738884	512	38654706203	-0.5474	978	1951
42949673464	513	38654706203	-0.6637	975	1892
34359738956	507	38654706203	0.8782	972	1990
30064771682	501	38654706203	0.9960	967	1998
25769804381	517	38654706203	-0.3660	958	1881
4294967897	508	38654706203	-0.4958	949	1999
683	514	4294967868	-0.4228	880	1856
682	508	4294967868	-0.2400	886	1997
4294967826	517	4294967868	-0.2167	893	1924
680	515	4294967868	-0.3885	888	1981
4294967827	4294967868	21474837119	0.2935	895	1965
4294967839	515	38654706203	-0.5411	936	1952
678	505	4294967868	-0.5334	888	1976
4294967886	505	38654706203	-0.3625	918	1868
676	513	4294967868	-0.3663	891	1900
4294967855	4294967868	38654706203	0.9763	898	1988
25769804409	4294967868	4294967880	-0.1038	879	1763
4294967977	501	4294967868	-0.5114	878	1946
4294967975	4294967868	4294967924	-0.6596	874	1933
4294967973	507	4294967868	0.9358	868	1999
