# tick 4000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	5129.4731	0.3535	4001	0.4000	1,2,1	0.5000	25
520	8762.3320	0.0038	4001	0.4000	3,0,1	0.5000	49
517	6975.1602	0.1300	4001	0.4000	3,3,2	0.5000	62
515	5492.2349	0.0649	4001	0.4000	0,1,2	0.5000	6
505	4122.1245	-0.0857	4001	0.4000	3,2,1	0.5000	57
8589935140	4859.9536	0.4660	3700	0.4000	3,0,0	0.5000	48
507	3225.3794	0.3627	4001	0.4000	1,2,0	0.5000	24
508	5278.5410	-0.2269	4001	0.4000	0,0,2	0.5000	2
4294967880	2200.1638	-0.2660	3650	0.4000	2,1,0	0.5000	36
4294967945	4783.3320	0.2909	3850	0.4000	0,0,2	0.5000	2
511	137.4526	0.1717	4001	0.4000	2,0,3	0.5000	35
512	5902.3652	-0.2541	4001	0.4000	1,0,0	0.5000	16
513	4900.5796	-0.2480	4001	0.4000	1,3,3	0.5000	31
514	3479.7822	0.1530	4001	0.4000	2,0,0	0.5000	32
4294967924	3479.8923	-0.1176	3400	0.4000	2,1,3	0.5000	39
21474837119	4897.6729	0.1727	3050	0.4000	3,2,1	0.5000	57
38654706203	5549.2188	-0.1974	3000	0.4000	1,2,0	0.5000	24
4294967868	5529.3071	0.4484	2900	0.4000	0,0,2	0.5000	2
692	4583.6543	0.1199	2800	0.4000	0,3,2	0.5000	14
710	3392.0811	0.2878	2700	0.4000	3,1,3	0.5000	55
4294968058	4753.2964	0.0822	2400	0.4000	0,2,0	0.5000	8
17179869947	832.9137	-0.2958	2250	0.4000	1,0,2	0.5000	18
4294968136	2421.7712	-0.0410	1950	0.4000	1,3,3	0.5000	31
4294968079	2992.4292	-0.2858	2100	0.4000	3,0,2	0.5000	50
17179870036	827.0969	0.0818	1200	0.4000	3,1,1	0.5000	53
17179870026	994.3647	-0.2110	1050	0.4000	0,1,3	0.5000	7
21474837385	102.0643	-0.0473	200	0.4000	2,2,3	0.5000	43
21474837344	1440.3440	-0.1820	950	0.4000	0,3,1	0.5000	13
12884902789	124.1656	-0.1487	600	0.4000	2,2,2	0.5000	42
42949673764	79.5397	-0.1453	350	0.4000	0,3,1	0.5000	13
8589935594	122.3712	0.2361	150	0.4000	3,3,1	0.5000	61
4294968303	18.1504	0.2318	100	0.4000	2,2,1	0.5000	41
1026	54.9086	0.4852	50	0.4000	0,0,2	0.5000	2

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.4929	3926	3831
4294967969	512	4294967945	-0.3036	3832	3758
523	505	508	-0.5435	4000	3963
4294967833	515	8589935140	-0.1584	3682	3977
525	511	520	0.9239	4000	3999
526	507	513	-0.3966	4000	3923
8589935111	507	4294967945	0.9685	3833	3984
528	508	517	-0.5409	4000	3983
4294967799	501	517	-0.2678	3923	3893
4294967843	501	4294967945	-0.4709	3834	3883
8589935253	520	8589935140	-0.3481	3682	3851
532	508	515	-0.6291	3999	3992
4294967860	505	8589935140	0.9980	3683	3999
534	512	514	-0.6730	3999	3864
535	513	515	-0.2768	3999	3969
536	508	514	-0.6086	3999	3957
8589935217	505	4294967945	-0.5752	3778	3877
655	511	517	-0.7776	3974	3943
634	505	520	-0.2872	3980	3970
12884902514	520	4294967880	-0.5076	3640	3863
541	511	512	-0.5746	3998	3863
8589935263	501	8589935140	-0.4129	3688	3781
4294967858	520	4294967945	-0.3175	3847	3891
544	515	517	-0.4785	3998	3991
8589935224	511	8589935140	-0.5389	3642	3992
4294967941	4294967945	8589935140	0.9861	3692	3993
618	512	520	-0.3914	3984	3803
637	505	517	-0.4536	3980	3966
4294967836	513	4294967880	-0.6479	3643	3943
4294967968	511	4294967880	-0.6653	3644	3910
551	505	512	0.9646	3997	3982
552	515	520	-0.1714	3997	3991
636	507	515	-0.8475	3980	3990
622	505	511	-0.6288	3983	3893
555	507	517	-0.5161	3996	3950
556	508	512	-0.3398	3996	3890
4294967955	513	4294967945	-0.4205	3847	3827
8589935233	513	8589935140	-0.4310	3692	3692
4294967904	512	513	0.9940	3940	3997
560	507	520	-0.3840	3996	3819
651	511	514	-0.6867	3975	3955
4294967910	505	513	-0.4430	3941	4000
630	505	507	-0.7097	3981	3934
619	513	514	0.6680	3984	3987
4294967925	517	4294967945	-0.4967	3848	3983
566	501	512	0.9588	3994	3979
567	501	505	-0.5879	3994	3962
8589935255	507	8589935140	0.1198	3696	3968
4294967845	4294967880	8589935140	-0.6042	3644	3926
570	511	513	-0.5890	3994	3926
571	501	515	-0.2099	3994	3929
4294967902	517	8589935140	-0.5212	3698	3964
657	507	514	-0.4728	3973	3929
12884902555	511	4294967945	-0.7507	3753	3978
611	512	517	-0.3417	3986	3722
576	511	515	-0.7640	3993	3878
577	513	517	-0.5715	3993	3815
4294967912	507	508	-0.6383	3911	4000
4294967861	508	513	-0.4706	3948	3991
4294967846	514	4294967880	-0.7165	3645	3916
581	507	511	-0.8728	3992	3965
