# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	6190.4731	0.3535	6001	0.4000	1,2,1	0.5000	25
520	11459.3320	0.0038	6001	0.4000	3,0,1	0.5000	49
517	10575.1602	0.1300	6001	0.4000	3,3,2	0.5000	62
515	7668.2349	0.0649	6001	0.4000	0,1,2	0.5000	6
505	4653.1245	-0.0857	6001	0.4000	3,2,1	0.5000	57
8589935140	5498.9536	0.4660	5700	0.4000	3,0,0	0.5000	48
507	4091.3794	0.3627	6001	0.4000	1,2,0	0.5000	24
508	5824.5410	-0.2269	6001	0.4000	0,0,2	0.5000	2
4294967880	2251.1638	-0.2660	5650	0.4000	2,1,0	0.5000	36
4294967945	6775.3320	0.2909	5850	0.4000	0,0,2	0.5000	2
1272	83.2032	0.0886	150	0.4000	1,0,3	0.5000	19
512	9566.3652	-0.2541	6001	0.4000	1,0,0	0.5000	16
513	6164.5796	-0.2480	6001	0.4000	1,3,3	0.5000	31
514	3149.7822	0.1530	6001	0.4000	2,0,0	0.5000	32
4294967924	3072.8923	-0.1176	5400	0.4000	2,1,3	0.5000	39
21474837119	8143.6729	0.1727	5050	0.4000	3,2,1	0.5000	57
38654706203	10274.2188	-0.1974	5000	0.4000	1,2,0	0.5000	24
4294967868	8794.3066	0.4484	4900	0.4000	0,0,2	0.5000	2
692	7159.6543	0.1199	4800	0.4000	0,3,2	0.5000	14
710	5018.0811	0.2878	4700	0.4000	3,1,3	0.5000	55
4294968058	7833.2964	0.0822	4400	0.4000	0,2,0	0.5000	8
17179869947	1810.9137	-0.2958	4250	0.4000	1,0,2	0.5000	18
4294968136	3543.7712	-0.0410	3950	0.4000	1,3,3	0.5000	31
4294968079	5501.4292	-0.2858	4100	0.4000	3,0,2	0.5000	50
17179870036	3483.0969	0.0818	3200	0.4000	3,1,1	0.5000	53
17179870026	1279.3647	-0.2110	3050	0.4000	0,1,3	0.5000	7
21474837385	2968.0645	-0.0473	2200	0.4000	2,2,3	0.5000	43
21474837344	4609.3438	-0.1820	2950	0.4000	0,3,1	0.5000	13
12884902789	814.1655	-0.1487	2600	0.4000	2,2,2	0.5000	42
42949673764	803.5397	-0.1453	2350	0.4000	0,3,1	0.5000	13
8589935594	502.3712	0.2361	2150	0.4000	3,3,1	0.5000	61
4294968303	2706.1504	0.2318	2100	0.4000	2,2,1	0.5000	41
4294968459	384.1905	0.1059	950	0.4000	1,2,2	0.5000	26
4294968442	132.4632	0.0083	1400	0.4000	0,2,0	0.5000	8
1194	498.3340	0.4368	1000	0.4000	1,1,1	0.5000	21
4294968525	178.1177	0.0291	350	0.4000	1,0,0	0.5000	16
38654706803	130.5727	-0.2416	450	0.4000	1,0,1	0.5000	17

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.5883	5926	5833
4294967969	512	4294967945	-0.2783	5832	5989
523	505	508	-0.2189	6000	5996
4294967833	515	8589935140	-0.3420	5682	5888
4294968492	520	4294968459	-0.0038	935	5881
526	507	513	-0.2089	6000	5927
8589935111	507	4294967945	0.9900	5833	5995
528	508	517	-0.5934	6000	5970
4294967799	501	517	-0.5553	5923	5982
4294967843	501	4294967945	-0.4378	5834	5982
8589935253	520	8589935140	-0.5417	5682	5992
532	508	515	-0.4176	5999	5969
4294967860	505	8589935140	-0.5429	5683	5982
534	512	514	-0.2460	5999	5952
535	513	515	-0.0584	5999	5947
536	508	514	-0.3869	5999	5784
8589935217	505	4294967945	-0.3875	5778	5883
4294968494	4294967945	4294968459	-0.2597	934	5951
634	505	520	-0.2597	5980	5820
12884902514	520	4294967880	-0.2619	5640	5970
4294968483	1194	17179870026	-0.3039	932	5732
8589935263	501	8589935140	-0.1498	5688	5925
4294967858	520	4294967945	-0.5146	5847	5978
544	515	517	-0.5925	5998	5962
21474837557	4294968459	17179870026	-0.5739	932	5995
4294967941	4294967945	8589935140	0.2654	5692	5988
618	512	520	-0.4296	5984	5909
637	505	517	-0.3529	5980	5793
4294967836	513	4294967880	-0.5564	5643	5803
17179870300	710	4294968459	-0.3472	929	5939
551	505	512	-0.2160	5997	5921
552	515	520	-0.3926	5997	5984
636	507	515	-0.1872	5980	5967
17179870297	4294968459	21474837119	-0.3332	928	5950
555	507	517	-0.3878	5996	5972
556	508	512	-0.1131	5996	5954
4294967955	513	4294967945	-0.4186	5847	5832
8589935233	513	8589935140	-0.3233	5692	5926
4294967904	512	513	0.9398	5940	5969
560	507	520	-0.2911	5996	5595
17179870262	4294967868	4294968459	-0.2587	928	5935
4294967910	505	513	-0.3409	5941	5790
630	505	507	-0.3858	5981	5752
619	513	514	-0.4773	5984	5961
4294967925	517	4294967945	-0.4152	5848	5890
566	501	512	0.9531	5994	5976
567	501	505	-0.6143	5994	5998
8589935255	507	8589935140	-0.3646	5696	5787
4294967845	4294967880	8589935140	-0.5185	5644	6000
4294968503	1194	4294967924	-0.4679	923	5903
571	501	515	-0.1026	5994	5902
4294967902	517	8589935140	-0.2622	5698	5947
657	507	514	-0.3321	5973	5854
4294968477	501	4294968459	-0.1390	921	5989
611	512	517	-0.2486	5986	5877
17179870267	4294968459	17179869947	-0.3492	915	5821
577	513	517	-0.6353	5993	5868
4294967912	507	508	-0.3354	5911	5784
4294967861	508	513	-0.2501	5948	5935
4294967846	514	4294967880	-0.3063	5645	5915
21474837576	1194	21474837344	-0.3004	915	5793
582	501	520	-0.2670	5991	5971
654	507	512	-0.2744	5974	5832
8589935195	514	4294967945	0.9920	5808	5996
4294967966	501	507	-0.4647	5948	5915
662	501	508	-0.2907	5971	5981
