# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	8424.4727	0.3535	8001	0.4000	1,2,1	0.5000	25
520	14045.3320	0.0038	8001	0.4000	3,0,1	0.5000	49
517	13462.1602	0.1300	8001	0.4000	3,3,2	0.5000	62
515	8606.2344	0.0649	8001	0.4000	0,1,2	0.5000	6
505	5070.1245	-0.0857	8001	0.4000	3,2,1	0.5000	57
8589935140	7018.9536	0.4660	7700	0.4000	3,0,0	0.5000	48
507	5864.3794	0.3627	8001	0.4000	1,2,0	0.5000	24
508	7123.5410	-0.2269	8001	0.4000	0,0,2	0.5000	2
4294967880	1322.1638	-0.2660	7650	0.4000	2,1,0	0.5000	36
4294967945	8598.3320	0.2909	7850	0.4000	0,0,2	0.5000	2
25769804705	2921.7065	0.4536	1600	0.4000	0,0,2	0.5000	2
512	12787.3652	-0.2541	8001	0.4000	1,0,0	0.5000	16
513	7744.5796	-0.2480	8001	0.4000	1,3,3	0.5000	31
514	4523.7822	0.1530	8001	0.4000	2,0,0	0.5000	32
4294967924	3077.8923	-0.1176	7400	0.4000	2,1,3	0.5000	39
21474837119	11550.6729	0.1727	7050	0.4000	3,2,1	0.5000	57
38654706203	13225.2188	-0.1974	7000	0.4000	1,2,0	0.5000	24
4294967868	12592.3066	0.4484	6900	0.4000	0,0,2	0.5000	2
692	7805.6543	0.1199	6800	0.4000	0,3,2	0.5000	14
710	7490.0811	0.2878	6700	0.4000	3,1,3	0.5000	55
4294968058	10272.2969	0.0822	6400	0.4000	0,2,0	0.5000	8
17179869947	1856.9137	-0.2958	6250	0.4000	1,0,2	0.5000	18
4294968136	5313.7715	-0.0410	5950	0.4000	1,3,3	0.5000	31
4294968079	7686.4292	-0.2858	6100	0.4000	3,0,2	0.5000	50
17179870036	7369.0967	0.0818	5200	0.4000	3,1,1	0.5000	53
17179870026	2221.3647	-0.2110	5050	0.4000	0,1,3	0.5000	7
21474837385	5168.0645	-0.0473	4200	0.4000	2,2,3	0.5000	43
21474837344	6609.3438	-0.1820	4950	0.4000	0,3,1	0.5000	13
12884902789	682.1655	-0.1487	4600	0.4000	2,2,2	0.5000	42
42949673764	1875.5398	-0.1453	4350	0.4000	0,3,1	0.5000	13
8589935594	2313.3711	0.2361	4150	0.4000	3,3,1	0.5000	61
4294968303	6037.1504	0.2318	4100	0.4000	2,2,1	0.5000	41
4294968459	885.1905	0.1059	2950	0.4000	1,2,2	0.5000	26
4294968442	405.4632	0.0083	3400	0.4000	0,2,0	0.5000	8
1194	3197.3340	0.4368	3000	0.4000	1,1,1	0.5000	21
4294968525	723.1177	0.0291	2350	0.4000	1,0,0	0.5000	16
42949674233	1824.2910	-0.2527	1100	0.4000	3,3,2	0.5000	62
68719477887	653.5464	-0.2800	1400	0.4000	0,0,1	0.5000	1
34359739395	610.4529	-0.1662	1050	0.4000	1,3,0	0.5000	28
68719477839	142.2756	0.1382	50	0.4000	3,2,2	0.5000	58
17179870541	50.8190	-0.1059	600	0.4000	0,1,0	0.5000	4

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.4569	7926	7963
4294967969	512	4294967945	-0.4192	7832	7945
523	505	508	-0.2342	8000	7975
4294967833	515	8589935140	0.0469	7682	7992
4294968492	520	4294968459	-0.3394	2935	7879
526	507	513	0.1464	8000	7938
8589935111	507	4294967945	0.9881	7833	7994
528	508	517	0.0751	8000	7978
4294967799	501	517	-0.3581	7923	7949
4294967843	501	4294967945	0.0934	7834	7839
8589935253	520	8589935140	-0.3730	7682	7934
532	508	515	-0.3834	7999	7919
4294967860	505	8589935140	-0.4222	7683	7912
534	512	514	-0.2384	7999	7831
535	513	515	0.0578	7999	7982
536	508	514	-0.0808	7999	7908
8589935217	505	4294967945	-0.3872	7778	7960
4294968494	4294967945	4294968459	-0.3367	2934	7932
634	505	520	-0.1095	7980	7948
12884902514	520	4294967880	-0.4207	7640	7980
4294968483	1194	17179870026	-0.3595	2932	7983
8589935263	501	8589935140	1.0000	7688	8000
4294967858	520	4294967945	-0.0540	7847	7920
544	515	517	-0.2888	7998	7738
21474837557	4294968459	17179870026	0.0097	2932	7929
4294967941	4294967945	8589935140	-0.3067	7692	7749
618	512	520	-0.2841	7984	7922
637	505	517	-0.2932	7980	7782
4294967836	513	4294967880	0.2169	7643	7990
17179870300	710	4294968459	-0.1513	2929	8000
551	505	512	-0.4390	7997	7974
552	515	520	-0.4637	7997	7984
636	507	515	-0.4286	7980	7983
17179870297	4294968459	21474837119	-0.0433	2928	7985
555	507	517	-0.0714	7996	7397
556	508	512	-0.2667	7996	7780
4294967955	513	4294967945	-0.2112	7847	7952
8589935233	513	8589935140	-0.2998	7692	7844
4294967904	512	513	0.5435	7940	7997
560	507	520	-0.3314	7996	7787
17179870262	4294967868	4294968459	-0.4489	2928	7916
4294967910	505	513	-0.2580	7941	7896
630	505	507	-0.3967	7981	7753
619	513	514	-0.3711	7984	7753
4294967925	517	4294967945	-0.2787	7848	7972
566	501	512	0.9940	7994	7997
567	501	505	-0.3199	7994	7919
8589935255	507	8589935140	-0.0294	7696	7892
4294967845	4294967880	8589935140	-0.3118	7644	7838
4294968503	1194	4294967924	-0.4236	2923	7877
571	501	515	-0.1493	7994	7977
4294967902	517	8589935140	-0.3572	7698	7896
657	507	514	0.0592	7973	7997
4294968477	501	4294968459	-0.3649	2921	7808
611	512	517	-0.1366	7986	7884
17179870267	4294968459	17179869947	-0.5432	2915	7913
577	513	517	-0.4205	7993	7879
4294967912	507	508	0.8440	7911	7969
4294967861	508	513	-0.3267	7948	7938
4294967846	514	4294967880	-0.2329	7645	7971
21474837576	1194	21474837344	0.0393	2915	8000
582	501	520	-0.3658	7991	7972
654	507	512	-0.1734	7974	7806
8589935195	514	4294967945	0.9920	7808	7996
4294967966	501	507	-0.1545	7948	7926
662	501	508	0.5913	7971	8000
4294967908	501	513	-0.1933	7956	7553
4294967865	517	4294967880	-0.6211	7647	7998
8589935145	515	4294967945	-0.0996	7815	7875
4294967903	515	4294967880	-0.2684	7647	7958
8589935165	508	4294967945	-0.2485	7825	7892
4294968510	692	1194	-0.3185	2913	7771
4294967960	505	515	-0.4676	7905	7947
