# tick 10000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	11543.4727	0.3535	10001	0.4000	1,2,1	0.5000	25
520	17227.3320	0.0038	10001	0.4000	3,0,1	0.5000	49
517	15022.1602	0.1300	10001	0.4000	3,3,2	0.5000	62
515	8960.2344	0.0649	10001	0.4000	0,1,2	0.5000	6
505	6105.1245	-0.0857	10001	0.4000	3,2,1	0.5000	57
8589935140	7147.9536	0.4660	9700	0.4000	3,0,0	0.5000	48
507	6719.3794	0.3627	10001	0.4000	1,2,0	0.5000	24
508	9100.5410	-0.2269	10001	0.4000	0,0,2	0.5000	2
4294967880	1937.1638	-0.2660	9650	0.4000	2,1,0	0.5000	36
4294967945	11291.3320	0.2909	9850	0.4000	0,0,2	0.5000	2
25769804705	5680.7065	0.4536	3600	0.4000	0,0,2	0.5000	2
512	14227.3652	-0.2541	10001	0.4000	1,0,0	0.5000	16
513	9005.5801	-0.2480	10001	0.4000	1,3,3	0.5000	31
514	5388.7822	0.1530	10001	0.4000	2,0,0	0.5000	32
4294967924	2986.8923	-0.1176	9400	0.4000	2,1,3	0.5000	39
21474837119	11208.6729	0.1727	9050	0.4000	3,2,1	0.5000	57
38654706203	16091.2188	-0.1974	9000	0.4000	1,2,0	0.5000	24
4294967868	15817.3066	0.4484	8900	0.4000	0,0,2	0.5000	2
692	6312.6543	0.1199	8800	0.4000	0,3,2	0.5000	14
710	9814.0811	0.2878	8700	0.4000	3,1,3	0.5000	55
4294968058	13029.2969	0.0822	8400	0.4000	0,2,0	0.5000	8
17179869947	3280.9136	-0.2958	8250	0.4000	1,0,2	0.5000	18
4294968136	8016.7715	-0.0410	7950	0.4000	1,3,3	0.5000	31
4294968079	10395.4297	-0.2858	8100	0.4000	3,0,2	0.5000	50
17179870036	10140.0967	0.0818	7200	0.4000	3,1,1	0.5000	53
17179870026	3021.3647	-0.2110	7050	0.4000	0,1,3	0.5000	7
21474837385	6867.0645	-0.0473	6200	0.4000	2,2,3	0.5000	43
21474837344	7557.3438	-0.1820	6950	0.4000	0,3,1	0.5000	13
25769804909	289.9406	0.3843	1000	0.4000	1,0,1	0.5000	17
42949673764	2765.5398	-0.1453	6350	0.4000	0,3,1	0.5000	13
8589935594	3691.3711	0.2361	6150	0.4000	3,3,1	0.5000	61
4294968303	7394.1504	0.2318	6100	0.4000	2,2,1	0.5000	41
4294968459	773.1904	0.1059	4950	0.4000	1,2,2	0.5000	26
21474837807	96.8135	0.2841	1550	0.4000	1,3,0	0.5000	28
1194	4713.3340	0.4368	5000	0.4000	1,1,1	0.5000	21
4294968525	1203.1177	0.0291	4350	0.4000	1,0,0	0.5000	16
42949674233	4300.2910	-0.2527	3100	0.4000	3,3,2	0.5000	62
68719477887	407.5464	-0.2800	3400	0.4000	0,0,1	0.5000	1
34359739395	2905.4529	-0.1662	3050	0.4000	1,3,0	0.5000	28
68719477839	1918.2756	0.1382	2050	0.4000	3,2,2	0.5000	58
17179870541	598.8190	-0.1059	2600	0.4000	0,1,0	0.5000	4
12884903251	1004.5695	0.4527	1700	0.4000	0,3,2	0.5000	14
4294968787	134.0282	0.0843	650	0.4000	3,1,3	0.5000	55
64424510664	72.8303	0.2800	50	0.4000	2,2,3	0.5000	43
64424510895	25.6020	0.1129	300	0.4000	1,0,3	0.5000	19
51539608904	5.5300	0.0800	100	0.4000	3,1,3	0.5000	55

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.2606	9926	9940
4294967969	512	4294967945	-0.2217	9832	9968
523	505	508	-0.2427	10000	9929
4294967833	515	8589935140	-0.4391	9682	9883
4294968492	520	4294968459	-0.4238	4935	9926
526	507	513	-0.4063	10000	9990
8589935111	507	4294967945	0.7184	9833	9973
528	508	517	-0.5565	10000	9982
4294967799	501	517	-0.5169	9923	9940
4294967843	501	4294967945	-0.5431	9834	9935
8589935253	520	8589935140	-0.2978	9682	9756
532	508	515	-0.4278	9999	9992
4294967860	505	8589935140	-0.4757	9683	10000
534	512	514	-0.4118	9999	9999
535	513	515	-0.4238	9999	9923
536	508	514	-0.1820	9999	9891
8589935217	505	4294967945	-0.2237	9778	9514
4294968494	4294967945	4294968459	-0.3832	4934	9942
634	505	520	-0.3149	9980	9996
12884902514	520	4294967880	-0.3112	9640	9986
4294968483	1194	17179870026	-0.1907	4932	9907
8589935263	501	8589935140	0.9881	9688	9994
4294967858	520	4294967945	-0.2199	9847	9962
544	515	517	-0.1429	9998	9996
21474837557	4294968459	17179870026	-0.3461	4932	9806
4294967941	4294967945	8589935140	-0.2145	9692	9735
618	512	520	-0.3823	9984	9846
637	505	517	0.9960	9980	9998
4294967836	513	4294967880	-0.2680	9643	9885
17179870300	710	4294968459	-0.3136	4929	9834
551	505	512	-0.0590	9997	9926
552	515	520	-0.1660	9997	9339
636	507	515	-0.4671	9980	9936
17179870297	4294968459	21474837119	-0.4403	4928	9994
555	507	517	-0.4523	9996	9961
556	508	512	0.3544	9996	9849
4294967955	513	4294967945	-0.3529	9847	9854
8589935233	513	8589935140	-0.0735	9692	9420
4294967904	512	513	0.9960	9940	9998
560	507	520	-0.3018	9996	9937
17179870262	4294967868	4294968459	-0.3694	4928	9901
4294967910	505	513	-0.3594	9941	9827
630	505	507	-0.6132	9981	10000
619	513	514	-0.2948	9984	9909
4294967925	517	4294967945	-0.1574	9848	9937
566	501	512	-0.5060	9994	9923
567	501	505	-0.4776	9994	9781
8589935255	507	8589935140	-0.3242	9696	9839
4294967845	4294967880	8589935140	-0.4199	9644	9882
4294968503	1194	4294967924	-0.5429	4923	9929
571	501	515	0.9881	9994	9994
4294967902	517	8589935140	-0.5326	9698	9969
657	507	514	-0.3810	9973	9974
4294968477	501	4294968459	-0.4570	4921	9984
611	512	517	-0.2767	9986	9740
17179870267	4294968459	17179869947	-0.3240	4915	9829
577	513	517	-0.3193	9993	9953
4294967912	507	508	0.8590	9911	9998
4294967861	508	513	-0.2891	9948	9938
4294967846	514	4294967880	-0.3418	9645	9854
21474837576	1194	21474837344	-0.1770	4915	9998
582	501	520	-0.1994	9991	9971
654	507	512	-0.1424	9974	9997
8589935195	514	4294967945	0.8526	9808	9993
4294967966	501	507	-0.1020	9948	9708
662	501	508	0.9960	9971	9998
4294967908	501	513	-0.3433	9956	9947
4294967865	517	4294967880	-0.0454	9647	9852
8589935145	515	4294967945	-0.1192	9815	9921
4294967903	515	4294967880	-0.6871	9647	9947
8589935165	508	4294967945	-0.3847	9825	9997
4294968510	692	1194	-0.2872	4913	9834
4294967960	505	515	-0.3762	9905	9922
8589935230	507	4294967880	-0.6046	9649	9968
595	517	520	-0.2204	9990	9965
596	501	514	-0.1470	9989	10000
650	508	520	-0.1232	9975	9571
621	505	514	-0.2217	9983	9834
599	513	520	-0.4296	9989	9995
600	514	515	-0.3126	9989	9964
4294967943	514	8589935140	-0.4109	9667	9954
623	512	515	0.2796	9983	9959
17179870306	4294967924	4294968459	-0.3861	4912	9891
604	514	520	-0.2529	9988	9959
4294967887	512	8589935140	-0.2099	9666	9992
12884902471	508	8589935140	-0.1444	9676	9579
12884902501	505	4294967880	-0.2454	9638	9784
8589935181	501	4294967880	-0.3778	9631	9774
8589935101	512	4294967880	-0.3295	9623	9977
17179869747	4294967880	4294967945	-0.3824	9608	9645
17179869769	508	4294967880	-0.0618	9603	9786
21474837058	514	4294967924	-0.4523	9362	9937
12884903016	4294968303	4294968459	-0.1005	4903	9997
4294967870	4294967924	4294967945	-0.3051	9396	9900
21474836990	501	4294967924	-0.0451	9365	9777
17179869837	4294967880	4294967924	-0.4045	9370	9964
4294967889	520	4294967924	-0.1379	9397	9979
4294967898	505	4294967924	-0.3628	9398	9998
4294967962	515	4294967924	-0.2904	9399	9531
12884902562	507	4294967924	-0.4108	9374	9893
12884902556	513	4294967924	-0.4488	9375	9970
8589935248	4294967924	8589935140	-0.3943	9382	9983
21474837048	508	4294967924	-0.3829	9388	9967
25769804356	4294967880	21474837145	-0.0000	9302	698
25769804309	512	4294967924	-0.4256	9335	9978
8589935146	517	4294967924	-0.2257	9310	9641
30064771647	520	21474837119	-0.2466	9032	9831
17179869827	4294967945	21474837119	0.9861	9032	9993
12884902406	508	21474837119	-0.2264	9036	9912
12884902557	515	21474837119	-0.3324	9037	9962
8589935119	507	21474837119	-0.4688	9040	9912
8589935114	513	21474837119	-0.2376	9041	9854
8589935094	8589935140	21474837119	-0.5438	9043	9943
12884902530	514	21474837119	-0.2938	9045	9890
4294968496	4294968459	8589935140	-0.4654	4883	9968
4294968465	507	1194	-0.0999	4886	9583
34359739016	512	21474837119	0.6174	9022	9970
17179869819	505	21474837119	-0.1135	9018	9997
8589935244	501	21474837119	-0.4892	9015	9984
38654706210	4294967880	21474837119	-0.1303	9013	9854
38654706221	4294967924	21474837119	-0.4051	9010	9934
42949673606	517	21474837119	0.9940	8999	9997
34359738892	21474837119	38654706203	-0.5260	8998	9955
47244640887	8589935140	38654706203	-0.0160	8995	9997
42949673466	4294967924	38654706203	-0.4947	8994	9981
38654706251	4294967945	38654706203	-0.5174	8993	9981
42949673625	520	38654706203	0.9802	8992	9990
34359738962	514	38654706203	-0.1392	8992	9899
34359739012	4294967880	38654706203	-0.3096	8988	9975
42949674034	21474837344	42949673816	-0.0120	1059	8941
34359738884	512	38654706203	-0.3196	8978	9975
42949673464	513	38654706203	-0.0475	8975	9825
34359738956	507	38654706203	0.9900	8972	9995
30064771682	501	38654706203	-0.1870	8967	9946
25769804381	517	38654706203	-0.3033	8958	9741
4294967897	508	38654706203	-0.1001	8949	9897
683	514	4294967868	-0.3235	8880	9949
682	508	4294967868	0.0327	8886	9537
4294967826	517	4294967868	-0.2313	8893	9977
680	515	4294967868	-0.3779	8888	9978
4294967827	4294967868	21474837119	-0.2177	8895	9960
4294967839	515	38654706203	-0.2821	8936	9883
678	505	4294967868	-0.4149	8888	9937
4294967886	505	38654706203	-0.3158	8918	9876
676	513	4294967868	-0.2118	8891	9844
4294967855	4294967868	38654706203	-0.2717	8898	9754
