# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	10717.4727	0.3535	12001	0.4000	1,2,1	0.5000	25
520	20107.3320	0.0038	12001	0.4000	3,0,1	0.5000	49
517	15120.1602	0.1300	12001	0.4000	3,3,2	0.5000	62
515	9944.2344	0.0649	12001	0.4000	0,1,2	0.5000	6
505	8249.1250	-0.0857	12001	0.4000	3,2,1	0.5000	57
8589935140	9050.9531	0.4660	11700	0.4000	3,0,0	0.5000	48
507	5577.3794	0.3627	12001	0.4000	1,2,0	0.5000	24
508	12057.5410	-0.2269	12001	0.4000	0,0,2	0.5000	2
4294967880	1957.1638	-0.2660	11650	0.4000	2,1,0	0.5000	36
4294967945	12808.3320	0.2909	11850	0.4000	0,0,2	0.5000	2
25769804705	7639.7065	0.4536	5600	0.4000	0,0,2	0.5000	2
512	15417.3652	-0.2541	12001	0.4000	1,0,0	0.5000	16
513	9989.5801	-0.2480	12001	0.4000	1,3,3	0.5000	31
514	6617.7822	0.1530	12001	0.4000	2,0,0	0.5000	32
4294967924	2171.8923	-0.1176	11400	0.4000	2,1,3	0.5000	39
21474837119	11870.6729	0.1727	11050	0.4000	3,2,1	0.5000	57
38654706203	17640.2188	-0.1974	11000	0.4000	1,2,0	0.5000	24
4294967868	17112.3066	0.4484	10900	0.4000	0,0,2	0.5000	2
692	5328.6543	0.1199	10800	0.4000	0,3,2	0.5000	14
710	12023.0811	0.2878	10700	0.4000	3,1,3	0.5000	55
4294968058	15997.2969	0.0822	10400	0.4000	0,2,0	0.5000	8
17179869947	5078.9136	-0.2958	10250	0.4000	1,0,2	0.5000	18
4294968136	9984.7715	-0.0410	9950	0.4000	1,3,3	0.5000	31
4294968079	12337.4297	-0.2858	10100	0.4000	3,0,2	0.5000	50
17179870036	10589.0967	0.0818	9200	0.4000	3,1,1	0.5000	53
17179870026	1162.3647	-0.2110	9050	0.4000	0,1,3	0.5000	7
21474837385	8083.0645	-0.0473	8200	0.4000	2,2,3	0.5000	43
21474837344	9115.3438	-0.1820	8950	0.4000	0,3,1	0.5000	13
25769804909	902.9406	0.3843	3000	0.4000	1,0,1	0.5000	17
42949673764	3136.5398	-0.1453	8350	0.4000	0,3,1	0.5000	13
8589935594	3694.3711	0.2361	8150	0.4000	3,3,1	0.5000	61
4294968303	8150.1504	0.2318	8100	0.4000	2,2,1	0.5000	41
4294968459	1258.1904	0.1059	6950	0.4000	1,2,2	0.5000	26
64424510895	907.6019	0.1129	2300	0.4000	1,0,3	0.5000	19
1194	6186.3340	0.4368	7000	0.4000	1,1,1	0.5000	21
4294968525	2061.1177	0.0291	6350	0.4000	1,0,0	0.5000	16
42949674233	6077.2910	-0.2527	5100	0.4000	3,3,2	0.5000	62
68719477887	1492.5464	-0.2800	5400	0.4000	0,0,1	0.5000	1
34359739395	5258.4531	-0.1662	5050	0.4000	1,3,0	0.5000	28
68719477839	3744.2756	0.1382	4050	0.4000	3,2,2	0.5000	58
12884903650	50.8426	-0.1093	50	0.4000	2,1,0	0.5000	36
12884903251	2158.5693	0.4527	3700	0.4000	0,3,2	0.5000	14
4294968787	1809.0282	0.0843	2650	0.4000	3,1,3	0.5000	55
12884903489	723.6411	0.1626	1650	0.4000	3,3,1	0.5000	61
17179870810	1532.6245	0.3880	1400	0.4000	3,0,3	0.5000	51
1792	6.7103	-0.2293	150	0.4000	0,1,3	0.5000	7
25769805300	134.8314	-0.2616	950	0.4000	1,2,0	0.5000	24
12884903605	43.6601	0.2308	200	0.4000	3,2,1	0.5000	57

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.2486	11926	11677
4294967969	512	4294967945	-0.5089	11832	11978
523	505	508	-0.1718	12000	11964
4294967833	515	8589935140	-0.6949	11682	11957
4294968492	520	4294968459	-0.3183	6935	11922
526	507	513	-0.3681	12000	11752
8589935111	507	4294967945	-0.2487	11833	11750
528	508	517	-0.3854	12000	11835
4294967799	501	517	-0.4875	11923	11907
4294967843	501	4294967945	-0.1955	11834	11814
8589935253	520	8589935140	-0.4065	11682	11879
532	508	515	-0.1770	11999	11973
4294967860	505	8589935140	-0.2759	11683	11941
534	512	514	-0.3525	11999	11973
535	513	515	-0.3913	11999	11928
536	508	514	-0.1928	11999	11612
8589935217	505	4294967945	-0.0011	11778	11997
4294968494	4294967945	4294968459	-0.4892	6934	11883
634	505	520	-0.1407	11980	11850
12884902514	520	4294967880	-0.2603	11640	11919
4294968483	1194	17179870026	-0.3865	6932	11837
8589935263	501	8589935140	0.9881	11688	11994
4294967858	520	4294967945	-0.1241	11847	11780
544	515	517	-0.2645	11998	11891
21474837557	4294968459	17179870026	-0.3396	6932	11871
4294967941	4294967945	8589935140	-0.4914	11692	11995
618	512	520	-0.2820	11984	11880
637	505	517	0.9960	11980	11998
4294967836	513	4294967880	-0.4546	11643	11931
17179870300	710	4294968459	-0.0337	6929	11888
551	505	512	0.9940	11997	11997
552	515	520	-0.3207	11997	11871
636	507	515	-0.3606	11980	11965
17179870297	4294968459	21474837119	-0.1248	6928	11913
555	507	517	-0.2979	11996	11836
556	508	512	-0.2821	11996	11964
4294967955	513	4294967945	0.2091	11847	11994
8589935233	513	8589935140	0.1044	11692	11976
4294967904	512	513	-0.2939	11940	11805
560	507	520	-0.0508	11996	11869
17179870262	4294967868	4294968459	-0.2308	6928	11576
4294967910	505	513	-0.5216	11941	11936
630	505	507	-0.5726	11981	11947
619	513	514	-0.3690	11984	11969
4294967925	517	4294967945	0.0789	11848	11888
566	501	512	-0.2607	11994	11871
567	501	505	-0.2253	11994	11849
8589935255	507	8589935140	-0.3524	11696	11892
4294967845	4294967880	8589935140	0.2302	11644	11920
4294968503	1194	4294967924	-0.3932	6923	11918
571	501	515	-0.2016	11994	11982
4294967902	517	8589935140	-0.3055	11698	11922
657	507	514	-0.3079	11973	11981
4294968477	501	4294968459	-0.5923	6921	11999
611	512	517	-0.1176	11986	11972
17179870267	4294968459	17179869947	-0.1419	6915	11850
577	513	517	-0.1905	11993	11922
4294967912	507	508	-0.3018	11911	11919
4294967861	508	513	-0.3558	11948	11927
4294967846	514	4294967880	-0.6135	11645	11922
21474837576	1194	21474837344	-0.1757	6915	11780
582	501	520	-0.3231	11991	11878
654	507	512	-0.5585	11974	11878
8589935195	514	4294967945	0.8370	11808	11990
4294967966	501	507	-0.4742	11948	11813
662	501	508	0.4896	11971	11995
4294967908	501	513	-0.3527	11956	11933
4294967865	517	4294967880	-0.3050	11647	11902
8589935145	515	4294967945	0.0274	11815	11987
4294967903	515	4294967880	-0.3158	11647	11955
8589935165	508	4294967945	-0.2113	11825	11512
4294968510	692	1194	-0.5266	6913	11996
4294967960	505	515	-0.4201	11905	11852
8589935230	507	4294967880	-0.5198	11649	11841
595	517	520	-0.3613	11990	11993
596	501	514	-0.4870	11989	11978
650	508	520	0.0923	11975	11981
621	505	514	-0.4329	11983	11838
599	513	520	0.1110	11989	11961
600	514	515	-0.3554	11989	11897
4294967943	514	8589935140	-0.4396	11667	11917
623	512	515	-0.2147	11983	11938
17179870306	4294967924	4294968459	0.5333	6912	11965
604	514	520	-0.2881	11988	11932
4294967887	512	8589935140	-0.3271	11666	11810
