# tick 14000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	10330.4727	0.3535	14001	0.4000	1,2,1	0.5000	25
520	22517.3320	0.0038	14001	0.4000	3,0,1	0.5000	49
517	15498.1602	0.1300	14001	0.4000	3,3,2	0.5000	62
515	11095.2344	0.0649	14001	0.4000	0,1,2	0.5000	6
505	9189.1250	-0.0857	14001	0.4000	3,2,1	0.5000	57
8589935140	10973.9531	0.4660	13700	0.4000	3,0,0	0.5000	48
507	4209.3794	0.3627	14001	0.4000	1,2,0	0.5000	24
508	13236.5410	-0.2269	14001	0.4000	0,0,2	0.5000	2
4294967880	2450.1638	-0.2660	13650	0.4000	2,1,0	0.5000	36
4294967945	14711.3320	0.2909	13850	0.4000	0,0,2	0.5000	2
25769804705	9245.7070	0.4536	7600	0.4000	0,0,2	0.5000	2
512	16430.3652	-0.2541	14001	0.4000	1,0,0	0.5000	16
513	9147.5801	-0.2480	14001	0.4000	1,3,3	0.5000	31
514	8645.7822	0.1530	14001	0.4000	2,0,0	0.5000	32
4294967924	4067.8926	-0.1176	13400	0.4000	2,1,3	0.5000	39
21474837119	11393.6729	0.1727	13050	0.4000	3,2,1	0.5000	57
38654706203	15624.2188	-0.1974	13000	0.4000	1,2,0	0.5000	24
4294967868	17837.3066	0.4484	12900	0.4000	0,0,2	0.5000	2
692	5762.6543	0.1199	12800	0.4000	0,3,2	0.5000	14
710	12528.0811	0.2878	12700	0.4000	3,1,3	0.5000	55
4294968058	18709.2969	0.0822	12400	0.4000	0,2,0	0.5000	8
17179869947	6411.9136	-0.2958	12250	0.4000	1,0,2	0.5000	18
4294968136	12143.7715	-0.0410	11950	0.4000	1,3,3	0.5000	31
4294968079	13512.4297	-0.2858	12100	0.4000	3,0,2	0.5000	50
17179870036	11170.0967	0.0818	11200	0.4000	3,1,1	0.5000	53
17179870026	1880.3647	-0.2110	11050	0.4000	0,1,3	0.5000	7
21474837385	6994.0645	-0.0473	10200	0.4000	2,2,3	0.5000	43
21474837344	12570.3438	-0.1820	10950	0.4000	0,3,1	0.5000	13
25769804909	4123.9404	0.3843	5000	0.4000	1,0,1	0.5000	17
42949673764	2558.5398	-0.1453	10350	0.4000	0,3,1	0.5000	13
8589935594	3452.3711	0.2361	10150	0.4000	3,3,1	0.5000	61
4294968303	8274.1504	0.2318	10100	0.4000	2,2,1	0.5000	41
4294968459	1200.1904	0.1059	8950	0.4000	1,2,2	0.5000	26
64424510895	1647.6019	0.1129	4300	0.4000	1,0,3	0.5000	19
1194	8049.3340	0.4368	9000	0.4000	1,1,1	0.5000	21
4294968525	2340.1177	0.0291	8350	0.4000	1,0,0	0.5000	16
42949674233	7496.2910	-0.2527	7100	0.4000	3,3,2	0.5000	62
68719477887	1828.5464	-0.2800	7400	0.4000	0,0,1	0.5000	1
34359739395	6991.4531	-0.1662	7050	0.4000	1,3,0	0.5000	28
68719477839	5094.2754	0.1382	6050	0.4000	3,2,2	0.5000	58
21474838278	420.2184	0.2344	1150	0.4000	1,2,1	0.5000	25
12884903251	1591.5693	0.4527	5700	0.4000	0,3,2	0.5000	14
4294968787	1864.0283	0.0843	4650	0.4000	3,1,3	0.5000	55
12884903489	2399.6411	0.1626	3650	0.4000	3,3,1	0.5000	61
17179870810	5292.6245	0.3880	3400	0.4000	3,0,3	0.5000	51
25769805300	1978.8313	-0.2616	2950	0.4000	1,2,0	0.5000	24
51539609011	1045.2324	-0.2153	1800	0.4000	2,2,3	0.5000	43
4294968698	646.4974	0.2978	900	0.4000	0,2,1	0.5000	9
8589936444	195.2625	0.1936	550	0.4000	3,3,1	0.5000	61
12884903803	9.2548	-0.1420	100	0.4000	3,3,0	0.5000	60
42949674274	30.3484	-0.1295	50	0.4000	3,1,1	0.5000	53

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.4655	13926	13975
4294967969	512	4294967945	-0.5712	13832	13986
523	505	508	-0.0379	14000	13813
4294967833	515	8589935140	-0.5564	13682	13957
4294968492	520	4294968459	-0.5543	8935	13955
526	507	513	-0.4566	14000	13949
8589935111	507	4294967945	-0.2133	13833	13931
528	508	517	-0.2737	14000	13592
4294967799	501	517	-0.3025	13923	13855
4294967843	501	4294967945	-0.3765	13834	13768
8589935253	520	8589935140	-0.5029	13682	13994
532	508	515	-0.4527	13999	13959
4294967860	505	8589935140	-0.4543	13683	13889
534	512	514	-0.0484	13999	13988
535	513	515	-0.4985	13999	13946
536	508	514	-0.6532	13999	13996
8589935217	505	4294967945	0.7239	13778	13989
4294968494	4294967945	4294968459	0.0604	8934	13916
634	505	520	-0.2814	13980	13773
12884902514	520	4294967880	-0.3075	13640	13852
4294968483	1194	17179870026	-0.2013	8932	13899
8589935263	501	8589935140	0.9646	13688	13982
4294967858	520	4294967945	-0.0570	13847	13957
544	515	517	-0.4799	13998	13962
21474837557	4294968459	17179870026	-0.1575	8932	13688
4294967941	4294967945	8589935140	-0.3738	13692	13846
618	512	520	-0.4465	13984	13974
637	505	517	0.6354	13980	13974
4294967836	513	4294967880	-0.2636	13643	13588
17179870300	710	4294968459	-0.3121	8929	13634
551	505	512	0.8584	13997	13982
552	515	520	-0.1692	13997	13649
636	507	515	-0.1176	13980	13998
17179870297	4294968459	21474837119	-0.2412	8928	13998
555	507	517	-0.2978	13996	13863
556	508	512	-0.3020	13996	13972
4294967955	513	4294967945	-0.3761	13847	13918
8589935233	513	8589935140	-0.0947	13692	13997
4294967904	512	513	-0.4686	13940	13991
560	507	520	-0.1687	13996	13977
17179870262	4294967868	4294968459	0.0243	8928	13972
4294967910	505	513	-0.4842	13941	13903
630	505	507	0.0248	13981	13946
619	513	514	-0.4482	13984	13902
4294967925	517	4294967945	0.0832	13848	13992
566	501	512	-0.4218	13994	13999
567	501	505	-0.4571	13994	13961
8589935255	507	8589935140	-0.5465	13696	13976
4294967845	4294967880	8589935140	0.6113	13644	13977
4294968503	1194	4294967924	-0.3543	8923	13882
571	501	515	0.9940	13994	13997
4294967902	517	8589935140	-0.2062	13698	13949
657	507	514	-0.3296	13973	13893
4294968477	501	4294968459	-0.5273	8921	13998
611	512	517	0.9455	13986	13972
17179870267	4294968459	17179869947	-0.4261	8915	13922
577	513	517	-0.2482	13993	13961
4294967912	507	508	-0.2429	13911	13881
4294967861	508	513	-0.3582	13948	13866
4294967846	514	4294967880	-0.3966	13645	13881
21474837576	1194	21474837344	-0.3038	8915	13826
582	501	520	-0.2546	13991	13930
654	507	512	-0.3456	13974	13984
8589935195	514	4294967945	-0.1994	13808	13855
4294967966	501	507	-0.5053	13948	13889
662	501	508	-0.4186	13971	13921
4294967908	501	513	0.0222	13956	13938
4294967865	517	4294967880	-0.2642	13647	13969
8589935145	515	4294967945	-0.1683	13815	13635
4294967903	515	4294967880	-0.1872	13647	13952
8589935165	508	4294967945	-0.3235	13825	13879
4294968510	692	1194	-0.0491	8913	13916
4294967960	505	515	-0.5044	13905	13897
8589935230	507	4294967880	-0.3855	13649	13895
595	517	520	-0.2249	13990	13782
596	501	514	-0.3192	13989	13988
650	508	520	-0.4054	13975	13959
621	505	514	-0.4132	13983	13989
599	513	520	-0.1951	13989	13905
600	514	515	-0.0270	13989	13888
4294967943	514	8589935140	-0.2206	13667	13600
623	512	515	-0.0872	13983	13517
17179870306	4294967924	4294968459	-0.3109	8912	13991
604	514	520	-0.4026	13988	13939
4294967887	512	8589935140	-0.1111	13666	13878
12884902471	508	8589935140	-0.1061	13676	13944
12884902501	505	4294967880	-0.2339	13638	13735
8589935181	501	4294967880	-0.4398	13631	13952
8589935101	512	4294967880	-0.2337	13623	13990
17179869747	4294967880	4294967945	-0.0699	13608	13897
17179869769	508	4294967880	-0.1785	13603	13870
21474837058	514	4294967924	0.5900	13362	13997
12884903016	4294968303	4294968459	-0.3931	8903	13890
4294967870	4294967924	4294967945	-0.1096	13396	13979
21474836990	501	4294967924	-0.2559	13365	13974
17179869837	4294967880	4294967924	0.2280	13370	13994
4294967889	520	4294967924	0.0394	13397	13656
4294967898	505	4294967924	-0.3045	13398	13968
4294967962	515	4294967924	-0.1711	13399	13975
12884902562	507	4294967924	-0.1617	13374	13702
12884902556	513	4294967924	-0.3150	13375	13995
8589935248	4294967924	8589935140	-0.1927	13382	13876
21474837048	508	4294967924	-0.3475	13388	13960
25769804356	4294967880	21474837145	-0.0000	13302	698
25769804309	512	4294967924	0.3500	13335	13950
8589935146	517	4294967924	-0.2872	13310	13948
30064771647	520	21474837119	-0.3041	13032	13954
17179869827	4294967945	21474837119	-0.2046	13032	13902
12884902406	508	21474837119	-0.1549	13036	13911
12884902557	515	21474837119	-0.3930	13037	13763
8589935119	507	21474837119	-0.5038	13040	13982
8589935114	513	21474837119	-0.2378	13041	13869
8589935094	8589935140	21474837119	-0.7215	13043	13946
12884902530	514	21474837119	-0.2685	13045	13722
4294968496	4294968459	8589935140	-0.5621	8883	13982
4294968465	507	1194	-0.3081	8886	13716
34359739016	512	21474837119	0.9763	13022	13988
17179869819	505	21474837119	-0.2328	13018	13837
8589935244	501	21474837119	-0.1486	13015	13523
38654706210	4294967880	21474837119	-0.4567	13013	13919
38654706221	4294967924	21474837119	-0.4306	13010	13962
42949673606	517	21474837119	-0.0633	12999	13978
34359738892	21474837119	38654706203	-0.5872	12998	13955
47244640887	8589935140	38654706203	0.0211	12995	13908
42949673466	4294967924	38654706203	-0.3867	12994	13932
38654706251	4294967945	38654706203	-0.2036	12993	13999
42949673625	520	38654706203	-0.1176	12992	13994
34359738962	514	38654706203	-0.3089	12992	13862
34359739012	4294967880	38654706203	-0.3107	12988	13872
42949674034	21474837344	42949673816	-0.0000	5059	8941
34359738884	512	38654706203	-0.5596	12978	13978
42949673464	513	38654706203	-0.5093	12975	13954
34359738956	507	38654706203	-0.4157	12972	13838
30064771682	501	38654706203	-0.4666	12967	13990
25769804381	517	38654706203	-0.7020	12958	13958
4294967897	508	38654706203	-0.5016	12949	13897
683	514	4294967868	-0.0577	12880	13801
682	508	4294967868	-0.1089	12886	13978
4294967826	517	4294967868	-0.3802	12893	13872
680	515	4294967868	-0.0159	12888	13968
4294967827	4294967868	21474837119	0.0798	12895	13950
4294967839	515	38654706203	-0.5346	12936	13982
678	505	4294967868	-0.4019	12888	13969
4294967886	505	38654706203	-0.3738	12918	13808
676	513	4294967868	-0.3473	12891	13980
4294967855	4294967868	38654706203	-0.4373	12898	13929
25769804409	4294967868	4294967880	0.9940	12879	13997
4294967977	501	4294967868	0.0882	12878	13991
4294967975	4294967868	4294967924	-0.2843	12874	13894
4294967973	507	4294967868	-0.3072	12868	13978
30064772161	4294968058	4294968459	0.1171	8824	13957
698	501	692	-0.5058	12790	13977
697	512	4294967868	0.9267	12790	13962
8589935150	4294967868	8589935140	-0.4809	12835	13985
695	692	4294967924	-0.2292	12792	13960
694	513	692	-0.3217	12798	13924
693	517	692	-0.2896	12798	13927
685	4294967868	4294967945	0.5325	12829	13974
688	520	4294967868	-0.4752	12823	13825
12884902433	508	692	0.1932	12784	13979
4294967992	692	8589935140	-0.2413	12782	13982
4294967987	692	4294967945	-0.4711	12782	13974
4294967986	505	692	-0.2793	12779	13808
4294967985	514	692	-0.0747	12773	13852
4294967983	692	21474837119	-0.1675	12770	13821
17179870304	1194	4294967868	-0.0393	8831	13988
4294967980	512	692	0.4124	12765	13934
12884902486	692	38654706203	-0.2585	12762	13980
12884902485	692	4294967880	-0.4984	12757	13875
12884902548	515	692	-0.2269	12749	13943
732	507	710	-0.3075	12651	13875
731	710	4294967868	0.2284	12662	13998
730	515	710	-0.3010	12663	13913
729	520	710	-0.3619	12668	13993
12884902515	507	692	-0.5920	12742	13996
25769804822	4294968459	8589935594	-0.3012	8820	13860
727	710	38654706203	-0.5082	12679	13879
726	692	4294967868	-0.0465	12680	13893
725	710	8589935140	-0.4323	12681	13968
713	710	4294967945	-0.1777	12694	13677
723	508	710	0.7740	12682	13995
722	505	710	-0.3281	12683	13940
721	710	4294967924	-0.1155	12687	13827
704	520	692	0.8140	12728	13971
720	517	710	-0.0484	12687	13987
714	512	710	-0.3296	12694	13988
718	710	4294967880	-0.2581	12693	13847
717	501	710	-0.3581	12693	13981
715	514	710	-0.0531	12694	13904
711	692	710	-0.2056	12698	13933
712	710	21474837119	-0.2804	12695	13739
742	4294967945	17179869745	-0.0000	12577	1423
4294968001	513	710	-0.4176	12640	13927
4294968034	508	4294968058	-0.3448	12364	13950
4294968033	501	4294968058	0.9627	12370	13981
4294968032	513	4294968058	-0.0540	12372	13981
4294968031	4294968058	8589935140	0.2000	12375	13974
4294968030	507	4294968058	-0.1109	12379	13678
4294968029	520	4294968058	0.1820	12380	13865
21474837599	692	4294968459	-0.1450	8869	13956
12884902591	505	4294968058	-0.1973	12399	13519
8589935332	515	4294968058	-0.2708	12390	13995
25769804305	710	4294968058	0.0040	12391	13809
25769804393	514	4294968058	-0.2418	12394	13944
8589935346	4294967868	4294968058	-0.3052	12362	13711
25769804318	4294967945	4294968058	-0.2175	12354	13890
30064771633	692	4294968058	0.2518	12353	13924
774	4294968058	17179869947	0.9980	12217	13999
8589935336	4294967924	4294968058	-0.2928	12348	13835
773	692	17179869947	-0.2162	12222	13822
4294968035	517	4294968058	-0.2521	12324	13895
8589935357	4294968058	38654706203	-0.3842	12344	14000
12884902644	505	17179869947	0.8576	12246	13987
771	17179869947	21474837119	-0.2835	12224	13966
4294968045	4294968058	21474837119	-0.1486	12303	13943
770	517	17179869947	0.2794	12227	13924
769	501	17179869947	-0.3544	12230	13984
768	4294967924	17179869947	-0.4165	12233	13825
767	4294967868	17179869947	-0.2175	12233	13578
25769804475	513	17179869947	-0.4351	12249	13905
12884902643	4294967880	17179869947	-0.0019	12248	13977
30064771593	520	17179869947	-0.4309	12239	13958
12884902641	4294967880	4294968058	-0.2040	12330	13963
12884902640	512	4294968058	-0.2502	12329	13885
12884902652	508	17179869947	-0.2685	12239	13954
12884902649	507	17179869947	-0.2507	12239	13891
12884902648	710	17179869947	-0.4126	12241	13972
12884902647	4294967945	17179869947	-0.1408	12241	13950
12884902646	512	17179869947	-0.2124	12242	13987
12884902645	515	17179869947	0.5456	12243	13937
8589935340	514	17179869947	-0.0853	12214	13925
4294968068	8589935140	17179869947	-0.4213	12205	13990
25769804527	4294968121	21474837119	-0.0000	11852	2148
8589935387	4294968136	17179869947	-0.2307	11855	13950
841	4294967924	4294968079	-0.4369	11970	13834
12884902629	17179869947	38654706203	-0.2832	12196	13861
4294968133	517	4294968136	1.0000	11949	14000
814	4294968058	4294968079	0.9841	12027	13992
4294968126	692	4294968136	-0.1204	11928	13890
4294968118	507	4294968136	-0.4225	11940	13972
12884902689	4294967945	4294968136	0.9920	11866	13996
4294968472	513	4294968459	-0.1257	8877	13321
4294968114	4294968058	4294968136	-0.4562	11886	13913
4294968115	501	4294968136	-0.2828	11887	13938
4294968125	508	4294968136	-0.2989	11930	13974
4294968139	512	4294968136	-0.4251	11890	13979
4294968124	4294967880	4294968136	-0.2081	11935	13856
4294968123	513	4294968136	0.2010	11937	13951
4294968119	4294968136	21474837119	-0.1884	11938	13912
4294968134	4294967868	4294968136	-0.3719	11899	13987
4294968132	4294968136	8589935140	-0.3791	11907	13799
4294968131	505	4294968136	0.3738	11913	13975
4294968130	520	4294968136	-0.3951	11916	13992
4294968071	520	4294968079	-0.1109	12099	13756
8589935358	4294968079	8589935140	0.3294	12098	13942
21474837180	517	4294968079	-0.5884	12097	13969
21474837182	501	4294968079	-0.4593	12096	13886
21474837186	4294967880	4294968079	-0.0550	12096	13921
21474837188	505	4294968079	0.6092	12095	13964
4294968471	4294968459	17179870036	-0.3291	8877	13828
