# tick 16000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	10956.4727	0.3535	16001	0.4000	1,2,1	0.5000	25
520	25018.3320	0.0038	16001	0.4000	3,0,1	0.5000	49
517	15928.1602	0.1300	16001	0.4000	3,3,2	0.5000	62
515	12665.2344	0.0649	16001	0.4000	0,1,2	0.5000	6
505	10768.1250	-0.0857	16001	0.4000	3,2,1	0.5000	57
8589935140	11582.9531	0.4660	15700	0.4000	3,0,0	0.5000	48
507	4572.3794	0.3627	16001	0.4000	1,2,0	0.5000	24
508	13855.5410	-0.2269	16001	0.4000	0,0,2	0.5000	2
4294967880	2166.1638	-0.2660	15650	0.4000	2,1,0	0.5000	36
4294967945	13982.3320	0.2909	15850	0.4000	0,0,2	0.5000	2
25769804705	12524.7070	0.4536	9600	0.4000	0,0,2	0.5000	2
512	17772.3652	-0.2541	16001	0.4000	1,0,0	0.5000	16
513	8404.5801	-0.2480	16001	0.4000	1,3,3	0.5000	31
514	10178.7822	0.1530	16001	0.4000	2,0,0	0.5000	32
4294967924	5802.8926	-0.1176	15400	0.4000	2,1,3	0.5000	39
21474837119	10730.6729	0.1727	15050	0.4000	3,2,1	0.5000	57
38654706203	14617.2188	-0.1974	15000	0.4000	1,2,0	0.5000	24
4294967868	19286.3066	0.4484	14900	0.4000	0,0,2	0.5000	2
692	8015.6543	0.1199	14800	0.4000	0,3,2	0.5000	14
710	14476.0811	0.2878	14700	0.4000	3,1,3	0.5000	55
4294968058	22134.2969	0.0822	14400	0.4000	0,2,0	0.5000	8
17179869947	8048.9136	-0.2958	14250	0.4000	1,0,2	0.5000	18
4294968136	13514.7715	-0.0410	13950	0.4000	1,3,3	0.5000	31
4294968079	13757.4297	-0.2858	14100	0.4000	3,0,2	0.5000	50
17179870036	12015.0967	0.0818	13200	0.4000	3,1,1	0.5000	53
17179870026	3060.3647	-0.2110	13050	0.4000	0,1,3	0.5000	7
21474837385	5299.0645	-0.0473	12200	0.4000	2,2,3	0.5000	43
21474837344	12992.3438	-0.1820	12950	0.4000	0,3,1	0.5000	13
25769804909	7565.9404	0.3843	7000	0.4000	1,0,1	0.5000	17
42949673764	2724.5398	-0.1453	12350	0.4000	0,3,1	0.5000	13
8589935594	4425.3711	0.2361	12150	0.4000	3,3,1	0.5000	61
4294968303	9992.1504	0.2318	12100	0.4000	2,2,1	0.5000	41
4294968459	80.1904	0.1059	10950	0.4000	1,2,2	0.5000	26
64424510895	3200.6021	0.1129	6300	0.4000	1,0,3	0.5000	19
1194	9003.3340	0.4368	11000	0.4000	1,1,1	0.5000	21
4294968525	2598.1177	0.0291	10350	0.4000	1,0,0	0.5000	16
42949674233	8320.2910	-0.2527	9100	0.4000	3,3,2	0.5000	62
68719477887	1140.5464	-0.2800	9400	0.4000	0,0,1	0.5000	1
34359739395	9129.4531	-0.1662	9050	0.4000	1,3,0	0.5000	28
68719477839	6212.2754	0.1382	8050	0.4000	3,2,2	0.5000	58
21474838278	1041.2185	0.2344	3150	0.4000	1,2,1	0.5000	25
12884903251	2338.5693	0.4527	7700	0.4000	0,3,2	0.5000	14
4294968787	3274.0283	0.0843	6650	0.4000	3,1,3	0.5000	55
12884903489	5341.6411	0.1626	5650	0.4000	3,3,1	0.5000	61
17179870810	7492.6245	0.3880	5400	0.4000	3,0,3	0.5000	51
25769805300	2753.8313	-0.2616	4950	0.4000	1,2,0	0.5000	24
51539609011	2554.2324	-0.2153	3800	0.4000	2,2,3	0.5000	43
4294968698	2112.4976	0.2978	2900	0.4000	0,2,1	0.5000	9
8589936444	768.2625	0.1936	2550	0.4000	3,3,1	0.5000	61
60129544010	128.8148	-0.1999	700	0.4000	0,1,1	0.5000	5
77309412653	471.5621	0.4324	550	0.4000	1,3,3	0.5000	31
2002	149.6191	-0.2836	300	0.4000	3,0,1	0.5000	49
133143987354	39.9766	0.0951	150	0.4000	3,3,1	0.5000	61
2052	12.9685	0.1749	50	0.4000	3,0,0	0.5000	48
12884903914	67.3954	0.0766	100	0.4000	2,1,1	0.5000	37

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.0465	15926	15733
4294967969	512	4294967945	-0.3221	15832	15871
523	505	508	-0.2275	16000	15691
4294967833	515	8589935140	-0.5300	15682	15991
4294968492	520	4294968459	-0.3460	10935	15764
526	507	513	-0.3931	16000	15781
8589935111	507	4294967945	-0.3393	15833	15974
528	508	517	-0.2214	16000	15822
4294967799	501	517	-0.1692	15923	15854
4294967843	501	4294967945	0.9960	15834	15998
8589935253	520	8589935140	-0.3255	15682	15747
532	508	515	0.9627	15999	15981
4294967860	505	8589935140	-0.2182	15683	15870
534	512	514	-0.2648	15999	15800
535	513	515	-0.3698	15999	15926
536	508	514	-0.3632	15999	15873
8589935217	505	4294967945	0.9646	15778	15982
4294968494	4294967945	4294968459	-0.4068	10934	15976
634	505	520	-0.2715	15980	15927
12884902514	520	4294967880	-0.3964	15640	15975
4294968483	1194	17179870026	-0.2782	10932	15802
8589935263	501	8589935140	0.5005	15688	15976
4294967858	520	4294967945	-0.0866	15847	15423
544	515	517	-0.3096	15998	15915
21474837557	4294968459	17179870026	-0.3893	10932	15957
4294967941	4294967945	8589935140	-0.7714	15692	15989
618	512	520	-0.1253	15984	15957
637	505	517	0.8094	15980	15995
4294967836	513	4294967880	-0.4468	15643	15976
17179870300	710	4294968459	-0.1346	10929	15968
551	505	512	-0.2564	15997	15938
552	515	520	-0.4007	15997	15882
636	507	515	-0.2192	15980	15899
17179870297	4294968459	21474837119	-0.3200	10928	15973
555	507	517	-0.3579	15996	15886
556	508	512	0.0899	15996	15939
4294967955	513	4294967945	-0.2798	15847	15961
8589935233	513	8589935140	-0.1882	15692	15980
4294967904	512	513	0.0800	15940	15994
560	507	520	-0.3433	15996	15893
17179870262	4294967868	4294968459	-0.3418	10928	15939
4294967910	505	513	0.0994	15941	15973
630	505	507	-0.3676	15981	15810
619	513	514	-0.3442	15984	15653
4294967925	517	4294967945	-0.3834	15848	15929
566	501	512	-0.1420	15994	15934
567	501	505	-0.0599	15994	15942
8589935255	507	8589935140	-0.0369	15696	15851
4294967845	4294967880	8589935140	-0.2251	15644	15983
4294968503	1194	4294967924	-0.1757	10923	15985
571	501	515	-0.2323	15994	15738
4294967902	517	8589935140	-0.2584	15698	15699
657	507	514	-0.4285	15973	15860
4294968477	501	4294968459	-0.3847	10921	15902
611	512	517	0.7535	15986	15956
17179870267	4294968459	17179869947	-0.5016	10915	15886
577	513	517	-0.2499	15993	15741
4294967912	507	508	-0.4315	15911	15962
4294967861	508	513	-0.1810	15948	15810
4294967846	514	4294967880	0.2848	15645	15970
21474837576	1194	21474837344	0.2359	10915	15894
582	501	520	-0.2133	15991	15876
654	507	512	-0.2730	15974	15821
8589935195	514	4294967945	-0.3321	15808	15921
4294967966	501	507	-0.2457	15948	15833
662	501	508	-0.3189	15971	15882
4294967908	501	513	-0.5033	15956	15984
4294967865	517	4294967880	-0.2883	15647	15916
8589935145	515	4294967945	-0.3966	15815	15991
4294967903	515	4294967880	-0.1651	15647	15825
8589935165	508	4294967945	-0.3810	15825	15894
4294968510	692	1194	-0.2896	10913	15863
4294967960	505	515	-0.2991	15905	15761
8589935230	507	4294967880	-0.1870	15649	15557
595	517	520	-0.2551	15990	15765
596	501	514	0.1755	15989	15895
650	508	520	0.1044	15975	15947
621	505	514	-0.4273	15983	15962
599	513	520	-0.2910	15989	15916
600	514	515	-0.3284	15989	15943
4294967943	514	8589935140	-0.1114	15667	16000
623	512	515	-0.3276	15983	15834
17179870306	4294967924	4294968459	-0.5435	10912	15977
604	514	520	-0.4066	15988	15925
4294967887	512	8589935140	-0.2003	15666	15733
12884902471	508	8589935140	-0.4064	15676	15966
12884902501	505	4294967880	-0.3874	15638	15873
8589935181	501	4294967880	-0.2111	15631	15802
8589935101	512	4294967880	-0.4465	15623	15924
17179869747	4294967880	4294967945	-0.2123	15608	15710
17179869769	508	4294967880	0.0422	15603	15890
21474837058	514	4294967924	0.3387	15362	15971
12884903016	4294968303	4294968459	-0.3052	10903	15925
4294967870	4294967924	4294967945	-0.3101	15396	15903
21474836990	501	4294967924	0.2385	15365	15994
