# tick 18000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
501	11662.4727	0.3535	18001	0.4000	1,2,1	0.5000	25
520	27317.3320	0.0038	18001	0.4000	3,0,1	0.5000	49
517	17540.1602	0.1300	18001	0.4000	3,3,2	0.5000	62
515	13312.2344	0.0649	18001	0.4000	0,1,2	0.5000	6
505	12451.1250	-0.0857	18001	0.4000	3,2,1	0.5000	57
8589935140	10843.9531	0.4660	17700	0.4000	3,0,0	0.5000	48
507	5734.3794	0.3627	18001	0.4000	1,2,0	0.5000	24
508	14772.5410	-0.2269	18001	0.4000	0,0,2	0.5000	2
4294967880	3072.1638	-0.2660	17650	0.4000	2,1,0	0.5000	36
4294967945	14043.3320	0.2909	17850	0.4000	0,0,2	0.5000	2
25769804705	14214.7070	0.4536	11600	0.4000	0,0,2	0.5000	2
512	18843.3652	-0.2541	18001	0.4000	1,0,0	0.5000	16
513	7473.5801	-0.2480	18001	0.4000	1,3,3	0.5000	31
514	11969.7822	0.1530	18001	0.4000	2,0,0	0.5000	32
4294967924	7481.8926	-0.1176	17400	0.4000	2,1,3	0.5000	39
21474837119	11535.6729	0.1727	17050	0.4000	3,2,1	0.5000	57
38654706203	16432.2188	-0.1974	17000	0.4000	1,2,0	0.5000	24
4294967868	21260.3066	0.4484	16900	0.4000	0,0,2	0.5000	2
692	10130.6543	0.1199	16800	0.4000	0,3,2	0.5000	14
710	15858.0811	0.2878	16700	0.4000	3,1,3	0.5000	55
4294968058	24446.2969	0.0822	16400	0.4000	0,2,0	0.5000	8
17179869947	10514.9141	-0.2958	16250	0.4000	1,0,2	0.5000	18
4294968136	14450.7715	-0.0410	15950	0.4000	1,3,3	0.5000	31
4294968079	15156.4297	-0.2858	16100	0.4000	3,0,2	0.5000	50
17179870036	11937.0967	0.0818	15200	0.4000	3,1,1	0.5000	53
17179870026	4637.3647	-0.2110	15050	0.4000	0,1,3	0.5000	7
21474837385	5491.0645	-0.0473	14200	0.4000	2,2,3	0.5000	43
21474837344	12728.3438	-0.1820	14950	0.4000	0,3,1	0.5000	13
25769804909	8996.9404	0.3843	9000	0.4000	1,0,1	0.5000	17
42949673764	4699.5400	-0.1453	14350	0.4000	0,3,1	0.5000	13
8589935594	7068.3711	0.2361	14150	0.4000	3,3,1	0.5000	61
4294968303	9772.1504	0.2318	14100	0.4000	2,2,1	0.5000	41
2002	1123.6191	-0.2836	2300	0.4000	3,0,1	0.5000	49
64424510895	2061.6021	0.1129	8300	0.4000	1,0,3	0.5000	19
1194	10311.3340	0.4368	13000	0.4000	1,1,1	0.5000	21
4294968525	3168.1177	0.0291	12350	0.4000	1,0,0	0.5000	16
42949674233	10624.2910	-0.2527	11100	0.4000	3,3,2	0.5000	62
68719477887	180.5464	-0.2800	11400	0.4000	0,0,1	0.5000	1
34359739395	9681.4531	-0.1662	11050	0.4000	1,3,0	0.5000	28
68719477839	8258.2754	0.1382	10050	0.4000	3,2,2	0.5000	58
21474838278	1604.2185	0.2344	5150	0.4000	1,2,1	0.5000	25
12884903251	2313.5693	0.4527	9700	0.4000	0,3,2	0.5000	14
4294968787	4116.0283	0.0843	8650	0.4000	3,1,3	0.5000	55
12884903489	6415.6411	0.1626	7650	0.4000	3,3,1	0.5000	61
17179870810	9376.6250	0.3880	7400	0.4000	3,0,3	0.5000	51
25769805300	3884.8313	-0.2616	6950	0.4000	1,2,0	0.5000	24
51539609011	3973.2324	-0.2153	5800	0.4000	2,2,3	0.5000	43
4294968698	2480.4976	0.2978	4900	0.4000	0,2,1	0.5000	9
34359739497	96.3809	-0.2176	250	0.4000	1,2,1	0.5000	25
60129544010	3112.8149	-0.1999	2700	0.4000	0,1,1	0.5000	5
77309412653	2254.5620	0.4324	2550	0.4000	1,3,3	0.5000	31
68719477996	341.2418	0.3584	750	0.4000	2,2,2	0.5000	42
4294969208	73.4351	0.2756	200	0.4000	1,0,2	0.5000	18
34359740417	36.3311	0.0135	50	0.4000	1,1,3	0.5000	23

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
4294967936	514	517	-0.3376	17926	17995
4294967969	512	4294967945	-0.0456	17832	17930
523	505	508	-0.2748	18000	17944
4294967833	515	8589935140	0.0518	17682	17985
60129543796	4294968079	111669150888	-0.0036	1667	16333
526	507	513	-0.2373	18000	17921
8589935111	507	4294967945	-0.2944	17833	17977
528	508	517	-0.3072	18000	17775
4294967799	501	517	-0.2507	17923	17706
4294967843	501	4294967945	0.9980	17834	17999
8589935253	520	8589935140	0.1331	17682	17949
532	508	515	0.9821	17999	17991
4294967860	505	8589935140	-0.2367	17683	17671
534	512	514	-0.2275	17999	17970
535	513	515	-0.3339	17999	17813
536	508	514	-0.1587	17999	17957
8589935217	505	4294967945	-0.0404	17778	17932
2006	512	2002	-0.2018	2296	17991
634	505	520	-0.4110	17980	17973
12884902514	520	4294967880	0.5804	17640	17994
4294968483	1194	17179870026	-0.4901	12932	17942
8589935263	501	8589935140	1.0000	17688	18000
4294967858	520	4294967945	-0.3756	17847	17904
544	515	517	-0.2122	17998	17834
2019	2002	4294968303	-0.3621	2288	17953
4294967941	4294967945	8589935140	-0.0871	17692	17949
618	512	520	0.1513	17984	17977
637	505	517	0.6977	17980	17989
4294967836	513	4294967880	-0.0446	17643	17867
2005	2002	4294967880	0.9960	2296	17998
551	505	512	-0.3776	17997	17991
552	515	520	-0.3886	17997	17872
636	507	515	0.7712	17980	17998
2022	2002	4294968079	0.8697	2286	17994
555	507	517	-0.2889	17996	17889
556	508	512	-0.1457	17996	17982
4294967955	513	4294967945	-0.3881	17847	17933
8589935233	513	8589935140	-0.3463	17692	17926
4294967904	512	513	-0.2902	17940	17859
560	507	520	-0.1679	17996	17946
2021	2002	21474837344	-0.2511	2287	17940
4294967910	505	513	-0.2820	17941	17936
630	505	507	-0.4013	17981	17961
619	513	514	-0.3270	17984	17919
4294967925	517	4294967945	-0.3478	17848	17958
566	501	512	-0.3965	17994	17995
567	501	505	-0.1851	17994	18000
8589935255	507	8589935140	-0.2406	17696	17862
4294967845	4294967880	8589935140	0.1545	17644	17887
4294968503	1194	4294967924	-0.2164	12923	17658
571	501	515	0.3388	17994	17955
4294967902	517	8589935140	-0.0732	17698	17959
657	507	514	-0.3044	17973	17927
2003	2002	25769805300	-0.4407	2299	17956
611	512	517	-0.0874	17986	17886
2023	2002	17179869947	-0.2897	2286	17802
577	513	517	0.0687	17993	17873
4294967912	507	508	-0.3838	17911	17892
4294967861	508	513	-0.3873	17948	17841
4294967846	514	4294967880	-0.3567	17645	17983
21474837576	1194	21474837344	-0.1872	12915	17897
582	501	520	-0.3349	17991	17997
654	507	512	-0.2000	17974	17628
8589935195	514	4294967945	-0.0398	17808	17995
4294967966	501	507	-0.2277	17948	17930
662	501	508	-0.1011	17971	17632
4294967908	501	513	0.0665	17956	17952
4294967865	517	4294967880	-0.5295	17647	17980
8589935145	515	4294967945	-0.1249	17815	17946
4294967903	515	4294967880	-0.2656	17647	17974
8589935165	508	4294967945	-0.2579	17825	17814
4294968510	692	1194	-0.2908	12913	17994
4294967960	505	515	-0.0272	17905	17827
8589935230	507	4294967880	-0.2680	17649	17806
595	517	520	-0.2786	17990	17802
596	501	514	-0.1879	17989	17628
650	508	520	-0.2899	17975	17868
621	505	514	0.1140	17983	17958
599	513	520	-0.1910	17989	17941
600	514	515	-0.4150	17989	17956
4294967943	514	8589935140	-0.2974	17667	17783
623	512	515	-0.0829	17983	17894
8589935754	507	8589936652	-0.0031	1738	16262
604	514	520	0.0572	17988	18000
4294967887	512	8589935140	-0.3246	17666	17900
12884902471	508	8589935140	-0.4189	17676	17941
12884902501	505	4294967880	-0.3324	17638	17914
8589935181	501	4294967880	-0.0186	17631	17924
8589935101	512	4294967880	-0.1920	17623	17874
17179869747	4294967880	4294967945	-0.2062	17608	17948
17179869769	508	4294967880	-0.1808	17603	17983
21474837058	514	4294967924	0.4267	17362	17993
42949674865	2002	77309412653	-0.1516	2225	17685
4294967870	4294967924	4294967945	-0.2027	17396	17971
21474836990	501	4294967924	-0.1768	17365	17944
