# tick 2000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	5152.4731	0.3535	2001	0.4000
476	3269.4375	0.1505	2001	0.4000
477	2663.0134	0.0672	2001	0.4000
478	3314.4646	-0.2501	2001	0.4000
479	3466.3491	0.4062	2001	0.4000
480	2844.9717	0.1820	2001	0.4000
660	2335.0381	0.1627	1950	0.4000
8589935100	1344.8540	-0.1481	1850	0.4000
483	2974.6348	0.3881	2001	0.4000
484	5038.9409	0.3295	2001	0.4000
4294967884	2738.4534	0.1096	1800	0.4000
486	1863.5808	0.0506	2001	0.4000
487	3127.8093	0.1805	2001	0.4000
488	2909.7671	0.3488	2001	0.4000
489	2577.7920	-0.2702	2001	0.4000
490	4466.3794	0.3627	2001	0.4000
491	4350.3945	0.3531	2001	0.4000
492	5572.2661	0.4483	2001	0.4000
493	2443.1360	0.1472	2001	0.4000
494	1909.4659	-0.0788	2001	0.4000
4294967861	3180.8318	0.3158	1750	0.4000
700	977.8550	0.2598	1700	0.4000
723	2385.2012	0.3664	1650	0.4000
747	1971.0779	0.2761	1600	0.4000
766	3183.7495	0.4544	1550	0.4000
818	2559.4556	0.2908	1450	0.4000
4294968111	2262.0164	0.3556	1400	0.4000
989	964.9966	0.2725	1100	0.4000
873	1165.0802	-0.1428	1300	0.4000
897	1912.3943	0.1361	1250	0.4000
926	2375.1716	0.3869	1200	0.4000
955	1176.7554	0.1670	1150	0.4000
4294968150	604.1739	0.0590	1050	0.4000
1018	1463.7388	0.3272	1000	0.4000
1048	514.2470	0.2050	950	0.4000
1089	974.1619	0.4827	900	0.4000
1130	536.5373	0.1680	850	0.4000
4294968677	354.6015	0.2984	300	0.4000
1198	622.0460	-0.0071	750	0.4000
1236	1133.2192	0.4908	700	0.4000
1429	489.7418	0.2655	400	0.4000
1310	154.7845	0.0615	600	0.4000
1349	400.9275	0.2128	550	0.4000
4294968716	389.3379	0.1954	350	0.4000
1526	143.1326	0.1825	150	0.4000
1480	468.4022	0.4540	200	0.4000
8589936006	59.2613	-0.1567	100	0.4000
1567	128.7374	0.0638	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
495	476	493	-0.2466	2000	1930
8589935228	477	8589935100	0.1844	1834	1997
681	477	660	-0.2043	1931	1824
8589935226	490	8589935100	0.0361	1839	1963
499	484	494	0.6750	2000	1983
4294967805	490	4294967884	-0.1145	1782	1944
501	483	486	-0.1825	2000	1909
697	486	493	0.9404	1900	1983
503	479	494	-0.4329	2000	1958
504	477	488	-0.3096	1999	1930
8589935178	491	8589935100	-0.2350	1840	1971
506	479	489	-0.3104	1999	1825
8589935159	480	8589935100	-0.2849	1841	1847
695	478	479	-0.2772	1907	1969
4294967812	660	8589935100	-0.1927	1782	1938
4294967819	660	4294967884	-0.3738	1789	1856
511	489	494	-0.1089	1999	1943
680	478	486	-0.0739	1931	1783
513	477	493	0.1027	1999	1861
514	475	483	0.9861	1998	1993
515	480	490	-0.3638	1998	1903
8589935137	486	8589935100	-0.2313	1844	1901
4294967828	494	4294967884	-0.2145	1792	1996
518	486	489	-0.2839	1998	1867
519	483	487	0.6370	1998	1973
520	487	490	-0.0395	1998	1926
521	488	491	0.9173	1998	1969
522	475	477	0.9608	1997	1980
8589935125	483	8589935100	-0.0906	1845	1963
524	475	487	-0.1352	1997	1954
525	483	489	-0.3133	1997	1917
526	476	491	-0.4052	1997	1965
527	476	492	0.9588	1997	1979
528	490	493	-0.3916	1997	1945
693	487	489	-0.0249	1909	1973
530	477	491	0.0620	1996	1887
531	480	491	0.5299	1996	1988
673	475	660	0.9743	1936	1987
692	479	660	-0.3524	1910	1989
4294967994	486	660	-0.1930	1851	1965
535	487	488	-0.1321	1996	1510
536	479	490	-0.4296	1996	1893
537	493	494	-0.2336	1996	1822
538	475	479	0.9148	1995	1992
4294967830	493	8589935100	-0.2463	1792	1998
540	484	486	0.0518	1995	1980
541	479	488	-0.3004	1995	1868
542	476	490	-0.3538	1995	1980
4294967842	484	4294967884	0.2650	1793	1978
544	480	489	-0.1796	1994	1953
4294967847	479	4294967884	-0.4753	1797	2000
4294967951	475	491	0.9920	1891	1996
547	475	484	-0.0888	1994	1929
548	489	490	0.9557	1994	1981
549	477	479	-0.1720	1993	1673
674	478	489	0.3037	1936	1989
4294967914	478	487	0.0586	1887	1809
552	478	490	0.7392	1993	1961
553	486	491	-0.2062	1993	1751
554	475	493	-0.1005	1993	1982
555	476	480	-0.2821	1992	1863
556	477	490	0.7541	1992	1859
557	479	480	0.9120	1992	1954
4294967893	489	8589935100	-0.1353	1800	1837
559	480	487	-0.4285	1992	1942
560	491	492	0.3047	1992	1974
561	480	494	-0.1038	1992	1770
562	475	492	-0.2160	1991	1784
4294967903	487	8589935100	0.1214	1801	1974
4294967919	492	8589935100	-0.1300	1806	1831
4294967926	484	8589935100	-0.2398	1815	1943
566	486	487	-0.2253	1990	1896
689	476	488	0.0069	1918	1891
568	479	491	0.4809	1989	1989
569	484	491	-0.2634	1989	1955
4294967808	487	494	0.0098	1875	1871
571	486	492	-0.0426	1989	1593
572	475	489	-0.3218	1989	1880
573	475	490	-0.0810	1989	1744
574	477	492	0.9704	1989	1985
575	480	493	-0.0793	1989	1928
576	476	494	-0.1413	1989	1816
577	475	494	0.9531	1988	1976
578	476	484	-0.2274	1988	1861
579	477	480	-0.2247	1988	1825
580	476	487	0.9782	1988	1989
581	491	494	0.2773	1988	1990
582	488	492	-0.2109	1988	1833
583	477	478	-0.2913	1987	1970
584	478	483	-0.3797	1987	1995
585	475	480	-0.1702	1987	1722
688	486	488	-0.1163	1920	1722
4294967928	488	8589935100	-0.1399	1818	1580
4294967909	490	660	0.5820	1887	1951
589	488	490	-0.2371	1987	1812
590	492	494	1.0000	1987	2000
591	480	488	-0.3382	1986	1753
592	475	476	0.4084	1985	1843
593	477	494	-0.3424	1985	1808
594	483	484	0.5418	1985	1931
595	486	490	1.0000	1985	2000
596	484	490	0.6122	1984	1979
4294967995	478	660	-0.0340	1895	1796
598	476	483	-0.2641	1983	1943
599	488	493	-0.4007	1983	1964
600	490	494	0.0235	1983	1905
601	480	492	0.9758	1982	1991
602	478	491	-0.2740	1981	1873
603	479	484	0.9588	1981	1979
604	490	491	-0.2243	1981	1833
605	480	483	-0.2051	1980	1949
606	484	493	0.7757	1980	1957
4294967803	488	660	0.9138	1866	1955
608	483	494	-0.1616	1979	1942
609	484	488	-0.0918	1979	1975
610	491	493	0.9841	1979	1992
611	492	493	0.4465	1979	1959
612	477	484	-0.1639	1978	1943
687	491	660	0.5511	1926	1963
614	479	492	-0.1872	1977	1786
615	477	483	0.1140	1977	1994
616	480	486	-0.1510	1977	1817
617	484	489	0.0860	1977	1974
686	480	660	-0.3722	1927	1984
619	476	478	-0.3191	1976	1992
620	483	493	0.1612	1976	1913
621	483	488	-0.2485	1976	1997
622	487	492	0.2598	1976	1998
677	493	660	-0.0311	1933	1727
624	478	480	-0.0969	1975	1983
4294967965	475	8589935100	-0.2560	1820	1967
626	487	491	-0.4591	1975	1904
627	489	493	0.0424	1975	1972
628	478	493	0.4438	1975	1911
629	486	494	-0.2853	1974	1875
12884902417	478	494	-0.2540	1822	1728
631	475	486	-0.3560	1972	1957
675	475	488	0.7640	1934	1969
633	475	478	-0.4272	1971	1854
4294967778	479	8589935100	-0.1647	1823	1917
635	478	488	0.9538	1970	1991
684	488	494	-0.3278	1929	1935
672	483	492	-0.1549	1937	1965
638	479	487	-0.0158	1965	1924
639	479	483	-0.3686	1965	1914
640	484	487	0.2370	1965	1902
641	477	486	0.6379	1965	1995
642	490	492	-0.1144	1965	1756
643	476	486	-0.2228	1964	1652
683	483	660	-0.2070	1930	1992
645	489	492	-0.3419	1962	1857
646	483	491	0.9881	1962	1994
647	483	490	-0.2971	1961	1997
648	479	486	-0.3356	1959	1827
649	476	477	-0.1447	1958	1621
650	478	492	-0.2263	1958	1822
651	477	489	-0.2360	1957	1768
652	478	484	0.6535	1956	1918
653	477	487	0.3380	1956	1880
654	476	489	-0.0193	1955	1888
671	487	493	-0.3491	1938	1775
656	479	493	0.9900	1954	1995
670	480	484	0.9900	1940	1995
658	484	492	0.5649	1951	1958
659	476	479	-0.1079	1950	1556
661	487	660	-0.1864	1949	1727
662	484	660	-0.3657	1947	1946
663	494	660	-0.1984	1947	1740
664	489	660	0.8478	1946	1998
665	492	660	0.9861	1945	1993
666	488	489	0.0498	1944	1817
667	476	660	-0.2764	1943	1894
668	489	491	-0.0517	1943	1841
4294967781	492	4294967884	-0.0634	1779	1867
8589935162	494	8589935100	-0.2887	1776	1969
4294967953	480	4294967884	-0.1630	1774	1923
4294967978	486	4294967884	-0.3775	1773	1826
4294967933	493	4294967884	-0.2149	1772	1841
4294967981	488	4294967884	-0.3972	1770	1948
4294967972	483	4294967884	0.0226	1768	1993
4294967921	491	4294967884	0.9960	1765	1998
4294967883	487	4294967884	1.0000	1757	2000
4294967860	492	4294967861	0.2381	1749	1906
4294967859	490	4294967861	-0.2407	1749	1947
4294967986	483	4294967861	-0.4111	1747	1956
4294967846	489	4294967884	-0.1041	1745	1753
4294967987	494	4294967861	-0.2594	1745	1915
4294967839	491	4294967861	0.2133	1745	1606
4294967835	480	4294967861	0.9743	1743	1987
4294967813	477	4294967884	-0.1639	1742	1844
4294967806	489	4294967861	-0.1988	1741	1947
12884902446	475	4294967861	-0.3824	1740	1954
4294967796	477	4294967861	-0.4056	1736	1875
4294967992	660	4294967861	0.0615	1732	1792
4294967801	478	4294967861	0.5989	1730	1946
4294967794	476	4294967861	-0.1842	1726	1795
4294967792	476	8589935100	-0.3043	1726	1854
8589935236	488	4294967861	-0.0656	1726	1900
8589935270	479	4294967861	-0.2785	1720	1818
8589935271	476	4294967884	0.9665	1717	1983
8589935286	478	8589935100	-0.2752	1709	1922
8589935073	475	4294967884	-0.2454	1704	1964
4294967798	478	4294967884	-0.0568	1704	1811
4294967793	493	4294967861	-0.4576	1703	1946
701	488	700	-0.0203	1699	1875
702	486	700	-0.1780	1698	1996
703	4294967884	8589935100	0.0598	1696	1992
704	487	4294967861	-0.3381	1695	1737
705	490	700	-0.0057	1695	1925
706	478	700	-0.2808	1694	1995
707	484	700	-0.2154	1693	1987
708	487	700	-0.3719	1692	1879
709	476	700	0.4584	1691	1965
710	700	8589935100	0.4796	1687	1856
711	492	700	0.9724	1686	1986
712	489	700	0.9980	1684	1999
713	483	700	0.0575	1682	1974
714	4294967861	8589935100	0.8184	1672	1967
715	477	700	-0.0096	1672	1836
716	700	4294967884	-0.3500	1670	1924
717	484	4294967861	-0.1647	1668	1923
718	479	700	0.9861	1665	1993
719	480	700	-0.6044	1663	1959
720	486	4294967861	-0.2270	1662	1779
721	475	700	-0.0701	1660	1263
722	700	4294967861	-0.0339	1655	1974
724	475	723	0.9455	1648	1972
725	494	700	-0.4527	1647	1927
726	479	723	-0.2432	1646	1797
727	494	723	-0.0957	1646	1931
728	476	723	0.6250	1645	2000
729	4294967861	4294967884	0.2336	1644	1968
730	491	723	0.0180	1644	1790
731	477	723	0.9398	1642	1969
732	723	4294967884	0.9940	1641	1997
733	486	723	0.7728	1639	2000
734	660	723	0.1561	1638	1971
735	489	723	-0.2958	1635	2000
736	723	4294967861	-0.3618	1632	1941
737	723	8589935100	-0.3149	1630	1855
738	487	723	0.9608	1628	1980
739	492	723	-0.2285	1625	1887
740	490	723	-0.0365	1623	1927
741	483	723	-0.3464	1622	1961
742	480	723	-0.1709	1619	1955
743	660	700	-0.5038	1618	1934
744	493	723	-0.2290	1617	1980
745	493	700	-0.2051	1605	1822
746	491	700	-0.1833	1603	1874
748	700	747	0.1981	1599	1918
749	747	8589935100	0.0019	1596	1964
750	475	747	-0.0061	1596	1969
751	494	747	-0.3078	1595	1865
752	480	747	-0.1548	1591	1713
753	700	723	-0.2040	1589	1665
754	484	747	-0.3918	1588	1960
755	488	747	0.0714	1587	1986
756	478	723	-0.0252	1585	1721
757	490	747	-0.2107	1581	1990
758	491	747	-0.2976	1579	1920
759	747	4294967861	-0.5330	1579	1986
760	477	747	0.9900	1578	1995
761	660	747	-0.0226	1576	1996
762	493	747	-0.3711	1564	1936
763	479	747	0.7607	1561	1984
764	488	723	-0.2858	1552	1960
765	489	747	0.2330	1551	1987
767	476	766	0.2182	1549	1956
768	723	766	-0.0943	1545	1733
769	489	766	0.8035	1544	1990
770	487	766	0.1279	1541	1992
771	700	766	0.1898	1540	1974
772	747	4294967884	0.0305	1539	1903
773	478	766	0.9710	1539	1987
774	492	747	0.3298	1535	1992
775	766	4294967884	-0.4178	1534	1896
776	477	766	-0.3712	1531	1984
777	475	766	-0.1766	1530	1836
778	490	766	0.4385	1527	1967
779	487	747	-0.1930	1526	1685
780	479	766	-0.1624	1525	1955
781	766	4294967861	-0.3561	1524	1791
782	747	766	0.9861	1524	1993
783	492	766	0.2116	1522	1913
784	491	766	-0.2918	1521	1962
785	478	747	0.9980	1519	1999
786	483	766	-0.0442	1517	1751
787	723	747	-0.4118	1517	1982
788	486	747	0.4466	1517	1909
789	484	723	-0.4023	1513	1983
790	766	8589935100	0.0936	1500	1965
835	766	791	0.0205	1423	577
834	478	818	0.9361	1425	1967
794	483	747	-0.1824	1497	1555
795	480	766	-0.1507	1496	1852
833	747	818	-0.1015	1431	1922
797	484	766	0.0090	1496	1761
798	494	766	-0.0906	1495	1934
832	477	818	0.0196	1433	1923
831	489	818	0.6489	1436	1903
830	723	818	0.8820	1437	1991
829	488	818	0.3044	1440	1952
828	476	818	-0.1408	1440	1969
804	486	766	-0.1124	1488	1686
827	480	818	-0.1934	1441	1705
821	492	818	-0.2044	1447	1852
807	493	766	-0.3475	1482	1716
825	475	818	0.1920	1442	1995
820	818	4294967884	0.1145	1447	1915
810	476	747	0.5193	1480	1815
811	488	766	0.9960	1478	1998
823	766	818	0.9581	1443	1994
813	660	766	-0.2677	1472	1928
819	486	818	-0.2045	1449	1893
4294968087	491	818	-0.3309	1420	1974
4294968122	660	818	-0.0996	1419	1933
4294968120	818	8589935100	-0.3203	1418	1874
4294968118	818	4294967861	-0.5317	1414	1986
4294968113	493	818	-0.0632	1413	1784
4294968112	487	818	-0.3375	1404	1966
4294968110	484	818	0.1496	1398	1953
4294968108	484	4294968111	0.2035	1398	1952
4294968105	475	4294968111	0.9881	1397	1994
4294968104	660	4294968111	-0.2678	1396	1806
4294968102	494	4294968111	-0.1696	1395	1738
4294968101	723	4294968111	-0.2231	1395	1938
4294968099	486	4294968111	-0.3438	1394	1739
4294968098	491	4294968111	-0.2509	1393	1943
4294968097	747	4294968111	0.9685	1393	1984
4294968096	487	4294968111	-0.1661	1392	1976
4294968095	480	4294968111	0.9030	1392	1974
4294968092	4294967884	4294968111	-0.4290	1390	1977
4294968089	489	4294968111	0.0853	1389	1897
4294968088	766	4294968111	-0.0205	1387	1688
836	477	4294968111	0.9212	1385	1959
837	700	4294968111	-0.3067	1384	1808
