# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance
475	8491.4727	0.3535	8001	0.4000
476	4423.4375	0.1505	8001	0.4000
477	5922.0137	0.0672	8001	0.4000
478	2980.4648	-0.2501	8001	0.4000
479	7937.3491	0.4062	8001	0.4000
480	4948.9717	0.1820	8001	0.4000
660	4215.0381	0.1627	7950	0.4000
8589935100	624.8540	-0.1481	7850	0.4000
483	5709.6348	0.3881	8001	0.4000
484	5668.9409	0.3295	8001	0.4000
4294967884	4918.4531	0.1096	7800	0.4000
486	390.5808	0.0506	8001	0.4000
487	5135.8096	0.1805	8001	0.4000
488	3806.7671	0.3488	8001	0.4000
489	1304.7920	-0.2702	8001	0.4000
490	8453.3789	0.3627	8001	0.4000
491	8837.3945	0.3531	8001	0.4000
492	10136.2656	0.4483	8001	0.4000
493	2600.1360	0.1472	8001	0.4000
494	405.4658	-0.0788	8001	0.4000
4294967861	6310.8320	0.3158	7750	0.4000
700	1226.8550	0.2598	7700	0.4000
723	6544.2012	0.3664	7650	0.4000
747	3424.0781	0.2761	7600	0.4000
766	8678.7500	0.4544	7550	0.4000
818	7650.4551	0.2908	7450	0.4000
4294968111	5422.0166	0.3556	7400	0.4000
989	5192.9966	0.2725	7100	0.4000
873	854.0801	-0.1428	7300	0.4000
897	3797.3943	0.1361	7250	0.4000
926	5720.1719	0.3869	7200	0.4000
955	1207.7554	0.1670	7150	0.4000
4294968150	4828.1738	0.0590	7050	0.4000
1018	4610.7388	0.3272	7000	0.4000
1048	1532.2471	0.2050	6950	0.4000
1089	7846.1621	0.4827	6900	0.4000
8589939313	83.1165	0.1267	1500	0.4000
4294968677	3222.6016	0.2984	6300	0.4000
1198	3932.0459	-0.0071	6750	0.4000
1236	6157.2192	0.4908	6700	0.4000
1429	825.7418	0.2655	6400	0.4000
1310	1386.7845	0.0615	6600	0.4000
1349	2336.9275	0.2128	6550	0.4000
4294968716	2672.3379	0.1954	6350	0.4000
1526	1472.1326	0.1825	6150	0.4000
1480	7352.4023	0.4540	6200	0.4000
4294971218	430.8185	0.3509	200	0.4000
4164	2197.9209	0.2485	2800	0.4000
1613	2779.5874	0.3066	6000	0.4000
4294969334	3021.7290	0.4303	5150	0.4000
1705	852.5757	0.3016	5900	0.4000
1759	3147.0823	0.3460	5850	0.4000
4294969162	2496.9084	0.3909	5350	0.4000
4294968996	2444.1812	0.4280	5700	0.4000
4294969156	674.2983	-0.1242	5600	0.4000
2665	1860.5951	0.3983	4400	0.4000
2370	2118.9492	-0.1759	4950	0.4000
8589937374	797.2561	0.2260	800	0.4000
2186	2574.7878	0.2131	5250	0.4000
8589938884	1232.8657	0.4883	500	0.4000
2248	3377.2898	0.3020	5050	0.4000
2554	1524.5164	0.2109	4600	0.4000
4294969634	37.1450	0.3801	4850	0.4000
4294970693	290.4777	0.0058	3250	0.4000
4294968482	633.0628	0.4119	1450	0.4000
4294969885	456.0720	0.1103	4550	0.4000
2622	611.1852	0.2451	4450	0.4000
12884904201	995.3464	-0.0956	4350	0.4000
5537	591.3844	0.4437	1100	0.4000
2875	986.6133	0.3856	4200	0.4000
6062	640.2007	0.3021	600	0.4000
2949	1195.9268	0.0739	4100	0.4000
8589936183	352.3989	-0.1984	3750	0.4000
17179873466	494.5375	0.0426	400	0.4000
4079	1323.4476	-0.1131	2900	0.4000
6088	239.8658	-0.2429	250	0.4000
8589937675	679.6008	0.1598	3700	0.4000
4294970633	261.0776	-0.0641	3600	0.4000
4294970414	3082.1157	0.3484	3500	0.4000
3526	166.0609	0.0024	3450	0.4000
4294970912	2811.0068	0.3894	3300	0.4000
5063	772.1876	0.2741	1800	0.4000
4687	1614.0078	0.4419	2300	0.4000
3839	292.7802	0.2291	3100	0.4000
4294972576	1673.0902	0.2829	1300	0.4000
12884907647	219.1515	0.0564	300	0.4000
4294970987	1289.6534	0.3379	2850	0.4000
5441	317.3869	0.0119	1400	0.4000
4248	740.8308	-0.2372	2700	0.4000
8589938823	127.0737	-0.2573	150	0.4000
4294971838	2003.5574	0.2759	1950	0.4000
4586	2326.8625	0.4857	2350	0.4000
17179873793	1132.0149	0.4249	1550	0.4000
8589936167	857.7119	0.0087	2100	0.4000
4809	1161.7776	0.0827	2050	0.4000
4294971740	429.8314	0.0779	1900	0.4000
8589938166	481.1660	0.2806	1350	0.4000
4294971048	101.5257	-0.1319	1750	0.4000
5179	1220.9634	0.4106	1700	0.4000
4294971925	610.5156	-0.0733	1250	0.4000
4294971536	369.0687	-0.1635	1200	0.4000
8589939749	666.8546	-0.0391	1150	0.4000
4294970281	1041.5444	0.4051	1050	0.4000
5839	230.4276	0.0480	900	0.4000
8589939309	870.3888	0.4817	650	0.4000
8589936181	550.6107	0.3407	350	0.4000
8589939014	74.2036	0.0279	100	0.4000
12884905274	46.6126	-0.1462	50	0.4000

[relationships]
entity	agent_a	agent_b	trust	age	last_reinforced
495	476	493	0.0198	8000	7935
8589935228	477	8589935100	0.8862	7834	7941
681	477	660	-0.3122	7931	7985
8589935226	490	8589935100	-0.2121	7839	7779
499	484	494	0.0231	8000	7654
4294967805	490	4294967884	-0.1425	7782	7626
501	483	486	-0.2060	8000	7994
697	486	493	-0.0820	7900	7338
503	479	494	-0.1204	8000	7902
504	477	488	-0.1658	7999	7682
8589935178	491	8589935100	-0.3223	7840	7988
506	479	489	-0.1811	7999	7898
8589935159	480	8589935100	-0.3310	7841	7960
695	478	479	-0.3565	7907	7943
4294967812	660	8589935100	-0.3279	7782	7993
4294967819	660	4294967884	0.0120	7789	7943
511	489	494	-0.3823	7999	7934
680	478	486	-0.1731	7931	7877
513	477	493	-0.1272	7999	7795
514	475	483	-0.0599	7998	7663
515	480	490	0.0350	7998	7956
8589935137	486	8589935100	-0.0797	7844	7933
4294967828	494	4294967884	-0.1739	7792	7889
518	486	489	-0.1479	7998	7859
519	483	487	0.3588	7998	7988
520	487	490	-0.1516	7998	7957
521	488	491	0.1675	7998	7869
522	475	477	-0.2258	7997	7819
8589935125	483	8589935100	-0.1391	7845	7993
524	475	487	-0.1809	7997	7890
525	483	489	-0.0183	7997	7553
526	476	491	0.1088	7997	7853
527	476	492	-0.2017	7997	7962
528	490	493	-0.2072	7997	7883
693	487	489	-0.0731	7909	7834
530	477	491	-0.1963	7996	7997
531	480	491	-0.1219	7996	7901
673	475	660	-0.2039	7936	7836
692	479	660	-0.2738	7910	7811
4294967994	486	660	0.0342	7851	7649
535	487	488	0.2164	7996	7891
536	479	490	-0.2263	7996	7733
537	493	494	-0.2598	7996	7960
538	475	479	-0.1508	7995	7765
4294967830	493	8589935100	-0.1939	7792	7931
540	484	486	-0.0989	7995	7999
541	479	488	0.1318	7995	7811
542	476	490	-0.0214	7995	7925
4294967842	484	4294967884	-0.1082	7793	7932
544	480	489	-0.3700	7994	7937
4294967847	479	4294967884	0.8336	7797	7972
4294967951	475	491	-0.1989	7891	7627
547	475	484	-0.2248	7994	7894
548	489	490	-0.0174	7994	7911
549	477	479	-0.0291	7993	7946
674	478	489	-0.3321	7936	7989
4294967914	478	487	-0.2147	7887	7781
552	478	490	0.0187	7993	7873
553	486	491	-0.0145	7993	7812
554	475	493	-0.4409	7993	7804
555	476	480	-0.1776	7992	7921
556	477	490	-0.3118	7992	7975
557	479	480	0.3671	7992	7984
4294967893	489	8589935100	-0.0723	7800	7987
559	480	487	-0.0229	7992	7602
560	491	492	-0.2895	7992	7929
561	480	494	-0.2814	7992	7969
562	475	492	-0.0184	7991	7902
4294967903	487	8589935100	-0.2752	7801	7897
4294967919	492	8589935100	-0.2104	7806	7848
4294967926	484	8589935100	-0.0564	7815	7089
566	486	487	-0.1060	7990	7613
689	476	488	-0.1479	7918	7552
568	479	491	0.9920	7989	7996
569	484	491	-0.2476	7989	8000
4294967808	487	494	0.1535	7875	7946
571	486	492	-0.0567	7989	7810
572	475	489	-0.0875	7989	7961
573	475	490	-0.2484	7989	7992
574	477	492	0.8986	7989	7999
575	480	493	-0.2212	7989	7870
576	476	494	-0.2589	7989	7992
577	475	494	-0.1648	7988	7792
578	476	484	-0.2608	7988	7912
579	477	480	0.0995	7988	7705
580	476	487	-0.1696	7988	7930
581	491	494	-0.2499	7988	7697
582	488	492	0.6333	7988	7952
583	477	478	-0.2359	7987	7799
584	478	483	-0.2094	7987	7862
585	475	480	-0.3103	7987	7934
688	486	488	-0.1548	7920	7792
4294967928	488	8589935100	-0.1090	7818	7960
4294967909	490	660	0.1658	7887	7959
589	488	490	0.0493	7987	7751
590	492	494	-0.1544	7987	7901
591	480	488	-0.1266	7986	7731
592	475	476	-0.2391	7985	7879
593	477	494	-0.1191	7985	7898
594	483	484	-0.1434	7985	7917
595	486	490	-0.0693	7985	7705
596	484	490	-0.1399	7984	7945
4294967995	478	660	-0.2825	7895	7964
598	476	483	-0.1244	7983	7927
599	488	493	-0.2675	7983	7752
600	490	494	0.1428	7983	7881
601	480	492	-0.2291	7982	7962
602	478	491	0.2707	7981	7772
603	479	484	-0.0813	7981	7470
604	490	491	0.0371	7981	7983
605	480	483	-0.1915	7980	7661
606	484	493	0.0160	7980	7904
4294967803	488	660	-0.1804	7866	7681
608	483	494	-0.0265	7979	7947
609	484	488	0.2775	7979	7901
610	491	493	-0.2797	7979	7752
611	492	493	-0.1657	7979	7604
612	477	484	-0.0801	7978	7691
687	491	660	0.1361	7926	7890
614	479	492	0.2236	7977	7892
615	477	483	0.3071	7977	7899
616	480	486	-0.0567	7977	7909
617	484	489	0.1229	7977	7954
686	480	660	-0.1030	7927	7889
619	476	478	-0.1990	7976	7998
620	483	493	-0.0927	7976	7724
621	483	488	0.0090	7976	7795
622	487	492	-0.1304	7976	7890
677	493	660	0.2244	7933	7921
624	478	480	-0.2386	7975	7999
4294967965	475	8589935100	-0.0676	7820	7880
626	487	491	0.0116	7975	7960
627	489	493	-0.0338	7975	7364
628	478	493	-0.2516	7975	7980
629	486	494	0.0259	7974	7952
12884902417	478	494	-0.2129	7822	7955
631	475	486	-0.0563	7972	7809
675	475	488	0.1395	7934	7937
633	475	478	-0.1507	7971	7598
4294967778	479	8589935100	-0.0315	7823	6974
635	478	488	-0.0461	7970	7515
684	488	494	-0.2858	7929	7957
672	483	492	-0.1546	7937	7944
638	479	487	0.1090	7965	7994
639	479	483	-0.0717	7965	7917
640	484	487	0.9861	7965	7993
641	477	486	0.0345	7965	7951
642	490	492	-0.3189	7965	7993
643	476	486	-0.0719	7964	7956
683	483	660	-0.1083	7930	7871
645	489	492	-0.0360	7962	7489
646	483	491	-0.0828	7962	7916
647	483	490	-0.1517	7961	7911
648	479	486	-0.1060	7959	7736
649	476	477	-0.0294	7958	7176
650	478	492	-0.2407	7958	7919
651	477	489	-0.1273	7957	7507
652	478	484	-0.1838	7956	7855
653	477	487	-0.1104	7956	7835
654	476	489	0.3260	7955	7996
671	487	493	0.0020	7938	7973
656	479	493	0.8132	7954	7962
670	480	484	0.0077	7940	7996
658	484	492	-0.2586	7951	7919
659	476	479	-0.3783	7950	7980
661	487	660	-0.0510	7949	7888
662	484	660	-0.3698	7947	7945
663	494	660	-0.2584	7947	7919
664	489	660	0.1305	7946	7911
665	492	660	-0.1455	7945	7788
666	488	489	0.1366	7944	7991
667	476	660	0.0578	7943	7897
668	489	491	-0.0021	7943	7668
4294967781	492	4294967884	-0.2571	7779	7891
8589935162	494	8589935100	-0.3979	7776	7881
4294967953	480	4294967884	-0.1739	7774	7529
4294967978	486	4294967884	0.1010	7773	7954
4294967933	493	4294967884	-0.0231	7772	7942
4294967981	488	4294967884	-0.1433	7770	7662
4294967972	483	4294967884	0.2532	7768	7503
4294967921	491	4294967884	-0.1912	7765	7891
4294967883	487	4294967884	-0.1474	7757	7830
4294967860	492	4294967861	-0.3255	7749	7883
4294967859	490	4294967861	-0.2965	7749	7932
4294967986	483	4294967861	-0.0899	7747	7689
4294967846	489	4294967884	-0.1282	7745	7893
4294967987	494	4294967861	-0.3003	7745	7996
4294967839	491	4294967861	-0.2150	7745	7611
4294967835	480	4294967861	0.2007	7743	7958
4294967813	477	4294967884	-0.1587	7742	7820
4294967806	489	4294967861	-0.0234	7741	7745
12884902446	475	4294967861	0.0679	7740	7930
4294967796	477	4294967861	-0.0020	7736	7758
4294967992	660	4294967861	-0.4527	7732	7966
4294967801	478	4294967861	-0.2451	7730	7842
4294967794	476	4294967861	-0.2301	7726	8000
4294967792	476	8589935100	-0.1158	7726	7555
8589935236	488	4294967861	-0.0465	7726	7765
8589935270	479	4294967861	-0.2654	7720	7988
8589935271	476	4294967884	-0.0928	7717	7976
8589935286	478	8589935100	0.1003	7709	7828
8589935073	475	4294967884	-0.0872	7704	7606
4294967798	478	4294967884	-0.2464	7704	7678
4294967793	493	4294967861	-0.0726	7703	7901
701	488	700	0.0526	7699	7622
702	486	700	-0.2655	7698	7971
703	4294967884	8589935100	0.7277	7696	7953
704	487	4294967861	-0.2417	7695	7815
705	490	700	-0.3461	7695	7964
706	478	700	-0.2573	7694	7974
707	484	700	-0.1218	7693	7764
708	487	700	-0.0754	7692	7841
709	476	700	-0.2802	7691	7970
710	700	8589935100	-0.0188	7687	7987
711	492	700	-0.2686	7686	7963
712	489	700	-0.2060	7684	7906
713	483	700	-0.0558	7682	7684
714	4294967861	8589935100	-0.2593	7672	7957
715	477	700	-0.1934	7672	7953
716	700	4294967884	-0.1533	7670	7818
717	484	4294967861	-0.2329	7668	7976
718	479	700	-0.2660	7665	7964
719	480	700	-0.3528	7663	7963
720	486	4294967861	-0.0719	7662	7710
721	475	700	-0.1245	7660	7816
722	700	4294967861	-0.1875	7655	7946
724	475	723	-0.1449	7648	7942
725	494	700	-0.3572	7647	7972
726	479	723	-0.0290	7646	6888
727	494	723	-0.2643	7646	7954
728	476	723	-0.2209	7645	7843
